,https://roic.ai/company/WFCF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1360565/000138713113000623/0001387131-13-000623-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1360565/000138713116004244/0001387131-16-004244-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000138713117001106/0001387131-17-001106-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1360565/000138713119002315/0001387131-19-002315-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000138713120002583/0001387131-20-002583-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000149315221004235/0001493152-21-004235-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000149315222005648/0001493152-22-005648-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3200000,-509366,2453696,-3022499,- -,40499,-1027972,-1559042,-759560,149658,-153191,327757,864452,870358,-33560,229095,533917,433171,142314,800736,1345165,1385000,2961000
74,Depreciation and Amortization,-5500000,-5342099,-2984912,-2835477,- -,13233,37449,38984,30110,44615,56389,81766,74880,94111,119696,225638,256272,267645,854180,942418,1096460,997000,799000
75,Deferred Income Tax,-200000,381285,18120,-49385,- -,- -,- -,- -,- -,- -,- -,- -,-224350,-391638,-1778,140876,298150,169994,-129062,-96301,-97645,-65000,-21000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,3410,27750,63,13170,29325,70152,88060,117696,121871,169133,161128,162405,121000,291000
77,Change in Working Capital,11400000,-780197,18687843,-554517,- -,-24520558,666751,-525199,-372510,686288,-123912,291085,968355,191665,-181470,1847093,870883,-822415,283027,-1042518,450186,1230120,122000
78,Accounts Receivable,900000,-167574,-296977,-1590093,- -,- -,- -,- -,- -,-269124,30697,-20148,-14885,-109498,-159729,-300917,-240762,50753,-571628,-336412,-337377,-46000,330000
79,Inventory,- -,- -,- -,- -,- -,- -,-9771,-4414,-4574,4409,14350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-767000
80,Accounts Payable,100000,1380330,-1639461,-647058,- -,- -,- -,- -,- -,-40261,-57794,11275,-23940,-33953,142720,123498,16705,-222614,123523,76618,488910,-374000,-202000
81,Other Working Capital,7100000,6319803,25007646,24453129,- -,-67429,599322,74123,-298387,387901,263989,555074,1523429,1715094,1533624,3380717,4251600,3429185,3712212,2669694,3119880,4350000,386000
82,Other Non-Cash Items,2400000,13188587,-14303704,1648508,- -,24483505,-546011,892892,463314,-1322508,295642,-269786,-975822,-459107,243864,-1940770,-963084,815790,-662373,388707,-81640,-1216120,-1132000
83,Cash Provided by Operating Activities,11300000,6938210,3871043,-4813370,- -,16679,-869783,-1152365,-638646,-438537,102678,430885,720685,334714,216904,589992,1113834,986056,657219,1154170,2874931,2452000,3020000
84,CAPEX,-3700000,-5789690,-1763031,-441680,- -,-12983,-6634,-15895,-34389,-70951,-111711,-76344,-12171,-73876,-34645,-139852,-26312,-445847,-83757,-366691,-369200,-464000,-213000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-150000,- -,- -,800000,- -,- -,- -,-214774,-565000,-345926,- -,-1284697,-150000,-950000,-1000000,-300000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-429399,- -,- -,- -,- -,- -,- -,-900000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125598,302096,- -,- -,- -,- -,- -,250000,252999,- -,- -
88,Other Investing Activites,-700000,-469594,15781982,-1731218,- -,- -,- -,- -,- -,800,4000,-18007,- -,-1145,- -,-65000,- -,11990,-9043,-8131,1000,34000,210000
89,Cash Used for Investing Activites,-4400000,-6259284,14018951,-2172898,- -,-12983,-156634,-15895,-34389,729849,-107711,-76344,-315972,12301,-599645,-485778,-26312,-1718554,-242800,-1974822,-1115201,-730000,-3000
90,Debt Repayment,- -,-481637,-185289,- -,- -,- -,- -,- -,- -,-458000,-20626,-28521,-88972,-83571,-28948,-171041,-11856,-25258,-7156,-18204,-49027,-8000,-10000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,2180572,1120680,350000,125000,- -,- -,- -,- -,- -,1800000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1648,- -,-885000,- -,-16124,-4020,-27273,-61597,-12280,-29555,- -,-177916,-346976,-199638,-384531,-555429,-1037000,-1105000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-914000
94,Other Financing Activites,-4200000,292011,- -,- -,- -,-1312,-469334,478286,263378,40974,89964,- -,201800,183305,105292,-217652,300589,65037,8168,- -,- -,1059000,52000
95,Cash Used/Provided by Financing Activities,-4200000,-189626,-185289,- -,- -,-2960,1711238,713966,613378,-308150,65318,-55794,51231,87454,46789,1411307,110817,-307197,-198626,-402735,-604456,14000,-1977000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2800000,489300,17704705,-6986268,- -,736,684821,-454294,-59657,-16838,60285,298747,455944,434469,-335952,1515521,1198339,-1039695,215793,-1223387,1155274,1736000,1040000
98,Cash at the End of Period,4700000,5192161,20095808,13109540,- -,12,684833,230539,170882,154044,214329,513076,969020,1403489,1067537,2583058,3781397,2489985,2705778,1482391,2637665,4374000,5414000
99,Cash at the Beginning of Period,1900000,4702861,2391103,20095808,- -,-724,12,684833,230539,170882,154044,214329,513076,969020,1403489,1067537,2583058,3529680,2489985,2705778,1482391,2638000,4374000
100,Free Cash Flow,7600000,1148520,2108012,-5255050,- -,3696,-876417,-1168260,-673035,-509488,-9033,354541,708514,260838,182259,450140,1087522,540209,573462,787479,2505731,1988000,2807000
101,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1360565/000138713113000623/0001387131-13-000623-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1360565/000138713116004244/0001387131-16-004244-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000138713117001106/0001387131-17-001106-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1360565/000138713119002315/0001387131-19-002315-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000138713120002583/0001387131-20-002583-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000149315221004235/0001493152-21-004235-index.htm,https://www.sec.gov/Archives/edgar/data/1360565/000149315222005648/0001493152-22-005648-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
