,https://roic.ai/company/BCLI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,31000,- -,151000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,14488,21571,23714,584269,2115464,161000,925000,168000,162000,153000,- -,- -,- -,- -,77000,85000,110000,164000,219000,- -
15,EBITDA,- -,-11072,-25235,-47233,-18242777,-766096,-4754000,-2343000,-1582000,-2427000,-3741000,-3518000,-5018000,-7421000,-8536000,-5006000,-4914000,-13953000,-22837000,-31465000,- -
16,EBITDA ratio,- -,-0.4835,-0.3044,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
17,Operating Income,- -,- -,-46806,-70947,-18827046,-2881560,-4915000,-3268000,- -,- -,- -,-3425000,-4874000,-9246000,-8536000,-5083000,-4999000,-14063000,-23001000,-31684000,- -
18,Operating Income ratio,- -,- -,-0.5647,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),- -,536,- -,- -,-5996,-1025709,-1329000,-204000,- -,189000,-19000,- -,- -,- -,48000,101000,47000,115000,-252000,-127000,- -
20,Income Before Tax,- -,- -,- -,- -,-18833042,-3907269,-6244000,-3472000,- -,-2400000,-3913000,-3425000,-4874000,-9246000,-8488000,-4982000,-4952000,-13948000,-23253000,-31811000,- -
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,5469,17216,- -,- -,- -,19000,5000,5000,25000,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-25560,-46806,-73295,-18839795,-3924485,-6244000,-3472000,-1781000,-2419000,-3918000,-3430000,-4899000,-9246000,-8488000,-4982000,-4952000,-13948000,-23253000,-31811000,- -
24,Net Income ratio,- -,-1.1162,-0.5647,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
25,EPS,- -,-0.01,-0.07,-0.03,-15.15,-2.55,-3.15,-1.05,-0.45,-0.45,-0.45,-0.30,-0.45,-0.68,-0.46,-0.27,-0.26,-0.70,-1.06,-1.07,- -
26,EPS Diluted,- -,-0.01,-0.07,-0.03,-15.15,-2.55,-3.15,-1.05,-0.45,-0.45,-0.45,-0.30,-0.45,-0.68,-0.46,-0.27,-0.26,-0.70,-1.06,-1.07,- -
27,Weighted Average Shares Outstanding,- -,2693346,1346673,2280011,1239160,1581165,1951906,3269383,4076754,5939656,8007888,9173138,10738184,13662758,18405610,18663162,18777348,19997710,21906257,29848217,21906257
28,Weighted Average Shares Outstanding Diluted,- -,2693346,1346673,2280011,1239160,1581165,1951906,3269383,4076754,5939656,8007888,9173138,10738184,13662758,18405610,18663162,18777348,19997710,21906257,29848217,21906257
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1137883/000114420408022085/0001144204-08-022085-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420409020677/0001144204-09-020677-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420410015630/0001144204-10-015630-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420411018823/0001144204-11-018823-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420412015305/0001144204-12-015305-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420413014932/0001144204-13-014932-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420414018114/0001144204-14-018114-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420415018682/0001144204-15-018682-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420416086932/0001144204-16-086932-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420417017265/0001144204-17-017265-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420418013470/0001144204-18-013470-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420419017041/0001144204-19-017041-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000110465920022244/0001104659-20-022244-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000110465921011928/0001104659-21-011928-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000141057822000554/0001410578-22-000554-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,36148,9996,4604,526519,60430,86000,2000,1000,93000,1923000,1317000,3503000,4251000,428000,547000,2483000,942000,536000,37829000,18856000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2769000,- -,4290000,15527000,9443000,5273000,6122000,33000,4107000,- -
33,Cash and Short-Term Investments,- -,36148,9996,4604,526519,60430,86000,2000,1000,93000,1923000,4086000,3503000,8541000,15955000,9990000,7756000,7064000,569000,41936000,18856000
34,Net Receivables,- -,- -,- -,- -,87566,15832,137000,12000,86000,427000,312000,742000,910000,1005000,759000,306000,672000,2009000,2359000,304000,86000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,750,305,155,31134,57753,35000,45000,- -,59000,69000,46000,33000,32000,74000,148000,1195000,1197000,432000,1002000,4338000
37,Total Current Assets,- -,36898,10301,4759,645219,134015,258000,59000,87000,579000,2304000,4874000,4446000,9578000,16788000,10444000,9623000,10270000,3360000,43242000,23280000
38,PP&E,- -,- -,35185,- -,228315,491045,739000,743000,575000,419000,314000,247000,258000,313000,271000,297000,392000,651000,3142000,7991000,5970000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,26756,- -,11471,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,26756,- -,11471,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,88000,90000,109000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,5871,97306,86000,73000,7000,1000,17000,189000,22000,20000,21000,25000,1408000,307000,32000,26000,-23253000
45,Total Non-Current Assets,- -,26756,35185,11471,234186,588351,825000,816000,670000,510000,440000,436000,280000,333000,292000,322000,1800000,958000,3174000,8017000,-17283000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,63654,45486,16230,879405,722366,1083000,875000,757000,1089000,2744000,5310000,4726000,9911000,17080000,10766000,11423000,11228000,6534000,51259000,5997000
48,Accounts Payable,- -,- -,- -,140,37850,873747,1049000,744000,600000,307000,244000,358000,228000,1542000,1169000,345000,1424000,4548000,14677000,5417000,3700000
49,Short-Term Debt,- -,10114,20974,30974,- -,1125526,1341000,- -,370000,137000,- -,- -,- -,- -,- -,- -,- -,- -,1263000,2655000,1461000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2625000,- -,- -,- -,- -
52,Other Current Liabilities,- -,1376,4154,16553,131232,498071,838000,2115000,1418000,979000,891000,781000,1104000,1571000,1783000,519000,1494000,1664000,1714000,3161000,1156000
53,Total Current Liabilities,- -,11490,25128,47667,169082,2497344,3228000,2859000,2388000,1423000,1135000,1139000,1332000,3113000,2952000,864000,5543000,6212000,17654000,11233000,6317000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3618000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,5871,40772,83000,92000,112000,125000,121000,189000,655000,123000,- -,- -,- -,- -,1103000,4562000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,5871,40772,283000,92000,112000,125000,121000,189000,655000,123000,- -,- -,- -,- -,1103000,4562000,3618000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2366000,7217000,- -
61,Total Liabilities,- -,11490,25128,47667,174953,2538116,3511000,2951000,2500000,1548000,1256000,1328000,1987000,3236000,2952000,864000,5543000,6212000,18757000,15795000,3618000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1010,1010,1024,1044,1210,2000,3000,4000,5000,6000,7000,8000,11000,11000,11000,11000,11000,11000,12000,- -
64,Retained Earnings,- -,-42586,-89392,-162687,-19002482,-26243716,-32488000,-35960000,-37741000,-40160000,-44078000,-47508000,-52407000,-61653000,-70141000,-75123000,-80075000,-94023000,-117276000,-149087000,-173544000
65,Other Comprehensive Income/Loss,- -,- -,33750,48750,-5394735,- -,-218000,-369000,-537000,-699000,-852000,-1009000,-1107000,-1211000,-1297000,-1376000,-1461000,-1569000,-1734000,-1953000,- -
66,Other Total Stockholders Equity,- -,93740,74990,81476,- -,- -,30276000,34250000,36531000,40395000,46412000,52492000,56245000,69528000,85555000,86390000,87405000,100597000,106776000,186492000,192886000
67,Total Stockholders Equity,- -,52164,20358,-31437,704452,-1815750,-2428000,-2076000,-1743000,-459000,1488000,3982000,2739000,6675000,14128000,9902000,5880000,5016000,-12223000,35464000,19342000
68,Total Liabilities And Stockholders Equity,- -,63654,45486,16230,879405,722366,1083000,875000,757000,1089000,2744000,5310000,4726000,9911000,17080000,10766000,11423000,11228000,6534000,51259000,22960000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16963000
70,Total Liabilities & Equity,- -,63654,45486,16230,879405,722366,1083000,875000,757000,1089000,2744000,5310000,4726000,9911000,17080000,10766000,11423000,11228000,6534000,51259000,5997000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1137883/000114420408022085/0001144204-08-022085-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420409020677/0001144204-09-020677-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420410015630/0001144204-10-015630-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420411018823/0001144204-11-018823-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420412015305/0001144204-12-015305-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420413014932/0001144204-13-014932-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420414018114/0001144204-14-018114-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420415018682/0001144204-15-018682-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420416086932/0001144204-16-086932-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420417017265/0001144204-17-017265-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420418013470/0001144204-18-013470-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420419017041/0001144204-19-017041-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000110465920022244/0001104659-20-022244-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000110465921011928/0001104659-21-011928-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000141057822000554/0001410578-22-000554-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-25560,-46806,-73295,-18839795,-3924485,-6244000,-3472000,-1781000,-2419000,-3918000,-3430000,-4899000,-9246000,-8488000,-4982000,-4952000,-13948000,-23253000,-31811000,- -
74,Depreciation and Amortization,- -,14488,21571,23714,584269,2115464,161000,925000,168000,162000,153000,- -,- -,- -,- -,77000,85000,110000,164000,219000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1135000,560000,674000,1222000,835000,635000,554000,917000,764000,2560000,- -
77,Change in Working Capital,- -,-374,-40235,-28081,519045,-1661018,-606671,170000,499000,1457000,2013000,2566000,-621000,3351000,7371000,-4256000,-5500000,-22000,-18352000,46303000,-15046000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-65000,-400000,105000,-407000,-155000,-93000,204000,379000,-2792000,-238000,690000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64000,114000,-130000,1314000,-373000,-824000,1079000,3124000,10129000,-9260000,- -
81,Other Working Capital,- -,25408,-14827,-42908,476137,-2363329,-2970000,-2800000,-2301000,-844000,1169000,3735000,3114000,6465000,13836000,9580000,4080000,4058000,-14294000,32009000,16963000
82,Other Non-Cash Items,- -,4006,58458,62226,17058645,2615396,4915671,643000,370000,-1269000,-1606000,-2612000,792000,186000,-7126000,2668000,7449000,555000,29430000,-52464000,15046000
83,Cash Provided by Operating Activities,- -,-7440,-7012,-15436,-677836,-854643,-1774000,-1734000,-744000,-2069000,-2223000,-2916000,-4054000,-4487000,-7408000,-5858000,-2364000,-12388000,-11247000,-35193000,- -
84,CAPEX,- -,- -,- -,- -,-228560,-141397,-347000,-154000,- -,-5000,-48000,-90000,-108000,-161000,-45000,-103000,-180000,-369000,-473000,-378000,-330000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-735,- -,- -,- -,- -,- -,-2769000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,4000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-35724,-3014,- -,-2000,35000,- -,-16000,- -,2764000,-4289000,-11238000,6080000,4166000,-849000,6089000,-4074000,653000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-264284,-145146,-347000,-156000,39000,1000,-64000,-2859000,2656000,-4450000,-11283000,5977000,3986000,-1218000,5616000,-4452000,323000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-26000,-46000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,1478312,770000,1964000,1784000,730000,2118000,3602000,5023000,3576000,9554000,- -,- -,- -,- -,2064000,70686000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-9886,-19140,10044,-14277,- -,183000,22000,- -,88000,515000,146000,8000,131000,14868000,- -,314000,12065000,3161000,6368000,6969000
95,Cash Used/Provided by Financing Activities,- -,-9886,-19140,10044,1464035,770000,2147000,1806000,704000,2160000,4117000,5169000,3584000,9685000,14868000,- -,314000,12065000,5225000,76938000,6969000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-17326,-26152,-5392,521915,-229789,26000,-84000,-1000,92000,1830000,-606000,2186000,748000,-3823000,119000,1936000,-1541000,-406000,37293000,-18973000
98,Cash at the End of Period,- -,36148,9996,4604,526519,60430,86000,2000,1000,93000,1923000,1317000,3503000,4251000,428000,547000,2483000,942000,536000,37829000,18856000
99,Cash at the Beginning of Period,- -,53474,36148,9996,4604,290219,60000,86000,2000,1000,93000,1923000,1317000,3503000,4251000,428000,547000,2483000,942000,536000,37829000
100,Free Cash Flow,- -,-7440,-7012,-15436,-906396,-996040,-2121000,-1888000,-744000,-2074000,-2271000,-3006000,-4162000,-4648000,-7453000,-5961000,-2544000,-12757000,-11720000,-35571000,-330000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1137883/000114420408022085/0001144204-08-022085-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420409020677/0001144204-09-020677-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420410015630/0001144204-10-015630-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420411018823/0001144204-11-018823-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420412015305/0001144204-12-015305-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420413014932/0001144204-13-014932-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420414018114/0001144204-14-018114-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420415018682/0001144204-15-018682-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420416086932/0001144204-16-086932-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420417017265/0001144204-17-017265-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420418013470/0001144204-18-013470-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000114420419017041/0001144204-19-017041-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000110465920022244/0001104659-20-022244-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000110465921011928/0001104659-21-011928-index.htm,https://www.sec.gov/Archives/edgar/data/1137883/000141057822000554/0001410578-22-000554-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
