,https://roic.ai/company/APRDP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,732552000,742364000,759345000,781530000,785097000,817033000,1061556000,1110625000,1088340000,1459261000,1462842000,1524583000,1529417000,1649404000,1789621000,1901919000,2028262000,2206000000,2273000000,2274000000,2304000000,2291000000,2371000000,2516000000,2627000000,2476000000,9239000000,9222000000,2970000000
16,EBITDA ratio,0.2436,0.2529,0.2510,0.2504,0.2493,0.2413,0.3136,0.3028,0.3035,0.3933,0.3694,0.3599,0.3291,0.3289,0.3339,0.3130,0.3669,0.3691,0.3986,0.4120,0.4101,0.3856,0.4111,0.4272,0.4350,0.4105,0.4313,0.4526,0.4631
17,Operating Income,595112000,596004000,625318000,616638000,627203000,657039000,894436000,941425000,910692000,1022161000,1014900000,1020483000,1013539000,1109699000,1214836000,1268753000,1319957000,1489000000,1514000000,1496000000,1476000000,1525000000,1563000000,1665000000,1714000000,1477000000,7736000000,1694000000,1806000000
18,Operating Income ratio,0.1979,0.2031,0.2067,0.1976,0.1992,0.1940,0.2642,0.2567,0.2539,0.2755,0.2563,0.2409,0.2181,0.2213,0.2266,0.2088,0.2388,0.2492,0.2655,0.2710,0.2627,0.2566,0.2710,0.2827,0.2838,0.2449,0.3612,0.0831,0.2816
19,Total Other Income Expenses (Gains),3260000,3239000,1649000,- -,- -,3811000,-236212000,-243798000,-260195000,-253931000,-233445000,-202691000,-196640000,-236890000,-247911000,-245518000,-226978000,-280000000,-289000000,-276000000,-247000000,-213000000,-246000000,-295000000,-280000000,-241000000,-1194000000,1802000000,-181000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,658224000,697627000,650497000,768230000,781455000,817792000,816899000,872809000,966925000,1023235000,1092979000,1209000000,1225000000,1220000000,1229000000,1312000000,1317000000,1370000000,1434000000,1236000000,6542000000,3496000000,1625000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.1944,0.1902,0.1814,0.2070,0.1973,0.1931,0.1758,0.1740,0.1804,0.1684,0.1977,0.2023,0.2148,0.2210,0.2188,0.2208,0.2283,0.2326,0.2375,0.2049,0.3054,0.1716,0.2534
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,241880000,261555000,248597000,292436000,290378000,313024000,284715000,330345000,351198000,367813000,383980000,463000000,478000000,477000000,478000000,512000000,506000000,531000000,568000000,291000000,1798000000,- -,372000000
23,Net Income,376053000,382573000,387963000,398092000,390525000,391866000,416344000,436072000,402253000,475794000,491077000,504768000,532184000,542464000,615727000,655422000,708999000,746000000,747000000,743000000,751000000,800000000,811000000,839000000,866000000,945000000,4754000000,3496000000,1253000000
24,Net Income ratio,0.1250,0.1303,0.1283,0.1276,0.1240,0.1157,0.1230,0.1189,0.1122,0.1282,0.1240,0.1192,0.1145,0.1082,0.1149,0.1079,0.1282,0.1248,0.1310,0.1346,0.1337,0.1346,0.1406,0.1425,0.1434,0.1567,0.2220,0.1716,0.1954
25,EPS,12.31,12.53,12.70,13.04,12.79,12.83,13.63,14.28,13.17,15.58,16.08,16.53,17.43,17.76,20.16,21.46,23.22,24.43,24.46,24.33,24.59,26.20,26.56,27.47,28.36,30.95,155.68,114.48,41.03
26,EPS Diluted,12.31,12.53,12.70,13.04,12.79,12.83,13.63,14.28,13.17,15.58,16.08,16.53,17.43,17.76,20.16,21.46,23.22,24.43,24.46,24.33,24.59,26.20,26.56,27.47,28.36,30.95,155.68,114.48,41.03
27,Weighted Average Shares Outstanding,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502
28,Weighted Average Shares Outstanding Diluted,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502,30537502
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3153/000009212212000016/0000092122-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212213000014/0000092122-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212214000012/0000092122-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212215000015/0000092122-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212216000126/0000092122-16-000126-index.htm,- -,https://www.sec.gov/Archives/edgar/data/3153/000009212218000012/0000092122-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212219000006/0000092122-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212220000017/0000092122-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212221000006/0000092122-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212222000003/0000092122-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3233000,14676000,12616000,9587000,23957000,134248000,19475000,14247000,35756000,22685000,42752000,84461000,22472000,15539000,73616000,28181000,368016000,154000000,344000000,137000000,295000000,273000000,194000000,420000000,544000000,313000000,894000000,1065000000,1060000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1362000000,- -
33,Cash and Short-Term Investments,3233000,14676000,12616000,9587000,23957000,134248000,19475000,14247000,35756000,22685000,42752000,84461000,22472000,15539000,73616000,28181000,368016000,154000000,344000000,137000000,295000000,273000000,194000000,420000000,544000000,313000000,894000000,2427000000,1060000000
34,Net Receivables,370206000,344822000,385338000,33209000,26649000,82656000,530627000,725469000,482824000,446195000,434182000,559370000,622632000,559702000,780866000,709604000,579984000,602000000,562000000,571000000,559000000,608000000,696000000,551000000,606000000,688000000,646000000,- -,626000000
35,Inventory,265209000,304155000,285730000,249496000,235787000,232907000,252219000,238914000,290602000,261338000,298683000,295706000,346837000,408784000,470957000,627969000,720585000,737000000,719000000,870000000,704000000,674000000,637000000,640000000,642000000,687000000,724000000,- -,707000000
36,Other Current Assets,142103000,153295000,187608000,542019000,467844000,429161000,46011000,52624000,74640000,110035000,99592000,109659000,202244000,189393000,162560000,308616000,242188000,329000000,189000000,179000000,133000000,398000000,274000000,194000000,214000000,221000000,322000000,6190000000,316000000
37,Total Current Assets,780751000,816948000,871292000,834311000,754237000,878972000,848332000,1031254000,883822000,840253000,875209000,1049196000,1194185000,1173418000,1487999000,1674370000,1910773000,1822000000,1814000000,1757000000,1691000000,1953000000,1801000000,1805000000,2006000000,1909000000,2586000000,8617000000,2709000000
38,PP&E,6692322000,6873577000,7056004000,7073963000,7100638000,620934000,7703683000,8162777000,8296686000,8544494000,9733124000,10102470000,10582832000,11060737000,11784097000,12699787000,13524984000,13865000000,14169000000,14516000000,15138000000,15996000000,17274000000,17858000000,19134000000,21978000000,21929000000,89436000000,24450000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5280000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,487000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5767000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,45553000,47811000,535411000,555333000,596987000,622656000,517660000,619172000,135000000,675000000,658000000,768000000,822000000,808000000,858000000,970000000,912000000,1089000000,1220000000,1382000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,532000000,525000000,519000000,525000000,522000000,525000000,239000000,240000000,244000000,- -,240000000
44,Other Non-Current Assets,775610000,768692000,817064000,825572000,957992000,7725792000,1096689000,1185077000,1237793000,1255706000,1414480000,1096382000,1357557000,1824148000,1851873000,1644189000,1469164000,2172000000,1287000000,1256000000,1135000000,1256000000,1316000000,1470000000,1515000000,1691000000,3304000000,17895000000,4201000000
45,Total Non-Current Assets,7467932000,7642269000,7873068000,7899535000,8058630000,8346726000,8800372000,9347854000,9534479000,9845753000,11195415000,11734263000,12495722000,13481872000,14258626000,14861636000,15613320000,16172000000,16663000000,16955000000,17560000000,18599000000,19920000000,20711000000,21858000000,24821000000,26566000000,114318000000,30273000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8248683000,8459217000,8744360000,8733846000,8812867000,9225698000,9648704000,10379108000,10418301000,10686006000,12070624000,12783459000,13689907000,14655290000,15746625000,16536006000,17524093000,17994000000,18477000000,18712000000,19251000000,20552000000,21721000000,22516000000,23864000000,26730000000,29152000000,122935000000,32982000000
48,Accounts Payable,62507000,60334000,76326000,64307000,79822000,- -,232157000,333739000,249973000,259985000,297331000,339930000,456918000,426457000,501695000,536884000,523075000,483000000,525000000,509000000,537000000,691000000,688000000,730000000,912000000,978000000,830000000,2312000000,768000000
49,Short-Term Debt,58998000,180678000,474698000,385606000,382218000,471209000,96824000,281343000,9996000,36991000,- -,225005000,861923000,788316000,535152000,275074000,100000000,200000000,500000000,250000000,- -,454000000,200000000,561000000,- -,201000000,251000000,311000000,751000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83544000,58186000,95536000,32816000,75156000,48671000,46707000,34000000,66000000,38000000,44000000,39000000,38000000,87000000,54000000,44000000,78000000,152000000,98000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000000,85000000,85000000,87000000,88000000,88000000,92000000,96000000,100000000,- -,106000000
52,Other Current Liabilities,509748000,441344000,398039000,542270000,413707000,592582000,392255000,285274000,340967000,1448469000,871495000,287530000,401684000,355235000,387995000,455974000,574603000,421000000,382000000,299000000,310000000,372000000,619000000,519000000,396000000,684000000,879000000,9456000000,1077000000
53,Total Current Liabilities,631253000,682356000,949063000,992183000,875747000,1063791000,721236000,900356000,600936000,1745445000,1168826000,852465000,1720525000,1570008000,1424842000,1267932000,1197678000,1104000000,1492000000,1143000000,932000000,1604000000,1595000000,1898000000,1400000000,1959000000,2060000000,12079000000,2702000000
54,Long-Term Debt,2362852000,2455013000,2374948000,2354006000,2473202000,2646566000,3190378000,3425527000,3742346000,2851562000,3377148000,4164536000,3869465000,4148185000,4750196000,5604791000,6082489000,5987000000,5632000000,5929000000,6228000000,6171000000,6649000000,6531000000,7624000000,7920000000,8270000000,45073000000,9002000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,33924000,36567000,25056000,- -,- -,- -,- -,- -,- -,- -,- -,15000000,47000000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1495036000,1498360000,1496963000,1471758000,1475138000,1474582000,1500711000,1650704000,1625886000,1663829000,1787385000,2238868000,2369009000,2404098000,2339551000,2505838000,2546886000,2989000000,3489000000,3483000000,3678000000,3946000000,4311000000,4719000000,4842000000,4989000000,5220000000,- -,5541000000
57,Other Non-Current Liabilities,792794000,768683000,792612000,1201622000,1238211000,1256692000,930004000,889237000,820744000,765994000,1827526000,- -,- -,- -,- -,- -,2117206000,2178000000,2179000000,2074000000,2211000000,2347000000,2893000000,2764000000,2878000000,4094000000,4356000000,33258000000,4733000000
58,Total Non-Current Liabilities,4650682000,4722056000,4664523000,5027386000,5186551000,5377840000,5621093000,5965468000,6188976000,5315309000,7028626000,6428460000,6238474000,6552283000,7089747000,8110629000,10746581000,11154000000,11300000000,11486000000,12132000000,12511000000,13853000000,14014000000,15344000000,17003000000,17846000000,78331000000,19276000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14284203000,13950084000,14992871000,16317335000,17839266000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5000000,5000000,4000000,4000000,4000000,107000000,119000000,66000000
61,Total Liabilities,5281935000,5404412000,5613586000,6019569000,6062298000,6441631000,6342329000,6865824000,6789912000,7060754000,8197452000,8708208000,9432135000,10010596000,10652430000,10996569000,11944259000,12258000000,12792000000,12629000000,13064000000,14115000000,15448000000,15912000000,16744000000,18962000000,19906000000,90410000000,21978000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,465047000,465046000,612407000,683512000,685127000,343373000,343000000,343000000,685000000,685000000,685000000,281000000,281000000,291000000,291000000,291000000,291000000,291000000
63,Common Stock,2526348000,2614405000,2690374000,- -,- -,- -,- -,- -,- -,- -,- -,3610204000,3792726000,4032287000,4410683000,- -,1221500000,1222000000,1222000000,1222000000,1222000000,1222000000,1222000000,1222000000,1222000000,1222000000,1222000000,5268000000,1222000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1753797000,1900526000,2022000000,1956000000,1976000000,2044000000,2255000000,2461000000,2518000000,2647000000,2775000000,3001000000,11311000000,3448000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5097930000,-5313731000,-5636475000,-5950373000,-6259720000,-5383000,-7000000,-18000000,-27000000,-26000000,-29000000,-32000000,-30000000,-26000000,-28000000,-23000000,-19000000,-13000000
66,Other Total Stockholders Equity,440400000,440400000,440400000,2714277000,2750569000,2784067000,3306375000,3513284000,3628389000,3625252000,3873172000,5097930000,5313731000,5636475000,5950373000,10045360000,2119818000,2156000000,2182000000,2227000000,2262000000,2304000000,2341000000,2613000000,2986000000,3508000000,4755000000,-6750000000,6056000000
67,Total Stockholders Equity,2966748000,3054805000,3130774000,2714277000,2750569000,2784067000,3306375000,3513284000,3628389000,3625252000,3873172000,4075251000,4257772000,4644694000,5094195000,5539437000,5579834000,5736000000,5685000000,6083000000,6187000000,6437000000,6273000000,6604000000,7120000000,7768000000,9246000000,10101000000,11004000000
68,Total Liabilities And Stockholders Equity,8248683000,8459217000,8744360000,8733846000,8812867000,9225698000,9648704000,10379108000,10418301000,10686006000,12070624000,12783459000,13689907000,14655290000,15746625000,16536006000,17524093000,17994000000,18477000000,18712000000,19251000000,20552000000,21721000000,22516000000,23864000000,26730000000,29152000000,100511000000,32982000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22424000000,- -
70,Total Liabilities & Equity,8248683000,8459217000,8744360000,8733846000,8812867000,9225698000,9648704000,10379108000,10418301000,10686006000,12070624000,12783459000,13689907000,14655290000,15746625000,16536006000,17524093000,17994000000,18477000000,18712000000,19251000000,20552000000,21721000000,22516000000,23864000000,26730000000,29152000000,122935000000,32982000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3153/000009212212000016/0000092122-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212213000014/0000092122-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212214000012/0000092122-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212215000015/0000092122-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212216000126/0000092122-16-000126-index.htm,- -,https://www.sec.gov/Archives/edgar/data/3153/000009212218000012/0000092122-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212219000006/0000092122-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212220000017/0000092122-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212221000006/0000092122-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/3153/000009212222000003/0000092122-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,376053000,382573000,387963000,398092000,390525000,391866000,416344000,436072000,402253000,475794000,491077000,504768000,532184000,542464000,615727000,655422000,708999000,746000000,747000000,743000000,751000000,800000000,811000000,839000000,866000000,945000000,4754000000,3496000000,1253000000
74,Depreciation and Amortization,356499000,359791000,371382000,383438000,394572000,425167000,403332000,412998000,437490000,465325000,467085000,497010000,498914000,524313000,548959000,599767000,636788000,694000000,749000000,767000000,816000000,724000000,780000000,844000000,888000000,917000000,951000000,3905000000,1005000000
75,Deferred Income Tax,- -,- -,- -,- -,-12429000,79430000,29039000,66166000,-21569000,48828000,153154000,252858000,106765000,-27562000,21269000,126538000,-65907000,410000000,459000000,164000000,198000000,270000000,388000000,407000000,409000000,174000000,197000000,-241000000,245000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3105000,3767000,5000000,6000000,9000000,10000000,11000000,15000000,- -,- -,- -,- -,113000000,- -
77,Change in Working Capital,92430000,-14906000,-212363000,-80101000,36362000,-63309000,311915000,3802000,151988000,-1188078000,611575000,490348000,-723071000,129750000,459747000,343281000,306657000,4905000,-396000000,292000000,145000000,-410000000,-143000000,-299000000,699000000,-656000000,576000000,-3988000000,12000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-222000000,- -
79,Inventory,51630000,-38946000,18425000,36234000,13709000,2880000,- -,- -,- -,- -,- -,3901000,-61567000,-53890000,-66383000,-151935000,-98591000,-21000000,14000000,-153000000,165000000,44000000,43000000,34000000,- -,-82000000,23000000,- -,-6000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12778000,80951000,-49725000,78508000,-8751000,-18767000,-54000000,11000000,-77000000,35000000,157000000,3000000,73000000,71000000,24000000,-41000000,-90000000,-109000000
81,Other Working Capital,149498000,134592000,-77771000,-157872000,-121510000,-184819000,127096000,130898000,282886000,-905192000,-293617000,196731000,-526340000,-396590000,63157000,406438000,713095000,718000000,322000000,614000000,759000000,349000000,206000000,-93000000,606000000,-50000000,526000000,-3462000000,103000000
82,Other Non-Cash Items,-11011000,-23558000,162978000,172351000,-53593000,-29450000,-440874000,-92004000,-132256000,1148960000,-604797000,-734027000,493304000,-212954000,-495859000,-548792000,13008000,-486905000,483000000,-599000000,-6000000,314000000,291000000,158000000,-1025000000,501000000,-4699000000,3411000000,-462000000
83,Cash Provided by Operating Activities,813971000,703900000,709960000,873780000,755437000,803704000,719756000,827034000,837906000,950829000,1118094000,1010957000,908096000,956011000,1149843000,1179321000,1603312000,1373000000,2048000000,1376000000,1914000000,1709000000,2142000000,1949000000,1837000000,1881000000,1779000000,6696000000,2053000000
84,CAPEX,-435843000,-536785000,-551781000,- -,- -,- -,- -,- -,- -,- -,- -,-797014000,-860807000,-933306000,-1157186000,-1477643000,-1233580000,-903000000,-977000000,-867000000,-1107000000,-1457000000,-1367000000,-1272000000,-1882000000,-2158000000,-1757000000,- -,-1753000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-224716000,-286551000,-334275000,-300503000,-244662000,-237000000,-350000000,-194000000,-280000000,-245000000,-439000000,-352000000,-237000000,-279000000,-261000000,- -,-638000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223850000,285685000,333409000,299636000,243796000,236000000,366000000,193000000,279000000,244000000,438000000,351000000,237000000,278000000,260000000,- -,637000000
88,Other Investing Activites,-741000,-26632000,-53321000,-486143000,-502958000,-663072000,-881262000,-919995000,-568243000,-664610000,-697763000,-25794000,-71052000,-42611000,-95285000,-121234000,5650000,-83000000,-28000000,-66000000,-34000000,-109000000,-120000000,-165000000,6000000,-130000000,-205000000,64000000,-207000000
89,Cash Used for Investing Activites,-436584000,-563417000,-605102000,-486143000,-502958000,-663072000,-881262000,-919995000,-568243000,-664610000,-697763000,-822808000,-932725000,-976783000,-1253337000,-1599744000,-1228796000,-987000000,-989000000,-934000000,-1142000000,-1567000000,-1488000000,-1438000000,-1876000000,-2289000000,-1963000000,64000000,-1961000000
90,Debt Repayment,-1015000,-96660000,-791000,-907000,257849000,- -,- -,- -,- -,-883000,-943000,-726445000,-225005000,-742109000,-891263000,- -,-274995000,-250000000,-754000000,-951000000,-250000000,-254000000,-784000000,-200000000,-561000000,-120000000,-200000000,- -,-471000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,15642000,- -,50000000,40000000,40000000,120000000,229000000,300000000,202500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-49000000,- -,- -,- -,-184888000,112000000,- -,- -,- -,-70000000,- -,- -,- -,- -,- -,-125000000,- -,- -,- -,-39000000,-39000000,-39000000,-412000000,- -,-238000000,- -,- -,- -,- -
93,Dividends Paid,-284999000,-293431000,-312118000,-374165000,-362124000,-382696000,-415388000,-433210000,-408842000,-445176000,-448381000,-460939000,-432659000,-464918000,-496380000,-532199000,-562270000,-625000000,-813000000,-684000000,-644000000,-550000000,-602000000,-765000000,-714000000,-801000000,-844000000,-2685000000,-984000000
94,Other Financing Activites,-52769000,261051000,205991000,-15594000,51054000,240355000,462121000,520943000,145046000,216769000,-940000,1000944000,585054000,1100866000,1320214000,732187000,600084000,275000000,698000000,1025000000,319000000,679000000,1065000000,680000000,1676000000,1098000000,1809000000,2360000000,1893000000
95,Cash Used/Provided by Financing Activities,-387783000,-129040000,-106918000,-390666000,-238109000,-30341000,46733000,87733000,-248154000,-299290000,-400264000,-146440000,-32610000,13839000,161571000,374988000,-34681000,-600000000,-869000000,-649000000,-614000000,-164000000,-733000000,-285000000,163000000,177000000,765000000,-325000000,438000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-10396000,11443000,-2060000,-3029000,14370000,110291000,-114773000,-5228000,21509000,-13071000,20067000,41709000,-57239000,-6933000,58077000,-45435000,339835000,-214000000,190000000,-207000000,158000000,-22000000,-79000000,226000000,124000000,-231000000,581000000,-910000000,530000000
98,Cash at the End of Period,3233000,14676000,12616000,9587000,23957000,134248000,19475000,14247000,35756000,22685000,42752000,84461000,22472000,15539000,73616000,28181000,368016000,154000000,344000000,137000000,295000000,273000000,194000000,420000000,544000000,313000000,894000000,1068000000,1060000000
99,Cash at the Beginning of Period,13629000,3233000,14676000,12616000,9587000,23957000,134248000,19475000,14247000,35756000,22685000,42752000,79711000,22472000,15539000,73616000,28181000,368000000,154000000,344000000,137000000,295000000,273000000,194000000,420000000,544000000,313000000,1978000000,530000000
