,https://roic.ai/company/OBCI,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350737/0000350737-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073797000002/0000350737-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073798000002/0000350737-98-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/350737/000035073701000015/0000350737-01-000015-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073702000026/0000350737-02-000026-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350737/000035073709000011/0000350737-09-000011-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073710000008/0000350737-10-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/350737/000114420412018741/0001144204-12-018741-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390013001468/0001213900-13-001468-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390014001908/0001213900-14-001908-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390015002276/0001213900-15-002276-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390016012017/0001213900-16-012017-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390017003152/0001213900-17-003152-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390018003739/0001213900-18-003739-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390019005188/0001213900-19-005188-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390020007739/0001213900-20-007739-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390021018281/0001213900-21-018281-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390022016505/0001213900-22-016505-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,1000000,400000,800000,10000,400000,123515,82000,1093826,42923,988106,204543,71080,750901,527056,494973,615044,585357,1508385,3071887,3062729,2468415,4070445,2418484,1401047,6125322,11123726,12684935
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1000000,400000,800000,10000,400000,123515,82000,1093826,42923,988106,204543,71080,750901,527056,494973,615044,585357,1508385,3071887,3062729,2468415,4070445,2418484,1401047,6125322,11123726,12684935
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2200000,2200000,2300000,2800000,3591231,3286848,3190357,4333023,4652144,2027162,2026870,1974654,1966223,2144265,2266695,3058219,3487530,4950058,5565316,6143131,6121895,6548260,6704676,8144930,9823043,9544133
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2500000,3200000,3700000,3700000,4506987,4296183,4541150,5315741,5218431,6260813,5647933,5993657,6564909,6663246,7725580,9627798,9256589,7367894,8109333,7914950,8600689,9074426,12085813,9555071,13175756,16819253
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,300000,290000,400000,277137,145354,369622,193372,214492,510074,218151,285126,365982,504384,417606,489965,586526,685772,968143,1068155,1013952,3760573,3343518,2820120,1737212,3305970
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,5300000,5400000,6500000,6300000,7300000,8498870,7810385,9194955,9885059,11073173,9002592,7964034,9004338,9424170,9806868,11024925,13761339,14839030,16075611,17705521,17594651,19806981,21801743,23535054,26645443,35859737,42354291
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,300000,2100000,4100000,4400000,4500000,5643550,6002445,6977003,7506586,7337600,7310640,6800176,6235812,5780395,5464356,5421787,5213333,5327909,5116441,5172882,5356388,4895973,9291667,9649237,9690417,10370882,16360218
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,500000,400000,400000,400000,400000,353431,330439,330439,330439,330439,330439,330439,330439,330439,330439,- -,- -,819194,920269,1095458,1037968,967688,897408,2050212,1949947,1665299,1380652
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,500000,400000,400000,400000,400000,353431,330439,330439,330439,330439,330439,330439,330439,330439,330439,947814,870642,819194,920269,1095458,1037968,967688,897408,2050212,1949947,1665299,1380652
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,600000,4100000,2300000,1700000,1300000,914413,886937,2147840,581100,657132,259351,434710,363028,1095181,390396,287772,33442,24350,130803,6550,- -,- -,- -,- -,- -,- -,182543
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1400000,6600000,6800000,6500000,6200000,6911394,7219821,9455282,8418125,8325171,7900430,7565325,6929279,7206015,6185191,6657373,6117417,6171453,6167513,6274890,6394356,5863661,10189075,11699449,11640364,12036181,17923413
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,6700000,12000000,13300000,12800000,13500000,15410264,15030206,18650237,18303184,19398344,16903022,15529359,15933617,16630185,15992059,17682298,19878756,21010483,22243124,23980411,23989007,25670642,31990818,35234503,38285807,47895918,60277704
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,500000,600000,700000,900000,900000,2119865,2163245,1833895,1305484,2251287,1256640,943907,1010263,894193,1741309,1417959,1162143,1431457,1013829,1439868,1101720,1512020,1807120,1472230,1047385,1966010,2877623
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2000000,1900000,3600000,3300000,3200000,4605306,4136854,4851766,5448964,4983112,4580852,2736060,2339906,3384537,763053,490127,1250430,389075,403074,417577,432601,259503,220779,406070,468654,479534,826131
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,539628,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45295
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,200000,100000,400000,120356,138709,296422,261439,435200,512977,363669,511758,883354,1191987,2004588,1243052,997093,1198749,1140060,1117268,1120255,831300,1128498,1313031,1250362,946277
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2600000,2700000,4500000,4300000,4500000,6845527,6438808,6982083,7015887,7669599,6350469,4043636,3861927,5162084,3696349,3912674,3655625,2817625,2615652,2997505,2651589,2891778,2859199,3006798,2829070,3695906,4650031
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,4400000,4100000,4200000,3892445,3718876,6562093,5677692,5580250,6261856,4550190,3988978,3434491,2937206,2507985,1939362,1512754,1109680,692104,259503,- -,4050605,4502509,4130867,3651333,7843832
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111200,183139,205610,260000,- -,- -,- -,- -,- -,81030,250191,230478,237635,258682,365012,213367,153895,280349,311374,380218,347723
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19532,8081,- -,69315,50426,31188,11596,280232,261390,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-100000,4800000,4400000,4000000,4100000,3892445,3830076,6745232,5883302,5840250,6261856,4550190,3988978,3434491,2937206,2589015,2189553,1762764,1355396,950786,693830,263793,4235688,4794454,4722473,4292941,8191555
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37552,19532,8081,87862,69315,50426,31189,378325,368927,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2500000,7500000,8900000,8300000,8600000,10737972,10268884,13727315,12899189,13509849,12612325,8593826,7850905,8596575,6633555,6501689,5845178,4580389,3971048,3948291,3345419,3155571,7094887,7801252,7551543,7988847,12841586
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41060,42399,48058,49608,54178,58493,76213,78718,78868,80538,82051,84584,87499,87499,89142,89834,91469,92546,93382,94428,94818,95040
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1400000,1200000,1300000,1800000,1128448,1234832,845005,1190076,1324630,-488563,-213838,440691,594609,1648087,3666211,6058848,8021136,9482128,11090189,11550883,13105523,15159802,17399776,20431156,29290477,36555708
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-500000,-600000,-300000,-1200000,-1424868,-1896777,-2398404,-3047255,-3728122,-4479401,-5260154,-5452770,-6199949,-6867278,-271939,-7966792,-8532717,-9256754,-9917059,-10741961,-11575732,-12419095,-13420301,-13757397,-294324,-292336
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,2900000,3600000,3800000,3500000,4300000,4927652,5380868,6428263,7211566,8237809,9200168,12333312,13016073,13560082,14497157,- -,15574559,16599978,17730729,18769848,19744832,20893811,22062678,23360394,23966077,10816100,11077706
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,4200000,4500000,4400000,4500000,4900000,4672292,4761322,4922922,5403995,5888495,4290697,6935533,8082712,8033610,9358504,10877493,13751199,16175896,18043602,20032120,20643588,22515071,24895931,27433251,30734264,39907071,47436118
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,6700000,12000000,13300000,12800000,13500000,15410264,15030206,18650237,18303184,19398344,16903022,15529359,15933617,16630185,15992059,17379182,19596377,20756285,22014650,23980411,23989007,25670642,31990818,35234503,38285807,47895918,60277704
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303116,282379,254198,228474,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,6700000,12000000,13300000,12800000,13500000,15410264,15030206,18650237,18303184,19398344,16903022,15529359,15933617,16630185,15992059,17682298,19878756,21010483,22243124,23980411,23989007,25670642,31990818,35234503,38285807,47895918,60277704
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/350737/0000350737-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073797000002/0000350737-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073798000002/0000350737-98-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/350737/000035073701000015/0000350737-01-000015-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073702000026/0000350737-02-000026-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350737/000035073709000011/0000350737-09-000011-index.html,https://www.sec.gov/Archives/edgar/data/350737/000035073710000008/0000350737-10-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/350737/000114420412018741/0001144204-12-018741-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390013001468/0001213900-13-001468-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390014001908/0001213900-14-001908-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390015002276/0001213900-15-002276-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390016012017/0001213900-16-012017-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390017003152/0001213900-17-003152-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390018003739/0001213900-18-003739-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390019005188/0001213900-19-005188-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390020007739/0001213900-20-007739-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390021018281/0001213900-21-018281-index.htm,https://www.sec.gov/Archives/edgar/data/350737/000121390022016505/0001213900-22-016505-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,200000,200000,200000,400000,200000,600000,700000,500000,400000,-200000,100000,400000,-244823,52849,134518,345071,134554,-1813193,392057,725001,153918,1053478,2018124,2392637,1962288,1460992,2048077,460694,2095171,2603534,2795249,3498714,9616683,8403968
74,Depreciation and Amortization,- -,100000,100000,100000,100000,100000,- -,100000,100000,200000,200000,300000,300000,410855,494901,601064,674955,735103,762943,780753,785064,787460,709855,689379,754854,701569,782962,843116,916317,974587,955161,1175267,1289531,1373337,1489215
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231040,-10137,-1287,-37648,104355,-26310,-59472,126454,31025,68844,-32495
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268318,378845,395100,276993,318110,356085,162225,305780,324145,330823,275540,312610,407860
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,2700000,- -,-700000,- -,800000,-1146657,-281766,841295,656300,534402,-751451,1268275,1222013,-880325,1848433,1001732,2993463,1915691,1438554,1248057,235046,1972141,2027341,1585712,3288117,8347458,5540429
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-340356,-124255,-307365,-366645,-1502797,-517352,-244513,163520,-230942,-729936,-1479704,-1389520,-1528317
79,Inventory,- -,- -,- -,200000,-300000,-100000,-500000,-300000,-100000,-500000,-700000,-500000,- -,-776666,210804,-244967,-774591,97310,-1042381,612879,-345724,-811752,-152462,-1113687,-1849295,375918,1858393,-716439,191797,-700736,-479873,-3021201,2570645,-3666860,24450
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-545402,- -,- -,- -,- -,410300,295100,-334890,-424845,918625,911613
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,2700000,2700000,2000000,2000000,2800000,1653343,1371577,2212872,2869172,3403574,2652123,3920398,5142411,4262086,6110519,7112251,10105714,12021405,13459959,14708016,14943062,16915203,18942544,20528256,23816373,32163831,37704260
82,Other Non-Cash Items,- -,-300000,-100000,-200000,100000,-500000,-500000,-700000,-3000000,-800000,- -,-400000,-1000000,612860,1151933,-1306262,-2775989,519510,975341,-542373,-1270985,645009,-1075656,-1935867,-6146131,-2071773,-1433867,-2671334,-1078784,-2295784,-2922432,-4795426,-2391199,-13511727,-10303280
83,Cash Provided by Operating Activities,- -,- -,200000,100000,600000,-200000,100000,100000,300000,-200000,-700000,- -,500000,-367765,1417917,270615,-1099663,1923569,-826360,1898712,1461093,706062,2804428,2152213,620963,2774631,2565464,1786353,799853,3025585,2928277,1218079,5991728,6207205,5505697
84,CAPEX,- -,- -,- -,- -,-100000,-100000,-100000,-200000,-200000,-2000000,-2200000,-500000,-100000,-1516108,-830804,-1575622,-1204538,-566117,-735983,-270289,-95665,-332043,-393816,-809146,-472005,-770737,-672569,-830817,-1009663,-443892,-5275732,-1735498,-793474,-1836756,-7442783
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97927,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,242339,32422,-1152110,1034899,124442,1851,- -,- -,- -,- -,-177036,36842,- -,-160000,-150000,43098,- -,-2747360,-376722,-75000,486657,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-100000,-100000,-100000,-200000,-200000,-2000000,-2200000,-500000,400000,-1273769,-798382,-2727732,-169639,-441675,-734132,-270289,-95665,-332043,-393816,-907073,-435163,-770737,-672569,-980817,-954663,-443892,-8023092,-1735498,-793474,-1350099,-7442783
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3118769,-702147,-3560270,-400411,-407095,-414524,-437988,-451148,-1315756,-3082185,-1448442,-2067237,-753284
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,200000,-3400000,- -,- -,- -,- -,- -,- -,- -,229674,92919,145620,190516,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
