,https://roic.ai/company/FOXF,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,52490000,65141000,84385000,112609000,131941000,182912000,199903000,231947000,- -,281813000,724670000
38,PP&E,- -,9005000,11789000,13418000,20329000,26094000,32262000,43636000,64788000,- -,125851000,230755000
39,Goodwill,- -,31372000,31372000,31925000,58745000,57653000,57781000,88438000,88850000,- -,93527000,323299000
40,Intangible Assets,- -,36633000,32153000,27284000,65184000,60849000,57855000,90044000,83974000,- -,81949000,197021000
41,Intangible Assets,- -,68005000,63525000,59209000,123929000,118502000,115636000,178482000,172824000,- -,175476000,520320000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,1065000,- -,- -,- -,- -,- -,34998000
44,Other Non-Current Assets,- -,456000,1665000,717000,1570000,895000,4790000,3220000,15695000,- -,26176000,4986000
45,Total Non-Current Assets,- -,77466000,76979000,73344000,145828000,146556000,152688000,225338000,253307000,- -,327503000,791059000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,129956000,142120000,157729000,258437000,278497000,335600000,425241000,485254000,- -,609316000,1515729000
48,Accounts Payable,- -,16570000,19551000,24254000,30371000,32072000,36240000,40813000,55086000,- -,55144000,99984000
49,Short-Term Debt,- -,4000,3000000,- -,2837000,2837000,3625000,5038000,6923000,- -,6242000,26595000
50,Tax Payable,- -,- -,9000,2469000,1405000,1949000,4490000,6562000,6691000,- -,4295000,34845000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,188000,- -,172000,- -
52,Other Current Liabilities,- -,12808000,17448000,20247000,27617000,39108000,47171000,37350000,34588000,- -,30255000,103283000
53,Total Current Liabilities,- -,29382000,39999000,44501000,60825000,74017000,87036000,83201000,96785000,- -,91813000,229862000
54,Long-Term Debt,- -,15289000,56250000,8000000,47163000,45825000,63058000,93605000,52503000,- -,68000000,360953000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,569000,645000,479000,- -,11584000,- -
56,Deferred Tax Liabilities,- -,17539000,15155000,12005000,7414000,- -,4082000,2669000,15328000,- -,25725000,- -
57,Other Non-Current Liabilities,- -,451000,1132000,931000,14229000,6395000,-4082000,10286000,-1046000,- -,-10006000,30832000
58,Total Non-Current Liabilities,- -,33279000,72537000,20936000,68806000,52220000,63627000,107205000,67264000,- -,95303000,391785000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6242000,9095000
61,Total Liabilities,- -,62661000,112536000,65437000,129631000,126237000,150663000,190406000,164049000,- -,187116000,621647000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,30000,33000,36000,37000,37000,37000,38000,38000,- -,39000,42000
64,Retained Earnings,- -,33171000,-19619000,4483000,32169000,57123000,92798000,135926000,219686000,- -,312491000,558799000
65,Other Comprehensive Income/Loss,- -,- -,1000,-15000,-406000,-1953000,-2193000,-168000,-784000,- -,150000,4876000
66,Other Total Stockholders Equity,- -,34094000,49169000,87788000,97006000,97053000,94295000,99039000,102265000,- -,109520000,330365000
67,Total Stockholders Equity,- -,67295000,29584000,92292000,128806000,152260000,184937000,234835000,321205000,- -,422200000,894082000
68,Total Liabilities And Stockholders Equity,- -,129956000,142120000,157729000,258437000,278497000,335600000,425241000,485254000,- -,609316000,1515729000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,129956000,142120000,157729000,258437000,278497000,335600000,425241000,485254000,- -,609316000,1515729000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1424929/000119312514093860/0001193125-14-093860-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492915000006/0001424929-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492916000069/0001424929-16-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492917000009/0001424929-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492918000006/0001424929-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492919000015/0001424929-19-000015-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1424929/000142492920000014/0001424929-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492922000013/0001424929-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,10769000,13538000,14210000,24102000,27686000,24954000,35675000,43128000,84040000,- -,93033000,163818000
74,Depreciation and Amortization,6150000,6598000,7204000,7759000,9730000,13063000,8754000,10280000,14729000,- -,17736000,45111000
75,Deferred Income Tax,-1374000,-2430000,-3184000,-3236000,-5399000,-4364000,-3016000,-1160000,-19286000,- -,-10615000,-17095000
76,Stock Based Compensation,524000,1030000,2148000,2500000,4044000,4907000,6223000,8727000,7322000,- -,6864000,13914000
77,Change in Working Capital,-5826000,22411000,2034000,14742000,11900000,6140000,37952000,20826000,18460000,- -,54838000,-142089000
78,Accounts Receivable,-1984000,-1153000,-7029000,-8510000,-635000,-5510000,-17915000,3554000,-19034000,- -,-12061000,-20230000
79,Inventory,-11087000,-1476000,-4723000,-7447000,-1204000,-11128000,-2991000,-8322000,-22998000,- -,-17009000,-146532000
80,Accounts Payable,3904000,636000,2981000,3614000,1406000,2138000,9610000,2243000,15193000,- -,-869000,10304000
81,Other Working Capital,697000,23108000,25142000,39884000,51784000,57924000,95876000,116702000,135162000,- -,190000000,26789000
82,Other Non-Cash Items,-35000,-20109000,-5045000,-23248000,-15056000,-14678000,-46743000,-33629000,-39873000,- -,-87026000,1631000
83,Cash Provided by Operating Activities,10208000,21038000,17367000,22619000,32905000,30022000,38845000,48172000,65392000,- -,74830000,65290000
84,CAPEX,-2425000,-3067000,-5763000,-3932000,-4625000,-10894000,-12024000,-16864000,-30203000,- -,-53526000,-54846000
85,Acquisitions Net,- -,- -,- -,-1117000,-70938000,-2414000,-198000,-53592000,- -,- -,-6804000,-51881000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,7000,11000,-833000,7000,-1266000,145000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2418000,-3056000,-5761000,-5042000,-76829000,-13163000,-12222000,-70456000,-30203000,- -,-60330000,-106727000
90,Debt Repayment,-10984000,-39168000,-16039000,-111608000,-56600000,-38338000,-21022000,-10750000,-64335000,- -,-59866000,-50431000
91,Common Stock Issued,- -,- -,7204000,39857000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1102000,- -,-29000,- -,-571000,-5236000,-7947000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-67000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4472000,20798000,64159000,55844000,103902000,29522000,30799000,32757000,20904000,- -,60725000,26331000
95,Cash Used/Provided by Financing Activities,-7614000,-18370000,-11705000,-15907000,46731000,-14052000,1830000,22007000,-43431000,- -,859000,-24100000
96,Effect of Forex Changes on Cash,- -,- -,- -,-2000,-278000,-75000,-117000,944000,253000,- -,419000,-541000
97,Net Change In Cash,176000,-388000,-99000,1668000,2529000,2732000,28336000,667000,-7989000,- -,15778000,-66078000
98,Cash at the End of Period,502000,114000,15000,1683000,4212000,6944000,35280000,35947000,27958000,- -,43736000,179686000
99,Cash at the Beginning of Period,326000,502000,114000,15000,1683000,4212000,6944000,35280000,35947000,- -,27958000,245764000
100,Free Cash Flow,7783000,17971000,11604000,18687000,28280000,19128000,26821000,31308000,35189000,- -,21304000,10444000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1424929/000119312514093860/0001193125-14-093860-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492915000006/0001424929-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492916000069/0001424929-16-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492917000009/0001424929-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492918000006/0001424929-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492919000015/0001424929-19-000015-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1424929/000142492920000014/0001424929-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1424929/000142492922000013/0001424929-22-000013-index.htm
102,false,,,,,,,,,,,,
