,https://roic.ai/company/MMX,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5432,0.1897,0.2199,-0.1289,0.3943,0.3938
19,Total Other Income Expenses (Gains),-7594118,-2977153,-510402,126981,-11302,-557,1226,1164,-5189346,-178926,-2540326,-2174895,9403000,11910000
20,Income Before Tax,-3702355,-1525073,- -,- -,-1266608,-302249,-48518,-211960,-6138680,2765805,2956616,-6589756,29779000,34568000
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-3.5126,0.1781,0.1183,-0.1924,0.5762,0.6008
22,Income Tax expense (Gain),206877,- -,- -,- -,- -,- -,-24190,-6704,53567,632207,966205,1201895,6060000,10496000
23,Net Income,-3909232,-1525073,-794487,-173199,-1266608,-302249,-24329,-205256,-6192248,2133598,1990411,-7791651,23719000,24072000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.5432,0.1374,0.0796,-0.2275,0.4590,0.4184
25,EPS,-3.49,-1.98,-1.01,-0.15,-1.02,-0.19,-0.02,-0.14,-0.30,0.03,0.01,-0.07,0.19,0.30
26,EPS Diluted,-3.49,-1.98,-1.01,-0.15,-1.02,-0.19,-0.02,-0.14,-0.30,0.03,0.01,-0.07,0.17,0.30
27,Weighted Average Shares Outstanding,1119635,775684,776437,1051698,1238069,1446079,1491621,1490543,20875500,73151839,92784359,108363047,126730500,80359723
28,Weighted Average Shares Outstanding Diluted,1119635,775684,776437,1051698,1238069,1446079,1491621,1490543,20875500,75913585,97986598,108363047,135975539,80359723
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1773250/000110465920037345/0001104659-20-037345-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1356061,187310,816301,248551,50888,31048,12731,39417,9494085,8072366,5024853,4800692,7760000,17059000
32,Short-Term Investments,1160172,387648,130865,- -,- -,- -,- -,- -,- -,- -,- -,- -,18238000,2678000
33,Cash and Short-Term Investments,2516233,574958,947166,248551,50888,31048,12731,39417,9494085,8072366,5024853,4800692,25998000,19737000
34,Net Receivables,167924,23133,37825,7417,16134,1518,4432,1590,2234953,6138370,5734822,18939423,13533000,7889000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,22009,36579,24254,19838,47663,10075,8442,991,11160,172565,267982,479993,2153000,8629000
37,Total Current Assets,2706166,634670,1009245,275806,114685,42640,25605,41998,11740198,14383300,11027657,24220108,41684000,36255000
38,PP&E,927895,870113,1135347,1666898,- -,- -,- -,- -,73039952,105499006,198406790,279795907,334210000,314907000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,42511,66423,6784,- -,- -,- -,- -,- -,- -,- -,4465394,7107260,1000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,820676,824505,818361,1753000,- -
44,Other Non-Current Assets,0,- -,- -,- -,- -,- -,- -,- -,- -,683101,820834,1392515,960000,41373000
45,Total Non-Current Assets,970406,936537,1142131,1666898,- -,- -,- -,- -,73039952,107002783,204517522,289114042,337923000,356280000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3676572,1571207,2151376,1942704,114685,42640,25605,41998,84780150,121386083,215545179,313334150,379607000,392535000
48,Accounts Payable,- -,- -,- -,- -,- -,217406,235643,295328,3608362,1929225,1957372,3216793,3285000,2910000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,93110,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,69935,1266799,759895,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3333000,- -
52,Other Current Liabilities,211527,154639,254414,163847,246756,- -,- -,- -,69935,1266799,759895,1188881,- -,- -
53,Total Current Liabilities,211527,154639,254414,163847,246756,217406,235643,388438,3678298,3196024,2717268,4405674,6618000,2910000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9469583,12319846,68605265,32000000,12500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5311000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9469583,12319846,68605265,32000000,17811000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24639692,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,211527,154639,254414,163847,246756,217406,235643,388438,3678298,12665606,15037114,73010940,38618000,20721000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,11638712,10756565,8908647,80005952,110069185,180927733,239381598,318530000,336801000
64,Retained Earnings,-7983092,-9431240,-10564842,-10677973,-12570392,-12295898,-11232689,-9283274,-6192248,-4485089,-2150467,-11247292,7479000,24731000
65,Other Comprehensive Income/Loss,-184923,-694031,4816,- -,360329,- -,- -,- -,981326,3136382,21730799,12188904,-63748000,10282000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,482419,266086,28186,6306822,0,- -,-0,78728000,- -
67,Total Stockholders Equity,3465045,1416567,1896963,1778857,-132071,-174766,-210038,-346440,81101853,108720477,200508065,240323210,340989000,371814000
68,Total Liabilities And Stockholders Equity,3676572,1571207,2151376,1942704,114685,42640,25605,41998,84780150,121386083,215545179,313334150,379607000,392535000
69,Minority Interest,- -,- -,0,0,- -,0,-0,-0,0,- -,0,0,- -,- -
70,Total Liabilities & Equity,3676572,1571207,2151376,1942704,114685,42640,25605,41998,84780150,121386083,215545179,313334150,379607000,392535000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1773250/000110465920037345/0001104659-20-037345-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-3909232,-1525073,-794487,-173199,-1266608,-302249,-24329,-205256,-6192248,2133598,1990411,-7791651,23719000,24072000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,1113000,8556000,17520000,17651000,- -,- -
75,Deferred Income Tax,206877,- -,- -,- -,- -,- -,-24190,-6704,- -,632207,966205,1201895,6060000,10496000
76,Stock Based Compensation,395754,20876,- -,62958,198055,75612,- -,35009,647273,1607157,1220972,1696433,1688000,1694000
77,Change in Working Capital,-77670,149255,73689,-32436,38950,31248,32555,107533,1173276,-6245726,-1250340,-2803402,-3527000,2194000
78,Accounts Receivable,- -,- -,-13860,- -,-8314,- -,- -,- -,-2226769,-4033400,-1456649,-2767422,-6393000,5468000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1005918,-297000,141000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3333000,-3333000
82,Other Non-Cash Items,2859858,1122788,510402,-126981,0,0,-0,0,2994581,-1288406,-3713402,11231237,5060000,4748000
83,Cash Provided by Operating Activities,-524412,-232155,-210396,-269658,-1029602,-195389,-15963,-69418,-264117,5394831,16733846,21185513,33000000,43204000
84,CAPEX,-1731717,-1168059,-673877,-558342,- -,- -,- -,- -,-13392,-25882306,-20014243,-73925758,-15436000,-81098000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11196000
86,Purchases of Investments,-1086340,-46777,-349065,- -,- -,- -,- -,- -,- -,- -,-3532228,-3085886,-7137000,-393000
87,Sales/Maturities of Investments,124383,291307,1322544,289899,- -,- -,- -,- -,- -,- -,3068214,- -,- -,- -
88,Other Investing Activites,-1731717,-1168059,-673877,-558342,- -,- -,- -,- -,3720,827038,- -,- -,21945000,51000000
89,Cash Used for Investing Activites,-2693675,-923529,299603,-268444,- -,- -,- -,- -,-9672,-25055268,-20478257,-77011644,-628000,-19295000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-129455,- -,-24402546,-5423840,-57000000,-43000000
91,Common Stock Issued,- -,- -,533049,- -,508001,177882,- -,- -,4382114,7855268,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6361000,-6820000
94,Other Financing Activites,1532685,- -,- -,-25007,310441,- -,- -,98250,5495127,9865606,25682254,61468915,33815000,35221000
95,Cash Used/Provided by Financing Activities,1532685,- -,533049,-25007,818442,177882,- -,98250,9747787,17720875,1279707,56045075,-29546000,-14599000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,20088,-135984,36710,-657598,106000,-11000
97,Net Change In Cash,-1685402,-1155683,622255,-563109,-211160,-17506,-15963,28832,- -,-2075547,-2427994,-438654,2932000,9299000
98,Cash at the End of Period,1356061,187310,816301,248551,50888,31048,12731,39417,9494085,8072366,5024853,4800692,7760000,17059000
99,Cash at the Beginning of Period,3041463,1342994,194045,811659,262048,48554,28694,10585,- -,10147913,7452846,5239346,4828000,7760000
100,Free Cash Flow,-2256130,-1400213,-884273,-828000,-1029602,-195389,-15963,-69418,-277509,-20487475,-3280398,-52740245,17564000,-37894000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1773250/000110465920037345/0001104659-20-037345-index.html,- -,- -
102,false,,,,,,,,,,,,,,
