,https://roic.ai/company/OZON,2017,2018,2019,2020
51,Deferred Revenue,- -,890000000,1402000000,4825000000
52,Other Current Liabilities,- -,1478000000,3610000000,2493000000
53,Total Current Liabilities,- -,14260000000,29506000000,60211000000
54,Long-Term Debt,- -,286000000,7956000000,14590000000
55,Deferred Revenue,- -,- -,- -,406000000
56,Deferred Tax Liabilities,- -,298000000,156000000,66000000
57,Other Non-Current Liabilities,- -,- -,- -,78000000
58,Total Non-Current Liabilities,- -,584000000,8112000000,15140000000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,69000000,9609000000,15490000000
61,Total Liabilities,- -,14844000000,37618000000,75351000000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,4000000,6000000,11000000
64,Retained Earnings,- -,-12618000000,-32826000000,-55345000000
65,Other Comprehensive Income/Loss,- -,366000000,1584000000,1152000000
66,Other Total Stockholders Equity,- -,15484000000,32053000000,133439000000
67,Total Stockholders Equity,- -,3236000000,817000000,79257000000
68,Total Liabilities And Stockholders Equity,- -,18080000000,38435000000,154608000000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,18080000000,38435000000,154608000000
71,SEC Link,undefined,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,- -,-5661000000,-19363000000,-22264000000
74,Depreciation and Amortization,- -,487000000,2590000000,4963000000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,- -,82000000,190000000,644000000
77,Change in Working Capital,- -,1517000000,1015000000,20119000000
78,Accounts Receivable,- -,-572000000,-1146000000,-482000000
79,Inventory,- -,-3539000000,-5577000000,-5005000000
80,Accounts Payable,- -,6355000000,8776000000,20885000000
81,Other Working Capital,- -,278000000,1051000000,- -
82,Other Non-Cash Items,- -,-24000000,1256000000,3108000000
83,Cash Provided by Operating Activities,- -,-3599000000,-14312000000,6570000000
84,CAPEX,- -,-2565000000,-4768000000,-6840000000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,-391000000,203000000,134000000
89,Cash Used for Investing Activites,- -,-2863000000,-4539000000,-6580000000
90,Debt Repayment,- -,-201000000,-1177000000,-2795000000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,- -,5471000000,20512000000,105362000000
95,Cash Used/Provided by Financing Activities,- -,5270000000,19335000000,102567000000
96,Effect of Forex Changes on Cash,- -,73000000,-174000000,-1849000000
97,Net Change In Cash,- -,-1119000000,310000000,100708000000
98,Cash at the End of Period,- -,2684000000,2994000000,103702000000
99,Cash at the Beginning of Period,- -,3803000000,2684000000,2994000000
100,Free Cash Flow,- -,-6164000000,-19080000000,-270000000
101,SEC Link,undefined,- -,- -,- -
102,Forex Rate,undefined,0.01434,0.01614,0.01347
