,https://roic.ai/company/ALT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,277295,1016334,-13587303,-36415113,-32279760,-34849277,-3797573,-4920115,-11718353,-9955395,-3440705,193854173,-46425390,-39171152,-20520131,-49044477,-97091
24,Net Income ratio,0.4731,0.5501,-0.9279,-1.1065,-1.1717,-1.6600,-0.1565,-0.1954,-0.6542,-0.9770,-0.3234,37.0644,-4.3233,-3.7916,-3.5371,-5.9920,-22.0161
25,EPS,12.00,27.00,-564.01,-477.00,-351.00,-324.00,-24.00,-30.00,-69.00,-51.00,-15.00,891.01,-120.30,-15.16,-1.60,-1.91,-0.00
26,EPS Diluted,9.00,21.00,-564.01,-477.00,-351.00,-324.00,-24.00,-30.00,-69.00,-51.00,-15.00,885.01,-120.30,-15.16,-1.60,-1.91,-0.00
27,Weighted Average Shares Outstanding,26230,38832,31475,76479,91916,107697,157770,161075,168862,191782,213284,217687,426832,2802382,13124951,25637023,25637023
28,Weighted Average Shares Outstanding Diluted,27743,45447,31475,76479,91916,107697,157770,161075,168862,191782,213284,218857,426832,2802382,13124951,25637023,25637023
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1326190/000114420406012780/0001144204-06-012780-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420407016258/0001144204-07-016258-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000104746908003864/0001047469-08-003864-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000110465909021825/0001104659-09-021825-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420410015963/0001144204-10-015963-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420411018968/0001144204-11-018968-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420412013807/0001144204-12-013807-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420413014894/0001144204-13-014894-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420414014930/0001144204-14-014930-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420415015393/0001144204-15-015393-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420416087617/0001144204-16-087617-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420417014528/0001144204-17-014528-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000119312518103623/0001193125-18-103623-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000156459019010429/0001564590-19-010429-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000156459020013377/0001564590-20-013377-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000156459021008422/0001564590-21-008422-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000155837022003659/0001558370-22-003659-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1398181,675305,40582643,19752404,2673567,11785327,11236771,12701517,10480979,18643351,15569813,153994922,8769465,33718713,8962686,115917807,190300776
32,Short-Term Investments,- -,- -,12153945,3190912,3137071,- -,- -,- -,- -,- -,- -,66810962,- -,- -,28277386,100005558,- -
33,Cash and Short-Term Investments,1398181,675305,52736588,22943316,5810638,11785327,11236771,12701517,10480979,18643351,15569813,220805884,8769465,33718713,37240072,215923365,190300776
34,Net Receivables,- -,- -,5245763,10281589,17432771,9684300,7895840,6547083,3626638,408087,1475339,999145,10167896,4470911,1650275,12372995,428836
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,68688569,71063439,492294,12917125,973214,2114102,480395,547245,231491,199194,181714,464797,4528506,1182510,504402,1960849,13396503
37,Total Current Assets,70086750,71738744,58474645,46142030,24216623,23583729,19613006,19795845,14339108,19250632,17226866,222269826,23465867,39372134,39394749,230257209,204126115
38,PP&E,- -,- -,6571024,5313219,6262388,1178416,788666,483976,386068,325772,233694,120944,603146,1342802,1802529,1960745,1447786
39,Goodwill,- -,- -,- -,2502909,2348453,2348453,2348453,2348453,2348453,2348453,2348453,2348453,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,1312991,925489,928577,- -,- -,- -,- -,- -,- -,- -,38722270,13851924,12732195,12823846,12418967
41,Intangible Assets,- -,- -,1312991,3428398,3277030,2348453,2348453,2348453,2348453,2348453,2348453,2348453,38722270,13851924,12732195,12823846,12418967
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,252472,1507623,308973,88447,53384,113130,65660,53384,53384,- -,238917,183682,128547,73413,871976
45,Total Non-Current Assets,- -,- -,8136487,10249240,9848391,3615316,3190503,2945559,2800181,2727609,2635531,2469397,39564333,15378408,14663271,14858004,14738729
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,70086750,71738744,66611132,56391270,34065014,27199045,22803509,22741404,17139289,21978241,19862397,224739223,63030200,54750542,54058020,245115213,218864844
48,Accounts Payable,6996,160514,1393664,3870871,1934119,3128203,1445700,1697280,1128172,391396,521122,926529,129075,372860,18232,612293,2034493
49,Short-Term Debt,- -,- -,4000000,17377505,- -,- -,- -,2080504,2091736,746146,- -,- -,49702,71596,259449,356716,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3157563,- -,- -,- -,- -,5409639
51,Deferred Revenue,- -,591579,- -,- -,- -,- -,- -,1381755,341723,- -,- -,- -,19753,19753,61563,19753,- -
52,Other Current Liabilities,403539,294102,3602886,14624757,11532101,3035284,3169642,2328877,3234350,1444247,1658319,203911014,3641171,4063196,3583755,11031685,16241437
53,Total Current Liabilities,410535,1046195,8996550,35873133,13466220,6163487,4615342,7488416,6795981,2581789,2179441,204837543,3839701,4527405,3922999,12020447,18275930
54,Long-Term Debt,- -,- -,16668458,928117,17426513,- -,- -,1704108,730279,- -,- -,- -,599927,501174,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159671,- -,250000,250000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5938402,58500,- -,- -,- -
57,Other Non-Current Liabilities,- -,13578807,374040,626581,1287917,8824853,2336361,1875040,2277317,1122307,1033839,442589,3814909,1350897,4364875,6968443,1454203
58,Total Non-Current Liabilities,- -,13578807,17042498,1554698,18714430,8824853,2336361,3579148,3007596,1122307,1033839,442589,10512909,1910571,4614875,7218443,1454203
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1744128,1824840,- -
61,Total Liabilities,410535,14625002,26039048,37427831,32180650,14988340,6951703,11067564,9803577,3704096,3213280,205280132,14352610,6437976,8537874,19238890,19730133
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9281767,- -,- -,- -,- -
63,Common Stock,1165,1165,2209,2589,2813,4624,4824,4835,5230,6360,6438,6773,1810,876,1508,3697,4090
64,Retained Earnings,277295,1293629,-87402551,-123817664,-156310642,-189891884,-193689457,-198609572,-210327925,-220283320,-223724025,-29869852,-77684839,-116855991,-137376122,-186420599,-293171423
65,Other Comprehensive Income/Loss,- -,- -,1481779,386351,1188156,1250497,1010522,-217328,-218710,-229528,-1857256,-1052,-4576986,-5040163,-5020156,-5044517,-5040163
66,Other Total Stockholders Equity,69397755,55818948,126490647,142392163,157004037,200847468,208525917,210495905,217877117,238780633,242223960,49323222,121655838,170207844,187914916,417337742,497342207
67,Total Stockholders Equity,69676215,57113742,40572084,18963439,1884364,12210705,15851806,11673840,7335712,18274145,16649117,19459091,48677590,48312566,45520146,225876323,199134711
68,Total Liabilities And Stockholders Equity,70086750,71738744,66611132,56391270,34065014,27199045,22803509,22741404,17139289,21978241,19862397,224739223,63030200,54750542,54058020,245115213,218864844
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,70086750,71738744,66611132,56391270,34065014,27199045,22803509,22741404,17139289,21978241,19862397,224739223,63030200,54750542,54058020,245115213,218864844
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1326190/000114420406012780/0001144204-06-012780-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420407016258/0001144204-07-016258-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000104746908003864/0001047469-08-003864-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000110465909021825/0001104659-09-021825-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420410015963/0001144204-10-015963-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420411018968/0001144204-11-018968-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420412013807/0001144204-12-013807-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420413014894/0001144204-13-014894-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420414014930/0001144204-14-014930-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420415015393/0001144204-15-015393-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420416087617/0001144204-16-087617-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420417014528/0001144204-17-014528-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000119312518103623/0001193125-18-103623-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000156459019010429/0001564590-19-010429-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000156459020013377/0001564590-20-013377-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000156459021008422/0001564590-21-008422-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000155837022003659/0001558370-22-003659-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,277295,1016334,-13587303,-36415113,-32279760,-34849277,-3797573,-4920115,-11718353,-9955395,-3440705,193854173,-46425390,-39171152,-20520131,-49044477,-97091
74,Depreciation and Amortization,- -,- -,655210,813891,872304,1020376,461073,303916,182487,149958,141604,143437,139019,302369,387321,298057,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,195529,61746,61746,61746,61822,- -,-6149794,-58500,- -,- -
76,Stock Based Compensation,- -,- -,- -,3041146,3444275,- -,2565961,1894099,1362716,1655647,613017,2240015,1443492,773248,1264231,2576006,- -
77,Change in Working Capital,277039,1016334,-21214454,-39209198,481506,6669839,-2422578,-2690235,-4764302,9125716,-1621418,2384858,2193883,15218563,627021,182765012,-32386577
78,Accounts Receivable,- -,- -,- -,-2195580,-4897917,1830221,1195456,898567,2920445,3218551,-1067252,476194,-1948655,344301,2440759,-3589024,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-60704,-1939185,1245975,-1682461,251561,-569120,-736776,129726,405407,-2623896,243062,-354628,594060,- -
81,Other Working Capital,69676215,70692549,49478095,10268897,10750403,17420242,14997664,12307429,7543127,16668843,15047425,17432283,19626166,34844729,35471750,218236762,185850185
82,Other Non-Cash Items,- -,-504242,20509835,58570700,-663975,12294485,-4615436,2893900,7707502,-9511714,1029775,2823933,22434917,19637858,8698061,-171031234,32483668
83,Cash Provided by Operating Activities,554334,1528426,-13636712,-13198574,-28145650,-14864577,-7808553,-2322906,-7168204,-8474042,-3215981,201508238,-20214079,-9388908,-9601997,-34436636,- -
84,CAPEX,- -,- -,-882345,-509315,-1029428,-374581,-71439,- -,-84579,-92269,-86507,-30687,-166327,-1015634,-28999,-342421,- -
85,Acquisitions Net,- -,- -,- -,-11556117,-7000000,- -,- -,- -,- -,- -,- -,- -,13684535,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-12054695,-17169388,-8406697,- -,- -,- -,- -,- -,- -,-66847586,- -,- -,-28257379,-128159098,- -
87,Sales/Maturities of Investments,- -,- -,- -,26132421,8450339,3130588,- -,- -,- -,- -,- -,- -,- -,- -,- -,56406564,- -
88,Other Investing Activites,-68636069,-2251302,- -,-7000000,- -,- -,1758960,67400,3500,8000,7600,687,153749,-25735,-27772,-138464,87523000
89,Cash Used for Investing Activites,-68636069,-2251302,-12937040,-10102399,-7985786,2756007,1687521,67400,-81079,-84269,-78907,-66877586,13725843,-1001142,-28286378,-72094955,87523000
90,Debt Repayment,- -,- -,- -,-4000000,-9538016,-11439,- -,- -,- -,- -,-750007,- -,-212431,-1549702,-292002,-632000,- -
91,Common Stock Issued,75225100,- -,12,12660442,4951718,21571891,5781328,38984,6018891,18141935,973132,3801720,- -,37402994,12668784,172319358,- -
92,Common Stock Repurchased,-5745184,- -,57907248,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2386285,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,4019918,-6250000,23375766,-100000,- -,3681087,-988764,-1408411,- -,-889,16053805,-977102,155324,41799354,65098000
95,Cash Used/Provided by Financing Activities,69479916,- -,61927178,2410442,18789468,21460452,5781328,3720071,5030127,16733524,223125,3800831,15841374,32489905,12532106,213486712,65098000
96,Effect of Forex Changes on Cash,- -,- -,117005,60292,263131,-240122,-208852,181,-1382,-12841,-1775,-6374,74387,-50365,- -,- -,- -
97,Net Change In Cash,- -,-722876,35470431,-20830239,-17078837,9111760,-548556,1464746,-2220538,8162372,-3073538,138425109,9427526,22049490,-25356269,106955121,74383000
98,Cash at the End of Period,1398181,675305,40582643,19752404,2673567,11785327,11236771,12701517,10480979,18643351,15569813,153994922,12303639,34353129,8996860,115951981,- -
99,Cash at the Beginning of Period,- -,1398181,5112212,40582643,19752404,2673567,11785327,11236771,12701517,10480979,18643351,15569813,2876113,12303639,34353129,8996860,115951981
100,Free Cash Flow,554334,1528426,-14519057,-13707889,-29175078,-15239158,-7879992,-2322906,-7252783,-8566311,-3302488,201477551,-20380406,-10404542,-9630996,-34779057,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1326190/000114420406012780/0001144204-06-012780-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420407016258/0001144204-07-016258-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000104746908003864/0001047469-08-003864-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000110465909021825/0001104659-09-021825-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420410015963/0001144204-10-015963-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420411018968/0001144204-11-018968-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420412013807/0001144204-12-013807-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420413014894/0001144204-13-014894-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420414014930/0001144204-14-014930-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420415015393/0001144204-15-015393-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420416087617/0001144204-16-087617-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000114420417014528/0001144204-17-014528-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000119312518103623/0001193125-18-103623-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000156459019010429/0001564590-19-010429-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000156459020013377/0001564590-20-013377-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000156459021008422/0001564590-21-008422-index.htm,https://www.sec.gov/Archives/edgar/data/1326190/000155837022003659/0001558370-22-003659-index.htm
102,false,,,,,,,,,,,,,,,,,
