,https://roic.ai/company/KBNT,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,1933118,5514296,2881004,6234850
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,36,36,118,143
64,Retained Earnings,-4270544,-8403417,-16289077,-26580790
65,Other Comprehensive Income/Loss,- -,- -,- -,- -
66,Other Total Stockholders Equity,2717538,3362724,40770504,52031050
67,Total Stockholders Equity,-1552970,-5040657,24481545,25450260
68,Total Liabilities And Stockholders Equity,380148,473639,27362549,31685110
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,380148,473639,27362549,31685110
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1729750/000110465921043439/0001104659-21-043439-index.htm,https://www.sec.gov/Archives/edgar/data/1729750/000141057822000664/0001410578-22-000664-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-3729097,-4132873,-7885660,-10291713
74,Depreciation and Amortization,- -,17131,315202,452136
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,764820,27275,468216,- -
77,Change in Working Capital,656363,28983893,3723502,-4617359
78,Accounts Receivable,-221612,333641,-1342643,-940477
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,565779,425474,20797,1508516
81,Other Working Capital,-5413735,23570158,27293660,22676301
82,Other Non-Cash Items,1114567,-27587826,-1426376,6782144
83,Cash Provided by Operating Activities,-1193347,-2692400,-4805116,-7674792
84,CAPEX,- -,-105013,-1316336,-39414
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,-100000,-1300336,-1633072
89,Cash Used for Investing Activites,- -,-105013,-1316336,-1672486
90,Debt Repayment,-74306,-90427,-245000,- -
91,Common Stock Issued,752368,- -,30857981,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,513700,2914107,256814,9473113
95,Cash Used/Provided by Financing Activities,1191762,2823680,30869795,9473113
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-1585,26267,24748343,125835
98,Cash at the End of Period,7518,33785,24782128,24907963
99,Cash at the Beginning of Period,9103,7518,33785,24782128
100,Free Cash Flow,-1193347,-2797413,-6121452,-7714206
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1729750/000110465921043439/0001104659-21-043439-index.htm,https://www.sec.gov/Archives/edgar/data/1729750/000141057822000664/0001410578-22-000664-index.htm
102,false,,,,
