,https://roic.ai/company/SXC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,304280000,304834000,32400000,39600000,41900000,37400000,33700000,6300000,2800000,5500000,17200000,- -,20400000
45,Total Non-Current Assets,1358027000,1526018000,1527800000,1539100000,1762000000,1589300000,1929400000,1804800000,1748900000,1710300000,1445500000,37000000,1343500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1546686000,1718466000,1941800000,2011000000,2243900000,1998100000,2255500000,2120900000,2060100000,2045300000,1753800000,266000000,1615400000
48,Accounts Payable,74958000,106350000,181900000,132900000,154300000,110900000,99900000,98600000,115500000,115000000,142400000,104000000,126000000
49,Short-Term Debt,- -,- -,3300000,3300000,41000000,- -,1100000,4900000,2600000,3900000,2900000,3000000,3200000
50,Tax Payable,5834000,7704000,10600000,14800000,11200000,10400000,8400000,10400000,10500000,9100000,9900000,9800000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,2100000,2500000,1700000,3000000,300000,159000000,- -
52,Other Current Liabilities,445611000,949374000,96300000,110800000,87700000,98900000,62600000,66000000,58600000,49200000,49200000,-108000000,53000000
53,Total Current Liabilities,520569000,1055724000,281500000,247000000,283000000,209800000,165700000,172000000,178400000,171100000,194800000,158000000,182200000
54,Long-Term Debt,- -,- -,723100000,720100000,648100000,651500000,997700000,849200000,861100000,834500000,780000000,673000000,610400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,55044000,85930000,261100000,361500000,376600000,321900000,349000000,352500000,257800000,254700000,147600000,- -,169000000
57,Other Non-Current Liabilities,155455000,147471000,116200000,107500000,103900000,109500000,120300000,107300000,103200000,102300000,113000000,- -,118400000
58,Total Non-Current Liabilities,210499000,233401000,1100400000,1189100000,1128600000,1082900000,1467000000,1309000000,1222100000,1191500000,1040600000,673000000,897800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1627000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3200000
61,Total Liabilities,731068000,1289125000,1381900000,1436100000,1411600000,1292700000,1632700000,1481000000,1400500000,1362600000,1235400000,1112000000,1080000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,700000,700000,700000,700000,700000,700000,700000,700000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,20000000,118800000,143800000,13900000,-36400000,-22000000,100100000,127400000,-30100000,- -,-23400000
65,Other Comprehensive Income/Loss,-291241000,-336573000,-6500000,-7900000,-14100000,-21500000,-19800000,-19000000,-20100000,-13100000,-14400000,-17100000,-16700000
66,Other Total Stockholders Equity,1033235000,706114000,511300000,427500000,427000000,438600000,345400000,351400000,345500000,348100000,535100000,485100000,537200000
67,Total Stockholders Equity,741994000,369541000,525500000,539100000,557400000,431700000,289900000,311100000,426200000,463100000,491600000,469000000,498100000
68,Total Liabilities And Stockholders Equity,1473062000,1658666000,1907400000,1975200000,1969000000,1724400000,1922600000,1792100000,1826700000,1825700000,1727000000,1581000000,1578100000
69,Minority Interest,73624000,59800000,34400000,35800000,274900000,273700000,332900000,328800000,233400000,219600000,26800000,-1315000000,37300000
70,Total Liabilities & Equity,1546686000,1718466000,1941800000,2011000000,2243900000,1998100000,2255500000,2120900000,2060100000,2045300000,1753800000,266000000,1615400000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1514705/000119312512089428/0001193125-12-089428-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000119312513071243/0001193125-13-071243-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000144530514000685/sxc-2013123110xk.htm,https://www.sec.gov/Archives/edgar/data/1514705/000162828015000974/sxc-2014123110xk.htm,https://www.sec.gov/Archives/edgar/data/1514705/000162828016011369/0001628280-16-011369-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470517000001/0001514705-17-000001-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470518000003/0001514705-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470519000003/0001514705-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470520000003/0001514705-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470521000003/0001514705-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1514705/000151470522000004/0001514705-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,189684000,139199000,60600000,98800000,25000000,-126100000,-22000000,14400000,122400000,26200000,-152300000,8000000,43400000
74,Depreciation and Amortization,- -,- -,- -,80800000,96000000,96100000,109100000,114200000,128200000,141600000,143800000,133700000,133900000
75,Deferred Income Tax,15174000,15426000,24000000,34300000,1600000,-6000000,-5600000,3100000,-87200000,-3400000,-63100000,12100000,9300000
76,Stock Based Compensation,- -,- -,- -,6700000,7600000,9800000,7200000,6500000,4800000,3100000,4500000,3800000,6100000
77,Change in Working Capital,-74195000,-531366000,995776000,92400000,-26000000,100000,-38600000,-16300000,-11300000,31100000,-50400000,-42500000,3400000
78,Accounts Receivable,-38577000,34733000,-18300000,-3800000,-18100000,9900000,18800000,3700000,-7800000,-6900000,15900000,13200000,- -
79,Inventory,-27078000,-31000,-110100000,56100000,29200000,-10500000,23200000,29400000,-18500000,600000,-36600000,21800000,-1100000
80,Accounts Payable,- -,- -,- -,-49000000,20000000,-27500000,-17900000,-800000,11700000,-700000,23500000,-38000000,29500000
81,Other Working Capital,-331910000,-863276000,132500000,224900000,198900000,199000000,160400000,144100000,132800000,163900000,113500000,71000000,5500000
82,Other Non-Cash Items,56583000,673344000,-979076000,-106900000,47100000,138400000,91000000,97200000,-8400000,-12800000,299400000,42700000,37000000
83,Cash Provided by Operating Activities,187246000,296603000,101300000,206100000,151300000,112300000,141100000,219100000,148500000,185800000,181900000,157800000,233100000
84,CAPEX,-215194000,-215657000,-238100000,-80600000,-145600000,-118300000,-75800000,-63700000,-75600000,-100300000,-110100000,-73900000,-98600000
85,Acquisitions Net,- -,- -,-37600000,-3500000,-181000000,- -,-191700000,-12800000,- -,4000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,20500000,20500000,- -,- -,- -,- -
88,Other Investing Activites,-215106000,-213921000,-238100000,-80600000,-145600000,-125200000,-93500000,-43900000,-75100000,-99800000,-109800000,-75300000,-99300000
89,Cash Used for Investing Activites,-215106000,-213921000,-275700000,-84100000,-326600000,-125200000,-285200000,-36200000,-54600000,-95800000,-109800000,-75300000,-99300000
90,Debt Repayment,- -,- -,-3900000,-3300000,-225000000,-356500000,-298100000,-165500000,-1039400000,-252800000,-463700000,-743800000,-1275600000
91,Common Stock Issued,- -,- -,- -,- -,237800000,90500000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-9400000,-10900000,-85100000,-48500000,- -,- -,- -,-36300000,-7000000,- -
93,Dividends Paid,-18611000,-20931000,- -,- -,- -,-3800000,-28000000,- -,- -,- -,-5100000,-19900000,-20100000
94,Other Financing Activites,26230000,-24400000,265700000,2400000,167800000,273200000,503100000,-6800000,931700000,188300000,384400000,639500000,1177300000
95,Cash Used/Provided by Financing Activities,7619000,-45331000,261800000,-10300000,169700000,-81700000,128500000,-172300000,-107700000,-64500000,-120700000,-131200000,-118400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-20241000,37351000,87400000,111700000,-5600000,-94600000,-15600000,10600000,-13800000,25500000,-48600000,-48700000,15400000
98,Cash at the End of Period,2741000,40092000,127500000,239200000,233600000,139000000,123400000,134000000,120200000,145700000,97100000,48400000,63800000
99,Cash at the Beginning of Period,22982000,2741000,40100000,127500000,239200000,233600000,139000000,123400000,134000000,120200000,145700000,97100000,48400000
100,Free Cash Flow,-27948000,80946000,-136800000,125500000,5700000,-6000000,65300000,155400000,72900000,85500000,71800000,83900000,134500000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1514705/000119312512089428/0001193125-12-089428-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000119312513071243/0001193125-13-071243-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000144530514000685/sxc-2013123110xk.htm,https://www.sec.gov/Archives/edgar/data/1514705/000162828015000974/sxc-2014123110xk.htm,https://www.sec.gov/Archives/edgar/data/1514705/000162828016011369/0001628280-16-011369-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470517000001/0001514705-17-000001-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470518000003/0001514705-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470519000003/0001514705-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470520000003/0001514705-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514705/000151470521000003/0001514705-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1514705/000151470522000004/0001514705-22-000004-index.htm
102,false,,,,,,,,,,,,,
