,https://roic.ai/company/RPTX,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,439000,3308000,5592000
55,Deferred Revenue,- -,- -,8142000,55934000,39613000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,34404000,135997000,- -,- -
58,Total Non-Current Liabilities,- -,34404000,144578000,59242000,45205000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,1064000,4005000,7313000
61,Total Liabilities,- -,36309000,148824000,70256000,80294000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,384313000,480699000
64,Retained Earnings,- -,-22725000,-49941000,-103358000,-210266000
65,Other Comprehensive Income/Loss,- -,-490000,-1096000,- -,- -
66,Other Total Stockholders Equity,- -,830000,4907000,5875000,17988000
67,Total Stockholders Equity,- -,-22384000,-46129000,286830000,288421000
68,Total Liabilities And Stockholders Equity,- -,13925000,102695000,357086000,368715000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,13925000,102695000,357086000,368715000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1808158/000156459021011011/0001564590-21-011011-index.htm,https://www.sec.gov/Archives/edgar/data/1808158/000095017022002560/0000950170-22-002560-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-7796000,-14283000,-27216000,-53417000,-106908000
74,Depreciation and Amortization,102000,407000,605000,897000,1471000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,34000,306000,511000,2537000,12829000
77,Change in Working Capital,239000,10111000,6588000,42421000,4790000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,730000,10000,833000,17000,152000
81,Other Working Capital,32000,10143000,8142000,48585000,-8681000
82,Other Non-Cash Items,1414000,-9159000,1083000,1478000,2022000
83,Cash Provided by Operating Activities,-6007000,-12618000,-18429000,-6084000,-85796000
84,CAPEX,-1156000,-583000,-1304000,-2237000,-1690000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-7526000,-7476000
87,Sales/Maturities of Investments,- -,- -,- -,- -,7450000
88,Other Investing Activites,- -,- -,- -,- -,40000
89,Cash Used for Investing Activites,-1156000,-583000,-1304000,-9763000,-1676000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,232043000,94288000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,30458000,- -,103243000,15799000,1269000
95,Cash Used/Provided by Financing Activities,30458000,- -,103243000,247842000,95557000
96,Effect of Forex Changes on Cash,7000,-259000,566000,-604000,-54000
97,Net Change In Cash,23302000,-13460000,84076000,231391000,8031000
98,Cash at the End of Period,24389000,10929000,95005000,326396000,334427000
99,Cash at the Beginning of Period,1087000,24389000,10929000,95005000,326396000
100,Free Cash Flow,-7163000,-13201000,-19733000,-8321000,-87486000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1808158/000156459021011011/0001564590-21-011011-index.htm,https://www.sec.gov/Archives/edgar/data/1808158/000095017022002560/0000950170-22-002560-index.htm
102,false,,,,,
