,https://roic.ai/company/EMYB,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1449794/000114036112018235/0001140361-12-018235-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979413000002/0001449794-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979414000004/0001449794-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1449794/000144979415000006/0001449794-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1449794/000144979416000038/0001449794-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979417000005/0001449794-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979418000002/0001449794-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979419000002/0001449794-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979420000002/0001449794-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979421000005/0001449794-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1449794/000144979422000005/0001449794-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10173000,28813000,22056000,53342000,34885000,18653000,15640000,18526000,23218000,32534000,27576000,38986000,130907000,15244000
32,Short-Term Investments,- -,- -,- -,- -,91857000,71288000,77197000,77253000,85598000,90296000,90748000,90829000,130940000,310264000
33,Cash and Short-Term Investments,10173000,28813000,22056000,53342000,126742000,89941000,92837000,95779000,108816000,122830000,118324000,129815000,261847000,325508000
34,Net Receivables,1197000,1615000,1503000,1568000,1578000,1533000,1599000,1637000,1749000,1983000,2178000,2048000,3136000,1096555000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,84903000,-4945000,-822000,750000,1000000,1000000,1000000,- -,1000000,-250455000,- -
37,Total Current Assets,- -,- -,- -,139813000,123375000,90652000,95186000,98416000,111565000,125813000,120502000,132863000,14528000,1422063000
38,PP&E,2231000,2465000,2398000,2095000,2095000,1882000,1515000,2258000,2109000,1929000,2174000,2123000,3346000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,54251000,72795000,89871000,92110000,91857000,71288000,77197000,77253000,85598000,90296000,90748000,90829000,130940000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,341462000,425682000,507013000,545196000,626111000,724961000,778928000,885963000,950304000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,435667000,519634000,580183000,623908000,705622000,812668000,871153000,978885000,1043256000,- -,- -
46,Other Assets,391083000,465189000,513884000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1427502000,211131000
47,Total Assets,391083000,465189000,513884000,575480000,643009000,670835000,719094000,804038000,924233000,996966000,1099387000,1176119000,1442030000,1633194000
48,Accounts Payable,2563000,1457000,941000,582000,327000,235000,349000,462000,813000,874000,1689000,3281000,1640000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,10000000,9000000,39306000,- -,- -,53995000,18067000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,-235000,-349000,-462000,- -,- -,-1689000,-3281000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,10000000,9000000,39306000,- -,- -,53995000,18067000,- -,- -
54,Long-Term Debt,23162000,17016000,13586000,13086000,12586000,3900000,1900000,3820000,- -,- -,- -,- -,14651000,14651000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,23162000,17016000,13586000,13086000,12586000,3900000,1900000,3820000,- -,- -,- -,- -,14651000,14651000
59,Other Liabilities,383874000,448528000,490741000,544233000,605568000,610680000,650662000,700451000,850955000,917197000,958167000,1058437000,1344507000,1525330000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,360712000,431512000,477155000,531147000,592982000,616780000,657762000,735937000,850955000,917197000,1012162000,1076504000,1329856000,1510679000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6891000,6941000,7157000,7171000,7239000,7324000,7358000,7408000,7453000,7492000,7530000,7544000,7637000,- -
64,Retained Earnings,-278000,2455000,6976000,11905000,17360000,22520000,28485000,35158000,41344000,47602000,56410000,65794000,76960000,91493000
65,Other Comprehensive Income/Loss,974000,1384000,296000,2388000,2282000,540000,1465000,1236000,-24000,19000,-1247000,1340000,2937000,-1194000
66,Other Total Stockholders Equity,22784000,22897000,22300000,22869000,23146000,23671000,24024000,24299000,24505000,24656000,24532000,24937000,24640000,32216000
67,Total Stockholders Equity,30371000,33677000,36729000,44333000,50027000,54055000,61332000,68101000,73278000,79769000,87225000,99615000,112174000,122515000
68,Total Liabilities And Stockholders Equity,391083000,465189000,513884000,575480000,643009000,670835000,719094000,804038000,924233000,996966000,1099387000,1176119000,1442030000,1633194000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,391083000,465189000,513884000,575480000,643009000,670835000,719094000,804038000,924233000,996966000,1099387000,1176119000,1442030000,1633194000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1449794/000114036112018235/0001140361-12-018235-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979413000002/0001449794-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979414000004/0001449794-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1449794/000144979415000006/0001449794-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1449794/000144979416000038/0001449794-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979417000005/0001449794-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979418000002/0001449794-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979419000002/0001449794-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979420000002/0001449794-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979421000005/0001449794-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1449794/000144979422000005/0001449794-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,1186000,2733000,4662000,5144000,5743000,5523000,6405000,7409000,7148000,7300000,10079000,10879000,12810000,16786000
74,Depreciation and Amortization,407000,475000,- -,- -,613000,612000,643000,605000,730000,671000,774000,829000,760000,- -
75,Deferred Income Tax,403000,-75000,- -,- -,-628000,-456000,-460000,-33000,77000,878000,16000,-238000,-558000,- -
76,Stock Based Compensation,- -,- -,- -,- -,39000,61000,98000,49000,76000,102000,310000,367000,286000,- -
77,Change in Working Capital,-810000,- -,- -,139813000,-16438000,-42723000,5534000,-27076000,52455000,14248000,-59306000,48289000,-100268000,1407535000
78,Accounts Receivable,- -,- -,- -,- -,-10000,45000,-66000,-38000,-112000,-234000,-195000,130000,-1088000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1554000,-1106000,- -,- -,-255000,-92000,114000,113000,351000,61000,815000,1592000,-1641000,- -
81,Other Working Capital,- -,- -,- -,139813000,123375000,80652000,86186000,59110000,111565000,125813000,66507000,114796000,14528000,1422063000
82,Other Non-Cash Items,558000,-3310000,-5028000,-145274000,17822000,44706000,-4541000,27555000,-51283000,-12778000,60965000,-45823000,100604000,-1424321000
83,Cash Provided by Operating Activities,1744000,-177000,-366000,-317000,7151000,7723000,7679000,8509000,9203000,10421000,12838000,14303000,13634000,- -
84,CAPEX,-176000,-709000,- -,- -,-613000,-399000,-276000,-1348000,-581000,-491000,-1019000,-778000,-1983000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-11803000,-32668000,- -,- -,-25836000,-12093000,-14801000,-20350000,-29288000,-37059000,-19495000,-19113000,-144744000,- -
87,Sales/Maturities of Investments,7886000,14830000,- -,- -,26687000,29372000,10165000,18496000,19077000,32185000,15056000,23451000,106290000,- -
88,Other Investing Activites,-44629000,-39542000,770000,1259000,-84790000,-60133000,-43498000,-79670000,-107216000,-60298000,-105211000,-56860000,-133335000,- -
89,Cash Used for Investing Activites,-48722000,-58089000,770000,1259000,-84552000,-43253000,-48410000,-82872000,-118008000,-65663000,-110669000,-53300000,-173772000,- -
90,Debt Repayment,- -,-10396000,- -,-500000,-500000,-8686000,-2000000,-4080000,-3820000,- -,- -,- -,-11245000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-3000,- -,- -,- -,- -,- -,- -,- -,-98000,-244000,-658000,- -,-765000,- -
93,Dividends Paid,- -,- -,-141000,-215000,-182000,-363000,-440000,-736000,-962000,-1042000,-1271000,-1495000,-1644000,- -
94,Other Financing Activites,55673000,83072000,-331000,-19000,61888000,32470000,41730000,82315000,118377000,65844000,93802000,52902000,265713000,- -
95,Cash Used/Provided by Financing Activities,55670000,72676000,-472000,-734000,61206000,23421000,39290000,77499000,113497000,64558000,91873000,51407000,252059000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,8692000,14410000,-68000,208000,-16195000,-12109000,-1441000,3136000,4692000,9316000,-5958000,12410000,91921000,- -
98,Cash at the End of Period,12054000,26464000,399000,607000,29940000,17831000,16390000,19526000,24218000,33534000,27576000,39986000,131907000,- -
99,Cash at the Beginning of Period,3362000,12054000,467000,399000,46135000,29940000,17831000,16390000,19526000,24218000,33534000,27576000,39986000,131907000
100,Free Cash Flow,1568000,-886000,-366000,-317000,6538000,7324000,7403000,7161000,8622000,9930000,11819000,13525000,11651000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1449794/000114036112018235/0001140361-12-018235-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979413000002/0001449794-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979414000004/0001449794-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1449794/000144979415000006/0001449794-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1449794/000144979416000038/0001449794-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979417000005/0001449794-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979418000002/0001449794-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979419000002/0001449794-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979420000002/0001449794-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/1449794/000144979421000005/0001449794-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1449794/000144979422000005/0001449794-22-000005-index.htm
102,false,,,,,,,,,,,,,,
