,https://roic.ai/company/AG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,200000,- -,1181394,-3100000,-900000,1100000,1263000,2293000,-7500000,6212000,4681000,3324000,-2849000,10913000,12027000,12072000,12554000
14,Depreciation and Amortization,2238,- -,- -,866,243991,1792780,2425792,2604130,3346447,9100000,15735000,25980000,43900000,61163000,75822000,80352000,78077000,94522000,67220000,1878000,118283000
15,EBITDA,-83342,-60827,223259,-1177785,-2556009,-3476281,-2295546,-7095870,5146447,55800000,154535000,139262000,62600000,-13562000,-45749000,109167000,-73000,-157612000,40223000,43679000,156087000
16,EBITDA ratio,-52.8437,-3689.7600,Infinity,-Infinity,-3.6514,-0.9312,-0.0530,-0.1710,0.0986,0.4761,0.6294,0.5255,0.2491,-0.0499,-0.1847,0.3638,-0.0003,-0.5110,0.1091,0.1191,0.2658
17,Operating Income,-94239,-40657,-372766,-1223351,-3199785,-5804965,-6081398,-3062907,4277778,45828183,139830000,106567000,22689000,-92988000,-120408000,28245000,-70996000,-249267000,-31986000,40357000,49202000
18,Operating Income ratio,-59.7532,-2466.2400,-Infinity,-Infinity,-4.5711,-1.5550,-0.1403,-0.0738,0.0819,0.3910,0.5695,0.4022,0.0903,-0.3418,-0.4861,0.0941,-0.2814,-0.8082,-0.0867,0.1101,0.0838
19,Total Other Income Expenses (Gains),-36685,-20170,-305506,-44699,199785,24882,178666,-3537093,-1577778,-228183,-2293000,4422000,3511000,12051000,-5844000,-2754000,-4305000,-13780000,-7038000,-10628000,-23952000
20,Income Before Tax,- -,- -,- -,- -,-3000000,-5780083,-5902731,-6600000,2700000,45600000,137537000,110989000,26200000,-80937000,-126252000,25491000,-75301000,-263047000,-39024000,29729000,25250000
21,Income Before Tax Ratio,- -,- -,- -,- -,-4.2857,-1.5484,-0.1362,-0.1590,0.0517,0.3891,0.5602,0.4188,0.1043,-0.2975,-0.5097,0.0849,-0.2985,-0.8529,-0.1058,0.0811,0.0430
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-183900,1398210,-1800000,-2800000,10600000,33963000,22091000,64400000,-19489000,-17828000,16890000,-22029000,-58883000,1450000,6642000,30173000
23,Net Income,-85580,-60827,-387753,-1243824,-3000000,-5085161,-7300941,-4800000,5500000,35000000,103574000,88898000,-38200000,-61448000,-108424000,8601000,-53272000,-204164000,-40474000,23087000,-4923000
24,Net Income ratio,-54.2627,-3689.7600,-Infinity,-Infinity,-4.2857,-1.3622,-0.1684,-0.1157,0.1054,0.2986,0.4219,0.3355,-0.1520,-0.2259,-0.4377,0.0287,-0.2112,-0.6620,-0.1097,0.0630,-0.0084
25,EPS,-0.03,-0.02,-0.07,-0.11,-0.14,-0.14,-0.13,-0.06,0.08,0.39,1.00,0.80,-0.33,-0.52,-0.84,0.05,-0.32,-1.11,-0.20,0.11,-0.02
26,EPS Diluted,-0.03,-0.02,-0.07,-0.11,-0.14,-0.14,-0.13,-0.06,0.07,0.37,0.96,0.79,-0.33,-0.52,-0.84,0.05,-0.32,-1.11,-0.20,0.11,-0.02
27,Weighted Average Shares Outstanding,2977818,3589270,5781735,10832314,22261433,35024657,56720099,71395164,83389253,93587581,103276935,110775284,116935325,117444276,129117653,160874038,165293893,183650405,201615489,213879622,213879622
28,Weighted Average Shares Outstanding Diluted,2977818,3589270,5781735,10832314,22261433,35024657,56720099,83336455,85913487,98857498,107368050,112859088,116935325,117444276,129117653,164257563,165293893,183650405,201615489,215878829,215878829
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308648/000106299318001387/0001062993-18-001387-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1308648/000106299321004954/0001062993-21-004954-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9919,155295,6987,7297762,2800000,14873262,12960904,14300000,5600000,34900000,91184000,108419000,45300000,40345000,51018000,129049000,77411000,57013000,169009000,238578000,237926000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,400000,6600000,- -,7237000,9500000,2460000,5701000,13688000,52056000,6420000,6506000,36320000,26486000
33,Cash and Short-Term Investments,9919,155295,6987,7297762,2800000,14873262,12960904,14300000,6000000,41500000,91184000,115656000,54800000,42805000,56719000,142737000,129467000,63433000,175515000,274898000,264412000
34,Net Receivables,1629,27684,10106,460625,600000,3013065,10062859,7700000,8500000,8300000,25327000,28262000,22000000,13561000,24491000,16473000,20855000,66246000,33932000,45912000,54260000
35,Inventory,- -,- -,- -,- -,100000,915103,2937373,4100000,3600000,8600000,14661000,23641000,26800000,17649000,22204000,20254000,18858000,32468000,30517000,32512000,60613000
36,Other Current Assets,30244,0,- -,- -,- -,1028018,1054986,1700000,1000000,3900000,6400000,5358000,5900000,1337000,1371000,735000,1478000,4127000,3015000,2724000,17922000
37,Total Current Assets,41792,182979,17092,7758387,3500000,19829448,27016121,27800000,19100000,62300000,137572000,172917000,109500000,75352000,104785000,180199000,170658000,166274000,242979000,356046000,397207000
38,PP&E,37000,103981,20886,3948779,6700000,81296807,158504247,160500000,216000000,257100000,286905000,593153000,739800000,689701000,647078000,628047000,566198000,686697000,712064000,782279000,1526992000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24591000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24591000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,4112710,- -,- -,- -,- -,3372000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,25200000,27000000,42500000,8331000,12619000,134600000,- -,34353000,48146000,103394000,50938000,51141000,69644000,74257000
44,Other Non-Current Assets,3304,3297,0,- -,- -,- -,1294587,-23500000,-27012710,-39400000,10504000,9751000,-128900000,2917000,3484000,783000,-58809000,22201000,21740000,29547000,126533000
45,Total Non-Current Assets,40304,107278,20886,3948779,6700000,81296807,159798835,162200000,220100000,260200000,305740000,640114000,745500000,695990000,684915000,676976000,610783000,759836000,784945000,881470000,1727782000
46,Other Assets,- -,- -,- -,- -,- -,- -,319597669,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,82096,290257,37978,11707166,10200000,101126255,186814956,190000000,239200000,322500000,443312000,813031000,855000000,771342000,789700000,857175000,781441000,926110000,1027924000,1237516000,2124989000
48,Accounts Payable,6015,3145,102486,2355578,- -,4031800,8817981,- -,- -,- -,6512000,20827000,20900000,25948000,28291000,22767000,18281000,35771000,36298000,31262000,72448000
49,Short-Term Debt,- -,- -,- -,- -,- -,11973954,2081656,13884706,3520164,1239741,5053000,15455000,33867000,37757000,44453000,18456000,16618000,4185000,8095000,16332000,11950000
50,Tax Payable,- -,- -,- -,- -,- -,- -,936025,458204,112543,437604,- -,4377000,8322000,105000,618000,383000,- -,- -,149000,6574000,27980000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,97804000,18000,59000,- -,- -,2231000,2539000,-29206000,3769000,4486000,2717000,12226000
52,Other Current Liabilities,- -,- -,- -,- -,300000,813869,14980093,14815294,10979836,-85043741,16286000,20889000,21933000,14517000,14226000,5810000,48682000,14412000,22974000,51315000,76198000
53,Total Current Liabilities,6015,3145,102486,2355578,300000,16819624,25879730,28700000,14500000,14000000,27869000,57230000,76700000,78222000,89201000,49572000,54375000,58137000,71853000,101626000,172822000
54,Long-Term Debt,- -,- -,- -,- -,- -,11973954,1257391,1600000,3700000,2300000,9825000,58426000,46600000,45102000,18740000,33668000,24456000,151174000,169659000,141733000,209144000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,18989980,32160640,- -,- -,- -,48897000,94159000,- -,110261000,120114000,138178000,- -,90643000,78888000,48729000,150836000
57,Other Non-Current Liabilities,- -,- -,- -,100543,900000,3093542,3531904,30200000,31900000,49600000,6123000,9691000,160900000,17224000,16926000,14056000,120125000,31583000,45203000,95193000,181216000
58,Total Non-Current Liabilities,- -,- -,- -,100543,900000,34057477,36949935,31800000,35600000,51900000,64845000,162276000,207500000,172587000,155780000,185902000,144581000,273400000,293750000,285655000,541196000
59,Other Liabilities,- -,- -,- -,201086,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,3339047,2861851,2681345,3556945,14094000,22978000,36290000,26883000,16951000,8186000,9305000,5847000,21936000,20575000,39861000
61,Total Liabilities,6015,3145,102486,2456122,1200000,50877101,62829666,60500000,50100000,65900000,92714000,219506000,284200000,250809000,244981000,235474000,198956000,331537000,365603000,387281000,714018000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,19100000,- -,- -,161700000,232200000,266400000,- -,423958000,425700000,430588000,557477000,628565000,636672000,827622000,933182000,1087139000,1659781000
64,Retained Earnings,-5225282,-5275773,-6327492,-7636909,-11300000,-17513718,-34668382,-32500000,-31500000,2900000,49450000,138348000,98500000,36605000,-71819000,-63218000,-116490000,-321079000,-361553000,-338900000,-347753000
65,Other Comprehensive Income/Loss,- -,- -,473,709245,1156809,22770319,-15334956,-19076738,-38428912,-40843959,- -,31219000,46543000,53340000,59061000,56354000,62303000,88030000,90692000,101997000,98943000
66,Other Total Stockholders Equity,5301364,5562884,6262984,16888819,1030,- -,- -,19317021,27701790,27321830,- -,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,76081,287112,-64508,9251044,8957839,48384192,123985290,129440283,189972877,255777871,350598000,593525000,570745000,520533000,544719000,621701000,582485000,594573000,662321000,850236000,1410971000
68,Total Liabilities And Stockholders Equity,82096,290257,37978,11707166,10157839,99261293,186814956,189940283,240072877,321677871,443312000,813031000,854945000,771342000,789700000,857175000,781441000,926110000,1027924000,1237517000,2124989000
69,Minority Interest,- -,0,- -,-0,42161,1864961,- -,59717,-872877,822129,- -,- -,55000,- -,- -,- -,- -,- -,- -,-1000,- -
70,Total Liabilities & Equity,82096,290257,37978,11707166,10200000,101126255,186814956,190000000,239200000,322500000,443312000,813031000,855000000,771342000,789700000,857175000,781441000,926110000,1027924000,1237516000,2124989000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308648/000106299318001387/0001062993-18-001387-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1308648/000106299321004954/0001062993-21-004954-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-85580,-60827,-387753,-1243824,-3000000,-5085161,-7300941,-4800000,5500000,35000000,103574000,88898000,-38200000,-61448000,-108424000,8601000,-53272000,-204164000,-40474000,23087000,-4923000
74,Depreciation and Amortization,2238,- -,- -,866,243991,1792780,2425792,2604130,3346447,9100000,- -,- -,43900000,- -,- -,- -,78077000,- -,- -,1878000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-366533,1136277,-1689389,-3166821,10457374,23043000,22091000,64425000,-19489000,-17828000,16890000,-22028000,-58883000,1450000,6642000,30173000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,3903553,3023920,3154216,4547905,5948000,10646000,14518000,7320000,4926000,4403000,8295000,7375000,8325000,8255000,12290000
77,Change in Working Capital,-3210,-18901,108733,-199870,-2405528,575620,-4555726,1582947,-8438474,14348,-13703000,1274000,4353000,32652000,735000,-2544000,-4419000,-21167000,37327000,-22831000,-31504000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-2185794,1246949,-916993,484427,-7794000,-6482000,-2447000,8415000,-1922000,7362000,1616000,771000,1304000,24000,-3386000
79,Inventory,- -,- -,- -,- -,-126499,195064,-1232383,-1290976,349502,-4791172,-6010000,-5835000,-3143000,9136000,6415000,2828000,2646000,2015000,2829000,-4288000,-8956000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5294000,977000,2180000,8624000,-6295000,-8469000,1648000,-6388000,8959000,10765000,16580000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-117505,-303461,-1271830,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48010000
82,Other Non-Cash Items,45344,20170,305506,799934,1199260,1103537,8603110,4668744,6006148,-760506,8667000,13250000,45276000,134348000,176685000,72662000,63798000,310101000,133397000,62682000,62687000
83,Cash Provided by Operating Activities,-41208,-59558,26486,-642894,-3962276,-1979757,4212066,5390352,6401518,58359121,127529000,136159000,134272000,93383000,56094000,100012000,70451000,33262000,140025000,79713000,68723000
84,CAPEX,-54594,-67054,-194338,-1843521,-2626103,-7885451,-31037787,-32380204,-31888422,-34334626,-95926000,-175134000,-178742000,-104276000,-56937000,-62460000,-75512000,-111308000,-118608000,-114490000,-188967000
85,Acquisitions Net,- -,- -,- -,- -,- -,-20955652,-5012824,- -,-507515,- -,- -,8614000,- -,- -,28202000,- -,- -,-1022000,- -,- -,-948000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-2682282,-24996,- -,-10349000,-4658000,-281000,- -,-3653000,- -,-1769000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,1294206,3114763,2385000,11416000,23000,- -,784000,48000,- -,- -,3422000,- -,- -
88,Other Investing Activites,- -,- -,- -,21102,- -,403766,- -,-12436446,- -,-311382,-10504000,-106825000,-99733000,-71427000,-42717000,-44291000,-54987000,-79245000,-78731000,-81272000,-123247000
89,Cash Used for Investing Activites,-54594,-67054,-194338,-1822419,-2626103,-28437336,-36050611,-44816650,-33784013,-31556242,-104045000,-172978000,-188665000,-105759000,-28683000,-66586000,-75928000,-117041000,-116934000,-127115000,-180753000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2416260,-2586680,-6971622,-3448000,-6716000,-14778000,-30457000,-34724000,-63206000,-19507000,-157728000,-5213000,-27675000,-221128000
91,Common Stock Issued,- -,272008,- -,9993249,1425804,42234599,11110524,34161801,28042742,- -,- -,- -,- -,- -,22968000,42716000,- -,- -,81916000,126132000,66674000
92,Common Stock Repurchased,- -,- -,- -,-237234,- -,- -,- -,- -,- -,- -,- -,- -,-2403000,-955000,- -,- -,- -,-1386000,- -,-1694000,-42000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3930000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,15643166,-0,-9104709,15339515,30366000,63041000,15440000,30236000,-4026000,65316000,10855000,184557000,10977000,19811000,270243000
95,Cash Used/Provided by Financing Activities,- -,272008,- -,9756015,1425804,42234599,26753690,31745541,16351352,8367893,26918000,56325000,-1741000,-1176000,-15782000,44826000,-8652000,25443000,87680000,116574000,111817000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-3136,15643,-125468,-381000,901000,-692000,-868000,-956000,-221000,3221000,-2792000,1225000,397000,-439000
97,Net Change In Cash,-95802,145396,-167853,7290703,-5162575,11817506,-5084855,3770698,-11015500,35045304,50021000,20407000,-56826000,-14420000,10673000,78031000,-10908000,-61128000,111996000,69569000,-652000
98,Cash at the End of Period,9919,155295,6987,7297762,2779275,14873262,12960904,14317274,5624862,40934155,91184000,111591000,54765000,40345000,51018000,129049000,118141000,57013000,169009000,238578000,237926000
99,Cash at the Beginning of Period,105721,9899,174839,7059,7941850,3055756,18045759,10546576,16640362,5888851,41163000,91184000,111591000,54765000,40345000,51018000,129049000,118141000,57013000,169009000,238578000
100,Free Cash Flow,-95802,-126612,-167853,-2486415,-6588379,-9865207,-26825720,-26989852,-25486905,24024494,31603000,-38975000,-44470000,-10893000,-843000,37552000,-5061000,-78046000,21417000,-34777000,-120244000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308648/000106299318001387/0001062993-18-001387-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1308648/000106299321004954/0001062993-21-004954-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,
