,https://roic.ai/company/ZYXI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57282689,-2586000,-4865000,-1725000,4722000,2436000,-277000,-2018000,843000,-606000,-3042000,-8004000,-14781000
79,Inventory,43674,6785,- -,-21553,- -,- -,- -,-216895,-66420,-71782,-486567,-1475906,-91190,-1559000,-1046000,-2070000,-279000,726000,1602000,198000,-316000,-414000,-2360000,-7323000,-3776000
80,Accounts Payable,2399,7033,- -,95524,5305,- -,- -,- -,- -,- -,- -,- -,89338,186000,876000,-132000,686000,-199000,-67000,402000,-1216000,-515000,- -,- -,- -
81,Other Working Capital,8509,122,- -,-698459,-934042,-961219,-891106,64530,589289,1298080,2772285,3149321,5674855,6980000,8300000,9269000,4020000,-2352000,-4773000,-4323000,4356000,7971000,17369000,52906000,- -
82,Other Non-Cash Items,72568,24861,25402,1368175,332514,-104349,66052,-1085527,-914571,-1116909,-2577946,-1539639,-2001454,-3080145,-4103000,-4311000,10127000,12779000,5119000,615000,-8136000,-3852000,-14397000,-47992000,1291000
83,Cash Provided by Operating Activities,36284,- -,- -,-945179,-31841,-226278,-9453,-1060987,-217058,-483460,746863,-715160,3648024,-665000,-362000,-879000,-382000,961000,341000,1769000,8260000,9408000,6303000,818000,6949000
84,CAPEX,- -,- -,- -,-120290,- -,- -,- -,-45749,-16084,-151586,-758310,-1447895,-955187,-672000,-1267000,-1339000,-644000,-272000,- -,- -,-87000,-1082000,-160000,-985000,-609000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245000,- -,- -,- -,- -,- -,- -,- -,- -,-15997000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-14163,- -,-129376,- -,- -,- -,1500,- -,- -,- -,47000,11286,- -,- -,-18000,761000,282000,108000,-226000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-14163,- -,-129376,- -,- -,- -,-44249,-16084,-151586,-758310,-1400895,-943901,-564000,-1267000,-1584000,117000,10000,108000,-226000,-87000,-1082000,-160000,-985000,-16606000
90,Debt Repayment,- -,- -,- -,-534,- -,- -,- -,- -,- -,- -,- -,- -,-1955738,-120000,-104000,-131000,-235000,-1438000,-64000,-72000,-781000,-507000,-19000,-57000,-98000
91,Common Stock Issued,- -,- -,- -,530996,- -,- -,- -,1259987,- -,604476,1176,785218,144260,- -,48000,13000,- -,- -,- -,- -,39000,176000,221000,25203000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-377000,-3432000,-171000,- -,-2667000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2262000,- -,-1000
94,Other Financing Activites,37839,- -,- -,526320,31841,226278,9453,-151673,248797,277034,-344274,1330837,-30000,1088000,1872000,2615000,- -,207000,-440000,-1232000,-1736000,- -,- -,154000,15862000
95,Cash Used/Provided by Financing Activities,37839,- -,- -,1056782,31841,226278,9453,1108314,248797,881510,-343098,2116055,-1841478,968000,1816000,2497000,-235000,-1231000,-504000,-1304000,-2855000,-3763000,-2231000,25300000,13096000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1555,- -,- -,1056782,31841,226278,9453,1108314,15655,246464,-354544,2116055,-1841478,-261000,187000,34000,-500000,-260000,-55000,239000,5318000,4563000,3912000,25133000,3439000
98,Cash at the End of Period,6355,- -,- -,- -,- -,- -,- -,3078,18733,265197,-89347,- -,862645,602000,789000,823000,323000,63000,8000,247000,5565000,10128000,14040000,39173000,42612000
99,Cash at the Beginning of Period,4800,6355,- -,17773,- -,- -,- -,- -,3078,18733,265197,- -,- -,863000,602000,789000,823000,323000,63000,8000,247000,5565000,10128000,14040000,39173000
100,Free Cash Flow,36284,- -,- -,-1065469,-31841,-226278,-9453,-1106736,-233142,-635046,-11447,-2163055,2692837,-1337000,-1629000,-2218000,-1026000,689000,341000,1769000,8173000,8326000,6143000,-167000,6340000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/846475/000107997406000494/0001079974-06-000494-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/846475/000107997409000246/0001079974-09-000246-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000107997410000166/0001079974-10-000166-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000095012311029673/0000950123-11-029673-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000119312512135657/0001193125-12-135657-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000119312513131595/0001193125-13-131595-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000156459014001093/0001564590-14-001093-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000156459015002292/0001564590-15-002292-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000156459016015749/0001564590-16-015749-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000114420417020703/0001144204-17-020703-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000114420418011824/0001144204-18-011824-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000114420419010229/0001144204-19-010229-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000110465920026322/0001104659-20-026322-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000110465921028312/0001104659-21-028312-index.htm,https://www.sec.gov/Archives/edgar/data/846475/000141057822000453/0001410578-22-000453-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
