,https://roic.ai/company/VVPR,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,127876,84511769,-297000,2544000,2053000,1347000,- -
45,Total Non-Current Assets,127876,84511769,70022000,55034000,35625000,41907000,52519000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,157195,84568646,100836000,76312000,65395000,62380000,76512000
48,Accounts Payable,- -,41756,8262000,14082000,17923000,4807000,4325000
49,Short-Term Debt,- -,8001000,235000,3955000,887000,1312000,1004000
50,Tax Payable,- -,- -,412000,310000,1051000,571000,1332000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1129000
52,Other Current Liabilities,171306,-7939560,3700000,2573000,1997000,13560000,6973000
53,Total Current Liabilities,171306,103196,12197000,20610000,20807000,19679000,13431000
54,Long-Term Debt,- -,- -,20020000,18385000,18380000,24642000,22087000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,411000
57,Other Non-Current Liabilities,- -,79465445,4013000,314000,2223000,353000,165000
58,Total Non-Current Liabilities,- -,79465445,24033000,18699000,20603000,24995000,22663000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,240000,578000,274000,1356000,1237000
61,Total Liabilities,171306,79568641,36230000,39309000,41410000,44674000,36094000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,3270000
63,Common Stock,207,307,163000,163000,163000,163000,222000
64,Retained Earnings,-39111,-397687,23629000,-4196000,-14216000,-19365000,-51567000
65,Other Comprehensive Income/Loss,- -,-72000,18928000,19204000,-11888000,-9300000,-8653000
66,Other Total Stockholders Equity,24793,188380,21886000,21832000,49926000,46208000,97146000
67,Total Stockholders Equity,-14111,-281000,64606000,37003000,23985000,17706000,40418000
68,Total Liabilities And Stockholders Equity,157195,79287641,100836000,76312000,65395000,62380000,76512000
69,Minority Interest,- -,5281005,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,157195,84568646,100836000,76312000,65395000,62380000,76512000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,-281000,5581000,-27879000,-11223000,-5103000,-7958000
74,Depreciation and Amortization,- -,- -,651000,1260000,1420000,1766000,2256000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-115000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1078000
77,Change in Working Capital,- -,56411,-11594000,18461000,1385000,-3032000,-10361000
78,Accounts Receivable,- -,- -,-19844000,11457000,-2543000,8498000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,668000,8963000,- -,-95000
82,Other Non-Cash Items,- -,129589,11738000,17055000,6853000,1796000,-277000
83,Cash Provided by Operating Activities,- -,-95000,6376000,8897000,-1565000,-4573000,-15377000
84,CAPEX,- -,-3000,-94000,2297000,464000,-884000,-937000
85,Acquisitions Net,- -,- -,-8595000,- -,- -,- -,-2147000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,366000
88,Other Investing Activites,- -,- -,-18047000,-15517000,12204000,1178000,36000
89,Cash Used for Investing Activites,- -,-3000,-26736000,-16618000,11856000,294000,-2682000
90,Debt Repayment,- -,- -,- -,-181000,-304000,- -,-3137000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,34866000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,126000,31302000,-1129000,-7331000,22000,-8192000
95,Cash Used/Provided by Financing Activities,- -,126000,31302000,-1310000,-7635000,22000,23537000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-73000,-48000,302000
97,Net Change In Cash,- -,- -,10942000,-9031000,2583000,-4305000,5780000
98,Cash at the End of Period,- -,28000,10970040,1939000,4522000,2824000,8604000
99,Cash at the Beginning of Period,- -,- -,28040,10970000,1939000,7129000,2824000
100,Free Cash Flow,- -,-98000,6282000,7796000,-1913000,-5457000,-16314000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -
102,false,,,,,,,
