,https://roic.ai/company/WLMS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,131243000,- -,443000,1745000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6489000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,72500000,- -,-9000,- -,-6832000,- -,- -,- -,- -,-496000,-497000,-154000,- -,- -
93,Dividends Paid,- -,-6334000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4602000,-6215000,-6140000,-1589000,- -,-9000,- -,- -,- -,- -
94,Other Financing Activites,42196000,220424000,124008000,-35110000,93985000,- -,- -,-1930000,58380000,24935000,- -,-3077000,11042000,63077000,98398000,57571000,115974000,169759000,78178000,223958000,291265000,287775000
95,Cash Used/Provided by Financing Activities,10246000,-24332000,-45548000,-34667000,68002000,- -,- -,-1930000,130880000,-19740000,-65334000,-3077000,-15392000,14862000,15258000,22982000,-25102000,-33099000,3026000,6896000,-9826000,-1280000
96,Effect of Forex Changes on Cash,- -,- -,- -,2364000,997000,- -,- -,410000,-2050000,940000,-1406000,-624000,703000,1661000,-2508000,-1181000,-218000,713000,- -,61000,128000,81000
97,Net Change In Cash,15195000,-23873000,56607000,-7727000,-26984000,- -,- -,11370000,5960000,45587000,-47746000,44017000,-67540000,-18009000,-5132000,13323000,-19434000,1789000,-11214000,2876000,1366000,-6234000
98,Cash at the End of Period,26308000,2435000,59042000,51315000,24331000,- -,- -,15845000,5960000,103220000,55474000,99491000,31951000,13942000,8810000,22239000,2805000,4594000,4942000,7818000,9184000,2950000
99,Cash at the Beginning of Period,11113000,26308000,2435000,59042000,51315000,- -,- -,4475000,- -,57633000,103220000,55474000,99491000,31951000,13942000,8916000,22239000,2805000,16156000,4942000,7818000,9184000
100,Free Cash Flow,22602000,459000,102155000,23970000,-12946000,- -,- -,-400000,-123070000,60595000,17995000,27324000,-14498000,14542000,-17450000,-535000,-4495000,-31022000,-14559000,-4081000,11064000,-5035000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1136294/000095013403004607/0000950134-03-004607-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312504037062/0001193125-04-037062-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312505051183/0001193125-05-051183-index.htm,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1136294/000119312511072780/0001193125-11-072780-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312512115120/0001193125-12-115120-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000119312513096305/0001193125-13-096305-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000104746914002524/0001047469-14-002524-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1136294/000104746917001628/0001047469-17-001628-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837017007033/0001558370-17-007033-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837018003010/0001558370-18-003010-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837019002713/0001558370-19-002713-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837020003280/0001558370-20-003280-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837021003832/0001558370-21-003832-index.htm,https://www.sec.gov/Archives/edgar/data/1136294/000155837022003770/0001558370-22-003770-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
