,https://roic.ai/company/BRY,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,-234567000,- -,- -
66,Other Total Stockholders Equity,545345000,890322000,1086402000,865882000,- -
67,Total Stockholders Equity,859310000,1006446000,972448000,714036000,692648000
68,Total Liabilities And Stockholders Equity,1546402000,1692263000,1690198000,1419810000,1448847000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1546402000,1692263000,1690198000,1419810000,1448847000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1705873/000170587320000014/0001705873-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1705873/000170587321000010/0001705873-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1705873/000170587322000007/0001705873-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,147102000,43539000,-262895000,-15542000
74,Depreciation and Amortization,- -,- -,- -,139180000,- -
75,Deferred Income Tax,- -,43946000,-36778000,-8045000,- -
76,Stock Based Compensation,- -,6750000,8647000,14630000,- -
77,Change in Working Capital,- -,130039000,-141100000,35381000,- -
78,Accounts Receivable,- -,-1683000,-14597000,18767000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,- -,84904000,-56196000,-20815000,- -
82,Other Non-Cash Items,- -,-224737000,367521000,278278000,138030000
83,Cash Provided by Operating Activities,- -,103100000,241829000,196529000,122488000
84,CAPEX,- -,-127281000,-238808000,-93797000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-119069000,-222185000,-87639000,-168787000
89,Cash Used for Investing Activites,- -,-119069000,-225025000,-93620000,-168787000
90,Debt Repayment,- -,-582510000,-353282000,-230750000,- -
91,Common Stock Issued,- -,133805000,- -,- -,- -
92,Common Stock Repurchased,- -,-107336000,-46909000,- -,- -
93,Dividends Paid,- -,-18666000,-39157000,-19463000,- -
94,Other Financing Activites,- -,590618000,353864000,227861000,-18975000
95,Cash Used/Provided by Financing Activities,- -,15911000,-85484000,-22352000,-18975000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-58000,- -,-22352000,-18975000
98,Cash at the End of Period,- -,68680000,- -,80557000,- -
99,Cash at the Beginning of Period,- -,68738000,68680000,- -,- -
100,Free Cash Flow,- -,-24181000,3021000,102732000,122488000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1705873/000170587320000014/0001705873-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1705873/000170587321000010/0001705873-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1705873/000170587322000007/0001705873-22-000007-index.htm
102,false,,,,,
