,https://roic.ai/company/PRFT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.02,-0.47,-2.96,-7.46,-0.53,0.07,0.19,0.28,0.35,0.54,0.33,0.05,0.23,0.37,0.52,0.67,0.70,0.67,0.58,0.55,0.73,1.15,0.93,1.45
27,Weighted Average Shares Outstanding,2011400,2989283,4603834,5882863,10537226,11155000,17648575,22005154,25033337,27998093,29412329,27538300,26856481,27745312,29536000,30294000,31698000,33408000,34023000,33016000,32415000,31344000,31793000,31987000
28,Weighted Average Shares Outstanding Diluted,2011400,2989283,4603834,5882863,10537226,12748571,20680507,25242496,27587449,30121962,30350616,28558160,28303547,29184286,31086000,31808000,33158000,34324000,35001000,34066000,33502000,32243000,32516000,35893000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085869/000091205702010086/a2073037z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000104746903010550/a2106665z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000104746904010111/a2131990z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000095012905003085/h23693e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000114420406012583/v038010_10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000114420407011114/v067501_10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586908000015/form10_k2007.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586909000006/0001085869-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586910000006/0001085869-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586911000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586912000007/0001085869-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586913000007/0001085869-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586914000007/form10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586915000008/form10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586916000055/0001085869-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586917000008/0001085869-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586918000009/0001085869-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586919000010/0001085869-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586920000010/0001085869-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586921000021/0001085869-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586922000036/0001085869-22-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5818918,842481,1412238,1525002,1989395,3905460,5096409,4549000,8070000,22909000,17975000,12707000,9732000,5813000,7018000,10935000,8811000,10113000,6307000,44984000,70728000,83204000,24410000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6327000,11301000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,5818918,842481,1412238,1525002,1989395,3905460,5096409,4549000,8070000,22909000,24302000,24008000,9732000,5813000,7018000,10935000,8811000,10113000,6307000,44984000,70728000,83204000,24410000
34,Net Receivables,- -,574250,7049710,3197904,3938373,5534607,20049500,23250679,40750000,52029000,49142000,38244000,48496000,60892000,69662000,78887000,113928000,120612000,103702000,112194000,122446000,129118000,133085000,177602000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,187957,142422,42400,157302,382542,297058,336309,2416782,1820000,4150000,2973000,2792000,3854000,4364000,5366000,9328000,7155000,10329000,8684000,10707000,10374000,12051000,10221000,12696000
37,Total Current Assets,187957,6535590,7934591,4767444,5845917,7821060,24291269,30763870,47119000,64249000,75024000,65338000,76358000,74988000,80841000,95233000,132018000,139752000,122499000,129208000,177804000,211897000,226510000,214708000
38,PP&E,42050,80827,804406,533948,1211018,699145,805831,960136,1806000,3226000,2345000,1278000,2355000,3490000,4398000,7709000,7966000,7891000,8888000,7145000,6677000,39918000,50441000,48100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,69170000,103686000,104178000,104168000,115227000,132038000,160936000,193510000,236130000,269383000,275205000,305238000,327992000,335564000,427928000,515229000
40,Intangible Assets,- -,- -,45558173,3550100,12380039,11693834,37339891,52031825,11886000,17653000,11456000,7605000,8829000,10128000,17350000,25487000,46105000,53408000,45115000,51066000,48092000,37953000,63571000,81277000
41,Intangible Assets,- -,- -,45558173,3550100,12380039,11693834,37339891,52031825,81056000,121339000,115634000,111773000,124056000,142166000,178286000,218997000,282235000,322791000,320320000,356304000,376084000,373517000,491499000,596506000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3652000,2254000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,317772,266203,156129,45944,145374,1179070,1019000,1178000,1244000,2769000,2655000,3288000,3669000,3810000,3823000,3930000,4869000,6403000,9979000,15160000,17311000,23258000
45,Total Non-Current Assets,42050,80827,46680351,4350251,13747186,12438923,38291096,54171031,83881000,125743000,119223000,119472000,131320000,148944000,186353000,230516000,294024000,334612000,334077000,369852000,392740000,428595000,559251000,667864000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,230007,6616417,54614942,9117695,19593103,20259983,62582365,84934901,131000000,189992000,194247000,184810000,207678000,223932000,267194000,325749000,426042000,474364000,456576000,499060000,570544000,640492000,785761000,882572000
48,Accounts Payable,18640,165176,358779,243160,426686,129895,6927523,3773614,5025000,4160000,4509000,3657000,6072000,5029000,7959000,7667000,22035000,18793000,18416000,23196000,24437000,23081000,25613000,26074000
49,Short-Term Debt,- -,- -,1809722,741517,1260522,366920,1379201,1581361,1201000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10321000,11543000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1318000,1439000,1575000,- -,- -,1041000,2974000,3590000,5945000,5414000,3138000,3278000,8111000,7733000,9422000,8167000
52,Other Current Liabilities,31858,199150,2392568,1288576,2304433,3310872,6750968,8330809,14716000,17282000,12764000,11476000,22654000,17442000,17631000,26708000,27083000,32369000,24499000,34799000,42275000,53770000,83524000,74167000
53,Total Current Liabilities,50498,364326,4561069,2273253,3991641,3807687,15057692,13685784,22260000,22881000,18848000,15133000,28726000,23512000,28564000,37965000,55063000,56576000,46053000,61273000,74823000,84584000,128880000,119951000
54,Long-Term Debt,- -,- -,79926,3667,745318,436258,2902306,5338501,137000,- -,- -,- -,- -,- -,2800000,19000000,54000000,56000000,32000000,55000000,120067000,124664000,212722000,350024000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1350,- -,- -,- -,- -,- -,- -,- -,1251000,1549000,- -,- -,- -,- -,- -,2345000,8912000,8463000,12853000,7360000,9253000,11108000,20911000,32202000
57,Other Non-Current Liabilities,- -,- -,- -,4474,334661,- -,- -,- -,- -,- -,581000,1329000,1788000,1461000,1417000,6949000,3339000,4515000,6205000,9076000,12717000,39121000,29170000,15630000
58,Total Non-Current Liabilities,1350,- -,79926,8141,1079979,436258,2902306,5338501,1388000,1549000,581000,1329000,1788000,1461000,4217000,28294000,66251000,68978000,51058000,71436000,142037000,174893000,262803000,397856000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,334661,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28641000,39419000,35441000
61,Total Liabilities,51848,364326,4640995,2281394,5071620,4243945,17959998,19024285,23648000,24430000,19429000,16462000,30514000,24973000,32781000,66259000,121314000,125554000,97111000,132709000,216860000,259477000,391683000,517807000
62,Preferred Stock,- -,- -,- -,- -,3095,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,3503,6252,6289,10537,14033,20914,23908,27000,29000,30000,32000,33000,36000,39000,41000,43000,45000,46000,47000,48000,49000,50000,53000
64,Retained Earnings,28159,-1376804,-15004154,-58890310,-61285354,-60235322,-56322034,-49145282,-39578000,-23348000,-13348000,-11885000,-5405000,5342000,21449000,42881000,66044000,89051000,109510000,128091000,152650000,189775000,219641000,271732000
65,Other Comprehensive Income/Loss,-10863,-33813,-340472,-831109,-1495254,-2139824,-2553235,-3152844,-4084000,-5631000,-7452000,-6873000,-6315000,-6989000,-8335000,-10325000,-1000000,-2000000,-3000000,-2000000,-3000000,-3000000,3746000,-5843000
66,Other Total Stockholders Equity,158863,7659205,65312321,66551431,77288459,78377151,103476722,118184834,150987000,194512000,195588000,187074000,188851000,200570000,221260000,226893000,239641000,261714000,252909000,240213000,203986000,194191000,170641000,98823000
67,Total Stockholders Equity,178159,6252091,49973947,6836301,14521483,16016038,44622367,65910616,107352000,165562000,174818000,168348000,177164000,198959000,234413000,259490000,304728000,348810000,359465000,366351000,353684000,381015000,394078000,364765000
68,Total Liabilities And Stockholders Equity,230007,6616417,54614942,9117695,19593103,20259983,62582365,84934901,131000000,189992000,194247000,184810000,207678000,223932000,267194000,325749000,426042000,474364000,456576000,499060000,570544000,640492000,785761000,882572000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,230007,6616417,54614942,9117695,19593103,20259983,62582365,84934901,131000000,189992000,194247000,184810000,207678000,223932000,267194000,325749000,426042000,474364000,456576000,499060000,570544000,640492000,785761000,882572000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085869/000091205702010086/a2073037z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000104746903010550/a2106665z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000104746904010111/a2131990z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000095012905003085/h23693e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000114420406012583/v038010_10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000114420407011114/v067501_10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586908000015/form10_k2007.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586909000006/0001085869-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586910000006/0001085869-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586911000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586912000007/0001085869-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586913000007/0001085869-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586914000007/form10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586915000008/form10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586916000055/0001085869-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586917000008/0001085869-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586918000009/0001085869-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586919000010/0001085869-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586920000010/0001085869-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586921000021/0001085869-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586922000036/0001085869-22-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,40228,-1404963,-13627350,-43886156,-2395044,1050032,3913288,7176752,9567000,16230000,10000000,1463000,6480000,10747000,16107000,21432000,23163000,23007000,20459000,18581000,24559000,37125000,30181000,52091000
74,Depreciation and Amortization,10530,22950,13211840,15806866,1973094,1280857,1208496,2225885,4406000,6265000,6949000,5750000,4784000,8095000,10078000,11236000,18187000,18315000,18238000,19747000,20428000,20598000,28287000,29851000
75,Deferred Income Tax,8362,-1350,- -,- -,- -,- -,- -,- -,- -,-495000,-1769000,-18000,205000,531000,-613000,1604000,662000,1497000,4390000,-4140000,1378000,2041000,-1588000,-12662000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9836000,10831000,9178000,9590000,11034000,12719000,13110000,13974000,14096000,15731000,17425000,19146000,21554000
77,Change in Working Capital,-133682,6033805,-2797742,-879331,-639915,2159097,5220204,7844509,7780914,16509000,14808000,-5971000,-2573000,3844000,801000,4991000,19687000,6221000,-6730000,-8511000,35046000,24332000,-29683000,-46126000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7587000,-818000,1462000,-27050000,3512000,16905000,-3003000,-245000,-3402000,8237000,-34451000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-884000,642000,-1522000,2190000,-361000,14344000,-3242000,-377000,4780000,1241000,-1356000,861000,56000
81,Other Working Capital,137459,6171264,3373522,2494191,1854276,4013373,9233577,17078086,24859000,41368000,56176000,50205000,47632000,51476000,52277000,57268000,76955000,83176000,76446000,67935000,102981000,127313000,97630000,- -
82,Other Non-Cash Items,19308,-5315688,416811,31710332,1419201,-2604509,-6304209,-9559732,-12138914,-15458000,-3220000,11503000,-996000,-18075000,3248000,-3446000,-40385000,-17429000,12970000,15448000,-28562000,-23556000,71617000,40208000
83,Cash Provided by Operating Activities,-55254,-665246,-2796441,2751711,357336,1885477,4037779,7687414,9615000,23051000,26768000,22563000,18731000,14320000,39211000,46851000,34033000,44721000,63301000,55221000,68580000,77965000,117960000,84916000
84,CAPEX,-47870,-61727,-8451976,-511696,-167323,-691207,-430169,-941047,-1654000,-2216000,-1505000,-726000,-1321000,-2955000,-2110000,-7978000,-7148000,-4391000,-6051000,-4322000,-4648000,-9256000,-6731000,-10204000
85,Acquisitions Net,- -,- -,- -,-104885,-850848,- -,-10733722,-9703984,-13678000,-26774000,-836000,- -,-4941000,-19385000,-36560000,-38434000,-46447000,-37848000,-7464000,-37886000,-26640000,-11143000,-91883000,-108848000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9984000,-4252000,- -,- -,- -,- -,- -,-869000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13555000,- -,- -,- -,- -,853000,- -,- -,- -,- -,- -
88,Other Investing Activites,5596,- -,204977,-603469,-198300,1950,- -,-598508,-250000,- -,- -,-311000,-160000,-179000,-187000,-3329000,-3474000,-1035000,-1964000,-961000,-564000,-1174000,-1465000,-960000
89,Cash Used for Investing Activites,-42274,-61727,-8246999,-1220050,-1216471,-689257,-11163891,-11243539,-15582000,-28990000,-2341000,-10710000,-10514000,-8785000,-38670000,-46412000,-53595000,-42239000,-13531000,-42208000,-31288000,-20399000,-98614000,-119052000
90,Debt Repayment,-35000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14306000,-132100000,-164950000,-230100000,-264500000,-232500000,-252000000,-216000000,- -,-208420000,-442664000
91,Common Stock Issued,100000,6522895,5405560,6000,2991617,433450,5569997,2861518,4235000,3903000,923000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-130504,- -,- -,- -,- -,- -,-9179000,-18350000,-14676000,-11791000,-6118000,-13794000,-7702000,-2840000,-18023000,-32601000,-64441000,-20612000,-19573000,-21724000
93,Dividends Paid,- -,- -,- -,- -,- -,-45457,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,35000,- -,668007,-914255,-1914867,-1118371,3478329,1922666,1216000,5551000,-1342000,1558000,1124000,17559000,133750000,179414000,261362000,263072000,202636000,267326000,282360000,-11439000,220517000,440549000
95,Cash Used/Provided by Financing Activities,100000,6522895,6073567,-908255,946246,-730378,9048326,4784184,5451000,9454000,-9598000,-16792000,-13552000,-8538000,-4468000,670000,23560000,-4268000,-47887000,-17275000,1919000,-32051000,-7476000,-23839000
96,Effect of Forex Changes on Cash,- -,- -,-6564,-53649,25653,-1449,-6149,-37110,-31000,6000,10000,5000,67000,28000,8000,96000,-81000,-338000,-581000,456000,-534000,229000,606000,-819000
97,Net Change In Cash,2472,5795922,-4976437,569757,112764,464393,1916065,1190949,-547000,3521000,14839000,-4934000,-5268000,-2975000,-3919000,1205000,3917000,-2124000,1302000,-3806000,38677000,25744000,12476000,-58794000
98,Cash at the End of Period,22996,5818918,842481,1412238,1525002,1989395,3905460,5096409,4549000,8070000,22909000,17975000,12707000,9732000,5813000,7018000,10935000,8811000,10113000,6307000,44984000,70728000,83204000,24410000
99,Cash at the Beginning of Period,20524,22996,5818918,842481,1412238,1525002,1989395,3905460,5096000,4549000,8070000,22909000,17975000,12707000,9732000,5813000,7018000,10935000,8811000,10113000,6307000,44984000,70728000,83204000
100,Free Cash Flow,-103124,-726973,-11248417,2240015,190013,1194270,3607610,6746367,7961000,20835000,25263000,21837000,17410000,11365000,37101000,38873000,26885000,40330000,57250000,50899000,63932000,68709000,111229000,74712000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085869/000091205702010086/a2073037z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000104746903010550/a2106665z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000104746904010111/a2131990z10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000095012905003085/h23693e10ksb.htm,https://www.sec.gov/Archives/edgar/data/1085869/000114420406012583/v038010_10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000114420407011114/v067501_10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586908000015/form10_k2007.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586909000006/0001085869-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586910000006/0001085869-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586911000005/form10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586912000007/0001085869-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586913000007/0001085869-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586914000007/form10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586915000008/form10k.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586916000055/0001085869-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586917000008/0001085869-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586918000009/0001085869-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586919000010/0001085869-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586920000010/0001085869-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1085869/000108586921000021/0001085869-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1085869/000108586922000036/0001085869-22-000036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
