,https://roic.ai/company/BPTH,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-49850,-63793,-132004,-34835,880604,-1790141,-1651805,-2153906,-2397408,-3108615,-4371337,-5282697,-6546000,-6612000,-7556000,-8463000,-10757000,-10440000
16,EBITDA ratio,-0.6285,-1.0730,-3.0130,-1.8893,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-503.5385,-178.7027,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-54262,-66950,-135268,-109113,-2893828,-1973122,-2326429,-2365615,-2582679,-3269240,-4542246,-5484459,-8475000,-8966000,-8590000,-8693000,-10908000,-10443000
18,Operating Income ratio,-0.6842,-1.1261,-3.0875,-5.9178,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-651.9231,-242.3243,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-11908,-17488,-12541,56668,-1801239,3384,244929,2271,142,3227,22297,17665,1725000,1943000,7000,94000,26000,3000
20,Income Before Tax,-66170,-84438,-147809,-52445,- -,-1969738,-2081500,-2363344,-2582537,-3266013,-4519949,-5466794,-6750000,-7023000,-8583000,-8599000,-10882000,-10440000
21,Income Before Tax Ratio,-0.8343,-1.4202,-3.3737,-2.8444,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-519.2308,-189.8108,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),100,100,100,100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-66270,-84538,-147909,-52546,-2852767,-1969738,-2081500,-2363344,-2582537,-3266013,-4519949,-5466794,-6750000,-7023000,-8583000,-8599000,-10882000,-10440000
24,Net Income ratio,-0.8356,-1.4219,-3.3760,-2.8499,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-519.2308,-189.8108,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-10.00,-14.00,-14.00,-4.00,-14.00,-10.00,-8.00,-8.00,-8.00,-10.00,-10.00,-12.00,-14.00,-16.00,-14.38,-3.24,-2.83,-1.55
26,EPS Diluted,-10.00,-14.00,-14.00,-4.00,-14.00,-10.00,-8.00,-8.00,-8.00,-10.00,-10.00,-12.00,-14.00,-16.00,-14.38,-3.24,-2.83,-1.55
27,Weighted Average Shares Outstanding,6167,6167,10471,13689,205810,211735,240766,269220,296588,356863,446408,448814,463520,504050,597000,2657000,3847000,6725000
28,Weighted Average Shares Outstanding Diluted,6167,6167,10471,13689,205810,211735,240766,269220,296588,356863,446408,448814,463520,504050,597000,2657000,3847000,6725000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1133818/000101619306000141/0001016193-06-000141-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000093173107000166/0000931731-07-000166-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1133818/000101619310000006/0001016193-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420411019245/0001144204-11-019245-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420412018624/0001144204-12-018624-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420413019184/0001144204-13-019184-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420414019417/0001144204-14-019417-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420415016335/0001144204-15-016335-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420416088178/0001144204-16-088178-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420417014602/0001144204-17-014602-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420418018611/0001144204-18-018611-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420419014855/0001144204-19-014855-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000110465920029711/0001104659-20-029711-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000110465921033789/0001104659-21-033789-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000155837022003298/0001558370-22-003298-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11876,5085,9558,32879,1507071,567249,238565,952252,534046,3551832,13858798,8854507,9375000,5965000,1004000,20426000,13755000,23774000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11876,5085,9558,32879,1507071,567249,238565,952252,534046,3551832,13858798,8854507,9375000,5965000,1004000,20426000,13755000,23774000
34,Net Receivables,10350,10837,11696,- -,- -,- -,244479,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,26027,27583,13297,- -,292800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,934,546,540,12254,82772,682737,161393,201439,237575,115481,255161,738492,1278000,1470000,925000,1564000,2201000,2366000
37,Total Current Assets,49187,44051,35091,45133,1882643,1249986,644437,1153691,771621,3667313,14113959,9592999,10653000,7435000,1929000,21990000,15956000,26140000
38,PP&E,96575,94135,92400,- -,- -,- -,- -,- -,- -,- -,113126,71989,614000,654000,406000,670000,519000,203000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,2504662,- -,2464067,2077414,1572143,1411518,1250893,1090268,929000,769000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,2504662,2431680,2464067,2077414,1572143,1411518,1250893,1090268,929000,769000,- -,- -,- -,- -
42,Investments,4000,4000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,365,- -,- -,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000
45,Total Non-Current Assets,100940,98135,96400,4000,2504662,2431680,2464067,2077414,1572143,1411518,1364019,1162257,1543000,1423000,406000,670000,519000,428000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,150127,142186,131491,49133,4387305,3681666,3108504,3231105,2343764,5078831,15477978,10755256,12196000,8858000,2335000,22660000,16475000,26568000
48,Accounts Payable,16670,32509,33585,62234,185843,6453,88400,189511,65582,76109,41026,54581,69000,52000,813000,486000,100000,106000
49,Short-Term Debt,104644,244802,55437,60600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000,94000,82000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,- -,- -,- -,- -,- -
52,Other Current Liabilities,29298,41665,64153,66729,141442,258450,158358,126620,263662,218789,520945,882829,969000,739000,304000,673000,975000,770000
53,Total Current Liabilities,150612,318976,153175,189563,327285,264903,246758,316131,329244,294898,561971,937410,1050000,791000,1117000,1244000,1169000,958000
54,Long-Term Debt,91767,- -,78701,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2906000,- -,- -,330000,- -,153000
58,Total Non-Current Liabilities,91767,- -,78701,- -,- -,- -,- -,- -,- -,- -,- -,- -,2906000,- -,- -,330000,236000,153000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415000,330000,- -
61,Total Liabilities,242379,318976,231876,189563,327285,264903,246758,316131,329244,294898,561971,937410,3956000,791000,1117000,1574000,1405000,1111000
62,Preferred Stock,19000,19000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,42649,49401,58325,62218,84238,89763,89763,96000,11000,1000,4000,5000,7000
64,Retained Earnings,-288068,-372606,-520515,-573060,-3134164,-5103902,-7185402,-9548746,-12131283,-15397296,-19917245,-25384039,-32134000,-39157000,-47740000,-56339000,-67221000,-77661000
65,Other Comprehensive Income/Loss,-11025,-13684,-16407,- -,- -,- -,- -,- -,- -,- -,-10284,-51421,-94000,-330000,-592000,-726000,- -,- -
66,Other Total Stockholders Equity,206841,209500,436537,432630,- -,8478016,9997747,12405395,14083585,20096991,34753773,35163543,40372000,47543000,49549000,78147000,82286000,103111000
67,Total Stockholders Equity,-92252,-176790,-100385,-140430,4060020,3416763,2861746,2914974,2014520,4783933,14916007,9817846,8240000,8067000,1218000,21086000,15070000,25457000
68,Total Liabilities And Stockholders Equity,150127,142186,131491,49133,4387305,3681666,3108504,3231105,2343764,5078831,15477978,10755256,12196000,8858000,2335000,22660000,16475000,26568000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,150127,142186,131491,49133,4387305,3681666,3108504,3231105,2343764,5078831,15477978,10755256,12196000,8858000,2335000,22660000,16475000,26568000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1133818/000101619306000141/0001016193-06-000141-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000093173107000166/0000931731-07-000166-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1133818/000101619310000006/0001016193-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420411019245/0001144204-11-019245-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420412018624/0001144204-12-018624-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420413019184/0001144204-13-019184-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420414019417/0001144204-14-019417-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420415016335/0001144204-15-016335-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420416088178/0001144204-16-088178-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420417014602/0001144204-17-014602-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420418018611/0001144204-18-018611-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420419014855/0001144204-19-014855-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000110465920029711/0001104659-20-029711-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000110465921033789/0001104659-21-033789-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000155837022003298/0001558370-22-003298-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-66270,-84538,-147909,-52546,-2852767,-1969738,-2081500,-2363344,-2582537,-3266013,-4519949,-5466794,-6750000,-7023000,-8583000,-8599000,-10882000,-10440000
74,Depreciation and Amortization,3062,3025,2723,1675,171954,182981,197268,211709,185271,160625,170909,201762,204000,411000,426000,230000,151000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,784000,793000,554000,684000,577000,- -
77,Change in Working Capital,12847,-173500,156841,-26346,1699788,-570275,-587404,439881,-395183,2930038,10179573,-4896399,947411,-2959000,-5832000,19934000,-5959000,10395000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,2224,-1557,14286,13297,-292800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-101425,-274925,-118084,-144430,1555358,985083,397679,837560,442377,3372415,13551988,8655589,9603000,6644000,812000,20746000,14787000,25182000
82,Other Non-Cash Items,4846,200049,-113411,12304,50425,789586,1323480,561843,799045,-2137810,-9648030,5157140,-3333411,821000,7311000,-20610000,5153000,45000
83,Cash Provided by Operating Activities,-45515,-54964,-101756,-64913,-930600,-1567446,-1148156,-1149911,-1993404,-2313160,-3817497,-5004291,-8148000,-7957000,-6124000,-8361000,-10960000,- -
84,CAPEX,- -,-219,-988,- -,-150000,-110000,-229655,-170056,-25000,- -,-123410,- -,-338000,-538000,-17000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-310,162770,-150000,-110000,-229655,-170056,-25000,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-219,-1298,162770,-150000,-110000,-229655,-170056,-25000,- -,-123410,- -,-338000,-538000,-17000,- -,- -,- -
90,Debt Repayment,-11248,-10552,-113664,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,180091,- -,1368313,737624,1049127,2033654,1600198,5330946,- -,- -,9007000,3567000,1180000,26700000,4289000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,59320,58944,41100,-74536,- -,- -,- -,- -,- -,- -,14247873,- -,- -,1518000,- -,1083000,- -,- -
95,Cash Used/Provided by Financing Activities,48072,48392,107527,-74536,1368313,737624,1049127,2033654,1600198,5330946,14247873,- -,9007000,5085000,1180000,27783000,4289000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2557,-6791,4473,23321,287713,-939822,-328684,713687,-418206,3017786,10306966,-5004291,521000,-3410000,-4961000,19422000,-6671000,- -
98,Cash at the End of Period,11876,5085,9558,32879,1507071,567249,238565,952252,534046,3551832,13858798,8854507,9375000,5965000,1004000,20426000,13755000,- -
99,Cash at the Beginning of Period,9319,11876,5085,9558,1219358,1507071,567249,238565,952252,534046,3551832,13858798,8854000,9375000,5965000,1004000,20426000,13755000
100,Free Cash Flow,-45515,-55183,-102744,-64913,-1080600,-1677446,-1377811,-1319967,-2018404,-2313160,-3940907,-5004291,-8486000,-8495000,-6141000,-8361000,-10960000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1133818/000101619306000141/0001016193-06-000141-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000093173107000166/0000931731-07-000166-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1133818/000101619310000006/0001016193-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420411019245/0001144204-11-019245-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420412018624/0001144204-12-018624-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420413019184/0001144204-13-019184-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420414019417/0001144204-14-019417-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420415016335/0001144204-15-016335-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420416088178/0001144204-16-088178-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420417014602/0001144204-17-014602-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420418018611/0001144204-18-018611-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000114420419014855/0001144204-19-014855-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000110465920029711/0001104659-20-029711-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000110465921033789/0001104659-21-033789-index.htm,https://www.sec.gov/Archives/edgar/data/1133818/000155837022003298/0001558370-22-003298-index.htm
102,false,,,,,,,,,,,,,,,,,,
