,https://roic.ai/company/NTRR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-110000,-5000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-110000,-5000,- -,- -,- -,- -,-196490
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41217,-25000
91,Common Stock Issued,- -,41000,- -,- -,- -,- -,- -,- -,- -,- -,230000
92,Common Stock Repurchased,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,47205,222980,839505,616571,490418,211337,108925,417000,400000,250000
95,Cash Used/Provided by Financing Activities,10000,88205,222980,839505,616571,490418,211337,108925,417000,358783,455000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,19952,-21752,39451,-39967,-6300,- -,- -,- -,- -,-153868
98,Cash at the End of Period,10000,28852,7100,46551,6584,284,- -,- -,- -,177176,23308
99,Cash at the Beginning of Period,- -,8900,28852,7100,46551,6584,284,- -,- -,- -,177176
100,Free Cash Flow,- -,-68253,-244732,-800054,-546538,-491718,-211621,-108925,-417000,-181607,-608868
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1512886/000116169712000352/0001161697-12-000352-index.htm,https://www.sec.gov/Archives/edgar/data/1512886/000116169713000306/0001161697-13-000306-index.html,https://www.sec.gov/Archives/edgar/data/1512886/000116169714000217/0001161697-14-000217-index.htm,https://www.sec.gov/Archives/edgar/data/1512886/000116169715000232/0001161697-15-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1512886/000116169716000895/0001161697-16-000895-index.htm,https://www.sec.gov/Archives/edgar/data/1512886/000116169717000246/0001161697-17-000246-index.htm,https://www.sec.gov/Archives/edgar/data/1512886/000116169718000230/0001161697-18-000230-index.html,https://www.sec.gov/Archives/edgar/data/1512886/000116169719000173/0001161697-19-000173-index.html,https://www.sec.gov/Archives/edgar/data/1512886/000116169720000257/form_10-k.htm,https://www.sec.gov/Archives/edgar/data/1512886/000116169721000265/0001161697-21-000265-index.htm
102,false,,,,,,,,,,,
