,https://roic.ai/company/IMXI,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,27816112,1748854,2267000,741000,- -,- -
44,Other Non-Current Assets,- -,1219438,1706693,1874000,1415000,3036000,7434000
45,Total Non-Current Assets,- -,41629631,96947039,87189000,79079000,72747000,76991000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,118773952,216052911,225839000,227306000,259473000,340536000
48,Accounts Payable,- -,5881754,8919796,11438000,13401000,12771000,23151000
49,Short-Term Debt,- -,849809,3913436,3936000,7044000,7044000,- -
50,Tax Payable,- -,163843,318792,745000,2345000,1276000,- -
51,Deferred Revenue,- -,- -,- -,- -,2495000,2750000,- -
52,Other Current Liabilities,- -,31601035,59791098,52666000,60776000,61376000,93708000
53,Total Current Liabilities,- -,38332598,72624330,68040000,83716000,83941000,116859000
54,Long-Term Debt,- -,77182811,107526462,113326000,87623000,80579000,79211000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,692000,1426000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-116859000
58,Total Non-Current Liabilities,- -,77182811,107526462,113326000,87623000,81271000,-36222000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,115515409,180150792,181366000,171339000,165212000,80637000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,818791,- -,4000,4000,4000,4000
64,Retained Earnings,- -,-67550973,-10173453,-17418000,1176000,34960000,81803000
65,Other Comprehensive Income/Loss,- -,-20266,-2371,-2000,93000,-13000,-76000
66,Other Total Stockholders Equity,- -,70010991,- -,61889000,54694000,59310000,143040000
67,Total Stockholders Equity,- -,3258543,35902119,44473000,55967000,94261000,143040000
68,Total Liabilities And Stockholders Equity,- -,118773952,216052911,225839000,227306000,259473000,223677000
69,Minority Interest,- -,- -,- -,- -,- -,- -,116859000
70,Total Liabilities & Equity,- -,118773952,216052911,225839000,227306000,259473000,340536000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1683695/000121390017003999/0001213900-17-003999-index.htm,https://www.sec.gov/Archives/edgar/data/1683695/000121390018003024/0001213900-18-003024-index.html,https://www.sec.gov/Archives/edgar/data/1683695/000114036119005471/0001140361-19-005471-index.html,https://www.sec.gov/Archives/edgar/data/1683695/000162828020003396/0001628280-20-003396-index.html,https://www.sec.gov/Archives/edgar/data/1683695/000168369521000005/0001683695-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1683695/000168369522000004/0001683695-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,5757824,9400000,-10173453,-7244000,19609000,33784000,46843000
74,Depreciation and Amortization,2453454,2530000,16644821,15671000,12689000,10828000,9491000
75,Deferred Income Tax,3971485,3719000,369947,191000,1863000,1433000,734000
76,Stock Based Compensation,62839,63000,1845943,5826000,2609000,3237000,4601000
77,Change in Working Capital,-9329061,7669819,24128458,-6099000,38274000,36271000,7630000
78,Accounts Receivable,-5316628,-15866000,-29172953,14337000,-5655000,-17080000,-13846000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3966613,4563000,3555223,16293000,7232000,-1419000,21956000
81,Other Working Capital,38811723,46481542,70610000,64511000,102785000,139056000,146686000
82,Other Non-Cash Items,1548904,-985819,-25399013,11493000,-22510000,-86433000,8799000
83,Cash Provided by Operating Activities,4465445,22396000,7416703,19838000,52534000,-880000,78098000
84,CAPEX,-2064577,-3012000,-4351506,-5331000,-6469000,-4062000,-10588000
85,Acquisitions Net,- -,- -,-923654,-120000,-250000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-185000
89,Cash Used for Investing Activites,-2064577,-3012000,-5275160,-5451000,-6719000,-4062000,-10773000
90,Debt Repayment,-9444830,-3287000,-76212500,-95788000,-34956000,-7661000,-2944000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-10639850,-34000000,- -,- -,- -,- -,-5566000
93,Dividends Paid,-18144839,-1287000,-20178000,- -,- -,- -,- -
94,Other Financing Activites,35210712,38016000,109317170,94675000,2012000,1501000,-1106000
95,Cash Used/Provided by Financing Activities,-3018807,-558000,12926670,-1113000,-32944000,-6160000,-9616000
96,Effect of Forex Changes on Cash,-64403,-150000,98820,-40000,217000,-108000,-142000
97,Net Change In Cash,-682342,18676000,15167033,13234000,13088000,-11210000,57567000
98,Cash at the End of Period,18925469,38241000,59155618,73029000,86117000,74907000,132474000
99,Cash at the Beginning of Period,19607811,19565000,43988585,59795000,73029000,86117000,74907000
100,Free Cash Flow,2400868,19384000,3065197,14507000,46065000,-4942000,67510000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1683695/000121390017003999/0001213900-17-003999-index.htm,https://www.sec.gov/Archives/edgar/data/1683695/000121390018003024/0001213900-18-003024-index.html,https://www.sec.gov/Archives/edgar/data/1683695/000114036119005471/0001140361-19-005471-index.html,https://www.sec.gov/Archives/edgar/data/1683695/000162828020003396/0001628280-20-003396-index.html,https://www.sec.gov/Archives/edgar/data/1683695/000168369521000005/0001683695-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1683695/000168369522000004/0001683695-22-000004-index.htm
102,false,,,,,,,
