,https://roic.ai/company/FOR,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,661575000,562657000,580151000,579607000,12293000,10947000,8315000,7683000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,737132000,119979000,33813000,23160000,2931000,6455000,5136000,6000000,3213000,32391000,224742000,- -,8500000,- -,25800000
37,Total Current Assets,- -,- -,- -,747132000,793943000,619362000,611552000,624102000,62732000,247642000,216534000,143050000,317987000,559506000,- -,395600000,401000000,180500000
38,PP&E,- -,- -,508471000,608400000,6211000,5234000,5895000,9739000,163286000,238753000,275120000,91345000,3116000,2003000,- -,2400000,3700000,9800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,3874000,61680000,64493000,63423000,61164000,37900000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,2700000,- -,- -,- -,1577000,2188000,2153000,2708000,1964000,- -,448000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,2700000,- -,- -,6527000,5451000,63868000,66646000,66131000,63128000,37900000,448000,- -,- -,- -,- -
42,Investments,- -,- -,90444000,101687000,117554000,109597000,101166000,64223000,41546000,41147000,65005000,82453000,77611000,64579000,- -,7300000,3600000,900000
43,Tax Assets,- -,- -,- -,- -,17184000,40751000,47141000,72942000,54748000,40398000,40624000,- -,323000,2028000,- -,17400000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-711219000,-100316000,9790000,17043000,18400000,532254000,537566000,594785000,600537000,296271000,133348000,- -,1033000000,1330600000,1910500000
45,Total Non-Current Assets,- -,- -,- -,1568000,40633000,165372000,177772000,170755000,855702000,924510000,1041665000,837463000,415221000,202406000,- -,1060100000,1337900000,1921200000
46,Other Assets,517700000,543944000,620174000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,517700000,543944000,620174000,748700000,834576000,784734000,789324000,794857000,918434000,1172152000,1258199000,980513000,733208000,761912000,- -,1455700000,1738900000,2101700000
48,Accounts Payable,- -,- -,4838000,8000000,7438000,4573000,4214000,5044000,25800000,21409000,20400000,11959000,4804000,2382000,- -,16800000,29200000,47400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,6808000,7111000,6955000,13487000,4818000,7698000,5966000,4788000,2008000,2153000,- -,2100000,4300000,10200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10045000,10214000,10511000,11940000,- -,11800000,9500000,12600000
52,Other Current Liabilities,- -,- -,- -,41500000,22844000,11682000,9010000,23710000,26821000,48782000,53469000,38120000,25715000,19595000,- -,59400000,80500000,132100000
53,Total Current Liabilities,- -,- -,- -,49500000,30282000,16255000,13224000,28754000,52621000,70191000,83914000,60293000,41030000,33917000,- -,88000000,119200000,192100000
54,Long-Term Debt,110997000,121948000,50611000,266000000,337402000,216626000,221589000,221587000,294063000,357407000,432744000,389782000,110358000,108429000,- -,460500000,641100000,711800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,14438000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,24400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,19600000,33518000,40232000,33304000,38203000,29157000,31799000,26323000,19702000,13934000,- -,98300000,102100000,157500000
58,Total Non-Current Liabilities,110997000,121948000,65049000,266000000,357002000,250144000,261821000,254891000,332266000,386564000,464543000,416105000,130060000,122363000,- -,558800000,748900000,893700000
59,Other Liabilities,260038000,284602000,259425000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,7300000
61,Total Liabilities,149041000,162654000,194376000,315500000,387284000,266399000,275045000,283645000,384887000,456755000,548457000,476398000,171090000,156280000,- -,646800000,868100000,1085800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,35400000,35839000,36255000,36667000,36836000,36947000,36947000,36947000,36947000,44804000,41939000,- -,48000000,48100000,49600000
64,Retained Earnings,- -,- -,- -,24800000,36769000,95876000,101001000,108155000,121097000,150418000,167001000,-46046000,12602000,56296000,- -,158100000,218900000,329100000
65,Other Comprehensive Income/Loss,- -,- -,- -,-23200000,-1260000,-256000,- -,-5319000,-10378000,-29180000,-55170000,-63784000,-4541000,-4672000,- -,- -,-1900000,- -
66,Other Total Stockholders Equity,368659000,381290000,425798000,396201000,375944000,380581000,371896000,369854000,381822000,551660000,558424000,574483000,507786000,510649000,- -,- -,605800000,- -
67,Total Stockholders Equity,368659000,381290000,425798000,433201000,447292000,512456000,509564000,509526000,529488000,709845000,707202000,501600000,560651000,604212000,- -,808300000,870900000,1014900000
68,Total Liabilities And Stockholders Equity,517700000,543944000,620174000,748701000,834576000,778855000,784609000,793171000,914375000,1166600000,1255659000,977998000,731741000,760492000,- -,1455100000,1739000000,2100700000
69,Minority Interest,- -,- -,- -,-1000,- -,5879000,4715000,1686000,4059000,5552000,2540000,2515000,1467000,1420000,- -,600000,-100000,1000000
70,Total Liabilities & Equity,517700000,543944000,620174000,748700000,834576000,784734000,789324000,794857000,918434000,1172152000,1258199000,980513000,733208000,761912000,- -,1455700000,1738900000,2101700000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1406587/000095013409004532/0000950134-09-004532-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000095012310020621/0000950123-10-020621-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000095012311021293/d79867e10vk.htm,https://www.sec.gov/Archives/edgar/data/1406587/000119312512100269/0001193125-12-100269-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000119312513107366/0001193125-13-107366-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000140658714000014/for1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1406587/000140658715000018/for1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1406587/000140658716000077/0001406587-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000140658717000005/0001406587-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000140658718000002/0001406587-18-000002-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1406587/000140658720000087/0001406587-20-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1406587/000140658721000093/0001406587-21-000093-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,34897000,51844000,24800000,11974000,59107000,5125000,7154000,12942000,29321000,16583000,-213047000,58648000,50254000,- -,33000000,60800000,110200000
74,Depreciation and Amortization,- -,2249000,2355000,2900000,7673000,9786000,9014000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,2700000
75,Deferred Income Tax,- -,1578000,-4912000,-19500000,-11399000,-22734000,-6527000,-27177000,-6355000,-862000,1645000,41261000,-1360000,-1705000,- -,9500000,23100000,19200000
76,Stock Based Compensation,- -,- -,- -,- -,4516000,11998000,11596000,7067000,14929000,16809000,3417000,4246000,4037000,6643000,- -,1300000,2000000,2600000
77,Change in Working Capital,- -,170000,- -,697632000,66029000,-160554000,-4779000,-2980000,-585237000,167340000,-44831000,-49863000,194200000,248632000,- -,-447800000,-8900000,-456600000
78,Accounts Receivable,- -,- -,-611000,5900000,- -,- -,- -,- -,-1132000,-3864000,10704000,-978000,13214000,2686000,- -,- -,-3000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-531700000,-281700000,- -
80,Accounts Payable,- -,- -,3541000,7507000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41900000,- -,28000000
81,Other Working Capital,- -,- -,- -,697632000,763661000,603107000,598328000,595348000,10111000,177451000,132620000,82757000,276957000,525589000,- -,40500000,281800000,49700000
82,Other Non-Cash Items,- -,-17800000,-78358000,-769832000,-130682000,244517000,-878000,50928000,537699000,-123831000,130268000,252529000,-188648000,-320039000,- -,12800000,-250300000,18800000
83,Cash Provided by Operating Activities,- -,21094000,-29071000,-64000000,-51889000,142120000,13551000,34992000,-26022000,88777000,107082000,35126000,66877000,-16215000,- -,-391200000,-168400000,-303100000
84,CAPEX,- -,-1616000,- -,-3200000,-5197000,-7295000,-2702000,-6348000,-24151000,-107897000,-118643000,-64407000,-6717000,-2452000,- -,-900000,-600000,-1600000
85,Acquisitions Net,- -,-29612000,- -,-14492000,- -,- -,-38055000,- -,-110484000,2637000,-33050000,-14181000,-389000,6850000,- -,100000,4300000,2600000
86,Purchases of Investments,- -,- -,- -,- -,-17845000,-2875000,-3291000,-2007000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,6168000,3797000,14849000,3067000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,25696000,7410000,6892000,207000,- -,2602000,393000,26781000,-10495000,5564000,3570000,421711000,130094000,- -,-900000,700000,-1600000
89,Cash Used for Investing Activites,- -,-5532000,7410000,-10800000,-16667000,-6373000,-26597000,-4895000,-105119000,-103927000,-129731000,-60328000,420743000,134544000,- -,-800000,5000000,1000000
90,Debt Repayment,- -,-29733000,-89144000,- -,-82023000,-166959000,-63481000,-123399000,-74226000,-106076000,-225481000,-58220000,-315229000,-10049000,- -,-85000000,-118900000,-422000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,144998000,- -,- -,- -,- -,- -,100700000,- -,33400000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-15178000,-12977000,-1409000,- -,-24595000,- -,-3537000,- -,- -,- -,-300000,-600000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,12902000,108213000,72000000,151186000,44136000,76020000,119196000,198854000,158174000,250545000,9737000,502000,-52295000,- -,424100000,294100000,450600000
95,Cash Used/Provided by Financing Activities,- -,-16831000,19069000,72000000,69163000,-122823000,-2639000,-17180000,123219000,197096000,469000,-48483000,-318264000,-62344000,- -,439800000,174900000,61400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1269000,-2592000,-2800000,607000,12924000,-15685000,12917000,-7922000,181946000,-22180000,-73685000,169356000,55985000,- -,47800000,11500000,-240700000
98,Cash at the End of Period,- -,12942000,10350000,7600000,8127000,21051000,5366000,18283000,10361000,192307000,170127000,96442000,265798000,321783000,- -,382800000,394300000,153600000
99,Cash at the Beginning of Period,- -,14211000,12942000,10400000,7520000,8127000,21051000,5366000,18283000,10361000,192307000,170127000,96442000,265798000,- -,335000000,382800000,394300000
100,Free Cash Flow,- -,19478000,-29071000,-67200000,-57086000,134825000,10849000,28644000,-50173000,-19120000,-11561000,-29281000,60160000,-18667000,- -,-392100000,-169000000,-304700000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1406587/000095013409004532/0000950134-09-004532-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000095012310020621/0000950123-10-020621-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000095012311021293/d79867e10vk.htm,https://www.sec.gov/Archives/edgar/data/1406587/000119312512100269/0001193125-12-100269-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000119312513107366/0001193125-13-107366-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000140658714000014/for1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1406587/000140658715000018/for1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1406587/000140658716000077/0001406587-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000140658717000005/0001406587-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1406587/000140658718000002/0001406587-18-000002-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1406587/000140658720000087/0001406587-20-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1406587/000140658721000093/0001406587-21-000093-index.htm
102,false,,,,,,,,,,,,,,,,,,
