,https://roic.ai/company/KNBE,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,157585000,- -,391803000
67,Total Stockholders Equity,- -,-5015000,-3159000,217267000
68,Total Liabilities And Stockholders Equity,- -,161028000,218210000,537678000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,161028000,218210000,537678000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1664998/000166499822000025/0001664998-22-000025-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-9246000,-124323000,-2430000,-11845000
74,Depreciation and Amortization,4338000,7898000,11762000,13639000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,936000,118147000,5281000,29347000
77,Change in Working Capital,18662000,-28242000,13858000,30922000
78,Accounts Receivable,-7484000,-11403000,-6978000,-14415000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,3584000,4938000,2328000,9292000
81,Other Working Capital,23546000,-4696000,9162000,42245000
82,Other Non-Cash Items,3026000,56238000,16393000,14715000
83,Cash Provided by Operating Activities,17716000,29718000,44864000,76778000
84,CAPEX,-9471000,-10796000,-8108000,-5516000
85,Acquisitions Net,-3272000,-4970000,- -,-33824000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-5514000,-5223000,-2682000,-2506000
89,Cash Used for Investing Activites,-12743000,-15766000,-8108000,-39340000
90,Debt Repayment,- -,- -,-35000,-40000
91,Common Stock Issued,- -,- -,4274000,155958000
92,Common Stock Repurchased,- -,-339880000,-4857000,-1171000
93,Dividends Paid,- -,-10000000,- -,- -
94,Other Financing Activites,-168000,340268000,182000,-3515000
95,Cash Used/Provided by Financing Activities,-168000,-9612000,-436000,151232000
96,Effect of Forex Changes on Cash,-107000,-49000,398000,-529000
97,Net Change In Cash,4698000,4291000,36718000,188141000
98,Cash at the End of Period,44573000,48864000,85582000,273723000
99,Cash at the Beginning of Period,39875000,44573000,48864000,85582000
100,Free Cash Flow,8245000,18922000,36756000,71262000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1664998/000166499822000025/0001664998-22-000025-index.htm
102,false,,,,
