,https://roic.ai/company/ICPT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),1265990,1044826,-24729483,-28340691,-170055740,2727000,-10292000,-24755000,-23752000,-32254000,-43640000,-35753000
20,Income Before Tax,-15087223,- -,-43643071,-67792410,-283225954,-226429000,-412830000,-360367000,-309242000,-344681000,-274880000,-91426000
21,Income Before Tax Ratio,-Infinity,- -,-17.8419,-41.8052,-162.6223,-81.3907,-16.5456,-2.7518,-1.7199,-1.3678,-0.8791,-0.2515
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-15087223,-12737654,-43643071,-67792410,-283225954,-226429000,-412830000,-360367000,-309242000,-344681000,-274880000,-91426000
24,Net Income ratio,-Infinity,-7.0564,-17.8419,-41.8052,-162.6223,-81.3907,-16.5456,-2.7518,-1.7199,-1.3678,-0.8791,-0.2515
25,EPS,-5.40,-1.19,-7.36,-3.76,-13.63,-9.56,-16.74,-14.38,-10.86,-10.89,-8.34,-2.88
26,EPS Diluted,-5.40,-1.19,-7.36,-3.76,-13.63,-9.56,-16.74,-14.38,-10.86,-10.89,-8.34,-2.88
27,Weighted Average Shares Outstanding,3329666,10733483,6283238,18028731,20784438,23694000,24663000,25054000,28464000,31654000,32970000,31736000
28,Weighted Average Shares Outstanding Diluted,3329666,10733483,6283238,18028731,20784438,23694000,24663000,25054000,28464000,31654000,32970000,31736000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1270073/000114420413019166/0001144204-13-019166-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420414015854/0001144204-14-015854-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420415013338/0001144204-15-013338-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420416085037/0001144204-16-085037-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420417012180/0001144204-17-012180-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420418011793/0001144204-18-011793-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420419011650/0001144204-19-011650-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000155837020001314/0001558370-20-001314-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000155837021001804/0001558370-21-001804-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000155837022002666/0001558370-22-002666-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,17707476,45511641,13363185,20022927,32742000,43675000,70013000,43248000,70055000,58151000,84709000
32,Short-Term Investments,- -,- -,64759270,131546797,219700890,595313000,645710000,344904000,392912000,582567000,411516000,334980000
33,Cash and Short-Term Investments,- -,17707476,110270911,144909982,239723817,628055000,689385000,414917000,436160000,652622000,469667000,419689000
34,Net Receivables,- -,637000,537308,1378000,2557000,3691000,12335000,18572000,25694000,38044000,41549000,47617000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8619000
36,Other Current Assets,- -,559618,970000,1276556,3547017,9947000,6145000,14818000,20571000,30649000,34525000,26367000
37,Total Current Assets,- -,18904094,111778219,147564538,245827834,641693000,707865000,448307000,482425000,721315000,545741000,502292000
38,PP&E,- -,311366,148838,1672000,5851000,10047000,11295000,16184000,10411000,18448000,18653000,3377000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,254869,251540,1081747,2469343,4018000,20093000,19856000,16331000,15123000,16095000,21354000
45,Total Non-Current Assets,- -,566235,400378,2753747,8320343,14065000,31388000,36040000,26742000,33571000,34748000,24731000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,19470329,112178597,150318285,254148177,655758000,739253000,484347000,509167000,754886000,580489000,527023000
48,Accounts Payable,- -,604000,1180000,3196000,3129000,4170000,6722000,6965000,11765000,18975000,24594000,- -
49,Short-Term Debt,- -,81762,- -,- -,- -,- -,- -,- -,- -,6456000,7248000,-204802000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,2446107,1621622,1621622,1781620,1782000,5694000,1782000,1621000,- -,- -,- -
52,Other Current Liabilities,- -,900198,10162432,4063805,10330489,41421000,66096000,95287000,100819000,136574000,147234000,371619000
53,Total Current Liabilities,- -,4032067,12964054,8881427,15241109,47373000,78512000,104034000,114205000,162005000,179076000,166817000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,341356000,355677000,371250000,532078000,568266000,539782000
55,Deferred Revenue,- -,12162163,10540543,8918916,8017301,6236000,4453000,2672000,811000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5835877,22762135,50112137,- -,- -,- -,5578000,3771000,9247000,- -,4386000
58,Total Non-Current Liabilities,- -,17998040,33302678,59031053,8017301,6236000,345809000,363927000,375832000,541325000,568266000,544168000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,81762,- -,- -,- -,- -,- -,- -,- -,6456000,14932000,- -
61,Total Liabilities,- -,22030107,46266732,67912480,23258410,53609000,424321000,467961000,490037000,703330000,747342000,710985000
62,Preferred Stock,- -,27778,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3330,16527,19390,21415,24000,25000,25000,30000,33000,33000,30000
64,Retained Earnings,- -,-74540279,-118183350,-185975760,-469201714,-695630000,-1108460000,-1469543000,-1778785000,-2123466000,-2398346000,-2489772000
65,Other Comprehensive Income/Loss,- -,-184500,-21451,59853,-283835,-2253000,-2801000,-786000,-2259000,-1144000,-2477000,-2873000
66,Other Total Stockholders Equity,- -,72133893,184100139,268302617,700354657,1300008000,1426168000,1486690000,1800144000,2176133000,2233937000,2308653000
67,Total Stockholders Equity,- -,-2559778,65911865,82406100,230890523,602149000,314932000,16386000,19130000,51556000,-166853000,-183962000
68,Total Liabilities And Stockholders Equity,- -,19470329,112178597,150318580,254148933,655758000,739253000,484347000,509167000,754886000,580489000,527023000
69,Minority Interest,- -,- -,- -,-295,-756,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,19470329,112178597,150318285,254148177,655758000,739253000,484347000,509167000,754886000,580489000,527023000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1270073/000114420413019166/0001144204-13-019166-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420414015854/0001144204-14-015854-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420415013338/0001144204-15-013338-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420416085037/0001144204-16-085037-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420417012180/0001144204-17-012180-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420418011793/0001144204-18-011793-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420419011650/0001144204-19-011650-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000155837020001314/0001558370-20-001314-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000155837021001804/0001558370-21-001804-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000155837022002666/0001558370-22-002666-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-15087223,-12737654,-43643071,-67792410,-283225954,-226429000,-412830000,-360367000,-309242000,-344681000,-274880000,-91426000
74,Depreciation and Amortization,479500,410601,201323,105683,442797,1691000,3831000,4601000,4582000,3663000,3118000,4674000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1692885,1865755,3348989,9446095,20126794,34189000,46205000,56968000,49914000,55982000,60850000,33888000
77,Change in Working Capital,-70509,14872027,83942138,39868946,91903614,363733275,35033000,-285080000,23947000,191090000,-192645000,-31190000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-9126000,-7375000,-9193000,-12350000,-2646000,-7141000
79,Inventory,- -,- -,- -,- -,- -,- -,-2279000,-1201000,-3628000,-1354000,-269000,231000
80,Accounts Payable,-123976,- -,2241575,3514032,6199684,32218000,19960000,29226000,10332000,56411000,13863000,-4825000
81,Other Working Capital,- -,14872027,98814165,138683111,230586725,594320000,629353000,344273000,368220000,559310000,366665000,335475000
82,Other Non-Cash Items,-672476,-1804943,-59598847,-9634723,83014405,-336086275,-14680000,318476000,-9915000,-142667000,233531000,42415000
83,Cash Provided by Operating Activities,-13657823,2605786,-15749468,-28006409,-87738344,-162902000,-342441000,-265402000,-240714000,-236613000,-170026000,-41639000
84,CAPEX,-29063,-62817,-38795,-1629140,-4643171,-5935000,-5079000,-10392000,-167000,-1136000,-3891000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-65940976,-125825108,-204343743,-640709000,-511521000,-231107000,-436071000,-603014000,-330713000,-349457000
87,Sales/Maturities of Investments,- -,- -,1119075,57240679,112401738,257172000,456465000,529274000,388168000,415162000,497421000,420580000
88,Other Investing Activites,86922,-3227,3328,- -,- -,- -,- -,- -,- -,- -,- -,-397000
89,Cash Used for Investing Activites,57859,-66044,-64857368,-70213569,-96585176,-389472000,-60135000,287775000,-48070000,-188988000,162817000,70726000
90,Debt Repayment,-270206,-249667,-81762,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,24888296,- -,108499996,61169337,183475222,558756000,- -,- -,261362000,227260000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75825000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,4902186,7508040,6713000,414382000,2838000,2183000,230259000,-693000,76943000
95,Cash Used/Provided by Financing Activities,24618090,-249667,108418234,66071523,190983262,565469000,414382000,2838000,263545000,457519000,-693000,1118000
96,Effect of Forex Changes on Cash,-29099,-6345,-7233,- -,- -,-376000,-873000,1127000,-1526000,-386000,-1224000,-1450000
97,Net Change In Cash,10989027,2283730,27804165,-32148456,6659742,12719000,10933000,26338000,-26765000,31532000,-9126000,28755000
98,Cash at the End of Period,15423746,17707476,45511641,13363185,20022927,32742000,43675000,70013000,43248000,74780000,65654000,94409000
99,Cash at the Beginning of Period,4434719,15423746,17707476,45511641,13363185,20023000,32742000,43675000,70013000,43248000,74780000,65654000
100,Free Cash Flow,-13686886,2542969,-15788263,-29635549,-92381515,-168837000,-347520000,-275794000,-240881000,-237749000,-173917000,-41639000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1270073/000114420413019166/0001144204-13-019166-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420414015854/0001144204-14-015854-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420415013338/0001144204-15-013338-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420416085037/0001144204-16-085037-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420417012180/0001144204-17-012180-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420418011793/0001144204-18-011793-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000114420419011650/0001144204-19-011650-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000155837020001314/0001558370-20-001314-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000155837021001804/0001558370-21-001804-index.htm,https://www.sec.gov/Archives/edgar/data/1270073/000155837022002666/0001558370-22-002666-index.htm
102,false,,,,,,,,,,,,
