,https://roic.ai/company/FTNT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,39000,44149000,-1071000,-138533000,7003000,-10584000,81512000,-28936000,-137707000,106419000,25175000,390026000,-186803000,-85100000,719200000,198200000
83,Cash Provided by Operating Activities,3409000,27669000,37686000,61971000,103383000,132842000,183866000,147384000,196582000,282547000,345708000,594405000,638900000,808000000,1083700000,1499700000
84,CAPEX,-1187000,-2028000,-2798000,-4589000,-3776000,-3624000,-22083000,-13877000,-32197000,-37358000,-67182000,-135312000,-53000000,-92200000,-125900000,-295900000
85,Acquisitions Net,- -,- -,-2000000,- -,- -,-2623000,-1249000,-7635000,-17000,-38025000,-22087000,- -,-21700000,-34600000,-40200000,-234900000
86,Purchases of Investments,-28850000,-30050000,-80588000,-137231000,-416376000,-516906000,-601087000,-552778000,-497084000,-459903000,-473608000,-669171000,-681800000,-1332300000,-1079000000,-2350500000
87,Sales/Maturities of Investments,51400000,29750000,31742000,156126000,136380000,356327000,441708000,427556000,499948000,534319000,488754000,727680000,621600000,956800000,1171000000,1555800000
88,Other Investing Activites,100000,- -,-62000,-549000,62000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,400000
89,Cash Used for Investing Activites,21463000,-2328000,-53706000,13757000,-283710000,-166826000,-182711000,-146734000,-29350000,-967000,-74123000,-76803000,-134900000,-502300000,-72800000,-1325100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1626000,- -,-10100000,-3700000,-4100000,-19500000
91,Common Stock Issued,- -,- -,- -,88260000,- -,- -,38087000,25584000,55324000,67314000,44861000,75869000,86500000,49500000,22100000,26000000
92,Common Stock Repurchased,-60000,- -,- -,-15763000,- -,- -,- -,-33529000,-43977000,-60000000,-110828000,-446333000,-211800000,-145100000,-1080100000,-741800000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,853000,19000,2117000,5552000,34019000,39797000,12069000,1522000,-10598000,-28871000,-38266000,-45137000,-67200000,-96300000,-109500000,818100000
95,Cash Used/Provided by Financing Activities,793000,19000,2117000,78049000,34019000,39797000,50156000,-6423000,749000,-21557000,-105859000,-415601000,-202600000,-195600000,-1171600000,82800000
96,Effect of Forex Changes on Cash,- -,460000,-937000,2110000,709000,-682000,-326000,-1329000,-600000,- -,- -,- -,- -,- -,- -,-100000
97,Net Change In Cash,25665000,25820000,-14840000,155887000,-145599000,5131000,50985000,-7102000,167381000,260023000,165726000,102001000,301400000,110100000,-160700000,257300000
98,Cash at the End of Period,45591000,71411000,56571000,212458000,66859000,71990000,122975000,115873000,283254000,543277000,709003000,811004000,1112400000,1222500000,1061800000,1319100000
99,Cash at the Beginning of Period,19926000,45591000,71411000,56571000,212458000,66859000,71990000,122975000,115873000,283254000,543277000,709003000,811000000,1112400000,1222500000,1061800000
100,Free Cash Flow,2222000,25641000,34888000,57382000,99607000,129218000,161783000,133507000,164385000,245189000,278526000,459093000,585900000,715800000,957800000,1203800000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1262039/000126203911000007/ftnt10k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203912000013/0001262039-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203913000009/0001262039-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203914000007/ftnt-201310k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203915000009/ftnt-201410k.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203916000053/0001262039-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203917000008/0001262039-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203918000009/0001262039-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203919000006/0001262039-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203920000011/0001262039-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1262039/000126203921000008/0001262039-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203922000008/0001262039-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,
