,https://roic.ai/company/IMAHF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1405663/000147237515000189/0001472375-15-000189-index.html,https://www.sec.gov/Archives/edgar/data/1405663/000147237516000395/0001472375-16-000395-index.html,https://www.sec.gov/Archives/edgar/data/1405663/000147237517000079/0001472375-17-000079-index.html,https://www.sec.gov/Archives/edgar/data/1405663/000147237518000093/0001472375-18-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1405663/000147237519000040/0001472375-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1405663/000147237520000037/0001472375-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1405663/000147237521000073/0001472375-21-000073-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-268924,-48592,-385210,-170000,-190000,-330000,-200000,-330000,-310000,-590000,-390000,-1050000,-1290000,1720000,-1150000,-4000000,-2006840,-4601850,-5259750,-2683650,-3709660,-5116750,-4899259
74,Depreciation and Amortization,2187,1436,1082,1141,646,3552,- -,643,1063,1275,1618,1870,3468,10423,8338,8377,142174,6647,2198,3138,4602,4525,7294
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6821,411578,162417,22923,- -,155847,309723,105606,202886,108591,4434,888,- -
77,Change in Working Capital,153747,- -,- -,-90000,-300000,260000,860000,90000,-900000,-60000,-330000,1530000,2320000,-4600000,-1430000,2770000,-438480,-7612390,-8214930,-3615020,-4094040,-5118505,-5800087
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,368,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-90000,-390000,-130000,730000,820000,-80000,-140000,-470000,1060000,3380000,-1220000,-2650000,120000,-318480,-7930870,-16145800,-19760820,-23854860,-28973365,-34773452
82,Other Non-Cash Items,114969,-63702,286098,117926,544556,110970,-684300,23363,902850,311009,464552,-1893116,-1759138,1874321,2173318,365721,-1191384,8313851,10929408,5009438,6386301,8379038,9505728
83,Cash Provided by Operating Activities,1978,-110858,-98030,-140933,55202,44522,-24300,-215994,-306087,-337716,-247008,-999668,-563253,-972333,-398344,-700055,-3184807,-3788136,-2340188,-1177503,-1408363,-1850804,-1186324
84,CAPEX,-3055,- -,-318689,-139524,-333756,-387249,-344925,-645307,-753877,-868495,-646270,-384602,-1507280,-3191370,-1305691,-1756619,-1070,- -,-3303,-707661,-834322,-22550,-879
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,756,2942,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56089,-3167478,-7620,50000,-6204,- -,- -,-13796,- -,-480,- -
89,Cash Used for Investing Activites,-2299,2942,-318689,-139524,-333756,-387249,-344925,-645307,-753877,-868495,-646270,-384602,-1563369,-3191370,-1313311,-1706619,-7274,- -,-3303,-721457,-834322,-23030,-879
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-222075,-13771,-100000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,270234,263941,307666,161180,348181,1951192,225503,210346,1180534,860631,1775045,4946740,- -,- -,533414,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,107788,-24513,92148,-109762,-50465,- -,- -,944360,- -,160117,1759181,2535000,2859185,3644449,2502420,1825000,2271084,1980000,950000
95,Cash Used/Provided by Financing Activities,- -,270234,263941,307666,268968,323668,2043340,115741,159881,1180534,860631,2719405,4946740,-61958,1745410,2968414,2859185,3644449,2502420,1825000,2271084,1980000,950000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-167392,-419,-2015,3919,-48336,11272,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-321,162318,-152779,27209,-9587,-19059,1674115,-912952,-900502,-27692,-28729,1286798,2831390,-4225661,33755,561740,-332896,-143687,158929,-73960,28399,106166,-237203
98,Cash at the End of Period,1,162319,3609,30745,24056,6067,1680715,984188,92393,73744,33594,1326741,4240942,9441,43196,604936,272040,128353,287282,213322,241721,347887,110684
99,Cash at the Beginning of Period,321,1,156388,3536,33643,25126,6600,1897140,992895,101436,62323,39943,1409551,4235102,9441,43196,604936,272040,128353,287282,213322,241721,347887
100,Free Cash Flow,-1077,-110858,-416720,-280457,-278555,-342727,-369225,-861301,-1059964,-1206211,-893279,-1384270,-2070532,-4163703,-1704035,-2456674,-3185877,-3788136,-2343491,-1885164,-2242685,-1873354,-1187203
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1405663/000147237515000189/0001472375-15-000189-index.html,https://www.sec.gov/Archives/edgar/data/1405663/000147237516000395/0001472375-16-000395-index.html,https://www.sec.gov/Archives/edgar/data/1405663/000147237517000079/0001472375-17-000079-index.html,https://www.sec.gov/Archives/edgar/data/1405663/000147237518000093/0001472375-18-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1405663/000147237519000040/0001472375-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1405663/000147237520000037/0001472375-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1405663/000147237521000073/0001472375-21-000073-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
