,https://roic.ai/company/NEWT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,48970000,41951000,42708000,43892000,21578000,25335000,- -,25776000,31785000,35398000,40937000,44492000,- -,62292000
11,COGS and Expenses,1420735,4915681,7430490,13334810,28544107,39949142,66105000,75268000,96149000,100079000,100263000,110895000,113037000,116075000,125456000,- -,26633000,31785000,38032000,41006000,47363000,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,4844000,6237000,5498000,3355000,1735000,1903000,- -,3422000,4838000,- -,9201000,11518000,18671000,23807000,29491000,64798000,78966000
13,Interest Expense (Gain),- -,7280240,- -,- -,13878956,- -,16027000,16281000,14043000,10887000,10350000,4479000,3416000,4495000,5863000,- -,6479000,8440000,11397000,16066000,20422000,17877000,20515000
14,Depreciation and Amortization,2273,6151,74054,147681,484484,2459381,4549000,6369000,7360000,7577000,5847000,4709000,3955000,3036000,3284000,43000,326000,296000,402000,484000,501000,402000,304000
15,EBITDA,5428067,5001311,1538230,10973342,31021866,19541062,35095000,19949000,3809000,5951000,13175000,10209000,9755000,17056000,20593000,- -,43398000,41169000,52954000,53305000,65222000,50899000,106288000
16,EBITDA ratio,0.4568,0.5742,0.0646,0.3169,0.5128,0.2784,0.3626,0.2269,0.0410,0.0602,0.1246,0.0906,0.0778,0.1301,0.1434,- -,0.6958,0.6411,0.6917,0.6861,0.7346,0.6790,0.7193
17,Operating Income,10461391,3794561,16369696,21289341,31948693,30230644,29816000,12637000,-3314000,-1194000,5448000,1824000,12302000,15055000,18137000,- -,-563000,-820000,882000,8509000,11932000,- -,6277000
18,Operating Income ratio,0.8804,0.4356,0.6878,0.6149,0.5281,0.4308,0.3080,0.1438,-0.0357,-0.0121,0.0515,0.0162,0.0981,0.1148,0.1263,- -,-0.0090,-0.0128,0.0115,0.1095,0.1344,- -,0.0425
19,Total Other Income Expenses (Gains),-2438908,-8675505,-14905520,-14106689,-15476996,-13148963,-15297000,-15846000,-13790000,-11875000,-9450000,-947000,-10030000,-5616000,-7068000,- -,37156000,33253000,40273000,28246000,32367000,- -,79192000
20,Income Before Tax,8022483,-4880944,1464176,7182652,16471697,17081681,14519000,-3209000,-17104000,-13069000,-4002000,877000,2272000,9439000,11069000,- -,36593000,32433000,41155000,36755000,44299000,32620000,85469000
21,Income Before Tax Ratio,0.6752,-0.5604,0.0615,0.2074,0.2723,0.2434,0.1500,-0.0365,-0.1842,-0.1322,-0.0379,0.0078,0.0181,0.0720,0.0771,- -,0.5867,0.5050,0.5376,0.4731,0.4989,0.4352,0.5784
22,Income Tax expense (Gain),- -,1140092,534616,2657410,7089639,6466667,6792000,-581000,-6375000,-2050000,-2593000,-418000,-1097000,3882000,3918000,- -,857000,5128000,2179000,1077000,3164000,-999000,1327000
23,Net Income,5425794,-3425172,929560,8168251,9568787,10615014,7727000,-2120000,-11219000,-10463000,-429000,1439000,3481000,5643000,7528000,- -,35736000,27305000,38976000,35678000,41135000,33619000,84142000
24,Net Income ratio,0.4566,-0.3932,0.0391,0.2359,0.1582,0.1513,0.0798,-0.0241,-0.1208,-0.1058,-0.0041,0.0128,0.0278,0.0430,0.0524,- -,0.5730,0.4252,0.5091,0.4592,0.4633,0.4485,0.5694
25,EPS,1.50,-0.90,0.20,1.70,1.85,1.75,1.15,-0.30,-1.55,-1.45,-0.05,0.20,0.50,0.80,1.05,- -,3.32,1.88,2.25,1.91,2.13,1.59,0.14
26,EPS Diluted,1.50,-0.90,0.20,1.70,1.85,1.75,1.15,-0.30,-1.55,-1.45,-0.05,0.20,0.50,0.75,1.00,- -,3.32,1.88,2.25,1.91,2.13,1.59,0.14
27,Weighted Average Shares Outstanding,3650000,3861968,4377991,4836700,5155429,6013547,6848200,6975000,7163400,7147600,7128800,7131000,7141200,7104600,7059000,10770000,10770000,14541000,17327000,18714000,19326000,21146000,22541000
28,Weighted Average Shares Outstanding Diluted,3650000,3861968,4381905,4858708,5235454,6075739,6856000,6975000,7163400,7147600,7128800,7160200,7214600,7349400,7581000,10770000,10770000,14541000,17327000,18714000,19326000,21146000,22541000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1587987/000158798715000004/0001587987-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798716000068/0001587987-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798717000018/0001587987-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798718000013/0001587987-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798719000009/0001587987-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798720000013/0001587987-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798721000081/0001587987-21-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798722000010/0001587987-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25454016,34697081,31171966,41171358,33444611,50921982,23940000,26685000,25372000,87411000,64528000,10382000,11363000,14229000,12508000,17813000,4308000,2051000,2464000,2316000,1762000,2073000,2397000
32,Short-Term Investments,- -,- -,14450228,5053463,1720179,3209097,14096000,10859000,1308000,- -,- -,- -,- -,896000,4734000,3000000,35000,35000,9000,9000,- -,- -,- -
33,Cash and Short-Term Investments,25454016,34697081,45622194,46224821,35164790,54131079,38036000,37544000,26680000,87411000,64528000,10382000,11363000,15125000,17242000,20813000,4343000,2086000,2473000,2325000,1762000,2073000,2397000
34,Net Receivables,- -,- -,- -,3884811,3421193,3736200,2525000,2087000,4506000,5175000,11479000,22048000,15404000,27569000,25208000,3337000,35139000,6150000,10794000,45849000,54145000,58842000,48932000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,110482447,146350213,147734298,180437000,30611000,34310000,18364000,14441000,19570000,28026000,8456000,16877000,15389000,22869000,20845000,18074000,29034000,31445000,- -,- -
37,Total Current Assets,- -,- -,- -,160592079,184936196,205601577,220998000,70242000,65496000,110950000,90448000,52000000,54793000,51150000,59327000,39539000,62351000,29081000,31341000,77208000,87352000,- -,- -
38,PP&E,8714,531462,460219,546231,670715,1958927,6587000,4458000,5433000,5062000,3631000,3210000,2853000,3523000,3741000,329000,- -,- -,- -,- -,7990000,6933000,7310000
39,Goodwill,- -,- -,963736,2862965,1832621,11150326,9438000,10575000,12996000,12092000,12092000,12092000,12092000,12092000,12092000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,3024298,6477989,9894000,12132000,11547000,8378000,4218000,2753000,16066000,1558000,1240000,444000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,963736,2862965,4856919,17628315,19332000,22707000,24543000,20470000,16310000,14845000,28158000,13650000,13332000,444000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,5053463,1720179,3209097,18096000,143330000,122344000,103604000,75404000,93749000,59558000,67301000,98015000,235691000,267734000,345224000,456689000,541096000,659044000,671188000,758785000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000,2318000,3606000,2873000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70559000,-49711000,1211000,-13424000,14800000,20591000,22956000,25400000,27145000,31581000,35037000,43025000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,8462659,7247813,22796339,44015000,170495000,152320000,58577000,45634000,113015000,77217000,101592000,139285000,262293000,293134000,372369000,488270000,576133000,710059000,- -,- -
46,Other Assets,54645029,83538926,83362802,177517397,199431822,251194255,309028000,411232000,370136000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840979000,1056561000
47,Total Assets,54645029,83538926,83362802,169054738,192184009,228397916,265013000,240737000,217816000,169527000,136082000,165015000,132010000,152742000,198612000,301832000,355485000,401450000,519611000,653341000,797411000,840979000,1056561000
48,Accounts Payable,- -,- -,-48099487,- -,- -,- -,- -,- -,- -,- -,- -,- -,3739000,1045000,1142000,190000,14747000,13904000,16866000,25021000,20824000,27608000,10935000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1862000,1768000,3250000,1437000,1274000,59000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,79903000,11948000,13323000,8841000,3096000,6525000,7944000,-2279000,-4442000,-7045000,-10131000,-5987000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,79903000,13810000,15091000,15830000,5578000,8941000,8193000,12468000,9462000,9821000,14890000,14837000,- -,- -
54,Long-Term Debt,39177512,66178466,63785196,63969069,60935156,40310837,44364000,27042000,26765000,25998000,68245000,63547000,56881000,70565000,104999000,124772000,137007000,172721000,218243000,334036000,434951000,- -,481108000
55,Deferred Revenue,- -,- -,- -,- -,- -,1160286,1459000,2761000,2032000,2203000,- -,- -,- -,1437000,1274000,59000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1381258,1563018,3726151,10815790,16626577,24271000,24428000,17880000,5344000,- -,- -,- -,- -,- -,- -,857000,5983000,8164000,9241000,12405000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30783000,- -,6260000,6389000,2390000,1204000,4190000,5054000,7729000,12992000,- -,- -
58,Total Non-Current Liabilities,39177512,67559724,65348214,67695220,71750946,58097700,70094000,54231000,46677000,33545000,68245000,94330000,56881000,78262000,112662000,127221000,139068000,182894000,231461000,351006000,460348000,- -,481108000
59,Other Liabilities,79575503,137666248,132237787,204804923,215294382,203679818,242549000,203303000,182698000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501626000,1133782000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,632000,642000,33000,- -,- -,- -,- -,9897000,- -,- -
61,Total Liabilities,40397991,70106524,66889573,137109703,143543436,145582118,172455000,149072000,136021000,113448000,82055000,109421000,72711000,83840000,121603000,135414000,151536000,192356000,241282000,365896000,475185000,501626000,652674000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,427469,444250,506828,524184,677467,696000,710000,722000,733000,733000,734000,734000,738000,738000,205000,290000,293000,369000,379000,411000,439000,483000
64,Retained Earnings,- -,-3425172,-2495612,5672639,15241426,25856440,33584000,31464000,20245000,-4545000,-4974000,-3436000,45000,7008000,14536000,681000,4437000,8092000,14792000,32568000,31852000,22285000,35741000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9477000,-12276000,-14719000,-16463000,-10922000,-10547000,1000000,15000000,20000000,31000000,33000000,32000000,- -,- -
66,Other Total Stockholders Equity,8308927,12267052,13442899,20992827,24481812,50560941,53245000,54895000,35613000,67060000,68929000,71706000,73803000,70023000,70617000,164532000,184222000,180709000,232168000,221498000,257963000,316629000,367663000
67,Total Stockholders Equity,8308927,9269349,11391537,27172294,40247422,77094848,87525000,87069000,56580000,53771000,52412000,54285000,58119000,66847000,75344000,166418000,203949000,209094000,278329000,287445000,322226000,339353000,403887000
68,Total Liabilities And Stockholders Equity,48706918,79375873,78281110,164281997,183790858,222676966,259980000,236141000,192601000,167219000,134467000,163706000,130830000,150687000,196947000,301832000,355485000,401450000,519611000,653341000,797411000,840979000,1056561000
69,Minority Interest,5938111,4163053,5081692,4772741,8393151,5720950,5033000,4596000,25215000,2308000,1615000,1309000,1180000,2055000,1665000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,54645029,83538926,83362802,169054738,192184009,228397916,265013000,240737000,217816000,169527000,136082000,165015000,132010000,152742000,198612000,301832000,355485000,401450000,519611000,653341000,797411000,840979000,1056561000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1587987/000158798715000004/0001587987-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798716000068/0001587987-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798717000018/0001587987-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798718000013/0001587987-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798719000009/0001587987-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798720000013/0001587987-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798721000081/0001587987-21-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798722000010/0001587987-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5425794,-3425172,929560,8168251,9568787,10615014,7727000,-2120000,-11219000,-10463000,-429000,1439000,3481000,5643000,7528000,- -,35736000,27305000,38976000,35678000,41135000,33619000,84142000
74,Depreciation and Amortization,2273,6151,74054,147681,484484,2459381,4549000,6369000,7360000,7577000,5847000,4709000,3955000,3036000,3284000,43000,326000,296000,402000,484000,501000,402000,304000
75,Deferred Income Tax,- -,1140092,534616,2657410,7089639,6466667,6792000,-613000,-6549000,-2984000,-1710000,-633000,-2775000,-2767000,-1402000,16000,825000,5128000,2179000,1077000,3164000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-1729239,- -,- -,- -,- -,- -,- -,- -,- -,31047000,45591000,-39729000,2054000,6609000,4814000,-19040000,18537000,-30264000,1901000,40798000,10197000,-72515000,130503000
78,Accounts Receivable,- -,-4213134,1187304,258252,627389,-1693022,-1601000,3615000,3611000,- -,- -,-4982000,-513000,-2766000,-1278000,6718000,100000,-14000,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,1089800,-1005441,-376122,1848073,-1757869,-1475000,-656000,-1407000,- -,-1154000,- -,2538000,- -,3717000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,31047000,76638000,36909000,38963000,45572000,50386000,31346000,49883000,19619000,21520000,62318000,72515000,- -,- -
82,Other Non-Cash Items,-6101029,-4222645,-7375445,-20881483,-29120157,-24402561,-24908000,-1755000,8401000,-34717000,-46171000,32006000,4690000,-16875000,-9250000,-19942000,-93375000,-13377000,-111944000,-151703000,-143954000,56257000,-74026000
83,Cash Provided by Operating Activities,-2402201,-6501574,-5837215,-9908141,-11977247,-4861499,-5840000,1881000,-2007000,-9540000,3128000,-2208000,11405000,-4354000,4974000,-38923000,-37951000,-10912000,-68486000,-73666000,-88957000,17763000,140923000
84,CAPEX,- -,-28898,-107361,-279438,-323905,-1593466,-3834000,-2771000,-3850000,-3497000,-1764000,-2075000,-1498000,-3055000,-2032000,-20000,-105000,-375000,-446000,-627000,-126000,-10000,- -
85,Acquisitions Net,- -,- -,-24588176,-10892973,-8011708,-16503256,-1638000,-2985000,3597000,-572000,2086000,238000,242000,-1418000,1387000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-8125000,-15268874,-489500,- -,-6421328,-14546691,-30345000,-4825000,-12868000,-7145000,-2111000,-8244000,-22269000,-24190000,- -,-2400000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,250000,5647663,12072284,8742909,1919744,36911183,20044000,31054000,14186000,5440000,4006000,3212000,4672000,4999000,1532000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,11133682,11695016,15541057,857280,-2943000,-2065000,758000,4244000,1183000,533000,1205000,1166000,-37008000,2400000,407000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-7875000,-9650109,-1979071,9265514,2703860,5125050,-18716000,18408000,1823000,-1530000,3400000,-6336000,-17648000,-22498000,-36121000,-20000,302000,-375000,-446000,-627000,-126000,-10000,- -
90,Debt Repayment,-41389998,-35037812,-1658378,-21979730,-7489152,-35031460,-41191000,-17351000,-7643000,- -,-9700000,-16149000,-3238000,-4978000,-7939000,- -,-33916000,-52626000,-36136000,-94188000,-80209000,-42958000,-221911000
91,Common Stock Issued,- -,3555670,726391,2091206,2462963,22839363,2005000,- -,141000,- -,- -,- -,- -,- -,- -,- -,35290000,- -,56662000,5196000,33740000,25571000,50007000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3000000,-54000,-249000,-458000,- -,- -,-16000,-967000,- -,29728000,- -,-866000,- -,- -,-93000,- -,- -
93,Dividends Paid,-245067,-903475,-607542,- -,- -,- -,- -,- -,-274000,- -,-726000,- -,- -,- -,- -,- -,-15111000,-27300000,-28198000,-32433000,-40769000,-42583000,-70144000
94,Other Financing Activites,75799144,57780365,5830700,30530543,6572829,29405917,61142000,-139000,6896000,3008000,-373000,22494000,10478000,35825000,37365000,22295000,37881000,89822000,77017000,206530000,178271000,60435000,236560000
95,Cash Used/Provided by Financing Activities,34164079,25394748,4291171,10642019,1546640,17213820,18956000,-17544000,-1129000,2550000,-10799000,6345000,7224000,29880000,29426000,52023000,24144000,9030000,69345000,85105000,90940000,465000,-5488000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,23886878,9243065,-3525115,9999392,-7726747,17477371,-5600000,2745000,-1313000,-8520000,-4271000,-2199000,981000,3028000,-1721000,13080000,-13505000,-2257000,413000,10812000,1857000,18218000,135435000
98,Cash at the End of Period,25454016,34697081,31171966,41171358,33444611,50921982,23940000,26685000,25372000,16852000,12581000,10382000,11363000,14229000,12508000,25580000,4308000,2051000,2464000,31350000,33207000,51425000,186860000
99,Cash at the Beginning of Period,1567138,25454016,34697081,31171966,41171358,33444611,29540000,23940000,26685000,25372000,16852000,12581000,10382000,11201000,14229000,12500000,17813000,4308000,2051000,20538000,31350000,33207000,51425000
100,Free Cash Flow,-2402201,-6530472,-5944576,-10187579,-12301152,-6454965,-9674000,-890000,-5857000,-13037000,1364000,-4283000,9907000,-7409000,2942000,-38943000,-38056000,-11287000,-68932000,-74293000,-89083000,17753000,140923000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1587987/000158798715000004/0001587987-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798716000068/0001587987-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798717000018/0001587987-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798718000013/0001587987-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798719000009/0001587987-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798720000013/0001587987-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798721000081/0001587987-21-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1587987/000158798722000010/0001587987-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
