,https://roic.ai/company/PING,2017,2018,2019,2020,2021
52,Other Current Liabilities,18689000,28800000,27428000,24509000,39563000
53,Total Current Liabilities,51973000,62059000,73992000,80486000,121510000
54,Long-Term Debt,165206000,241051000,50941000,166227000,305294000
55,Deferred Revenue,2316000,3874000,2061000,3195000,5584000
56,Deferred Tax Liabilities,35886000,39112000,30571000,17867000,4240000
57,Other Non-Current Liabilities,162000,1822000,4775000,1566000,- -
58,Total Non-Current Liabilities,203570000,285859000,88348000,188855000,315118000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,21192000,18470000
61,Total Liabilities,255543000,347918000,162340000,269341000,436628000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,65000,65000,80000,81000,84000
64,Retained Earnings,7332000,-6152000,-7656000,-19395000,-83786000
65,Other Comprehensive Income/Loss,-2661000,-4189000,-6622000,1373000,652000
66,Other Total Stockholders Equity,515944000,519381000,724669000,739051000,824455000
67,Total Stockholders Equity,520680000,509105000,710471000,721110000,741405000
68,Total Liabilities And Stockholders Equity,776223000,857023000,872811000,990451000,1178033000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,776223000,857023000,872811000,990451000,1178033000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1679826/000155837020002034/0001558370-20-002034-index.htm,https://www.sec.gov/Archives/edgar/data/1679826/000155837021001638/0001558370-21-001638-index.htm,https://www.sec.gov/Archives/edgar/data/1679826/000155837022001977/0001558370-22-001977-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,18961000,-13446000,-1504000,-11891000,-64391000
74,Depreciation and Amortization,29152000,30737000,32977000,37266000,44384000
75,Deferred Income Tax,-13286000,3073000,-9379000,-14888000,-19806000
76,Stock Based Compensation,2524000,2848000,6332000,16624000,55800000
77,Change in Working Capital,-38821000,69886000,14301000,82563000,16038000
78,Accounts Receivable,-9967000,-1465000,-18046000,-14666000,-922000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-34000,298000,-624000,1323000,1538000
81,Other Working Capital,69487000,139373000,153674000,236237000,12489000
82,Other Non-Cash Items,4893000,-70212000,-36932000,-87299000,9631000
83,Cash Provided by Operating Activities,3423000,22886000,5795000,22375000,41656000
84,CAPEX,-5961000,-9747000,-19156000,-15850000,-23150000
85,Acquisitions Net,- -,- -,- -,-32470000,-79967000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-3442000,-23224000,-600000,-13255000,-18997000
89,Cash Used for Investing Activites,-5961000,-26661000,-19756000,-48320000,-103117000
90,Debt Repayment,- -,-171250000,-248750000,- -,-230000000
91,Common Stock Issued,- -,- -,200531000,- -,- -
92,Common Stock Repurchased,- -,-76000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,101000,238428000,46199000,103009000,365504000
95,Cash Used/Provided by Financing Activities,101000,67102000,-2020000,103009000,135504000
96,Effect of Forex Changes on Cash,274000,-653000,224000,1049000,347000
97,Net Change In Cash,-2163000,62674000,-15757000,78113000,74390000
98,Cash at the End of Period,21469000,84143000,68386000,146499000,220889000
99,Cash at the Beginning of Period,23632000,21469000,84143000,68386000,146499000
100,Free Cash Flow,-2538000,13139000,-13361000,6525000,18506000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1679826/000155837020002034/0001558370-20-002034-index.htm,https://www.sec.gov/Archives/edgar/data/1679826/000155837021001638/0001558370-21-001638-index.htm,https://www.sec.gov/Archives/edgar/data/1679826/000155837022001977/0001558370-22-001977-index.htm
102,false,,,,,
