,https://roic.ai/company/AJG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,40600000,55800000,63800000,56400000,144600000,168900000,203000000,147300000,167300000,196300000,226700000,249300000,261000000,293200000,204200000,400480000,477279000,608927000,799700000,788700000,948200000,946300000,970200000,1061700000,1161300000,447700000,534200000,623600000,731000000,1026100000,1174900000,1148500000,1238300000,1322700000,1542900000,1468900000,1638700000
11,COGS and Expenses,64000000,91100000,106000000,129900000,144600000,168900000,203000000,234200000,264600000,301400000,349100000,387400000,407300000,456100000,501600000,615202000,747111000,915880000,1062500000,1066200000,1270500000,1268700000,1407200000,1452800000,1485600000,1629200000,1892300000,2228600000,2853300000,4252600000,4955300000,5096000000,5626500000,6306600000,6373800000,5969200000,6872400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28500000,34600000,40800000,43000000,50100000,89000000,103000000,109800000,124100000,138400000,179800000,196400000,226100000
14,Depreciation and Amortization,1500000,2000000,2100000,2700000,- -,- -,- -,6200000,6400000,7400000,8000000,9800000,11100000,11700000,15300000,16316000,20042000,32430000,48600000,63300000,60500000,65000000,65300000,80600000,85600000,93100000,115200000,140400000,178600000,258900000,334200000,350800000,385800000,419000000,474400000,562400000,566300000
15,EBITDA,17000000,27700000,28700000,26700000,26600000,27200000,26500000,42300000,57700000,60600000,70900000,79200000,91900000,96200000,119600000,141710000,161895000,217772000,241900000,298800000,59900000,218100000,249600000,210100000,320700000,341500000,363800000,428700000,503200000,615300000,698400000,786900000,851900000,994400000,1233300000,1590400000,1719300000
16,EBITDA ratio,0.2083,0.2570,0.2335,0.1712,0.1536,0.1372,0.1144,0.1551,0.1910,0.1747,0.1721,0.1734,0.2020,0.1843,0.1974,0.2027,0.1779,0.1978,0.1914,0.2019,0.0404,0.1422,0.1538,0.1304,0.1855,0.1832,0.1704,0.1701,0.1583,0.1330,0.1295,0.1406,0.1383,0.1434,0.1732,0.2269,0.2099
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-2100000,9000000,9700000,-2100000,-2000000,-2100000,-2200000,-2400000,13800000,7700000,- -,100000,33100000,18500000,100000,41420000,-21079000,- -,-8000000,-178600000,-216200000,-112200000,-16000000,5200000,-32600000,-32000000,-34600000,-46400000,-51800000,-106500000,-143600000,-141900000,-155000000,-148000000,-119800000,-169300000,-361900000
20,Income Before Tax,15500000,25700000,26600000,24000000,26600000,27200000,26500000,36100000,51300000,53200000,62900000,69400000,80800000,84500000,104300000,125394000,141853000,185342000,193300000,235500000,-2800000,153100000,200100000,163600000,211100000,203000000,207800000,245300000,274500000,267400000,293500000,356900000,378100000,479400000,626100000,870900000,975100000
21,Income Before Tax Ratio,0.1900,0.2384,0.2164,0.1538,0.1536,0.1372,0.1144,0.1324,0.1698,0.1534,0.1527,0.1520,0.1776,0.1618,0.1722,0.1793,0.1559,0.1683,0.1530,0.1591,-0.0019,0.0998,0.1233,0.1015,0.1221,0.1089,0.0973,0.0973,0.0863,0.0578,0.0544,0.0638,0.0614,0.0691,0.0879,0.1242,0.1191
22,Income Tax expense (Gain),5600000,10300000,10400000,7100000,9300000,9500000,7700000,12600000,19000000,18700000,21400000,23600000,27500000,28000000,36500000,37618000,16597000,55603000,47100000,47000000,-31400000,24600000,45500000,52200000,78000000,39700000,63700000,50300000,5900000,-36000000,-95600000,-88100000,-121100000,-196500000,-89700000,12800000,20100000
23,Net Income,9900000,15400000,16200000,16900000,17300000,17700000,18800000,23500000,32300000,34500000,41500000,45800000,53300000,56500000,67800000,87776000,125256000,129739000,146200000,188500000,30800000,128500000,138800000,77300000,128600000,174100000,144100000,195000000,268600000,303400000,356800000,414400000,463100000,633500000,668800000,818800000,906800000
24,Net Income ratio,0.1213,0.1429,0.1318,0.1083,0.0999,0.0893,0.0811,0.0862,0.1069,0.0995,0.1007,0.1003,0.1171,0.1082,0.1119,0.1255,0.1376,0.1178,0.1157,0.1273,0.0208,0.0838,0.0855,0.0480,0.0744,0.0934,0.0675,0.0774,0.0845,0.0656,0.0662,0.0741,0.0752,0.0914,0.0939,0.1168,0.1107
25,EPS,0.28,0.35,0.37,0.30,0.34,0.35,0.32,0.36,0.44,0.54,0.64,0.66,0.81,0.81,0.93,1.12,1.48,1.49,1.63,2.06,0.33,1.32,1.45,0.83,1.28,1.61,1.28,1.61,2.08,1.97,2.07,2.33,2.57,3.47,3.60,4.29,4.75
26,EPS Diluted,0.28,0.35,0.37,0.30,0.34,0.35,0.32,0.36,0.44,0.54,0.64,0.66,0.78,0.78,0.88,1.05,1.39,1.41,1.57,1.99,0.32,1.31,1.43,0.82,1.28,1.61,1.28,1.59,2.06,1.97,2.06,2.32,2.54,3.40,3.52,4.20,4.65
27,Weighted Average Shares Outstanding,35357143,44000000,43783784,56333333,50882353,50571429,58750000,65277778,73409091,63608000,65260000,71100000,65802469,69538462,73297297,78371429,84632432,87073154,89693252,91504854,93333333,97348485,95724138,93800000,100500000,108400000,111667000,121018000,128894000,152854000,172239000,177560000,180074000,182740000,185994000,190995000,190995000
28,Weighted Average Shares Outstanding Diluted,35357143,44000000,43783784,56333333,50882353,50571429,58750000,65277778,73409091,63608000,65260000,71100000,68115016,72903226,77045455,83596190,90112230,92013475,93121019,94723618,96250000,98091603,97062937,94200000,100625000,108400000,112465000,122478000,130467000,154259000,173215000,178387000,182115000,186164000,190145000,195048000,195048000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354190/000095013196000860/0000950131-96-000860-index.html,https://www.sec.gov/Archives/edgar/data/354190/000095013197001973/0000950131-97-001973-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354190/000095013101500324/0000950131-01-500324-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/354190/000119312504016970/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312505013417/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312506023110/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312507019450/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312508018228/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312509021344/0001193125-09-021344-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312510023360/0001193125-10-023360-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312511025625/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312512061292/0001193125-12-061292-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312513046126/0001193125-13-046126-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312514040834/d661245d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312515047308/d853008d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312516457703/0001193125-16-457703-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312517038619/0001193125-17-038619-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312518038261/0001193125-18-038261-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312519032304/0001193125-19-032304-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312520028191/0001193125-20-028191-index.html,https://www.sec.gov/Archives/edgar/data/354190/000156459021004555/0001564590-21-004555-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000156459022005714/0001564590-22-005714-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,33100000,69200000,79200000,84400000,- -,- -,- -,112400000,46800000,39700000,53500000,57000000,67200000,61500000,61100000,99904000,97334000,152536000,193600000,224600000,317800000,208000000,255900000,194400000,205900000,249800000,291200000,302100000,298100000,314400000,480400000,545500000,681200000,607200000,604800000,664600000,402600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14619000,31900000,26000000,43200000,49200000,7500000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,33100000,69200000,79200000,84400000,- -,- -,- -,112400000,46800000,39700000,53500000,57000000,67200000,61500000,61100000,99904000,97334000,167155000,225500000,250600000,361000000,257200000,263400000,194600000,206000000,249800000,291200000,302100000,298100000,314400000,480400000,545500000,681200000,607200000,604800000,664600000,402600000
34,Net Receivables,62100000,87000000,85800000,90600000,- -,- -,- -,139100000,152500000,179800000,193700000,237600000,217600000,288300000,364900000,405164000,555276000,1183737000,1286400000,1355500000,1396800000,1422300000,1303700000,826500000,693700000,750100000,1027100000,1096100000,1288800000,1722300000,2023200000,2158900000,2468600000,5365900000,5891700000,6893100000,12393000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2900000,7000000,6700000,17100000,- -,- -,- -,22400000,164400000,131600000,134500000,169300000,184000000,181200000,216800000,272654000,371656000,422718000,596000000,621700000,644000000,696700000,708700000,680900000,640300000,726100000,881100000,1031300000,1288700000,1774500000,1832200000,1711700000,2020800000,2145600000,2621000000,3566500000,4874800000
37,Total Current Assets,98100000,163200000,171700000,192100000,- -,- -,- -,273900000,363700000,351100000,381700000,463900000,468800000,531000000,642800000,777722000,1024266000,1773610000,2107900000,2227800000,2401800000,2376200000,2275800000,1702000000,1540000000,1726000000,2199400000,2429500000,2875600000,3811200000,4335800000,4416100000,5170600000,8118700000,9117500000,11124200000,17670400000
38,PP&E,5000000,6000000,6800000,8400000,- -,- -,- -,16600000,18200000,20000000,22600000,26000000,27800000,31500000,36200000,40036000,51246000,250995000,266200000,259000000,185100000,103100000,87900000,88800000,80700000,75800000,91300000,105400000,160400000,195400000,202700000,377600000,412200000,436900000,860900000,824600000,859400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316600000,440600000,596400000,742300000,883700000,1155300000,1472700000,2145200000,3449600000,3662900000,3767800000,4197900000,4625600000,5618500000,6127000000,8666200000
40,Intangible Assets,3600000,3400000,7000000,6800000,6600000,6400000,7800000,8000000,7700000,7900000,7600000,11100000,10400000,12500000,10900000,15931000,65341000,135062000,222900000,374200000,418200000,213100000,315600000,- -,438400000,483500000,561500000,809600000,1078800000,1776000000,1698800000,1627300000,1644600000,1773000000,2318700000,2399900000,3954000000
41,Intangible Assets,3600000,3400000,7000000,6800000,6600000,6400000,7800000,8000000,7700000,7900000,7600000,11100000,10400000,12500000,10900000,15931000,65341000,135062000,222900000,374200000,418200000,529700000,756200000,596400000,1180700000,1367200000,1716800000,2282300000,3224000000,5225600000,5361700000,5395100000,5842500000,6398600000,7937200000,8526900000,12620200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99263000,102361000,137800000,184800000,236100000,286800000,292600000,300900000,271100000,245200000,240200000,251800000,279800000,392600000,521400000,796500000,905100000,806200000,945600000,1085800000,1228500000
44,Other Non-Current Assets,40700000,56800000,68400000,69300000,287300000,313300000,368500000,102600000,73900000,72100000,83700000,89400000,134800000,171000000,194200000,228609000,231707000,201546000,166800000,192100000,148300000,124300000,144300000,583200000,132200000,181800000,235800000,283300000,320700000,385200000,492200000,504300000,567000000,573600000,773600000,769900000,966500000
45,Total Non-Current Assets,49300000,66200000,82200000,84500000,293900000,319700000,376300000,127200000,99800000,100000000,113900000,126500000,173000000,215000000,241300000,284576000,447557000,689964000,793700000,1010100000,987700000,1043900000,1281000000,1569300000,1710300000,1870000000,2284100000,2922800000,3984900000,6198800000,6578000000,7073500000,7726800000,8215300000,10517300000,11207200000,15674600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,147400000,229400000,253900000,276600000,293900000,319700000,376300000,401100000,463500000,451100000,495600000,590400000,641800000,746000000,884100000,1062298000,1471823000,2463574000,2901600000,3237900000,3389500000,3420100000,3556800000,3271300000,3250300000,3596000000,4483500000,5352300000,6860500000,10010000000,10913800000,11489600000,12897400000,16334000000,19634800000,22331400000,33345000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,32000000,36400000,44900000,57000000,68200000,89800000,90300000,91600000,98467000,109853000,107542000,1743500000,1838900000,1917400000,1958800000,1874000000,1365300000,- -,1250300000,1621900000,1819700000,2154700000,2623300000,2877100000,2996100000,3475900000,5740200000,6348500000,7784600000,13845600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47782000,30900000,41400000,5300000,8900000,- -,132000000,- -,- -,10000000,129000000,630500000,267900000,382000000,703600000,441100000,519000000,790600000,278600000,473400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35700000,39700000,44100000,46200000,41500000,60500000,69700000,70600000,84500000,66100000,61300000,69000000,74800000,379300000,434100000,475600000,520900000
52,Other Current Liabilities,90400000,153400000,167100000,180000000,- -,- -,- -,242700000,269200000,296800000,306900000,376500000,376200000,440400000,534100000,630284000,956702000,1594280000,286900000,331800000,427900000,393900000,314100000,315100000,1432900000,266500000,372000000,343600000,415100000,685400000,871300000,843000000,920500000,1055100000,1347800000,1596200000,1895100000
53,Total Current Liabilities,90400000,153400000,167100000,180000000,- -,- -,- -,274700000,305600000,341700000,363900000,444700000,466000000,530700000,625700000,728751000,1066555000,1749604000,2061300000,2212100000,2386300000,2401300000,2232200000,1858600000,1474400000,1577300000,2073600000,2362900000,3284800000,3642700000,4191700000,4611700000,4912300000,7693600000,8921000000,10135000000,16735000000
54,Long-Term Debt,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,24500000,3400000,- -,- -,- -,- -,- -,- -,- -,128349000,122100000,140000000,107600000,25900000,400000000,400000000,550000000,550000000,675000000,725000000,825000000,2125000000,2075000000,2144600000,2691900000,3091400000,3816100000,4586900000,6119500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78400000,69700000,65700000,58700000
56,Deferred Tax Liabilities,- -,- -,- -,9200000,- -,- -,- -,15200000,12000000,9300000,13800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1400000,1700000,3600000,-100000,199700000,217800000,270500000,- -,- -,- -,-200000,11200000,11900000,12800000,15900000,19175000,33655000,57466000,99100000,124800000,126500000,128800000,209100000,274200000,333000000,362000000,491300000,605800000,665200000,1012900000,958900000,1077500000,1128300000,900900000,1612500000,1311100000,1871700000
58,Total Non-Current Liabilities,21400000,21700000,23600000,29100000,219700000,237800000,290500000,35200000,36500000,12700000,13600000,11200000,11900000,12800000,15900000,19175000,33655000,185815000,221200000,264800000,234100000,154700000,609100000,674200000,883000000,912000000,1166300000,1330800000,1490200000,3137900000,3033900000,3222100000,3820200000,4070700000,5498300000,5963700000,8049900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340900000,320900000,309300000
61,Total Liabilities,111800000,175100000,190700000,209100000,219700000,237800000,290500000,309900000,342100000,354400000,377500000,455900000,477900000,543500000,641600000,747926000,1100210000,1935419000,2282500000,2476900000,2620400000,2556000000,2841300000,2532800000,2357400000,2489300000,3239900000,3693700000,4775000000,6780600000,7225600000,7833800000,8732500000,11764300000,14419300000,16098700000,24784900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36800000,79497000,85111000,88548000,90000000,92100000,95700000,98400000,92000000,96400000,102500000,108400000,114700000,125600000,133600000,164600000,176900000,178300000,181000000,184000000,188100000,193700000,208500000
64,Retained Earnings,26100000,41800000,54100000,61200000,64900000,72300000,73400000,76100000,99300000,84800000,102700000,115200000,141300000,172400000,208300000,237373000,283796000,360958000,442300000,539000000,463700000,475000000,495900000,452000000,450300000,488300000,482900000,510400000,596400000,676000000,774500000,916400000,1095900000,1558600000,1901300000,2371700000,2882300000
65,Other Comprehensive Income/Loss,-6300000,-8800000,-10400000,-13300000,- -,- -,- -,-24000000,-30500000,-38900000,-44300000,-53300000,-58900000,-66800000,-76100000,-80325000,-92098000,-14067000,-18700000,-16500000,-26400000,5000000,7400000,-40300000,-9000000,2200000,-47200000,-32800000,-2600000,-260600000,-522500000,-763600000,-559900000,-785600000,-759600000,-643600000,-726100000
66,Other Total Stockholders Equity,15800000,21300000,19500000,19600000,9300000,9600000,12400000,39100000,52600000,50800000,59700000,72600000,81500000,96900000,73500000,77827000,94804000,92716000,105500000,146400000,236100000,285700000,120200000,230400000,349100000,507800000,693200000,1055400000,1358100000,2649400000,3209400000,3265500000,3388200000,3541900000,3825700000,4264400000,- -
67,Total Stockholders Equity,35600000,54300000,63200000,67500000,74200000,81900000,85800000,91200000,121400000,96700000,118100000,134500000,163900000,202500000,242500000,314372000,371613000,528155000,619100000,761000000,769100000,864100000,715500000,738500000,892900000,1106700000,1243600000,1658600000,2085500000,3229400000,3638300000,3596600000,4105200000,4498900000,5155500000,6186200000,8508400000
68,Total Liabilities And Stockholders Equity,147400000,229400000,253900000,276600000,293900000,319700000,376300000,401100000,463500000,451100000,495600000,590400000,641800000,746000000,884100000,1062298000,1471823000,2463574000,2901600000,3237900000,3389500000,3420100000,3556800000,3271300000,3250300000,3596000000,4483500000,5352300000,6860500000,10010000000,10863900000,11430400000,12837700000,16263200000,19574800000,22284900000,33293300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49900000,59200000,59700000,70800000,60000000,46500000,51700000
70,Total Liabilities & Equity,147400000,229400000,253900000,276600000,293900000,319700000,376300000,401100000,463500000,451100000,495600000,590400000,641800000,746000000,884100000,1062298000,1471823000,2463574000,2901600000,3237900000,3389500000,3420100000,3556800000,3271300000,3250300000,3596000000,4483500000,5352300000,6860500000,10010000000,10913800000,11489600000,12897400000,16334000000,19634800000,22331400000,33345000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354190/000095013196000860/0000950131-96-000860-index.html,https://www.sec.gov/Archives/edgar/data/354190/000095013197001973/0000950131-97-001973-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354190/000095013101500324/0000950131-01-500324-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/354190/000119312504016970/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312505013417/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312506023110/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312507019450/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312508018228/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312509021344/0001193125-09-021344-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312510023360/0001193125-10-023360-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312511025625/d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312512061292/0001193125-12-061292-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312513046126/0001193125-13-046126-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312514040834/d661245d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312515047308/d853008d10k.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312516457703/0001193125-16-457703-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312517038619/0001193125-17-038619-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312518038261/0001193125-18-038261-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312519032304/0001193125-19-032304-index.html,https://www.sec.gov/Archives/edgar/data/354190/000119312520028191/0001193125-20-028191-index.html,https://www.sec.gov/Archives/edgar/data/354190/000156459021004555/0001564590-21-004555-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000156459022005714/0001564590-22-005714-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,17300000,17700000,18800000,23500000,32300000,34500000,41500000,45800000,53300000,56500000,67800000,87776000,125256000,129739000,146200000,188500000,30800000,128500000,138800000,77300000,128600000,174100000,144100000,195000000,268600000,303400000,356800000,414400000,463100000,633500000,668800000,818800000,906800000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,6200000,6400000,7400000,8000000,9800000,11100000,11700000,15300000,16316000,20042000,32430000,48600000,63300000,60500000,65000000,65300000,80600000,85600000,93100000,115200000,140400000,178600000,258900000,334200000,350800000,385800000,419000000,474400000,562400000,566300000
75,Deferred Income Tax,- -,- -,- -,- -,800000,-2000000,-1100000,-3300000,-7000000,-5000000,-1300000,-2700000,-9600000,-5500000,1100000,-30629000,-77751000,-6577000,-32100000,-45900000,-84000000,-41100000,-4200000,18400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-184000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,9000000,14300000,7500000,7700000,10600000,11200000,14700000,17300000,13700000,14000000,13600000,13400000
77,Change in Working Capital,- -,- -,- -,- -,-7600000,- -,- -,-800000,58900000,-48700000,8400000,1400000,-16400000,-2500000,16800000,31871000,-91260000,66295000,22594000,-30900000,-200000,-40600000,68700000,-200200000,222200000,83100000,-22900000,-59200000,-475800000,577700000,-24400000,-339700000,453900000,166800000,-228600000,792700000,199500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,-85400000,95300000,-209300000,-242800000,-220300000,-783100000,-434700000,-796500000,132900000
