,https://roic.ai/company/SUMR,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,200,1120,1120,1000,1000,1000,1000,2000,2000,2000,- -,2000,2000,2000,2000,2000,- -,2000
64,Retained Earnings,-939,307571,979916,4095000,8997000,13903000,20490000,24301000,-41352000,-44167000,- -,-44412000,-57385000,-59634000,-63885000,-69088000,- -,-70190000
65,Other Comprehensive Income/Loss,- -,- -,- -,96000,-882000,-266000,-461000,-603000,-204000,-777000,- -,-1410000,-2862000,-2291000,-2960000,-1763000,- -,-1388000
66,Other Total Stockholders Equity,24800,40632501,40632501,49078000,54095000,55342000,56431000,70202000,71507000,72432000,- -,73671000,75065000,75565000,76113000,76432000,- -,76696000
67,Total Stockholders Equity,24061,40941192,41613537,53270000,62211000,68980000,76461000,93902000,29953000,27490000,- -,27851000,14820000,13642000,9270000,5583000,- -,5120000
68,Total Liabilities And Stockholders Equity,25000,51205776,53108437,93225000,130535000,141953000,177995000,212915000,140320000,115367000,- -,122467000,101737000,98030000,94216000,91543000,- -,74737000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25000,51205776,53108437,93225000,130535000,141953000,177995000,212915000,140320000,115367000,- -,122467000,101737000,98030000,94216000,91543000,- -,74737000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1314772/000119312507046596/0001193125-07-046596-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746908003540/0001047469-08-003540-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746909003125/0001047469-09-003125-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746910001999/0001047469-10-001999-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746911002442/0001047469-11-002442-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746912001850/0001047469-12-001850-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746913002669/0001047469-13-002669-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746914002152/0001047469-14-002152-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1314772/000104746915001609/0001047469-15-001609-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746917000832/0001047469-17-000832-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746918000901/0001047469-18-000901-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746919000567/0001047469-19-000567-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746920001584/0001047469-20-001584-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1314772/000110465921037157/0001104659-21-037157-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-939,308510,672345,3115000,4902000,5654000,6587000,3811000,-65653000,-2815000,- -,-245000,-4322000,-2249000,-4251000,-4164000,- -,-1102000
74,Depreciation and Amortization,- -,- -,- -,1180000,2903000,4155000,5384000,6377000,7566000,6280000,- -,5548000,5011000,4197000,4182000,5553000,- -,5779000
75,Deferred Income Tax,- -,-229000,-280000,923000,838000,192000,2279000,4358000,-8218000,-715000,- -,-1130000,-1384000,1911000,-193000,1084000,- -,5000
76,Stock Based Compensation,- -,- -,- -,- -,- -,785000,1057000,1187000,888000,893000,- -,1220000,482000,494000,523000,319000,- -,253000
77,Change in Working Capital,939,- -,-20000,8037000,30609000,-2225000,24428000,1061000,2124000,-20459000,- -,11644000,-7526000,4524000,-3523000,-2944000,- -,-13175000
78,Accounts Receivable,- -,- -,- -,- -,- -,-2523000,-14752000,990000,2319000,10682000,- -,-4622000,6151000,-3859000,3035000,-1583000,- -,6763000
79,Inventory,- -,- -,- -,-9266000,-6738000,628000,-14442000,-1936000,567000,11426000,- -,-6093000,344000,2353000,-2524000,8328000,- -,2926000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-20000,8017000,38626000,36401000,60829000,61890000,64014000,43555000,- -,55199000,30072000,34596000,31073000,28129000,- -,14954000
82,Other Non-Cash Items,- -,-720256,-1008494,-17470000,-39268000,3097000,-48596000,-7409000,67936000,35877000,- -,-23313000,16527000,-7666000,8808000,1687000,- -,25847000
83,Cash Provided by Operating Activities,- -,-640746,-636149,-4215000,-16000,11658000,-8861000,9385000,4643000,19061000,- -,-6276000,8788000,1211000,5546000,1535000,- -,17607000
84,CAPEX,- -,-4335,-2275,-3570000,-5545000,-4007000,-7902000,-6809000,-5596000,-4373000,- -,-2960000,-2266000,-3103000,-3472000,-2326000,- -,-1278000
85,Acquisitions Net,- -,- -,- -,-24371000,-15958000,-1830000,-880000,-13960000,- -,-87000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-99044714,-50891288,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,49877000,50891000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-286,-24714,- -,- -,-146000,- -,-121000,- -,-976000,- -,-227000,- -,- -,- -,-335000,- -,-20000
89,Cash Used for Investing Activites,- -,-49172335,-27277,-27941000,-21503000,-5837000,-8782000,-20769000,-5596000,-4322000,- -,-2960000,-2266000,-3103000,-3472000,-2326000,- -,-1278000
90,Debt Repayment,- -,- -,- -,- -,- -,-9784000,- -,- -,- -,- -,- -,- -,-6548000,-4500000,-17566000,-875000,- -,-27089000
91,Common Stock Issued,25000,55200100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-21941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-25000,-4737796,20000,3676000,21714000,4053000,17377000,11189000,2925000,-15787000,- -,9040000,- -,5821000,15567000,1594000,- -,10445000
95,Cash Used/Provided by Financing Activities,- -,50462304,20000,-18265000,21714000,-5731000,17377000,11189000,2925000,-15787000,- -,9040000,-6548000,1321000,-1999000,719000,- -,-16644000
96,Effect of Forex Changes on Cash,- -,- -,- -,98000,-978000,-146000,472000,272000,-55000,-511000,- -,-105000,102000,253000,-35000,-254000,- -,430000
97,Net Change In Cash,- -,50462304,-643426,-50323000,-783000,-56000,206000,77000,1917000,-1559000,- -,-301000,76000,-318000,40000,-326000,- -,115000
98,Cash at the End of Period,- -,649223,5797,1771000,988000,932000,1138000,1215000,3132000,1573000,- -,1272000,999000,681000,721000,395000,- -,510000
99,Cash at the Beginning of Period,- -,- -,649223,52094000,1771000,988000,932000,1138000,1215000,3132000,- -,1573000,923000,999000,681000,721000,- -,395000
100,Free Cash Flow,- -,-645081,-638424,-7785000,-5561000,7651000,-16763000,2576000,-953000,14688000,- -,-9236000,6522000,-1892000,2074000,-791000,- -,16329000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1314772/000119312507046596/0001193125-07-046596-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746908003540/0001047469-08-003540-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746909003125/0001047469-09-003125-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746910001999/0001047469-10-001999-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746911002442/0001047469-11-002442-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746912001850/0001047469-12-001850-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746913002669/0001047469-13-002669-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746914002152/0001047469-14-002152-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1314772/000104746915001609/0001047469-15-001609-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746917000832/0001047469-17-000832-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746918000901/0001047469-18-000901-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746919000567/0001047469-19-000567-index.htm,https://www.sec.gov/Archives/edgar/data/1314772/000104746920001584/0001047469-20-001584-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1314772/000110465921037157/0001104659-21-037157-index.htm
102,false,,,,,,,,,,,,,,,,,,
