,https://roic.ai/company/ALSN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,29600000,103000000,514200000,165400000,228600000,182300000,214900000,504000000,639000000,604000000,299000000,442000000
24,Net Income ratio,0.0154,0.0476,0.2401,0.0858,0.1075,0.0918,0.1168,0.2228,0.2355,0.2239,0.1437,0.1840
25,EPS,0.16,0.57,2.83,0.90,1.27,1.03,1.28,3.38,4.81,4.95,2.62,3.87
26,EPS Diluted,0.16,0.57,2.76,0.88,1.25,1.03,1.27,3.36,4.78,4.91,2.62,3.87
27,Weighted Average Shares Outstanding,181400000,181375783,181696113,183777778,180000000,176990291,167890625,149112426,132848233,122020202,114122137,114122137
28,Weighted Average Shares Outstanding Diluted,181400000,181375783,186304348,187954545,182880000,176990291,169212598,150000000,133682008,123014257,114122137,114122137
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1411207/000119312513084136/0001193125-13-084136-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000119312514063895/d642995d10k.htm,https://www.sec.gov/Archives/edgar/data/1411207/000119312515055034/d825977d10k.htm,https://www.sec.gov/Archives/edgar/data/1411207/000119312516469168/0001193125-16-469168-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000119312517056079/0001193125-17-056079-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000119312518047233/0001193125-18-047233-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000141120719000050/0001411207-19-000050-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000156459020007355/0001564590-20-007355-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000156459021006709/0001564590-21-006709-index.htm,https://www.sec.gov/Archives/edgar/data/1411207/000095017022001427/0000950170-22-001427-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,314000000,80200000,184700000,263000000,251600000,204700000,199000000,231000000,192000000,310000000,127000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,314000000,80200000,184700000,263000000,251600000,204700000,199000000,231000000,192000000,310000000,127000000
34,Net Receivables,- -,194700000,165000000,175100000,207400000,195000000,196900000,254000000,295000000,253000000,228000000,301000000
35,Inventory,- -,155900000,157100000,160400000,143500000,141400000,125600000,154000000,170000000,199000000,181000000,204000000
36,Other Current Assets,- -,38100000,88000000,86700000,144100000,28800000,20400000,25000000,29000000,42000000,37000000,39000000
37,Total Current Assets,- -,702700000,490300000,606900000,758000000,616800000,547600000,632000000,725000000,686000000,756000000,671000000
38,PP&E,- -,581800000,596200000,563400000,514600000,479700000,464100000,448000000,466000000,616000000,638000000,706000000
39,Goodwill,- -,1941000000,1941000000,1941000000,1941000000,1941000000,1941000000,1941000000,1941000000,2041000000,2064000000,2064000000
40,Intangible Assets,- -,1866100000,1716100000,1610800000,1512000000,1334800000,1242400000,1153000000,1066000000,1042000000,963000000,917000000
41,Intangible Assets,- -,3807100000,3657100000,3551800000,3453000000,3275800000,3183400000,3094000000,3007000000,3083000000,3027000000,2981000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000
43,Tax Assets,- -,- -,32300000,1100000,1300000,1900000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,101000000,90100000,89400000,77300000,34200000,23500000,31000000,39000000,65000000,56000000,53000000
45,Total Non-Current Assets,- -,4489900000,4375700000,4205700000,4046200000,3791600000,3671000000,3573000000,3512000000,3764000000,3721000000,3786000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5192600000,4866000000,4812600000,4804200000,4408400000,4218600000,4205000000,4237000000,4450000000,4477000000,4457000000
48,Accounts Payable,- -,162600000,133100000,150400000,151700000,126200000,127900000,159000000,169000000,150000000,157000000,179000000
49,Short-Term Debt,- -,33600000,19500000,17900000,17900000,24500000,11900000,12000000,- -,11000000,10000000,10000000
50,Tax Payable,- -,17100000,6900000,8600000,8500000,12600000,9900000,10000000,10000000,12000000,11000000,14000000
51,Deferred Revenue,- -,19900000,21600000,29200000,20600000,22900000,27300000,41000000,34000000,35000000,34000000,37000000
52,Other Current Liabilities,- -,233800000,203600000,189700000,155700000,131000000,175100000,205000000,223000000,221000000,172000000,233000000
53,Total Current Liabilities,- -,449900000,377800000,387200000,345900000,304600000,342200000,417000000,426000000,417000000,373000000,459000000
54,Long-Term Debt,- -,3345000000,2801300000,2660400000,2502600000,2352700000,2146800000,2534000000,2523000000,2512000000,2507000000,2504000000
55,Deferred Revenue,- -,40800000,42600000,43200000,48700000,56400000,66300000,75000000,88000000,104000000,109000000,99000000
56,Deferred Tax Liabilities,- -,214200000,100000,76200000,238200000,204600000,311900000,276000000,329000000,387000000,442000000,514000000
57,Other Non-Current Liabilities,- -,321000000,287300000,206800000,271000000,301500000,271100000,214000000,212000000,249000000,290000000,247000000
58,Total Non-Current Liabilities,- -,3921000000,3131300000,2986600000,3060500000,2915200000,2796100000,3099000000,3152000000,3252000000,3348000000,3364000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,4000000,4000000
61,Total Liabilities,- -,4370900000,3509100000,3373800000,3406400000,3219800000,3138300000,3516000000,3578000000,3669000000,3721000000,3823000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1800000,1800000,1800000,1800000,1700000,1600000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,-683700000,-202300000,-173800000,-215500000,-444500000,-586400000,-1055000000,-1100000000,-970000000,-974000000,-1126000000
65,Other Comprehensive Income/Loss,- -,-57000000,-43900000,-21000000,-39500000,-58800000,-62900000,-15000000,-30000000,-52000000,-89000000,-73000000
66,Other Total Stockholders Equity,- -,1560600000,1601300000,1631800000,1651000000,1690200000,1728000000,1758000000,1788000000,1802000000,1818000000,1832000000
67,Total Stockholders Equity,- -,821700000,1356900000,1438800000,1397800000,1188600000,1080300000,689000000,659000000,781000000,756000000,634000000
68,Total Liabilities And Stockholders Equity,- -,5192600000,4866000000,4812600000,4804200000,4408400000,4218600000,4205000000,4237000000,4450000000,4477000000,4457000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,5192600000,4866000000,4812600000,4804200000,4408400000,4218600000,4205000000,4237000000,4450000000,4477000000,4457000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1411207/000119312513084136/0001193125-13-084136-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000119312514063895/d642995d10k.htm,https://www.sec.gov/Archives/edgar/data/1411207/000119312515055034/d825977d10k.htm,https://www.sec.gov/Archives/edgar/data/1411207/000119312516469168/0001193125-16-469168-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000119312517056079/0001193125-17-056079-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000119312518047233/0001193125-18-047233-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000141120719000050/0001411207-19-000050-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000156459020007355/0001564590-20-007355-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000156459021006709/0001564590-21-006709-index.htm,https://www.sec.gov/Archives/edgar/data/1411207/000095017022001427/0000950170-22-001427-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,29600000,103000000,514200000,165400000,228600000,182300000,214900000,504000000,639000000,604000000,299000000,442000000
74,Depreciation and Amortization,253800000,255700000,252500000,204000000,192600000,185400000,175900000,170000000,164000000,167000000,148000000,150000000
75,Deferred Income Tax,51500000,39800000,-303800000,98000000,131800000,96000000,114200000,-50000000,52000000,65000000,69000000,64000000
76,Stock Based Compensation,8500000,8000000,6400000,13700000,14700000,9800000,9400000,12000000,13000000,13000000,17000000,14000000
77,Change in Working Capital,6300000,261600000,-140300000,107200000,192400000,-99900000,-106800000,9600000,84000000,-30000000,114000000,-32000000
78,Accounts Receivable,23700000,-25000000,29900000,-9900000,-35800000,9000000,-3700000,-19000000,-61000000,37000000,28000000,-78000000
79,Inventory,-11800000,-11000000,-1800000,-4400000,12700000,-2200000,15400000,-25000000,-18000000,-11000000,21000000,-26000000
80,Accounts Payable,3200000,24900000,-29400000,17600000,2100000,-25100000,1900000,30000000,9000000,-25000000,-4000000,24000000
81,Other Working Capital,-8800000,252800000,112500000,219700000,412100000,312200000,205400000,215000000,299000000,269000000,383000000,48000000
82,Other Non-Cash Items,39200000,-198900000,168500000,-134800000,-203200000,206300000,183200000,12400000,-115000000,28000000,-86000000,-3000000
83,Cash Provided by Operating Activities,388900000,469200000,497500000,453500000,556900000,579900000,590800000,658000000,837000000,847000000,561000000,635000000
84,CAPEX,- -,-96900000,- -,- -,- -,- -,- -,- -,- -,- -,-115000000,-175000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-232000000,4000000,- -
86,Purchases of Investments,-21800000,- -,-15400000,-8800000,-4100000,-1900000,-1000000,-3000000,-3000000,-1000000,- -,-41000000
87,Sales/Maturities of Investments,- -,- -,- -,1200000,- -,- -,- -,- -,- -,- -,- -,4000000
88,Other Investing Activites,-73500000,41000000,-123300000,-73900000,-63800000,-57800000,-70400000,-91000000,-100000000,-172000000,- -,- -
89,Cash Used for Investing Activites,-95300000,-55900000,-138700000,-81500000,-67900000,-59700000,-71400000,-94000000,-103000000,-405000000,-111000000,-212000000
90,Debt Repayment,-197900000,-854900000,-574800000,-142400000,-157600000,-607700000,-1215200000,-427000000,-28000000,-1241000000,-1819000000,-7000000
91,Common Stock Issued,- -,- -,29000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-99500000,-249800000,-305800000,-256200000,-885000000,-609000000,-393000000,-225000000,-513000000
93,Dividends Paid,- -,- -,-32800000,-77100000,-91600000,-105600000,-100600000,-89000000,-80000000,-73000000,-78000000,-81000000
94,Other Financing Activites,- -,485000000,-14900000,41500000,74900000,490400000,1007300000,827000000,17000000,1227000000,1787000000,-3000000
95,Cash Used/Provided by Financing Activities,-197900000,-369900000,-593500000,-277500000,-424100000,-528700000,-564700000,-574000000,-700000000,-480000000,-335000000,-604000000
96,Effect of Forex Changes on Cash,3400000,18400000,900000,10000000,13400000,-2900000,-1600000,4000000,-2000000,-1000000,3000000,-2000000
97,Net Change In Cash,99100000,61800000,-233800000,104500000,78300000,-11400000,-46900000,-6000000,32000000,-39000000,118000000,-183000000
98,Cash at the End of Period,252200000,314000000,80200000,184700000,263000000,251600000,204700000,199000000,231000000,192000000,310000000,127000000
99,Cash at the Beginning of Period,153100000,252200000,314000000,80200000,184700000,263000000,251600000,205000000,199000000,231000000,192000000,310000000
100,Free Cash Flow,388900000,372300000,497500000,453500000,556900000,579900000,590800000,658000000,837000000,847000000,446000000,460000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1411207/000119312513084136/0001193125-13-084136-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000119312514063895/d642995d10k.htm,https://www.sec.gov/Archives/edgar/data/1411207/000119312515055034/d825977d10k.htm,https://www.sec.gov/Archives/edgar/data/1411207/000119312516469168/0001193125-16-469168-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000119312517056079/0001193125-17-056079-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000119312518047233/0001193125-18-047233-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000141120719000050/0001411207-19-000050-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000156459020007355/0001564590-20-007355-index.html,https://www.sec.gov/Archives/edgar/data/1411207/000156459021006709/0001564590-21-006709-index.htm,https://www.sec.gov/Archives/edgar/data/1411207/000095017022001427/0000950170-22-001427-index.htm
102,false,,,,,,,,,,,,
