,https://roic.ai/company/CTT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,-119104000,828567130000,391000000,371571157,360491122,345322607,350260242,338953502,568315978,599095000,709824000,740158000,804772000,663303000,606180000,505069000
69,Minority Interest,448011000,-825948202000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,562000,1148000,2241000
70,Total Liabilities & Equity,328907000,2618928000,391000000,371571157,360491122,345322607,350260242,338953502,568315978,599095000,709824000,740158000,804772000,663865000,607328000,507310000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1341141/000119312507065575/0001193125-07-065575-index.htm,https://www.sec.gov/Archives/edgar/data/1341141/000119312508067148/0001193125-08-067148-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341141/000134114121000011/0001341141-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1341141/000134114122000014/0001341141-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-669011000,-17346062000,-53274682,-19948257,-15809720,-11945363,-8870732,-13196920,659549,-8387000,-11070000,-13510000,-122007000,-93321000,-17508000,58262000
74,Depreciation and Amortization,21000000,37912000,170326,190177,206750,216700,275929,155571,97930,117000,139000,176000,210000,227000,166000,153000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1127000,658000,470000
76,Stock Based Compensation,21000000,4200000,- -,- -,- -,21667,28333,1838082,417999,889000,1724000,2786000,2689000,2790000,3836000,2904000
77,Change in Working Capital,- -,-5377667000,4708938000,242055761,213478353,-5757939,28136060,-3426169,-107999644,109970578,2855000,-317000,2307000,5962000,-37000,3152000
78,Accounts Receivable,- -,-145207000,-622404,-225139,140523,207605,-13733,64809,-204430,-1764000,-1201000,-1208000,-3449000,-1473000,-1340000,1920000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,6794825000,- -,- -,- -,- -,-228993,1394706,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,202829000,-5174838000,-465900000,-223844239,-10365886,-16123825,12012235,8586066,-99413578,10557000,13412000,13095000,15402000,21364000,21327000,- -
82,Other Non-Cash Items,-150078000,19247275000,-4662427614,-217268146,-192720866,22037066,-8143720,13557623,126668970,-74095578,37201000,38284000,146597000,118411000,53340000,-17772000
83,Cash Provided by Operating Activities,-777089000,-3434342000,-6593970,5029535,5154517,4572131,11425870,-1071813,19844804,28494000,30849000,27419000,29796000,32942000,40455000,47169000
84,CAPEX,- -,- -,-1505876,-1022993,-1040927,-1626550,- -,-444003,-905996,-2668000,-3195000,-5617000,-4571000,-4178000,-5527000,-4908000
85,Acquisitions Net,- -,- -,2013264,- -,- -,- -,- -,- -,- -,- -,- -,-10539000,-200000000,- -,-5000000,35000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-419106990000,2492721,-623791,102938,1090517,-18342419,-136468,-238432954,-78461000,-144765000,-57877000,-12514000,22830000,15791000,102012000
89,Cash Used for Investing Activites,- -,-419106990000,3000109,-1646784,-937989,-536033,-18342419,-136468,-238432954,-78461000,-144765000,-68416000,-212514000,22830000,10791000,137012000
90,Debt Repayment,- -,- -,-87265492,-57491382,-259000705,-46814920,-122669549,-80196123,-254910000,-498000,-2846000,-292156000,-148000000,-20064000,-20850000,-142705000
91,Common Stock Issued,- -,- -,90912786,60408715,54463267,54511310,4062647,142105266,190222034,- -,- -,56810000,72450000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-300000,-257198,-859555,-6772901,-1099115,-38654730,-43370,-6004000,-3407000,-1347000,-2351000,-3369000,-3337000,-917000
93,Dividends Paid,- -,- -,- -,- -,- -,-1639908,-103436,-11567839,-15335478,-19590000,-20382000,-21349000,-25601000,-26269000,-26263000,-23326000
94,Other Financing Activites,776918000,423813283000,2891878,-4526099,204332554,-5259673,131098121,-13085478,307406427,66719000,141634000,297736000,284029000,-197000,-359000,-6194000
95,Cash Used/Provided by Financing Activities,776918000,423813283000,6239172,-1865964,-1064439,-5976092,11288668,-1398904,227339613,40627000,114999000,39694000,180527000,-49899000,-50809000,-173142000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-171000,1271951000,2645311,1516787,3152089,-1939994,4372119,-2607185,8751463,-9340000,1083000,-1303000,-2191000,5873000,437000,11039000
98,Cash at the End of Period,202829000,1474780000,4120091,5636878,8788967,6848973,11221092,8613907,17365370,8025000,9108000,7805000,5614000,11487000,11924000,22963000
99,Cash at the Beginning of Period,203000000,202829000,1474780,4120091,5636878,8788967,6848973,11221092,8613907,17365000,8025000,9108000,7805000,5614000,11487000,11924000
100,Free Cash Flow,-777089000,-3434342000,-8099846,4006542,4113590,2945581,11425870,-1515816,18938808,25826000,27654000,21802000,25225000,28764000,34928000,42261000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1341141/000119312507065575/0001193125-07-065575-index.htm,https://www.sec.gov/Archives/edgar/data/1341141/000119312508067148/0001193125-08-067148-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1341141/000134114121000011/0001341141-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1341141/000134114122000014/0001341141-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,
