,https://roic.ai/company/ROCK,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0727,0.0775,0.0718,0.0895,0.0725,0.0798,0.0892,0.0884,0.0609,0.0778,0.0775,0.0913,0.0829,0.0923,0.0620,0.0661,-0.0624,-0.0994,0.0472,0.0510,0.0260,-0.0817,0.0462,0.0724,0.0941,0.0937,0.0839,0.1038,0.0724
19,Total Other Income Expenses (Gains),-700000,-700000,-3900000,-3900000,-5100000,-11500000,-13439000,-18942000,-16446000,-10403000,-14252000,-9397000,-25176000,-40369000,-30672000,-28511000,-25599000,-21079000,-19273000,-18094000,-22312000,-14333000,-10985000,-22981000,-14941000,-14023000,-3076000,569000,2574000
20,Income Before Tax,11500000,14800000,16400000,26800000,27500000,33000000,42030000,40950000,21063000,39757000,44550000,83249000,72526000,79935000,50616000,52958000,-77633000,-89185000,16885000,22167000,-832000,-84750000,37100000,49983000,77908000,79945000,84763000,107759000,99562000
21,Income Before Tax Ratio,0.0685,0.0740,0.0580,0.0781,0.0612,0.0592,0.0676,0.0604,0.0342,0.0616,0.0588,0.0820,0.0616,0.0613,0.0386,0.0430,-0.0931,-0.1302,0.0220,0.0281,-0.0010,-0.0983,0.0356,0.0496,0.0789,0.0798,0.0809,0.1044,0.0743
22,Income Tax expense (Gain),6300000,6000000,6700000,10800000,11100000,13200000,17022000,16585000,8530000,15903000,17597000,32467000,27845000,30081000,19512000,19553000,-25761000,-15789000,7669000,9517000,4797000,-2958000,13624000,16264000,14943000,16136000,19672000,24468000,25046000
23,Net Income,5200000,8800000,9700000,16000000,16400000,19800000,25008000,24365000,12533000,23854000,26953000,50782000,43472000,57269000,13224000,24068000,-52025000,-91068000,16523000,12645000,-5633000,-81824000,23448000,33675000,62560000,63809000,65091000,64566000,75629000
24,Net Income ratio,0.0310,0.0440,0.0343,0.0466,0.0365,0.0355,0.0402,0.0360,0.0203,0.0370,0.0355,0.0500,0.0369,0.0439,0.0101,0.0195,-0.0624,-0.1329,0.0216,0.0160,-0.0068,-0.0949,0.0225,0.0334,0.0634,0.0637,0.0621,0.0625,0.0564
25,EPS,0.48,0.58,0.64,0.95,0.89,1.06,1.33,1.29,0.67,1.04,1.11,1.73,1.47,1.93,0.44,0.80,-1.73,-3.01,0.54,0.41,-0.18,-2.63,0.75,1.07,1.97,2.00,2.01,1.98,2.30
26,EPS Diluted,0.48,0.57,0.63,0.95,0.87,1.05,1.30,1.28,0.65,1.03,1.11,1.72,1.46,1.91,0.44,0.80,-1.73,-3.01,0.54,0.41,-0.18,-2.63,0.74,1.05,1.94,1.96,1.99,1.96,2.29
27,Weighted Average Shares Outstanding,10827919,15164831,15148676,16891434,18535500,18684000,18810000,18865500,18886500,22920000,24142500,29362000,29608000,29712000,29879000,29981000,30135000,30303000,30507000,30752000,30930000,31066000,31233000,31536000,31701000,31979000,32389000,32664000,32873000
28,Weighted Average Shares Outstanding Diluted,10827919,15341167,15308135,16891434,18886500,18976500,19209000,19027500,19159500,23278500,24387000,29596000,29810000,30006000,30111000,30193000,30135000,30303000,30650000,30857000,30930000,31066000,31545000,32069000,32250000,32534000,32722000,32918000,33054000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912562/000090480202000006/g10k302.htm,https://www.sec.gov/Archives/edgar/data/912562/000090480203000007/g10k303.htm,https://www.sec.gov/Archives/edgar/data/912562/000121987004000026/gibraltar.htm,https://www.sec.gov/Archives/edgar/data/912562/000121987005000024/ten-kdec2004.htm,https://www.sec.gov/Archives/edgar/data/912562/000119439606000106/gibraltar10k_17774.htm,https://www.sec.gov/Archives/edgar/data/912562/000095015207001687/l24992ae10vk.htm,https://www.sec.gov/Archives/edgar/data/912562/000095015208001451/l29855ae10vk.htm,https://www.sec.gov/Archives/edgar/data/912562/000095015209001842/0000950152-09-001842-index.html,https://www.sec.gov/Archives/edgar/data/912562/000095012310016979/0000950123-10-016979-index.html,https://www.sec.gov/Archives/edgar/data/912562/000095012311018507/l41771e10vk.htm,https://www.sec.gov/Archives/edgar/data/912562/000119312512078110/0001193125-12-078110-index.html,https://www.sec.gov/Archives/edgar/data/912562/000119312513071754/0001193125-13-071754-index.html,https://www.sec.gov/Archives/edgar/data/912562/000119312514060904/d645434d10k.htm,https://www.sec.gov/Archives/edgar/data/912562/000091256215000009/rock-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/912562/000091256216000073/0000912562-16-000073-index.html,https://www.sec.gov/Archives/edgar/data/912562/000091256217000008/0000912562-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/912562/000091256218000006/0000912562-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/912562/000091256219000009/0000912562-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/912562/000091256220000007/0000912562-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/912562/000091256221000007/0000912562-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/912562/000091256222000009/0000912562-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1300000,1100000,4100000,5500000,2400000,1900000,4687000,1701000,8150000,3662000,29019000,10892000,28529000,13475000,35287000,11308000,23596000,60866000,54117000,48028000,97039000,110610000,68858000,170177000,222280000,297006000,191363000,32054000,12849000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1300000,1100000,4100000,5500000,2400000,1900000,4687000,1701000,8150000,3662000,29019000,10892000,28529000,13475000,35287000,11308000,23596000,60866000,54117000,48028000,97039000,110610000,68858000,170177000,222280000,297006000,191363000,32054000,12849000
34,Net Receivables,19600000,26000000,35600000,40100000,49200000,71100000,78418000,78358000,76696000,87772000,102591000,146021000,178775000,169207000,167595000,127537000,93421000,74544000,90595000,89473000,90082000,101141000,164969000,124072000,145385000,140283000,147515000,197990000,236444000
35,Inventory,28600000,42000000,45300000,62400000,76700000,99400000,94994000,100987000,75847000,106155000,107531000,207215000,194653000,254991000,212909000,189935000,107770000,83344000,109270000,116357000,121152000,128743000,107058000,89612000,86372000,98913000,78476000,98307000,176207000
36,Other Current Assets,1000000,1400000,2000000,1500000,2400000,3400000,4492000,6548000,5922000,5405000,10309000,15479000,22047000,18107000,24954000,19449000,26364000,23623000,14872000,13380000,14127000,19937000,10537000,7336000,8727000,8351000,19748000,97109000,21467000
37,Total Current Assets,50500000,70500000,87000000,109500000,130700000,175800000,182591000,187594000,166615000,202994000,249450000,379607000,424004000,455780000,440745000,348229000,251151000,242377000,268854000,267238000,322400000,360431000,351422000,391197000,462764000,544553000,437102000,425460000,446967000
38,PP&E,39700000,52500000,67300000,88700000,115400000,176200000,216030000,229159000,228443000,231526000,250029000,269019000,311147000,243138000,273283000,242052000,227420000,158352000,151974000,151613000,131752000,129575000,118932000,108304000,97098000,95830000,123071000,114791000,115005000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,374821000,453228000,443925000,392704000,325655000,348326000,359863000,341174000,236044000,292390000,304032000,321074000,323671000,329705000,514279000,510942000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,115350000,130368000,132717000,133452000,267157000,285927000,406767000,- -,96871000,87373000,82182000,66395000,95265000,98759000,91777000,82215000,123013000,110790000,105768000,96375000,92592000,156365000,141504000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,115350000,130368000,132717000,133452000,267157000,285927000,406767000,374821000,550099000,531298000,474886000,392050000,443591000,458622000,432951000,318259000,415403000,414822000,426842000,420046000,422297000,670644000,652446000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2477000,2474000,1345000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3500000,3300000,13100000,24300000,35200000,86400000,8109000,8925000,7265000,8596000,11107000,23148000,63094000,79129000,17281000,22303000,18037000,16766000,7636000,6201000,7059000,5895000,4015000,3922000,4681000,1216000,1980000,1599000,483000
45,Total Non-Current Assets,43200000,55800000,80400000,113000000,150600000,262600000,339489000,368452000,368425000,373574000,528293000,578094000,781008000,697088000,840663000,798130000,722817000,568513000,603201000,616436000,571762000,453729000,538350000,527048000,528621000,517092000,547348000,787034000,767934000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,93700000,126300000,167400000,222500000,281300000,438400000,522080000,556046000,535040000,576568000,777743000,957701000,1205012000,1152868000,1281408000,1146359000,973968000,810890000,872055000,883674000,894162000,814160000,889772000,918245000,991385000,1061645000,984450000,1212494000,1214901000
48,Accounts Payable,19000000,19000000,25800000,35400000,38200000,38600000,48857000,39285000,43612000,42074000,49879000,70775000,85877000,71308000,89551000,76168000,68464000,59277000,67320000,69060000,69625000,81246000,89204000,69944000,82387000,79136000,83136000,134738000,172286000
49,Short-Term Debt,- -,- -,- -,1200000,1200000,1400000,1319000,327000,813000,624000,19848000,14692000,8364000,2336000,2955000,2728000,408000,408000,417000,1093000,409000,400000,400000,400000,400000,208805000,- -,8034000,7239000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28186000,11352000,12779000,29885000,64909000,56027000,50392000
52,Other Current Liabilities,3000000,3000000,3700000,4300000,3700000,11600000,19492000,15575000,17126000,22050000,29029000,51885000,63007000,50771000,41719000,46305000,40144000,40433000,60687000,47432000,49879000,52439000,67605000,70392000,75467000,75046000,81152000,103441000,57073000
53,Total Current Liabilities,22000000,22000000,29500000,40900000,43100000,51600000,69668000,55187000,61551000,64748000,98756000,137352000,157248000,124415000,134225000,125201000,109016000,100118000,128424000,117585000,119913000,134085000,185395000,152088000,171033000,392872000,229197000,302240000,286990000
54,Long-Term Debt,15100000,37900000,57800000,48600000,81800000,199400000,235302000,255526000,211462000,166308000,222402000,295347000,454649000,398217000,485654000,353644000,256874000,206789000,206746000,206710000,213598000,213200000,208882000,209237000,209621000,1600000,- -,103366000,35171000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5000000,5500000,9300000,10400000,15100000,25300000,29328000,34325000,38043000,44656000,55982000,66485000,93052000,70981000,78071000,79514000,62832000,39863000,55801000,57068000,55124000,49772000,42654000,38002000,31237000,36530000,40334000,39057000,40278000
57,Other Non-Current Liabilities,- -,500000,600000,900000,1300000,1800000,2323000,2660000,5637000,7739000,6422000,4774000,6038000,9027000,15698000,19513000,17020000,23267000,21148000,25489000,33778000,29874000,42755000,58038000,47775000,33950000,40955000,24026000,27204000
58,Total Non-Current Liabilities,20100000,43900000,67700000,59900000,98200000,226500000,266953000,292511000,255142000,218703000,284806000,366606000,553739000,478225000,579423000,452671000,336726000,269919000,283695000,289267000,302500000,292846000,294291000,305277000,288633000,72080000,81289000,166449000,102653000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27978000,25764000,18629000
61,Total Liabilities,42100000,65900000,97200000,100800000,141300000,278100000,336621000,347698000,316693000,283451000,383562000,503958000,710987000,602640000,713648000,577872000,445742000,370037000,412119000,406852000,422413000,426931000,479686000,457365000,459666000,464952000,310486000,468689000,389643000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,126000,126000,126000,160000,193000,297000,298000,299000,300000,301000,303000,305000,307000,309000,311000,313000,317000,320000,323000,329000,332000,336000,338000
64,Retained Earnings,22800000,316200000,41300000,57300000,73700000,93600000,117010000,139747000,150578000,172147000,196138000,242585000,280116000,332920000,337929000,356007000,303982000,212914000,229437000,242082000,236449000,154625000,178073000,211748000,274562000,338995000,405668000,469943000,545572000
65,Other Comprehensive Income/Loss,-18300000,-21000000,-24900000,-29400000,-36200000,-46900000,-58483000,-73228000,-91389000,-110261000,-131057000,-152059000,2000000,1000000,11000000,-11000000,-2000000,-2000000,-3000000,-2000000,-4000000,-10000000,-15000000,-8000000,-4000000,-7000000,-5000000,-2461000,187000
66,Other Total Stockholders Equity,47100000,- -,53800000,93800000,102500000,113600000,126806000,141703000,159032000,231071000,328907000,362920000,211611000,216009000,218531000,223179000,225941000,229634000,233192000,236431000,238989000,242291000,246696000,256812000,260834000,264369000,272964000,275987000,279161000
67,Total Stockholders Equity,51600000,60400000,70200000,121700000,140000000,160300000,185459000,208348000,218347000,293117000,394181000,453743000,494025000,550228000,567760000,568487000,528226000,440853000,459936000,476822000,471749000,387229000,410086000,460880000,531719000,596693000,673964000,743805000,825258000
68,Total Liabilities And Stockholders Equity,93700000,126300000,167400000,222500000,281300000,438400000,522080000,556046000,535040000,576568000,777743000,957701000,1205012000,1152868000,1281408000,1146359000,973968000,810890000,872055000,883674000,894162000,814160000,889772000,918245000,991385000,1061645000,984450000,1212494000,1214901000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,93700000,126300000,167400000,222500000,281300000,438400000,522080000,556046000,535040000,576568000,777743000,957701000,1205012000,1152868000,1281408000,1146359000,973968000,810890000,872055000,883674000,894162000,814160000,889772000,918245000,991385000,1061645000,984450000,1212494000,1214901000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912562/000090480202000006/g10k302.htm,https://www.sec.gov/Archives/edgar/data/912562/000090480203000007/g10k303.htm,https://www.sec.gov/Archives/edgar/data/912562/000121987004000026/gibraltar.htm,https://www.sec.gov/Archives/edgar/data/912562/000121987005000024/ten-kdec2004.htm,https://www.sec.gov/Archives/edgar/data/912562/000119439606000106/gibraltar10k_17774.htm,https://www.sec.gov/Archives/edgar/data/912562/000095015207001687/l24992ae10vk.htm,https://www.sec.gov/Archives/edgar/data/912562/000095015208001451/l29855ae10vk.htm,https://www.sec.gov/Archives/edgar/data/912562/000095015209001842/0000950152-09-001842-index.html,https://www.sec.gov/Archives/edgar/data/912562/000095012310016979/0000950123-10-016979-index.html,https://www.sec.gov/Archives/edgar/data/912562/000095012311018507/l41771e10vk.htm,https://www.sec.gov/Archives/edgar/data/912562/000119312512078110/0001193125-12-078110-index.html,https://www.sec.gov/Archives/edgar/data/912562/000119312513071754/0001193125-13-071754-index.html,https://www.sec.gov/Archives/edgar/data/912562/000119312514060904/d645434d10k.htm,https://www.sec.gov/Archives/edgar/data/912562/000091256215000009/rock-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/912562/000091256216000073/0000912562-16-000073-index.html,https://www.sec.gov/Archives/edgar/data/912562/000091256217000008/0000912562-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/912562/000091256218000006/0000912562-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/912562/000091256219000009/0000912562-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/912562/000091256220000007/0000912562-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/912562/000091256221000007/0000912562-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/912562/000091256222000009/0000912562-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5200000,8800000,9700000,16000000,16400000,19800000,25008000,24365000,12533000,23854000,26953000,50782000,43472000,57269000,13224000,24068000,-52025000,-91068000,16523000,12645000,-5633000,-81824000,23448000,33675000,62560000,63809000,65091000,64566000,75629000
74,Depreciation and Amortization,3400000,3400000,4500000,6200000,8500000,13300000,17452000,21188000,23486000,20481000,22448000,25029000,28607000,27499000,33057000,33907000,32413000,26395000,- -,26344000,27050000,25432000,30548000,24114000,21690000,20374000,19949000,20915000,31966000
75,Deferred Income Tax,5100000,700000,200000,800000,2200000,1700000,2383000,5252000,4545000,5800000,6502000,6773000,-3359000,-28953000,5283000,- -,- -,-10629000,5028000,994000,-1237000,-6640000,-2051000,-4893000,-7105000,4781000,3303000,3786000,2968000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4586000,4407000,4315000,4642000,3148000,2564000,3150000,3891000,6373000,7122000,9189000,12570000,8173000,8652000
77,Change in Working Capital,-1900000,20000000,9000000,11100000,19000000,36600000,-11277000,19484000,-27343000,33182000,12448000,91561000,24501000,64609000,-24845000,-83492000,-80893000,124000,-1829000,9223000,52834000,23859000,-60319000,73082000,52622000,-140050000,56224000,-84685000,-104093000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12273000,34845000,-4115000,-7612000,6268000,-1020000,-14323000,-17215000,37828000,-21806000,9737000,-9418000,2277000,-41887000
79,Inventory,-6600000,-13400000,18000000,-17100000,1600000,-6300000,6873000,-206000,25140000,-30308000,11056000,-89616000,46677000,-55055000,42668000,1770000,83920000,1938000,-10101000,-1022000,-4971000,-8599000,22271000,11782000,870000,-16951000,23105000,-5719000,-85763000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8722000,-7539000,12831000,2076000,-3770000,417000,11205000,-5157000,-17060000,11332000,-4828000,2571000,-1160000,38367000
81,Other Working Capital,28500000,48500000,57500000,68600000,87600000,124200000,112923000,132407000,105064000,138246000,150694000,242255000,266756000,331365000,306520000,223028000,142135000,142259000,140430000,149653000,202487000,226346000,166027000,239109000,291731000,151681000,207905000,123220000,- -
82,Other Non-Cash Items,-1700000,-41500000,12300000,-20500000,-21700000,-58100000,27103000,-36169000,62596000,-71112000,-3688000,-176129000,37778000,-133688000,132094000,128805000,227697000,140106000,22331000,-2273000,-15283000,68565000,91167000,-9613000,-66819000,139442000,-27202000,76349000,7948000
83,Cash Provided by Operating Activities,10100000,-8600000,35700000,13600000,24400000,13300000,60669000,34120000,75817000,12205000,64663000,-1984000,130999000,-13264000,158813000,107874000,131599000,69243000,46695000,50081000,60295000,32542000,86684000,122738000,70070000,97545000,129935000,89104000,23070000
84,CAPEX,-10500000,-16200000,-14500000,-15500000,-21800000,-121500000,-21999000,-19619000,-14344000,-15995000,-22571000,-25196000,-22122000,-21901000,-18752000,-21595000,-10813000,-8470000,-11552000,-11351000,-14940000,-23291000,-12373000,-10779000,-11399000,-12457000,-11184000,-13068000,-17705000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-228000000,94000000,-195000000,26000000,-5000000,29000000,-42000000,-45000000,-6000000,- -,-141000000,-15000000,-18000000,-5000000,-9000000,-311686000,42205000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1250000,-250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1900000,200000,-20500000,-22900000,-25300000,200000,-62542000,-35127000,-10397000,-6729000,-91604000,-64137000,189000,406000,3908000,3170000,350000,477000,1507000,588000,13074000,5992000,28033000,1909000,12602000,2908000,511000,-1956000,38000
89,Cash Used for Investing Activites,-6600000,-16000000,-35000000,-38400000,-47100000,-121300000,-84541000,-54746000,-24741000,-22724000,-114175000,-89333000,-249933000,72505000,-209844000,7575000,-15463000,19757000,-52295000,-55763000,-7866000,-17022000,-125340000,-23870000,-16797000,-14549000,-19673000,-326710000,24538000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-184937000,-184784000,-58967000,-74262000,-473000,-205094000,-407000,-73642000,-400000,-400000,-400000,-212000000,- -,-120636000
91,Common Stock Issued,26100000,- -,- -,35500000,1200000,100000,1014000,36000,589000,53674000,73558000,9600000,817000,1174000,137000,250000,47000,270000,34000,278000,648000,595000,1801000,3341000,674000,1385000,490000,1119000,1021000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-181000,- -,- -,- -,- -,- -,- -,-393000,-164000,-634000,-1114000,-826000,-970000,-714000,-575000,-956000,-1539000,-2872000,-7165000,-4305000,-6656000,-6497000
93,Dividends Paid,-17300000,- -,- -,- -,- -,- -,-1253000,-1447000,-1638000,-2269000,-2733000,-3720000,-5940000,-5957000,-5971000,-5985000,-1499000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-12300000,24500000,2300000,-9300000,18400000,107300000,26921000,19232000,-43578000,-45374000,4044000,67310000,142025000,-67459000,79139000,51909000,83022000,8449000,72279000,-8000,202471000,65000,72613000,1195000,- -,- -,-1235000,85000000,59500000
95,Cash Used/Provided by Financing Activities,-3500000,24500000,2300000,26200000,19600000,107400000,26682000,17640000,-44627000,6031000,74869000,73190000,136902000,-72242000,72912000,-138927000,-103848000,-51362000,-2775000,-1173000,-2689000,-322000,-184000,2597000,-2598000,-6180000,-217050000,79463000,-66612000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-463000,766000,-729000,-1627000,-2912000,-146000,1428000,-2090000,1145000,-1166000,-201000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,2810000,-2986000,6449000,-4488000,25357000,-18127000,17637000,-15054000,21812000,-23979000,12288000,37270000,-6749000,-6089000,49011000,13571000,-41752000,101319000,52103000,74726000,-105643000,-159309000,-19205000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,4687000,1701000,8150000,3662000,29019000,10892000,28529000,13475000,35287000,11308000,23596000,60866000,54117000,48028000,97039000,110610000,68858000,170177000,222280000,297006000,191363000,32054000,12849000
