,https://roic.ai/company/PHAR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-18441000,-18033000,-24621000,-29467000,-27848000,-44131000,-18501000,-17461000,-6912000,2877000,-12834000,-11540000,21912000,37992000,60907000,66739000,11434000
18,Operating Income ratio,-45.5333,-122.6735,-35.6826,-44.3780,-25.4088,-77.0175,-6.1691,-1.6452,-1.0099,0.1358,-1.1853,-0.7270,0.2445,0.2812,0.3603,0.3594,0.0682
19,Total Other Income Expenses (Gains),582000,-514000,-11267000,3262000,-3876000,-16512000,658000,-6632000,-8148000,-8644000,2877000,-5996000,-111311000,-37135000,-14228000,-28148000,8025000
20,Income Before Tax,-17859000,-18547000,-35888000,-26205000,-31724000,-60643000,-17843000,-24093000,-15060000,-5767000,-9957000,-17536000,-89399000,857000,46679000,38591000,19459000
21,Income Before Tax Ratio,-44.0963,-126.1701,-52.0116,-39.4654,-28.9453,-105.8342,-5.9496,-2.2701,-2.2005,-0.2722,-0.9196,-1.1048,-0.9975,0.0063,0.2762,0.2078,0.1160
22,Income Tax expense (Gain),- -,-51000,-276000,- -,336000,-4276000,- -,- -,- -,- -,- -,- -,-9442000,-24136000,10484000,5556000,5971000
23,Net Income,-17859000,-18496000,-35612000,-26205000,-32060000,-56367000,-17104000,-24093000,-15060000,-5767000,-9957000,-17536000,-79957000,24993000,36195000,33035000,13488000
24,Net Income ratio,-44.0963,-125.8231,-51.6116,-39.4654,-29.2518,-98.3717,-5.7032,-2.2701,-2.2005,-0.2722,-0.9196,-1.1048,-0.8922,0.1850,0.2141,0.1779,0.0804
25,EPS,-22.83,-20.84,-38.71,-28.78,-27.79,-18.86,-3.57,-3.28,-0.70,-0.15,-0.24,-0.42,-1.60,0.41,0.58,0.51,0.21
26,EPS Diluted,-22.83,-20.84,-38.71,-28.78,-27.79,-18.86,-3.57,-3.28,-0.70,-0.15,-0.24,-0.42,-1.60,0.38,0.54,0.48,0.19
27,Weighted Average Shares Outstanding,797912,868025,915953,923460,1170502,2683132,4737554,7352533,21460765,39609852,41174948,41538132,50041277,60661812,62631501,63626893,64228571
28,Weighted Average Shares Outstanding Diluted,797912,868025,915953,923460,1170502,2683132,4737554,7352533,21460765,39609852,41174948,41538132,50041277,65352770,67352000,68273728,70989474
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14689000,26082000,50954000,19610000,15923000,10302000,3777000,5273000,16968000,34185000,31643000,31889000,58657000,80311000,66299000,167068000,169335000
32,Short-Term Investments,5839000,- -,- -,3748000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20528000,26082000,50954000,23358000,15923000,10302000,3777000,5273000,16968000,34185000,31643000,31889000,58657000,80311000,66299000,167068000,169335000
34,Net Receivables,1135000,- -,- -,- -,- -,- -,- -,407000,615000,1410000,2993000,11386000,10183000,16001000,23458000,25965000,26454000
35,Inventory,3855000,9169000,11720000,10971000,11255000,9013000,6580000,2101000,4763000,13404000,16229000,17941000,18334000,17315000,14467000,17229000,24096000
36,Other Current Assets,- -,7154000,16029000,1646000,1392000,9932000,2804000,668000,2253000,144000,227000,974000,1077000,1813000,2279000,4081000,200000
37,Total Current Assets,25518000,42405000,78703000,35975000,28570000,29247000,13161000,8449000,24599000,49143000,51092000,62190000,88251000,115440000,106503000,214343000,220085000
38,PP&E,4960000,7325000,7098000,5896000,5240000,6702000,9567000,7128000,6228000,5598000,5661000,6043000,8234000,8402000,14532000,17632000,29262000
39,Goodwill,- -,9190000,9190000,6998000,4312000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,3914000,19783000,18981000,18051000,17585000,1163000,- -,535000,405000,777000,724000,56680000,56631000,52435000,70809000,76615000,- -
41,Intangible Assets,3914000,28973000,28171000,25049000,21897000,1163000,987000,535000,405000,777000,724000,56680000,56631000,52435000,70809000,76615000,73967000
42,Investments,-5644000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5508000,5796000,8787000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9442000,35082000,28590000,25957000,18719000
44,Other Non-Current Assets,5839000,376000,376000,176000,176000,176000,979000,732000,176000,200000,200000,1870000,3632000,3210000,2268000,415000,-268000
45,Total Non-Current Assets,9069000,36674000,35645000,31121000,27313000,8041000,11533000,8395000,6809000,6575000,6585000,64593000,77939000,99129000,121707000,126415000,130467000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34587000,79079000,114348000,67096000,55883000,37288000,24694000,16844000,31408000,55718000,57677000,126783000,166190000,214569000,228210000,340758000,350552000
48,Accounts Payable,3717000,- -,7830000,7365000,- -,- -,- -,1126000,4027000,2943000,1016000,5652000,9430000,6642000,5351000,10969000,37473000
49,Short-Term Debt,49000,1579000,15719000,- -,27501000,- -,1218000,895000,766000,626000,3310000,26399000,22225000,35498000,47536000,3259000,3792000
50,Tax Payable,96000,- -,- -,- -,- -,- -,- -,207000,184000,130000,187000,218000,- -,2142000,-209000,502000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1936000,2200000,2200000,2207000,943000,804000,800000,- -,- -,- -
52,Other Current Liabilities,1942000,7614000,- -,5185000,8769000,9684000,6917000,5011000,5932000,9104000,6942000,18384000,26069000,39659000,48999000,48351000,- -
53,Total Current Liabilities,5708000,9193000,23549000,12550000,36270000,9684000,8135000,8968000,12925000,14873000,13475000,51378000,58528000,82599000,101886000,62579000,41265000
54,Long-Term Debt,140000,- -,- -,37766000,1788000,- -,2215000,1961000,1207000,965000,12555000,40994000,59074000,37431000,4363000,128629000,138930000
55,Deferred Revenue,- -,- -,- -,- -,- -,17342000,- -,13495000,12222000,10022000,7808000,2270000,1467000,667000,- -,- -,- -
56,Deferred Tax Liabilities,- -,3889000,3613000,3940000,4276000,- -,- -,- -,- -,- -,- -,- -,- -,87000,- -,- -,- -
57,Other Non-Current Liabilities,- -,16154000,52495000,307000,236000,162000,15532000,72000,44000,15000,- -,4674000,28319000,32034000,17282000,173000,146000
58,Total Non-Current Liabilities,140000,20043000,56108000,42013000,6300000,17504000,17747000,15528000,13473000,11002000,20363000,47938000,88860000,70219000,21645000,128802000,139076000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,2644000,5996000,- -,3433000,2856000,1973000,1591000,1061000,862000,653000,427000,6309000,8300000,18419000
61,Total Liabilities,5848000,29236000,79657000,54563000,42570000,27188000,25882000,24496000,26398000,25875000,33838000,99316000,147388000,152818000,123531000,191381000,180341000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,40176000,44377000,45618000,48715000,77251000,17450000,20405000,10092000,3346000,4077000,4120000,4556000,5790000,6215000,6313000,6388000,6425000
64,Retained Earnings,-161172000,-180899000,-215280000,-227565000,-262068000,-241213000,-258413000,-263754000,-268111000,-256530000,-263743000,-279025000,-356270000,-333636000,-297618000,-258151000,-237981000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-6636000,-6796000,-7569000,14144000,14874000,36000,66000,60000,-938000,1647000,3718000,4341000,1917000
66,Other Total Stockholders Equity,149735000,186365000,204353000,191383000,204766000,241423000,244389000,231866000,254901000,282260000,283396000,301876000,370220000,387525000,392266000,396799000,399850000
67,Total Stockholders Equity,28739000,49843000,34691000,12533000,13313000,10864000,-1188000,-7652000,5010000,29843000,23839000,27467000,18802000,61751000,104679000,149377000,170211000
68,Total Liabilities And Stockholders Equity,34587000,79079000,114348000,67096000,55883000,38052000,24694000,16844000,31408000,55718000,57677000,126783000,166190000,214569000,228210000,340758000,350552000
69,Minority Interest,- -,- -,- -,- -,- -,-764000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,34587000,79079000,114348000,67096000,55883000,37288000,24694000,16844000,31408000,55718000,57677000,126783000,166190000,214569000,228210000,340758000,350552000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-17859000,-18496000,-35612000,-26205000,-32060000,-56367000,-17104000,-24093000,-15060000,-5767000,-9957000,-17536000,-79957000,24993000,36195000,33035000,13488000
74,Depreciation and Amortization,1042000,1208000,1408000,1421000,- -,- -,- -,- -,- -,- -,- -,756000,3415000,6559000,5177000,7276000,16535000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1361000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5721000,7636000
77,Change in Working Capital,2378000,-4641000,- -,- -,- -,- -,- -,- -,- -,- -,- -,705000,11114000,-5242000,3213000,-2649000,-4182000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-1379000,-5314000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1712000,-393000,1019000,3067000,-2762000,-5188000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000,15000,-1098000,-39000,1043000,394000
82,Other Non-Cash Items,194000,2309000,12471000,24784000,32060000,56367000,17104000,13823000,6767000,5767000,-6465000,6071000,103641000,14066000,21972000,30585000,-1570000
83,Cash Provided by Operating Activities,-12884000,-19620000,-21733000,- -,- -,- -,- -,-10270000,-8293000,- -,-16422000,-10004000,38213000,40376000,66557000,73968000,31907000
84,CAPEX,-859000,-3151000,-671000,-814000,-304000,-909000,-1058000,-614000,-21000,-154000,-898000,-1514000,-6045000,-3769000,-22714000,-13390000,-14094000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3869000
87,Sales/Maturities of Investments,3963000,- -,- -,- -,4506000,- -,- -,722000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-46000,- -,-525000,- -,- -,-40000,- -,262000,-500000,- -,-57474000,-6045000,-3769000,-25217000,-13678000,-14094000
89,Cash Used for Investing Activites,-2896000,-3197000,-671000,-814000,4202000,-909000,-1098000,108000,241000,-654000,-898000,-57474000,-6045000,-3769000,-25217000,-13678000,-17963000
90,Debt Repayment,-37000,-46000,-61000,-8736000,-6673000,-11650000,- -,-838000,-5627000,-682000,-1037000,-4889000,-90192000,-17394000,-33373000,-52001000,-2780000
91,Common Stock Issued,8725000,22746000,1156000,1000,9230000,18240000,13198000,5340000,12178000,19375000,483000,8825000,6833000,10496000,2778000,2443000,3978000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,11686000,56543000,-10075000,-85000,6305000,-541000,7069000,14538000,-697000,14916000,63391000,80104000,-11063000,-25041000,102671000,-24761000
95,Cash Used/Provided by Financing Activities,8688000,34386000,57638000,-18810000,2472000,12895000,12657000,11571000,21089000,17996000,14362000,67327000,-3255000,-17961000,-55636000,53113000,-23563000
96,Effect of Forex Changes on Cash,- -,- -,-182000,6000,162000,-688000,-42000,-160000,-199000,464000,416000,445000,-1057000,2876000,1348000,-12634000,11886000
97,Net Change In Cash,-7092000,11569000,35052000,-41524000,-17448000,8140000,-5413000,1249000,12838000,15233000,-2542000,294000,27856000,21522000,-12948000,100769000,2267000
98,Cash at the End of Period,14689000,26258000,61310000,19786000,2338000,10478000,5065000,6314000,19152000,34385000,31843000,32137000,59993000,81515000,68567000,167068000,169335000
99,Cash at the Beginning of Period,21781000,14689000,26258000,61310000,19786000,2338000,10478000,5065000,6314000,19152000,34385000,31843000,32137000,59993000,81515000,66299000,167068000
100,Free Cash Flow,-13743000,-22771000,-22404000,-22720000,-24588000,-4067000,-17988000,-10884000,-8314000,-2727000,-17320000,-11518000,32168000,36607000,43843000,60578000,17813000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
