,https://roic.ai/company/LAUR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.1282,0.0607,0.0238,0.0513,0.0271,0.0710,0.1408,0.1490,0.1295,- -,- -,- -,- -,- -,0.0701,0.0819,0.0678,0.0785,0.0902,0.0815,0.0869,0.1003,-0.3213,-0.0043
19,Total Other Income Expenses (Gains),834000,-20602000,-13468000,-48000000,-34741000,-10114000,19553000,-154000,-3905000,- -,- -,- -,- -,- -,-390764000,-318724000,-501171000,-537567000,48204000,-329988000,-162550000,-231722000,-121537000,-132860000
20,Income Before Tax,57291000,-55000,-5925000,-23126000,-18365000,23478000,110800000,130268000,144494000,- -,- -,- -,- -,- -,-140584000,1929000,-201671000,-200610000,431097000,26799000,128432000,94398000,-450839000,-137507000
21,Income Before Tax Ratio,0.1301,-0.0002,-0.0187,-0.0477,-0.0304,0.0497,0.1710,0.1488,0.1261,- -,- -,- -,- -,- -,-0.0394,0.0005,-0.0457,-0.0467,0.1016,0.0061,0.0383,0.0290,-0.4399,-0.1265
22,Income Tax expense (Gain),21582000,-1056000,-4308000,-5680000,-3490000,2930000,6798000,19667000,24108000,- -,- -,- -,- -,- -,68061000,91246000,-39060000,117730000,65001000,-66813000,133160000,80656000,-130069000,145573000
23,Net Income,35709000,-14988000,305222000,-17446000,-95943000,46135000,63011000,75183000,105623000,- -,- -,- -,- -,- -,-201058000,-69678000,-158291000,-316248000,371847000,91465000,370067000,938484000,-613331000,192446000
24,Net Income ratio,0.0811,-0.0443,0.9639,-0.0360,-0.1588,0.0976,0.0972,0.0859,0.0922,- -,- -,- -,- -,- -,-0.0564,-0.0178,-0.0359,-0.0737,0.0876,0.0209,0.1105,0.2887,-0.5984,0.1771
25,EPS,0.73,-0.29,7.02,-0.46,-2.40,1.10,1.36,1.52,1.98,- -,- -,- -,- -,- -,-1.53,-0.59,-1.25,-2.37,2.79,-1.20,1.79,4.23,-2.93,1.07
26,EPS Diluted,0.70,-0.29,7.02,-0.46,-2.40,1.05,1.29,1.45,1.91,- -,- -,- -,- -,- -,-1.53,-0.59,-1.25,-2.37,2.79,-1.20,1.73,4.22,-2.93,1.07
27,Weighted Average Shares Outstanding,48916438,51682759,43478917,37926087,39976250,41940909,46331618,49462500,51216667,- -,- -,- -,- -,- -,133295000,133300971,133295000,133300971,133376000,172409000,212800000,221900000,209700000,180611000
28,Weighted Average Shares Outstanding Diluted,51012857,53528571,43478917,37926087,39976250,43938095,48845736,51850345,53093717,- -,- -,- -,- -,- -,134406000,133300971,134406000,133300971,133376000,172409000,212800000,222500000,209700000,180611000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/912766/000095016900000654/0000950169-00-000654-index.htm,- -,https://www.sec.gov/Archives/edgar/data/912766/000091205702012104/0000912057-02-012104-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465903005508/0001104659-03-005508-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465904007274/0001104659-04-007274-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465905010637/0001104659-05-010637-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465906017188/0001104659-06-017188-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465907015586/0001104659-07-015586-index.htm,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912766/000104746917002108/0001047469-17-002108-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000104746918001893/0001047469-18-001893-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000104746919000767/0001047469-19-000767-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000162828020002350/0001628280-20-002350-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000162828021003163/0001628280-21-003163-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000162828022003638/0001628280-22-003638-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,33170000,20410000,116490000,102194000,104685000,92145000,105629000,105106000,96987000,- -,- -,- -,- -,- -,- -,559900000,461584000,458673000,464965000,468733000,388490000,339629000,750147000,324801000
32,Short-Term Investments,6166000,10890000,202077000,60091000,22546000,16765000,4515000,4768000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,39336000,31300000,318567000,162285000,127231000,108910000,110144000,109874000,96987000,- -,- -,- -,- -,- -,- -,559900000,461584000,458673000,464965000,468733000,388490000,339629000,750147000,324801000
34,Net Receivables,93357000,78874000,101882000,105299000,121191000,143234000,225789000,299556000,311154000,- -,- -,- -,- -,- -,- -,334069000,352322000,343217000,364283000,399103000,267784000,282891000,126443000,182464000
35,Inventory,9841000,6261000,5832000,7344000,6223000,3375000,4647000,5282000,5803000,- -,- -,- -,- -,- -,- -,3360000,1828000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,10804000,295302000,24891000,13786000,15329000,14338000,40317000,-4192000,21443000,- -,- -,- -,- -,- -,- -,493383000,337704000,333794000,396568000,421018000,560859000,320407000,567196000,37054000
37,Total Current Assets,153338000,411737000,451172000,288714000,269974000,269857000,380897000,410520000,435387000,- -,- -,- -,- -,- -,- -,1390712000,1153438000,1135684000,1225816000,1288854000,1217133000,942927000,1443786000,544319000
38,PP&E,97881000,127720000,171842000,201508000,309451000,365850000,485592000,573937000,729312000,- -,- -,- -,- -,- -,- -,2656726000,2514319000,2290900000,2151633000,1934904000,1278935000,2061097000,1041251000,883861000
39,Goodwill,292693000,201716000,296422000,317591000,272520000,233561000,364973000,412114000,579811000,- -,- -,- -,- -,- -,- -,2376678000,2469795000,2115897000,1934464000,1954666000,1707089000,1701495000,574832000,546795000
40,Intangible Assets,17084000,2574000,2611000,8400000,38064000,88634000,186141000,222275000,265218000,- -,- -,- -,- -,- -,- -,1609343000,1608818000,1463658000,1399608000,1334254000,1153225000,1122513000,227121000,142848000
41,Intangible Assets,309777000,204290000,299033000,325991000,310584000,322195000,551114000,634389000,845029000,- -,- -,- -,- -,- -,- -,3986021000,4078613000,3579555000,3334072000,3288920000,2860314000,2824008000,801953000,689643000
42,Investments,- -,- -,- -,- -,21105000,3759000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,3335000,25760000,34870000,- -,- -,- -,- -,- -,- -,41986000,87741000,80754000,72610000,156006000,136487000,125417000,130567000,38713000
44,Other Non-Current Assets,98800000,44379000,94916000,94023000,54161000,188253000,109772000,138337000,158415000,- -,- -,- -,- -,- -,- -,379635000,604107000,352223000,318834000,723039000,1276767000,562179000,1553337000,54774000
45,Total Non-Current Assets,506458000,376389000,565791000,621522000,695301000,880057000,1149813000,1372423000,1767626000,- -,- -,- -,- -,- -,- -,7064368000,7284780000,6303432000,5877149000,6102869000,5552503000,5572701000,3527108000,1666991000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,659796000,788126000,1016963000,910236000,965275000,1149914000,1530710000,1782943000,2203013000,- -,- -,- -,- -,- -,- -,8455080000,8438218000,7439116000,7102965000,7391723000,6769636000,6515628000,4970894000,2211310000
48,Accounts Payable,57177000,42452000,20108000,15696000,29323000,33992000,20824000,30078000,40788000,- -,- -,- -,- -,- -,- -,124288000,107385000,111749000,86699000,79568000,67303000,119523000,41073000,26870000
49,Short-Term Debt,1128000,14436000,20292000,6449000,11365000,21654000,47010000,63044000,95668000,- -,- -,- -,- -,- -,- -,220471000,233286000,192354000,178989000,154234000,101866000,210380000,140449000,87231000
50,Tax Payable,- -,- -,- -,- -,14758000,20346000,16628000,31615000,23141000,- -,- -,- -,- -,- -,- -,17073000,41998000,48369000,30371000,29857000,20901000,25501000,29682000,38705000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474855000,471755000,482723000,362891000,312422000,193226000,216816000,47180000,43959000
52,Other Current Liabilities,79933000,78259000,253314000,146574000,183955000,257321000,388260000,468291000,472898000,- -,- -,- -,- -,- -,- -,776790000,856889000,761357000,817415000,828525000,827692000,524085000,575853000,213868000
53,Total Current Liabilities,138238000,135147000,293714000,168719000,224643000,312967000,456094000,561413000,609354000,- -,- -,- -,- -,- -,- -,1596404000,1669315000,1548183000,1445994000,1374749000,1190087000,1070804000,804555000,371928000
54,Long-Term Debt,12504000,151204000,128575000,124474000,154055000,75100000,86605000,99997000,327734000,- -,- -,- -,- -,- -,- -,4118970000,4333581000,4318934000,3629375000,3207064000,2593585000,1260317000,1374405000,481692000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6961000,12547000,4824000,- -,- -,- -,- -,583000,28159000,- -,- -,- -,- -,- -,- -,596518000,570364000,507477000,486817000,278215000,217558000,218378000,86368000,73624000
57,Other Non-Current Liabilities,13260000,3050000,3707000,14207000,26636000,46706000,71838000,69562000,61647000,- -,- -,- -,- -,- -,- -,634051000,808410000,709096000,876387000,944413000,717460000,1161978000,441632000,142794000
58,Total Non-Current Liabilities,32725000,166801000,137106000,138681000,180691000,121806000,158443000,170142000,417540000,- -,- -,- -,- -,- -,- -,5349539000,5712355000,5535507000,4992579000,4429692000,3528603000,2640673000,1902405000,698110000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,883916000,571777000,415253000
61,Total Liabilities,170963000,301948000,430820000,307400000,405334000,434773000,614537000,731555000,1026894000,- -,- -,- -,- -,- -,- -,6945943000,7381670000,7083690000,6438573000,5804441000,4718690000,3711477000,2706960000,1070038000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,510000,509000,373000,387000,403000,450000,488000,499000,514000,- -,- -,- -,- -,- -,- -,530000,532000,533000,534000,750000,897000,905000,911000,915000
64,Retained Earnings,75852000,60762000,360232000,342786000,246843000,292978000,355989000,435554000,541358000,- -,- -,- -,- -,- -,- -,-935009000,-1093300000,-1409548000,-1037701000,-946236000,-530919000,436509000,-176822000,15523000
65,Other Comprehensive Income/Loss,-36682000,-31957000,-38965000,-60147000,-19244000,22200000,47230000,38865000,54496000,- -,- -,- -,- -,- -,- -,-268810000,-579041000,-952677000,-1052055000,-925556000,-1112695000,-1073981000,-941986000,-520204000
66,Other Total Stockholders Equity,449153000,456864000,264503000,319810000,257926000,353522000,474928000,503791000,534327000,- -,- -,- -,- -,- -,- -,2669044000,2688877000,2686451000,2721432000,3446206000,3703796000,3453530000,3394713000,1644609000
67,Total Stockholders Equity,488833000,486178000,586143000,602836000,485928000,669150000,878635000,978709000,1130695000,- -,- -,- -,- -,- -,- -,1465755000,1017068000,324759000,632210000,1575164000,2061079000,2816963000,2276816000,1140843000
68,Total Liabilities And Stockholders Equity,659796000,788126000,1016963000,910236000,891262000,1103923000,1493172000,1710264000,2157589000,- -,- -,- -,- -,- -,- -,8411698000,8398738000,7408449000,7070783000,7379605000,6779769000,6528440000,4983776000,2210881000
69,Minority Interest,- -,- -,- -,- -,74013000,45991000,37538000,72679000,45424000,- -,- -,- -,- -,- -,- -,43382000,39480000,30667000,32182000,12118000,-10133000,-12812000,-12882000,429000
70,Total Liabilities & Equity,659796000,788126000,1016963000,910236000,965275000,1149914000,1530710000,1782943000,2203013000,- -,- -,- -,- -,- -,- -,8455080000,8438218000,7439116000,7102965000,7391723000,6769636000,6515628000,4970894000,2211310000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/912766/000095016900000654/0000950169-00-000654-index.htm,- -,https://www.sec.gov/Archives/edgar/data/912766/000091205702012104/0000912057-02-012104-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465903005508/0001104659-03-005508-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465904007274/0001104659-04-007274-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465905010637/0001104659-05-010637-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465906017188/0001104659-06-017188-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465907015586/0001104659-07-015586-index.htm,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912766/000104746917002108/0001047469-17-002108-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000104746918001893/0001047469-18-001893-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000104746919000767/0001047469-19-000767-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000162828020002350/0001628280-20-002350-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000162828021003163/0001628280-21-003163-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000162828022003638/0001628280-22-003638-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,35709000,-14988000,305222000,-17446000,-95943000,46135000,63011000,75183000,105623000,- -,- -,- -,- -,- -,-201058000,-69678000,-158291000,-316248000,371847000,91465000,370067000,938484000,-613331000,192446000
74,Depreciation and Amortization,32323000,46787000,30442000,37968000,31037000,25087000,30317000,50765000,48858000,- -,- -,- -,- -,- -,221235000,242725000,288331000,282946000,264879000,264742000,239998000,316029000,223719000,145256000
75,Deferred Income Tax,1265000,-317000,-4639000,-1213000,-9108000,-6471000,1992000,11499000,1671000,- -,- -,- -,- -,- -,-35702000,-16207000,-163257000,-15563000,-30150000,-164785000,-7474000,-29813000,-185652000,195563000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17289000,49512000,49190000,39021000,38809000,64788000,10791000,12994000,13298000,10172000
77,Change in Working Capital,89586607,-102873678,261490000,-119132000,-37463000,-74664000,-88441000,-32087000,-75696000,- -,- -,- -,- -,- -,-23074000,-31725000,-310185000,103378000,192321000,134283000,112941000,-154923000,767108000,-278151000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118020000,-95295000,-166008000,-225027000,-110693000,-129335000,-83316000,-163202000,- -,- -
79,Inventory,-4202000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16519000,-35452000,-28517000,-15533000,-17594000,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,688000,-30407000,- -,- -,- -,- -
81,Other Working Capital,117973678,15100000,276590000,157458000,119995000,45331000,-43110000,-75197000,-150893000,- -,- -,- -,- -,- -,-173967000,-205692000,-515877000,-412499000,-220178000,-85895000,27046000,-127877000,639231000,-199403000
82,Other Non-Cash Items,-100757607,142311678,-584587000,54419000,192602000,68808000,117463000,35700000,136360000,- -,- -,- -,- -,- -,260773000,102919000,563368000,76952000,-653136000,-259737000,-329465000,-743002000,54414000,-421368000
83,Cash Provided by Operating Activities,58126000,70920000,7928000,-45404000,81125000,58895000,124342000,141060000,216816000,- -,- -,- -,- -,- -,239463000,277546000,269156000,170486000,184570000,130756000,396858000,339769000,259556000,-156082000
84,CAPEX,-58294000,-61211000,-33813000,-55785000,-69755000,-81078000,-100779000,-109144000,-174732000,- -,- -,- -,- -,- -,-433035000,-500886000,-416746000,-344056000,-240258000,-274063000,-238046000,-155641000,-74624000,-50444000
85,Acquisitions Net,-13777000,-65678000,683950000,-60477000,-56207000,34482000,-75762000,-69781000,- -,- -,- -,- -,- -,- -,30019000,-192013000,-283380000,-2933000,554441000,8996000,356010000,1264921000,676562000,2150820000
86,Purchases of Investments,-19120000,-10510000,-488352000,-170178000,-29075000,-55312000,-57648000,-6704000,-38667000,- -,- -,- -,- -,- -,-14280000,- -,- -,- -,-5663000,- -,-9960000,- -,- -,-50341000
87,Sales/Maturities of Investments,79611000,3082000,227026000,293697000,62210000,67068000,73951000,5397000,9445000,- -,- -,- -,- -,- -,- -,- -,3448000,1478000,- -,- -,- -,24339000,- -,- -
88,Other Investing Activites,-62933000,-23595000,-83549000,-6721000,-4681000,-8027000,32065000,-17811000,-245026000,- -,- -,- -,- -,- -,-36451000,-196184000,207497000,171869000,-39286000,-59463000,7490000,-16859000,-14538000,-5843000
89,Cash Used for Investing Activites,-74513000,-157912000,305262000,536000,-97508000,-42867000,-128173000,-198043000,-448980000,- -,- -,- -,- -,- -,-453747000,-889083000,-489181000,-173642000,269234000,-324530000,115494000,1116760000,587400000,2044192000
90,Debt Repayment,-11985000,-97295000,-259670000,-202520000,-20142000,-39482000,-66939000,-159883000,-568095000,- -,- -,- -,- -,- -,-1635326000,-644125000,-358086000,-528025000,-1421379000,-3038946000,-867915000,-2507790000,-705353000,-942030000
91,Common Stock Issued,6889000,3899000,1265000,16926000,15678000,15024000,19654000,14311000,19109000,- -,- -,- -,- -,- -,- -,199720000,- -,- -,- -,456359000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-36212000,-211989000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-254000,- -,- -,- -,- -,- -,- -,-264093000,-99523000,-380505000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15561000,-22872000,-6526000,-20472000,-1505000,-19371000,- -,- -,- -,-1374855000
94,Other Financing Activites,22328000,206480000,258368000,216247000,26261000,21671000,79112000,186378000,767511000,- -,- -,- -,- -,- -,1775966000,1223940000,537198000,582921000,977162000,2824753000,457786000,1097906000,532160000,14155000
95,Cash Used/Provided by Financing Activities,17232000,76872000,-212026000,30653000,21797000,-2787000,31827000,40806000,218525000,- -,- -,- -,- -,- -,124825000,756663000,172586000,34424000,-445722000,222795000,-410129000,-1673977000,-272716000,-2683235000
96,Effect of Forex Changes on Cash,2507000,-2640000,-1104000,-81000,-2923000,-19538000,-10123000,3765000,5520000,- -,- -,- -,- -,- -,2712000,-12531000,-50877000,-34179000,-1790000,23974000,-13486000,-7338000,-546000,-14724000
97,Net Change In Cash,3352000,-12760000,97495000,-14296000,2491000,-6297000,17873000,-12412000,-8119000,- -,- -,- -,- -,- -,-83744000,132595000,-98316000,-2911000,6292000,3768000,57008000,-57022000,769481000,-521723000
98,Cash at the End of Period,33170000,20410000,116490000,102194000,104685000,98388000,116261000,105106000,96987000,- -,- -,- -,- -,- -,427305000,559900000,461584000,458673000,464965000,468733000,589790000,526550000,867298000,345575000
99,Cash at the Beginning of Period,29818000,33170000,18995000,116490000,102194000,104685000,98388000,117518000,105106000,- -,- -,- -,- -,- -,511049000,427305000,559900000,461584000,458673000,464965000,532782000,583572000,97817000,867298000
100,Free Cash Flow,-168000,9709000,-25885000,-101189000,11370000,-22183000,23563000,31916000,42084000,- -,- -,- -,- -,- -,-193572000,-223340000,-147590000,-173570000,-55688000,-143307000,158812000,184128000,184932000,-206526000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/912766/000095016900000654/0000950169-00-000654-index.htm,- -,https://www.sec.gov/Archives/edgar/data/912766/000091205702012104/0000912057-02-012104-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465903005508/0001104659-03-005508-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465904007274/0001104659-04-007274-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465905010637/0001104659-05-010637-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465906017188/0001104659-06-017188-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000110465907015586/0001104659-07-015586-index.htm,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912766/000104746917002108/0001047469-17-002108-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000104746918001893/0001047469-18-001893-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000104746919000767/0001047469-19-000767-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000162828020002350/0001628280-20-002350-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000162828021003163/0001628280-21-003163-index.htm,https://www.sec.gov/Archives/edgar/data/912766/000162828022003638/0001628280-22-003638-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
