,https://roic.ai/company/WHEN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
49,Short-Term Debt,- -,60000,159056,581495,534825,1480012,1279465,233907,377267,311461,19772,43258,- -,- -,1623,- -,- -,- -,21474,- -,21474,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11381
52,Other Current Liabilities,- -,1070000,1040944,2788505,2605175,1879988,2200535,3056093,2952733,1488539,1020228,1006742,30000,110000,168377,360000,410000,430000,658526,835580,882376,384160,283543,485493
53,Total Current Liabilities,- -,1130000,1200000,3370000,3140000,3360000,3480000,3290000,3330000,1800000,1040000,1050000,30000,110000,230000,360000,410000,430000,680000,835580,903850,384160,446700,523158
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310000,310000,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,1812704
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,4290000,- -,1410000,1420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104850
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,4290000,- -,1720000,1730000,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,1917554
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1130000,1200000,3370000,3140000,3360000,3480000,3290000,7620000,1800000,2760000,2780000,30000,110000,230000,360000,410000,450000,680000,835580,903850,384160,446700,2440712
62,Preferred Stock,- -,- -,- -,- -,- -,- -,1750,1750,3500,3500,3500,3500,3500,3500,3500,1750,1750,1750,1750,1750,1750,1750,3500,6209
63,Common Stock,- -,40000,80000,100000,140000,170000,380000,520000,560000,610000,620000,620000,1270000,2980000,2980000,13850000,13850000,13850000,62850000,62852590,62852590,62852590,62852590,62852585
64,Retained Earnings,- -,-4330000,-5180000,-9960000,-8490000,-10750000,-14610000,-18330000,-22790000,-24370000,-25200000,-25220000,-24800000,-24920000,-73340000,-25650000,-25700000,-25740000,-25850000,-26120410,-26188080,-25648980,-25801270,-1496637
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4350,- -,- -,- -,-5495
66,Other Total Stockholders Equity,- -,3190000,3923216,6501361,7607129,8008031,11765817,14539936,14195864,21987060,22156060,22159709,23982337,70138922,70130110,11436955,11435138,11433872,-37563007,-37562160,-37566516,-37566516,-37500768,-63339224
67,Total Stockholders Equity,- -,-1100000,-1176784,-3358639,-742871,-2571969,-2462433,-3268314,-8030636,-1769440,-2420440,-2436791,455837,48202422,-226390,-361295,-413112,-454378,-561257,-832580,-900256,-361156,-445948,-1982562
68,Total Liabilities And Stockholders Equity,- -,30000,23216,11361,2397129,788031,1017567,21686,-410636,30560,339560,343209,485837,48312422,3610,-1295,-3112,-4378,118743,3000,3594,23004,752,458150
69,Minority Interest,- -,- -,-3216,-1361,-7129,1969,2433,-1686,480636,-560,440,-3209,4163,7578,-3610,1295,3112,4378,1257,- -,-4,-4,-2,- -
70,Total Liabilities & Equity,- -,30000,20000,10000,2390000,790000,1020000,20000,70000,30000,340000,340000,490000,48320000,- -,- -,- -,- -,120000,3000,3590,23000,750,458150
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943535/000149315214001783/0001493152-14-001783-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315215001941/0001493152-15-001941-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315216009016/0001493152-16-009016-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000143774917012067/0001437749-17-012067-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315219011000/0001493152-19-011000-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315219011184/0001493152-19-011184-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315220006335/0001493152-20-006335-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315221008940/0001493152-21-008940-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-890000,-620000,-860000,-4780000,-1010000,-2260000,-3860000,-3720000,-4460000,-1580000,-840000,-20000,420000,-120000,-48430000,-130000,-50000,-41270,-106880,-271320,-67680,539690,-152290,-872793
74,Depreciation and Amortization,- -,- -,- -,- -,160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39437
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,140000,-1110000,-80000,-2180000,300000,-230000,220000,-210000,10000,1490000,750000,-10000,1020000,-80000,-120000,-130000,-50000,-20000,-250000,-152580,-67680,539100,-84790,330005
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1361
79,Inventory,- -,- -,- -,- -,- -,10000,-70000,130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75625,-6272,- -,19765,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5085
81,Other Working Capital,- -,-1110000,-1190000,-3370000,-3070000,-3300000,-3080000,-3290000,-3280000,-1790000,-1040000,-1050000,-30000,-110000,-230000,-360000,-410000,-430000,-680000,-832580,-900260,-361160,-445950,-115945
82,Other Non-Cash Items,120000,1490000,540000,6250000,400000,2310000,3240000,3550000,3750000,-330000,-80000,10000,-1450000,140000,48490000,180000,50000,24800,236780,304460,66350,-1134540,152650,-146213
83,Cash Provided by Operating Activities,-630000,-240000,-400000,-710000,-150000,-180000,-400000,-380000,-700000,-420000,-170000,-20000,-10000,-60000,-60000,-80000,-50000,-36470,-120100,-119440,-69010,-55750,-84430,-649564
84,CAPEX,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24232
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,11738,- -,70000,- -,- -,- -,- -,- -,- -,45330,36474,- -,- -,- -,- -,- -,-257058
89,Cash Used for Investing Activites,-10000,- -,- -,- -,- -,- -,- -,8385,-1020,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,- -,- -,- -,-281290
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17141,- -,- -,-29173
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,650000,230000,270000,- -,200000,- -,- -,90000,570000,260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-10000,10000,143472,697439,-46670,173971,664682,17834,256328,76619,170820,23486,13424,63650,59764,79428,45330,36474,124151,135385,86150,55751,84433,960515
95,Cash Used/Provided by Financing Activities,640000,240000,413472,697439,153330,173971,664682,107834,826328,336619,170820,23486,13424,63650,59764,79428,45330,36474,124151,135385,69009,55751,84433,931342
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,10000,-10000,10000,-10000,270000,-270000,10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,4050,-4050,- -,- -,- -,488
98,Cash at the End of Period,- -,- -,10000,- -,10000,- -,270000,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4050,-4050,- -,- -,- -,359949
99,Cash at the Beginning of Period,- -,- -,- -,10000,- -,10000,- -,270000,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359461
100,Free Cash Flow,-640000,-240000,-400000,-710000,-150000,-180000,-400000,-380000,-700000,-420000,-170000,-20000,-10000,-60000,-60000,-80000,-50000,-36470,-120100,-119440,-69010,-55750,-84430,-673796
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943535/000149315214001783/0001493152-14-001783-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315215001941/0001493152-15-001941-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315216009016/0001493152-16-009016-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000143774917012067/0001437749-17-012067-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315219011000/0001493152-19-011000-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315219011184/0001493152-19-011184-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315220006335/0001493152-20-006335-index.htm,https://www.sec.gov/Archives/edgar/data/943535/000149315221008940/0001493152-21-008940-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
