,https://roic.ai/company/MRTX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-12.72,-24.12,-30.14,-11.15,-31.30,-9.86,-30.08,-18.00,-1.96,-2.04,-4.78,-3.24,-3.82,-4.20,-2.78,-3.19,-5.69,-7.96,-11.21
26,EPS Diluted,-12.72,-24.12,-30.14,-11.15,-31.30,-9.86,-30.08,-18.00,-1.96,-2.04,-4.78,-3.24,-3.82,-4.20,-2.78,-3.19,-5.69,-7.96,-11.21
27,Weighted Average Shares Outstanding,330452,379898,434699,567147,714817,733647,749842,808371,4944183,9957739,11057040,13483000,16902000,19787000,25290000,30898000,37468000,44988000,51882538
28,Weighted Average Shares Outstanding Diluted,330452,379898,434699,567147,714817,733647,749842,808371,4944183,9957739,11057040,13483000,16902000,19787000,25290000,30898000,37468000,44988000,51882538
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576263/000144530514001073/mrtx-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1576263/000162828015001687/mrtx-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1576263/000162828016012476/0001628280-16-012476-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828017002407/0001628280-17-002407-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828018002942/0001628280-18-002942-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828019002289/0001628280-19-002289-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828020002301/0001628280-20-002301-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828021003315/0001628280-21-003315-index.htm,https://www.sec.gov/Archives/edgar/data/1576263/000162828022004246/0001628280-22-004246-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2054,1702,456571,582968,3239422,4886606,13570815,7359822,9843291,18404149,14235000,6593000,49493000,22383000,107703000,32694000,46535000,885562000,413083000
32,Short-Term Investments,23760766,34452491,22123745,55850841,58088458,26835661,3689237,- -,18489716,18581064,47835000,22710000,72834000,34351000,43134000,190096000,368515000,504544000,- -
33,Cash and Short-Term Investments,23762821,34454193,22580317,56433808,61327880,31722268,17260052,7359822,28333007,36985214,62070000,29303000,122327000,56734000,150837000,222790000,415050000,1390106000,413083000
34,Net Receivables,503402,1001960,1018404,3724031,5596284,5122432,1823131,1459766,170421,1265543,1400000,905000,237000,183000,237000,768000,1566000,2304000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3733885,1065547,1182280,666679,623044,849630,440264,889858,1835455,1080587,745000,2449000,2838000,2638000,4685000,3102000,7791000,11233000,1094900000
37,Total Current Assets,28000107,36521700,24781001,60824519,67547208,37694330,19523446,9709446,30338883,39331343,64215000,32657000,125402000,59555000,155759000,226660000,424407000,1403643000,1507983000
38,PP&E,3240643,3086489,3612419,3144008,3119257,1751027,1120237,429931,218413,332720,322000,496000,614000,629000,525000,473000,1776000,47699000,53504000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,1728213,1802795,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,1458201,1569791,1728213,1802795,2026659,1599836,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,267050,367682,114982,401567,- -,- -,- -,- -,- -,- -,- -,- -,15629000,8218000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-0,- -,0,0,328183,-0,0,654895,- -,139722,- -,326000,2001000,3260000,962000,1321000,6017000,9157000,19049000
45,Total Non-Current Assets,4698844,4656280,5340633,4946803,5474099,3617913,1487919,1199808,619980,472443,322000,822000,2615000,3889000,1487000,1794000,7793000,72485000,80771000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32698951,41177980,30121633,65771322,73021307,41312243,21011365,10909255,30958864,39803786,64537000,33479000,128017000,63444000,157246000,228454000,432200000,1476128000,1588754000
48,Accounts Payable,- -,2343832,3327308,4353020,7755226,- -,- -,- -,- -,1752058,1302000,1655000,2104000,6296000,4344000,8531000,16367000,18117000,35163000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5620,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,1432841,440696,3715885,4157326,451109,557731,526916,- -,- -,- -,- -,- -,- -,- -,371000,824000,- -,- -
52,Other Current Liabilities,4933255,231768,134090,147816,187822,7710764,5736797,4552272,3733595,3587548,3943000,3741000,7694000,8706000,9300000,17244000,31715000,53349380,108495000
53,Total Current Liabilities,4933255,4008440,3902093,8216721,12100374,8161873,6294528,5079187,3733595,5339606,5245000,5396000,9798000,15002000,13644000,26146000,48906000,71472000,143658000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45879000
55,Deferred Revenue,3146132,- -,- -,- -,- -,2349219,2415242,1770717,- -,- -,- -,- -,- -,- -,- -,732000,999000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,20633,1805413,2066398,16349003,15229728,327855,362907,- -,27424,45234,33407000,21000,43000,133000,314000,- -,- -,43867000,2179000
58,Total Non-Current Liabilities,3166764,1805413,2066398,16349003,15229728,2677075,2778149,1770717,27424,45234,33407000,21000,43000,133000,314000,732000,999000,43867000,48058000
59,Other Liabilities,- -,- -,4132797,- -,- -,- -,- -,3541433,54848,90468,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,35530,5429,- -,- -,- -,485620,550091,391937,- -,- -,- -,- -,- -,- -,- -,- -,- -,41905000,45879000
61,Total Liabilities,8100019,5813853,5968491,24565724,27330102,10838948,9072677,6849904,3761019,5384840,38652000,5417000,9841000,15135000,13958000,26878000,49905000,115339000,191716000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,41703290,- -,- -,- -,- -,- -,- -,- -,- -,166417378,13000,14000,19000,20000,29000,33000,40000,50000,- -
64,Retained Earnings,-19568381,-30255962,-44482716,-50766984,-81991316,-74096138,-110507115,-130382139,-137262488,-161232572,-198391000,-242089000,-306633000,-389751000,-460627000,-559045000,-772301000,-1130238000,- -
65,Other Comprehensive Income/Loss,- -,-3376312,-4479835,-5423199,-7550237,-6018899,-7725146,-8228683,-2980411,-3027653,10000000,10000000,10000000,10000000,9000000,9000000,10000000,9759,9068000
66,Other Total Stockholders Equity,2464024,68996401,73115692,97395782,135232758,110588332,130170948,142670173,167440744,32261793,214263000,260137000,414790000,428040000,594886000,751588000,1144556000,2490967241,- -
67,Total Stockholders Equity,24598932,35364127,24153142,41205598,45691205,30473295,11938688,4059351,27197845,34418946,25885000,28062000,118176000,48309000,143288000,201576000,382295000,1360789000,1397038000
68,Total Liabilities And Stockholders Equity,32698951,41177980,30121633,65771322,73021307,41312243,21011365,10909255,30958864,39803786,64537000,33479000,128017000,63444000,157246000,228454000,432200000,1476128000,1588754000
69,Minority Interest,- -,- -,- -,- -,0,-0,0,0,-0,0,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,32698951,41177980,30121633,65771322,73021307,41312243,21011365,10909255,30958864,39803786,64537000,33479000,128017000,63444000,157246000,228454000,432200000,1476128000,1588754000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576263/000144530514001073/mrtx-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1576263/000162828015001687/mrtx-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1576263/000162828016012476/0001628280-16-012476-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828017002407/0001628280-17-002407-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828018002942/0001628280-18-002942-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828019002289/0001628280-19-002289-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828020002301/0001628280-20-002301-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828021003315/0001628280-21-003315-index.htm,https://www.sec.gov/Archives/edgar/data/1576263/000162828022004246/0001628280-22-004246-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-4221949,-9147197,-13165424,-6444553,-22237706,-7377979,-22528889,-14688650,-9526934,-20359257,-52872000,-43684000,-64507000,-83143000,-70484000,-98418000,-212846000,-358067000,-582475000
74,Depreciation and Amortization,826800,1273909,1097342,1281593,1476320,1066557,951199,702888,190010,122634,171000,199000,212000,180000,184000,175000,249000,641000,1781000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-114215,- -,3999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,336894,157578,69989,911851,2014415,3192000,7050000,10254000,10624000,6786000,15854000,55537000,85847000,113502000
77,Change in Working Capital,2062530,9446407,-11634352,31728890,2839037,-25914377,-16303539,-8598659,21975030,7386448,24978263,-31709000,88343000,-71051000,97562000,58399000,174987000,956670000,32154000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,634672,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68000,- -,- -,- -,- -,- -,- -,23243000,71062000
81,Other Working Capital,23066852,32513260,20878907,52607798,55446834,29532457,13228918,4630259,26605289,33991737,58970000,27261000,115604000,44553000,142115000,200514000,375501000,1332171000,1364325000
82,Other Non-Cash Items,2829281,-7638284,12460031,-15065855,-4571845,13724566,17267153,6797947,-24815382,-6149051,-4924263,35396000,-85016000,75373000,-98754000,-46106000,-165653000,-956622000,435038000
83,Cash Provided by Operating Activities,1496662,-6065165,-11242404,11500075,-22494194,-18278554,-20456499,-15712486,-11265426,-16984811,-29455000,-32748000,-50714000,-68017000,-64706000,-70096000,-147726000,-271531000,- -
84,CAPEX,-934108,-765762,-1411080,-957410,-1484399,-351684,-46796,-7999,-106758,-231195,-204000,-386000,-329000,-196000,-81000,-122000,-1552000,-4367000,583000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-87536223,-104500131,-46400073,-92940160,-136140563,-71776500,-26619234,-1098824,-42761998,-29561835,-68408000,-10468000,-104954000,-70269000,-100558000,-255795000,-530228000,-662824000,-1422729000
87,Sales/Maturities of Investments,85427941,95316980,59941143,59517400,143697869,92734593,53588005,4347304,24272282,29956877,39138000,35073000,54530000,108720000,91988000,110152000,355640000,527334000,843623000
88,Other Investing Activites,-294518,-353371,-206670,- -,-0,-135579,27696,-550912,659158,272408,4000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-3032498,-10302284,11923321,-34380171,6072907,20606409,26949671,2689570,-17937316,436255,-29470000,24219000,-50753000,38255000,-8651000,-145765000,-176140000,-139857000,-588901000
90,Debt Repayment,-28387,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,1403834,19142097,13790,23530853,20390791,- -,1511794,- -,27510284,21001578,54196000,- -,143293000,- -,153530000,130663000,327830000,1203576000,474697000
92,Common Stock Repurchased,- -,-2276374,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-27017,-17418,-522716,-1416742,- -,-222519,6189010,4326151,3848899,561000,887000,1074000,2652000,5147000,10189000,10198000,47138000,30525000
95,Cash Used/Provided by Financing Activities,1375447,16838706,-3628,23008137,18974048,- -,1289275,6189010,31836435,24850477,54757000,887000,144367000,2652000,158677000,140852000,338028000,1250714000,505222000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-77239,108872,-13998,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-160389,471256,677289,128041,2552762,2250616,7891319,-6847904,2633692,8301921,-4168000,-7642000,42900000,-27110000,85320000,-75009000,14162000,839326000,-472479000
98,Cash at the End of Period,-634544,-213238,456571,582968,3239422,4886606,13570815,7359822,9843291,18404149,14235000,6593000,49493000,22383000,107703000,32694000,46856000,886182000,413703000
99,Cash at the Beginning of Period,-474155,-684494,-220718,454926,686661,2635990,5679496,14207727,7209598,10102229,18403000,14235000,6593000,49493000,22383000,107703000,32694000,46856000,886182000
100,Free Cash Flow,562555,-6830927,-12653484,10542666,-23978592,-18630238,-20503295,-15720485,-11372184,-17216007,-29659000,-33134000,-51043000,-68213000,-64787000,-70218000,-149278000,-275898000,583000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576263/000144530514001073/mrtx-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1576263/000162828015001687/mrtx-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1576263/000162828016012476/0001628280-16-012476-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828017002407/0001628280-17-002407-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828018002942/0001628280-18-002942-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828019002289/0001628280-19-002289-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828020002301/0001628280-20-002301-index.html,https://www.sec.gov/Archives/edgar/data/1576263/000162828021003315/0001628280-21-003315-index.htm,https://www.sec.gov/Archives/edgar/data/1576263/000162828022004246/0001628280-22-004246-index.htm
102,false,,,,,,,,,,,,,,,,,,,
