,https://roic.ai/company/IPGP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,29577000,28588000,42162000,60412000,72555000,52869000,72470000,116978000,139618000,172700000,171009000,203738000,239010000,307712000,403579000,380790000,364993000,460747000
36,Other Current Assets,- -,- -,- -,3720000,5487000,16257000,13266000,13375000,12211000,22409000,36039000,44658000,61064000,57570000,79602000,75417000,92863000,101546000,94749000,127697000,110310000
37,Total Current Assets,- -,- -,- -,46651000,57870000,156439000,155691000,181023000,180914000,300801000,434457000,664959000,786343000,893838000,1122935000,1300962000,1754010000,1805424000,1896634000,2148077000,2347683000
38,PP&E,- -,- -,- -,45982000,50995000,67153000,96369000,114492000,111453000,120683000,155202000,210563000,252245000,275082000,288604000,379375000,460206000,543068000,600852000,597527000,635302000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2898000,455000,455000,505000,19828000,55831000,100722000,82092000,41366000,38609000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7131000,6157000,7510000,9564000,9227000,11904000,28789000,51223000,87139000,74271000,62114000,52678000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7131000,6157000,10408000,10019000,9682000,12409000,48617000,107054000,187861000,156363000,103480000,91287000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,4761000,- -,3801000,2795000,2400000,4313000,4489000,4830000,2107000,4799000,5438000,9386000,42442000,26976000,19165000,31395000,43197000,47761000
44,Other Non-Current Assets,- -,- -,- -,13151000,6616000,5099000,8466000,15303000,15956000,8751000,7486000,7461000,7810000,26847000,20095000,18603000,19009000,18932000,45192000,43419000,48507000
45,Total Non-Current Assets,- -,- -,- -,63894000,57611000,76053000,107630000,132195000,131722000,141054000,173675000,230539000,274873000,317049000,330494000,489037000,613245000,769026000,833802000,787623000,822857000
46,Other Assets,- -,117166000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,117166000,- -,110545000,115481000,232492000,263321000,313218000,312636000,441855000,608132000,895498000,1061216000,1210887000,1453429000,1789999000,2367255000,2574450000,2730436000,2935700000,3170540000
48,Accounts Payable,- -,- -,- -,3240000,5164000,7640000,9444000,7739000,5620000,9510000,11122000,17783000,18787000,17141000,26314000,28048000,35109000,36302000,27329000,25748000,55839000
49,Short-Term Debt,- -,- -,- -,14254000,19184000,10902000,11218000,21102000,7340000,8174000,8670000,3947000,4629000,15964000,2000000,3188000,3604000,3671000,9040000,9588000,23580000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,2179000,11594000,21230000,42443000,15218000,21672000,37809000,24554000,15773000,51161000,11053000,8280000,8642000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15317000,17174000,18489000,16605000,21525000,34571000,47324000,56522000,59531000,71246000,89659000
52,Other Current Liabilities,- -,- -,- -,8223000,9972000,22229000,13820000,20185000,23871000,65086000,58603000,86551000,58174000,72365000,95141000,92468000,112866000,149279000,96004000,107996000,144355000
53,Total Current Liabilities,- -,- -,- -,25717000,34320000,40771000,34482000,49026000,36831000,82770000,93712000,125455000,100079000,122075000,144980000,158275000,198903000,245774000,191904000,214578000,313433000
54,Long-Term Debt,- -,- -,- -,39358000,30287000,30068000,20000000,17997000,16667000,15644000,15726000,14014000,11333000,19667000,17667000,37635000,45378000,41707000,37968000,34157000,16031000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,82000,232000,4204000,2896000,2567000,1735000,- -,13102000,21835000,22584000,30117000,36365000,100652000,80734000,98121000,92854000,93855000
57,Other Non-Current Liabilities,- -,- -,- -,93997000,96348000,- -,- -,- -,- -,24903000,8961000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,133355000,126717000,30300000,24204000,20893000,19234000,42282000,24687000,27116000,33168000,42251000,47784000,74000000,146030000,122441000,136089000,127011000,109886000
59,Other Liabilities,- -,136682000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,5778000,5454000
61,Total Liabilities,- -,136682000,- -,159072000,161037000,71071000,58686000,69919000,56065000,125052000,118399000,152571000,133247000,164326000,192764000,232275000,344933000,368215000,327993000,341589000,423319000
62,Preferred Stock,- -,5000000,- -,4880000,4880000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6000,6000
64,Retained Earnings,- -,- -,- -,-157052000,-149625000,-120392000,-90497000,-53843000,-48424000,5567000,122833000,234977000,390757000,591202000,833356000,1094108000,1443867000,1848500000,2028734000,2188191000,2466607000
65,Other Comprehensive Income/Loss,- -,- -,- -,6869000,3208000,7860000,15167000,8794000,11106000,810000,-12100000,-3094000,-1701000,-112263000,-181482000,-178583000,-77344000,-162896000,-146919000,-146065000,-189951000
66,Other Total Stockholders Equity,- -,- -,- -,96261000,95029000,271122000,275506000,283217000,293743000,310218000,332585000,511039000,538908000,567617000,607649000,642028000,655794000,519939000,519906000,550687000,- -
67,Total Stockholders Equity,- -,-19516000,- -,-49038000,-46504000,158594000,200180000,238172000,256430000,316600000,443323000,742927000,927969000,1046561000,1259528000,1557558000,2022322000,2205548000,2401726000,2592819000,2746582000
68,Total Liabilities And Stockholders Equity,- -,117166000,- -,110034000,114533000,229665000,258866000,308091000,312495000,441652000,561722000,895498000,1061216000,1210887000,1452292000,1789833000,2367255000,2573763000,2729719000,2934408000,3169901000
69,Minority Interest,- -,- -,- -,511000,948000,2827000,4455000,5127000,141000,203000,46410000,- -,- -,- -,1137000,166000,- -,687000,717000,1292000,639000
70,Total Liabilities & Equity,- -,117166000,- -,110545000,115481000,232492000,263321000,313218000,312636000,441855000,608132000,895498000,1061216000,1210887000,1453429000,1789999000,2367255000,2574450000,2730436000,2935700000,3170540000
71,SEC Link,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1111928/000095013508001746/b68195ipe10vk.htm,https://www.sec.gov/Archives/edgar/data/1111928/000095013509001664/0000950135-09-001664-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000095012310024694/0000950123-10-024694-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000095012311025637/b84118e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111928/000119312512081509/0001193125-12-081509-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000119312513084799/0001193125-13-084799-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192814000013/ipgp-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1111928/000111192815000040/ipgp-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1111928/000111192816000159/0001111928-16-000159-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192817000055/0001111928-17-000055-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192818000034/0001111928-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192819000035/0001111928-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192820000030/0001111928-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192821000026/0001111928-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1111928/000111192822000025/0001111928-22-000025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,2012000,7427000,29233000,29895000,36654000,5419000,53991000,117759000,145004000,155780000,200445000,242154000,260752000,347614000,404027000,180234000,159572000,278416000
74,Depreciation and Amortization,- -,- -,- -,7154000,7583000,9105000,12304000,15834000,19172000,21845000,23962000,26144000,31524000,35612000,42415000,51475000,64568000,80271000,96268000,94554000,96330000
75,Deferred Income Tax,- -,- -,- -,-462000,2732000,-10159000,8116000,2445000,-4087000,401000,-288000,5546000,-6168000,-1486000,-7153000,-12908000,22881000,-4576000,-15489000,-12813000,-6885000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2767000,3196000,8048000,8565000,11720000,15172000,18989000,21734000,23021000,28027000,33363000,35472000,37864000
77,Change in Working Capital,- -,- -,- -,-4275000,2616000,92118000,5541000,10788000,12086000,73948000,122714000,198759000,146760000,85499000,206192000,164732000,412420000,4543000,145080000,228769000,-83974000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,9269000,-27308000,-23688000,-22706000,-9991000,-48518000,-19036000,-11444000,-63225000,-18814000,9776000,-13022000,-2091000
79,Inventory,- -,- -,- -,1176000,-4011000,-19884000,-15305000,-21661000,5600000,-27018000,-56139000,-22975000,-50355000,-42246000,-70565000,-53626000,-71080000,-135440000,-28105000,-39900000,-149754000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-498000,3411000,1985000,4375000,974000,3262000,9806000,-407000,2309000,-1426000,-10257000,-1942000,30997000
81,Other Working Capital,- -,- -,- -,20934000,23550000,115668000,121209000,131997000,144083000,218031000,340745000,539504000,686264000,771763000,977955000,1142687000,1555107000,1559650000,1704730000,1933499000,65780000
82,Other Non-Cash Items,- -,- -,- -,1819000,-6773000,-101095000,-45199000,-31050000,19048000,-89949000,-184844000,-208742000,-220249000,-155137000,-246026000,-193497000,-465109000,-118991000,-115935000,-220219000,67949000
83,Cash Provided by Operating Activities,- -,- -,- -,6248000,13585000,19202000,10657000,34671000,54405000,63432000,87351000,175276000,119367000,180105000,256571000,292288000,405395000,393301000,323521000,285335000,389700000
84,CAPEX,- -,- -,- -,-4037000,-15989000,-20442000,-34341000,-37111000,-10498000,-28374000,-53007000,-68184000,-70919000,-90601000,-70119000,-127042000,-126535000,-160343000,-133536000,-87696000,-123108000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4108000,-750000,-11596000,-5555000,- -,-4958000,-47792000,-60483000,-109115000,-15115000,-429000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-6950000,- -,- -,- -,-25451000,- -,- -,- -,-106747000,-299508000,-211832000,-765310000,-760300000,-1111555000,-1940605000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,5450000,- -,- -,- -,25451000,495000,- -,- -,198808000,212515000,470328000,768078000,1099224000,1647537000
88,Other Investing Activites,- -,- -,- -,167000,7348000,1315000,-587000,-1991000,-141000,-77000,109000,-928000,93000,-1479000,257000,1126000,15530000,1441000,898000,882000,-106000
89,Cash Used for Investing Activites,- -,- -,- -,-3870000,-8641000,-19127000,-41878000,-33652000,-10639000,-32559000,-79099000,-55257000,-75886000,-90080000,-181567000,-274408000,-170805000,-562999000,-139975000,-99574000,-416282000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-34195000,-14419000,-12062000,-19307000,-18843000,-35290000,-28560000,-10586000,-26603000,-3859000,-3686000,-3740000,-3810000
91,Common Stock Issued,- -,- -,- -,268000,1001000,93169000,3060000,2119000,- -,- -,- -,167928000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8946000,-39987000,-176065000,-40732000,-37884000,-134889000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33353000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-694000,134000,-26260000,-9847000,10367000,21915000,52183000,43946000,-33181000,32992000,46819000,33930000,52383000,63218000,13277000,7351000,31544000,13633000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-426000,1135000,66909000,-6787000,12486000,-12280000,37764000,31884000,82087000,14149000,11529000,5370000,32851000,-3372000,-166647000,-37067000,-10080000,-125066000
96,Effect of Forex Changes on Cash,- -,- -,- -,60000,-266000,322000,313000,-194000,151000,-3697000,-7763000,1713000,7093000,-28180000,-19992000,-9408000,54827000,-29197000,-7853000,19888000,-17800000
97,Net Change In Cash,- -,- -,- -,2012000,5813000,67306000,-37695000,13311000,31637000,64940000,32374000,203819000,64723000,73374000,60382000,41323000,286045000,-365542000,138626000,195569000,-169448000
98,Cash at the End of Period,- -,- -,- -,2548000,8361000,75667000,37972000,51283000,82920000,147860000,180234000,384053000,448776000,522150000,582532000,623855000,909900000,544358000,682984000,878553000,709105000
99,Cash at the Beginning of Period,- -,- -,- -,536000,2548000,8361000,75667000,37972000,51283000,82920000,147860000,180234000,384053000,448776000,522150000,582532000,623855000,909900000,544358000,682984000,878553000
100,Free Cash Flow,- -,- -,- -,2211000,-2404000,-1240000,-23684000,-2440000,43907000,35058000,34344000,107092000,48448000,89504000,186452000,165246000,278860000,232958000,189985000,197639000,266592000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1111928/000095013508001746/b68195ipe10vk.htm,https://www.sec.gov/Archives/edgar/data/1111928/000095013509001664/0000950135-09-001664-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000095012310024694/0000950123-10-024694-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000095012311025637/b84118e10vk.htm,https://www.sec.gov/Archives/edgar/data/1111928/000119312512081509/0001193125-12-081509-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000119312513084799/0001193125-13-084799-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192814000013/ipgp-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1111928/000111192815000040/ipgp-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1111928/000111192816000159/0001111928-16-000159-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192817000055/0001111928-17-000055-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192818000034/0001111928-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192819000035/0001111928-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192820000030/0001111928-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/1111928/000111192821000026/0001111928-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1111928/000111192822000025/0001111928-22-000025-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
