,https://roic.ai/company/BMIX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,- -,- -,463419,194253,162976,132172,140968,141916,652119,- -
49,Short-Term Debt,- -,- -,66437,717272,491698,349030,665394,1094944,1515992,1674771,10167
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,293630,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,70000,172165,1588536,718643,480698,812661,837652,496448,- -,988238
53,Total Current Liabilities,- -,70000,238602,3062857,1404594,992704,1610227,2073564,2154356,2326890,998405
54,Long-Term Debt,- -,- -,- -,- -,116148,- -,- -,- -,- -,566743,- -
55,Deferred Revenue,- -,- -,- -,250000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,191391,200815,188423,192729,121250,108926
58,Total Non-Current Liabilities,- -,- -,- -,250000,116148,191391,200815,188423,192729,687993,108926
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,70000,238602,3312857,1520742,1184095,1811042,2261987,2347085,2448140,1107331
62,Preferred Stock,- -,- -,- -,1,1810434,1,1,1,1,1,- -
63,Common Stock,- -,69963,74640,118618,6219392,64752,121274,332260,1132435,1997930,3109179
64,Retained Earnings,- -,-35962517,-38981390,-42418033,-44235280,-45823698,-47515131,-49181331,-51043408,- -,-54957429
65,Other Comprehensive Income/Loss,- -,- -,-226700,-365473,-678830,-489516,-524819,-566105,-580957,-775113,-712810
66,Other Total Stockholders Equity,- -,37488281,39394945,40702415,36365345,44909360,46007475,46771464,47724570,-4695955,53017926
67,Total Stockholders Equity,- -,1595727,261495,-1962472,-518939,-1339101,-1911200,-2643711,-2767359,-3473137,456866
68,Total Liabilities And Stockholders Equity,- -,1665727,500097,1350385,1001803,-155006,-100158,-381724,-420274,-1024997,1564197
69,Minority Interest,- -,-2538,409962,- -,131054,1328594,1391553,1369081,1446715,1826885,- -
70,Total Liabilities & Equity,- -,1663189,910059,1350385,1132857,1173588,1291395,987357,1026441,801888,1564197
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1540684/000129281413000723/bmixform10_k.htm,https://www.sec.gov/Archives/edgar/data/1540684/000114420414022720/v374482_10k.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997415000284/brazil10k1232014.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997416001127/bmix10k12312015.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997417000301/bmix10k_12312016.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997418000213/bmix10k_12312017.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997419000195/bmix10k_12312018.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997420000156/bmix10k_12312019.htm,https://www.sec.gov/Archives/edgar/data/1540684/000152013821000181/0001520138-21-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1540684/000149315222007760/0001493152-22-007760-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-174463,-2218873,-3436643,-1817247,-1588418,-1691433,-1666200,-1862077,-1546035,-2772358
74,Depreciation and Amortization,- -,- -,433,216,56328,87005,90040,75346,63457,47765,44019
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1210391,574280,159008,367570,454110,379319,175422,168015,1653738
77,Change in Working Capital,- -,773189,-691459,-2625822,1381927,271033,-583977,-555169,49699,-61166,1081270
78,Accounts Receivable,- -,- -,-16864,- -,-2886,1896,- -,-273,488,-30432,17917
79,Inventory,- -,- -,350830,-64255,65348,14958,40281,- -,- -,- -,11246
80,Accounts Payable,- -,- -,- -,- -,- -,140300,81371,146590,140555,84776,720717
81,Other Working Capital,- -,793189,101730,-2524092,-1142165,-871132,-1455109,-2010278,-1960579,-2021745,-940475
82,Other Non-Cash Items,- -,-709827,848214,5241560,-745934,215404,996966,1255391,782427,394640,-1921172
83,Cash Provided by Operating Activities,- -,-111101,-851294,-246409,-965918,-647406,-734294,-511313,-791072,-996781,-1914503
84,CAPEX,- -,- -,-3413,-102259,-10019,-45883,-37985,-803,-677,-13643,- -
85,Acquisitions Net,- -,- -,- -,-1050000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-120732,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-800000,- -,-92383,-14743,-28416,- -,-1173,- -,-11741,-288761
89,Cash Used for Investing Activites,- -,-800000,-3413,-1356032,-24762,-45883,-37985,-1976,-677,-13643,-288761
90,Debt Repayment,- -,- -,- -,-25000,-92152,- -,-79000,- -,-318478,-16931,- -
91,Common Stock Issued,- -,2000033,- -,- -,- -,258700,21834,- -,123500,320000,91996
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-247231,323003,1681205,1160280,322577,909821,389274,1136830,801480,1697942
95,Cash Used/Provided by Financing Activities,- -,1752802,323003,1656205,1068128,581277,852655,389274,941852,1104549,1789938
96,Effect of Forex Changes on Cash,- -,- -,-226700,-138773,-32860,54794,-2537,43048,-1422,8385,182504
97,Net Change In Cash,- -,841701,-758404,-85009,44588,-57218,77839,-80967,148681,102510,-230822
98,Cash at the End of Period,- -,863189,104785,19776,64364,7139,84107,2407,151088,253598,22776
99,Cash at the Beginning of Period,- -,21488,863189,104785,19776,64357,6268,83374,2407,151088,253598
100,Free Cash Flow,- -,-111101,-854707,-348668,-975937,-693289,-772279,-512116,-791749,-1010424,-1914503
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1540684/000129281413000723/bmixform10_k.htm,https://www.sec.gov/Archives/edgar/data/1540684/000114420414022720/v374482_10k.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997415000284/brazil10k1232014.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997416001127/bmix10k12312015.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997417000301/bmix10k_12312016.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997418000213/bmix10k_12312017.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997419000195/bmix10k_12312018.htm,https://www.sec.gov/Archives/edgar/data/1540684/000107997420000156/bmix10k_12312019.htm,https://www.sec.gov/Archives/edgar/data/1540684/000152013821000181/0001520138-21-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1540684/000149315222007760/0001493152-22-007760-index.htm
102,false,,,,,,,,,,,
