,https://roic.ai/company/ACHC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1520697/000119312512112423/0001193125-12-112423-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312513087740/0001193125-13-087740-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312514062774/d664030d10k.htm,https://www.sec.gov/Archives/edgar/data/1520697/000119312515069793/d854534d10k.htm,https://www.sec.gov/Archives/edgar/data/1520697/000119312516478707/0001193125-16-478707-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312517056016/0001193125-17-056016-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312518061152/0001193125-18-061152-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000156459019005750/0001564590-19-005750-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000156459020007769/0001564590-20-007769-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000156459021009466/0001564590-21-009466-index.htm,https://www.sec.gov/Archives/edgar/data/1520697/000156459022007930/0001564590-22-007930-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,61118000,49399000,4569000,94040000,11215000,57063000,67290000,50510000,124192000,378697000,133813000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,61118000,49399000,4569000,94040000,11215000,57063000,67290000,50510000,124192000,378697000,133813000
34,Net Receivables,- -,35127000,63870000,95885000,137990000,245974000,326488000,360024000,352061000,378204000,297083000,281332000
35,Inventory,- -,- -,- -,- -,- -,4681000,4633000,4787000,5055000,4759000,4851000,- -
36,Other Current Assets,- -,16360000,27712000,44672000,42113000,32866000,39743000,39449000,42791000,35056000,1842764000,79886000
37,Total Current Assets,- -,112605000,140981000,145126000,274143000,294736000,427927000,471550000,450417000,542211000,2523395000,495031000
38,PP&E,- -,82972000,236942000,370109000,1069700000,1709053000,2703695000,3048130000,3107766000,3224034000,1719833000,1904920000
39,Goodwill,- -,186815000,557402000,661549000,802986000,2128215000,2681188000,2751174000,2396412000,2449131000,2105264000,- -
40,Intangible Assets,- -,8232000,15988000,20568000,21636000,59575000,83310000,87348000,88990000,90357000,68535000,70145000
41,Intangible Assets,- -,195047000,573390000,682117000,824622000,2187790000,2764498000,2838522000,2485402000,2539488000,2173799000,70145000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,6006000,- -,- -,13141000,49114000,3780000,3731000,3468000,3339000,3209000,3080000
44,Other Non-Current Assets,- -,16366000,32100000,27307000,41984000,38515000,124826000,62569000,125451000,570070000,79126000,2294902000
45,Total Non-Current Assets,- -,300391000,842432000,1079533000,1949447000,3984472000,5596799000,5952952000,5722087000,6336931000,3975967000,4273047000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,412996000,983413000,1224659000,2223590000,4279208000,6024726000,6424502000,6172504000,6879142000,6499362000,4768078000
48,Accounts Payable,- -,8642000,19081000,36026000,48696000,91341000,80034000,102299000,117740000,127045000,87815000,98575000
49,Short-Term Debt,- -,6750000,7680000,15195000,26965000,45360000,34805000,34830000,34112000,79638000,204582000,70044000
50,Tax Payable,- -,- -,- -,- -,2069000,10318000,3259000,4957000,7177000,4755000,23108000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,28805000,31342000,32154000,38475000,35946000,- -
52,Other Current Liabilities,- -,25276000,45090000,63469000,90273000,153502000,199221000,208918000,232371000,218418000,979842000,236242000
53,Total Current Liabilities,- -,40668000,71851000,114690000,165934000,290203000,342865000,377389000,416377000,463576000,1308185000,404861000
54,Long-Term Debt,- -,270709000,465638000,601941000,1069305000,2195384000,3253004000,3205058000,3159375000,3105420000,3052977000,1595467000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,998000,7971000,63880000,23936000,78520000,80333000,80372000,71860000,50017000,74368000
57,Other Non-Current Liabilities,- -,5254000,12376000,19347000,43506000,86657000,182613000,188851000,183073000,732905000,188727000,110505000
58,Total Non-Current Liabilities,- -,275963000,479012000,629259000,1176691000,2305977000,3514137000,3474242000,3422820000,3910185000,3291721000,1780340000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,538211000,135133000,- -
61,Total Liabilities,- -,316631000,550863000,743949000,1342625000,2588125000,3839248000,3829214000,3810391000,4340610000,4599906000,2185201000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,321000,499000,501000,592000,707000,867000,871000,874000,877000,880000,890000
64,Retained Earnings,- -,-44580000,-24177000,18402000,101442000,213996000,220139000,428573000,252823000,361746000,-310386000,-119751000
65,Other Comprehensive Income/Loss,- -,-5824000,-24177000,-29289000,-68370000,-104647000,-549570000,-374118000,-462377000,-414884000,-371365000,- -
66,Other Total Stockholders Equity,- -,146448000,480405000,491096000,847301000,1572972000,2496288000,2517545000,2541987000,2557642000,2580327000,2636350000
67,Total Stockholders Equity,- -,96365000,432550000,480710000,880965000,1683028000,2167724000,2572871000,2333307000,2505381000,1899456000,2517489000
68,Total Liabilities And Stockholders Equity,- -,412996000,983413000,1224659000,2223590000,4271153000,6006972000,6402085000,6143698000,6845991000,6499362000,4702690000
69,Minority Interest,- -,- -,- -,- -,- -,8055000,17754000,22417000,28806000,33151000,- -,65388000
70,Total Liabilities & Equity,- -,412996000,983413000,1224659000,2223590000,4279208000,6024726000,6424502000,6172504000,6879142000,6499362000,4768078000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1520697/000119312512112423/0001193125-12-112423-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312513087740/0001193125-13-087740-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312514062774/d664030d10k.htm,https://www.sec.gov/Archives/edgar/data/1520697/000119312515069793/d854534d10k.htm,https://www.sec.gov/Archives/edgar/data/1520697/000119312516478707/0001193125-16-478707-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312517056016/0001193125-17-056016-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312518061152/0001193125-18-061152-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000156459019005750/0001564590-19-005750-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000156459020007769/0001564590-20-007769-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000156459021009466/0001564590-21-009466-index.htm,https://www.sec.gov/Archives/edgar/data/1520697/000156459022007930/0001564590-22-007930-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,6210000,-34892000,20403000,42579000,83040000,112554000,6143000,199835000,-175750000,108923000,-672132000,195562000
74,Depreciation and Amortization,976000,4288000,7982000,17090000,32667000,63550000,135103000,143010000,158832000,164044000,95256000,106717000
75,Deferred Income Tax,-145000,-6442000,2847000,10083000,7215000,43613000,28647000,31372000,-9714000,1780000,53108000,11772000
76,Stock Based Compensation,- -,17320000,2267000,5249000,10058000,20472000,28345000,23467000,22001000,17307000,22504000,37530000
77,Change in Working Capital,-1661000,72187000,-2807000,-38694000,77773000,-103676000,80529000,9099000,-60121000,44595000,1136575000,-1125040000
78,Accounts Receivable,-2174000,-5051000,-16733000,-21242000,-15110000,-24954000,-15718000,-28570000,-16821000,-19060000,15340000,2448000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,541000,- -,485000,-848000,2793000,6868000,22693000,-10113000,26054000,-21354000,77993000,6164000
81,Other Working Capital,-250000,71937000,69130000,30436000,108209000,4533000,85062000,94161000,34040000,78635000,1215210000,90170000
82,Other Non-Cash Items,2815000,-73127000,3206000,29255000,-95467000,103890000,82711000,-7206000,478832000,-3745000,23496000,1147683000
83,Cash Provided by Operating Activities,8195000,-20666000,33898000,65562000,115286000,240403000,361478000,399577000,414080000,332904000,658807000,374224000
84,CAPEX,-1495000,-9558000,-27595000,-68941000,-113244000,-276047000,-307472000,-274177000,-341462000,-284682000,-216615000,-244811000
85,Acquisitions Net,- -,-206379000,-443473000,-164019000,-738702000,-574777000,-310189000,-18191000,- -,-45677000,- -,-139015000
86,Purchases of Investments,- -,- -,- -,- -,-23177000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1498000,-19191000,-28012000,-70867000,-75718000,-283072000,-309419000,-277278000,-342581000,-155464000,-281839000,1153155000
89,Cash Used for Investing Activites,-1498000,-225570000,-524644000,-242978000,-860774000,-884471000,-660365000,-336526000,-360964000,-201141000,-281839000,1017633000
90,Debt Repayment,-275000,-15047000,-6000000,-68180000,-291695000,-1343932000,-1935924000,-57305000,-61658000,-129557000,-1051076000,-7969000
91,Common Stock Issued,- -,68059000,311841000,-205000,374431000,331308000,685097000,- -,- -,- -,184000,- -
92,Common Stock Repurchased,- -,- -,- -,-205000,-4099000,-7762000,-8846000,-3455000,-3407000,-1649000,- -,- -
93,Dividends Paid,-2297000,-375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,246103000,173186000,201176000,759335000,1583988000,1618514000,686000,-2265000,69579000,999393000,-1633092000
95,Cash Used/Provided by Financing Activities,-2572000,298740000,479027000,132586000,837972000,563602000,358841000,-60074000,-67330000,-61627000,-51499000,-1641061000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-3013000,-2359000,-14106000,7250000,-2566000,3546000,4087000,4067000
97,Net Change In Cash,4125000,52504000,-11719000,-44830000,89471000,-82825000,45848000,10227000,-16780000,73682000,254505000,-244884000
98,Cash at the End of Period,8614000,61118000,49399000,4569000,94040000,11215000,57063000,67290000,50510000,124192000,378697000,133813000
99,Cash at the Beginning of Period,4489000,8614000,61118000,49399000,4569000,94040000,11215000,57063000,67290000,50510000,124192000,378697000
100,Free Cash Flow,6700000,-30224000,6303000,-3379000,2042000,-35644000,54006000,125400000,72618000,48222000,442192000,129413000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1520697/000119312512112423/0001193125-12-112423-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312513087740/0001193125-13-087740-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312514062774/d664030d10k.htm,https://www.sec.gov/Archives/edgar/data/1520697/000119312515069793/d854534d10k.htm,https://www.sec.gov/Archives/edgar/data/1520697/000119312516478707/0001193125-16-478707-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312517056016/0001193125-17-056016-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000119312518061152/0001193125-18-061152-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000156459019005750/0001564590-19-005750-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000156459020007769/0001564590-20-007769-index.html,https://www.sec.gov/Archives/edgar/data/1520697/000156459021009466/0001564590-21-009466-index.htm,https://www.sec.gov/Archives/edgar/data/1520697/000156459022007930/0001564590-22-007930-index.htm
102,false,,,,,,,,,,,,
