,https://roic.ai/company/SUWN,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,17040051,34987824,50614262,85909776,86821905,100996013,152845870,157261152,157017324,167886887,173882803,173882803,182066546,199632803,199632803,199632803,199632803,199632803
28,Weighted Average Shares Outstanding Diluted,17040051,36224370,50639262,85909776,86821905,101464350,152845870,157261152,157017324,167886887,173882803,173882803,182066546,199632803,199632803,199632803,199632803,199632803
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/806592/000144878812000186/0001448788-12-000186-index.html,- -,https://www.sec.gov/Archives/edgar/data/806592/000144878814000065/0001448788-14-000065-index.html,https://www.sec.gov/Archives/edgar/data/806592/000144878815000039/0001448788-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878816000142/0001448788-16-000142-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878817000028/0001448788-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/806592/000144878818000010/0001448788-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/806592/000144878819000019/0001448788-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878820000009/0001448788-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878821000015/0001448788-21-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,543078,1674298,5433691,6687222,6811136,10487165,12746756,10563413,2958895,517106,1195563,- -,900071,51116,1100748,- -,1137920,1565829
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1963891,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,543078,1674298,5433691,6687222,6811136,10487165,12746756,10563413,2958895,517106,3159454,- -,900071,51116,1100748,- -,1137920,1565829
34,Net Receivables,2623036,2859507,2608873,2854681,4163839,4011446,2942427,2790256,105906,2938839,2012036,678456,2099503,2243621,3513530,2985166,2713567,7693592
35,Inventory,3877217,2843889,1778870,2821507,4707043,7415809,5696533,3327914,4305381,4927971,3253365,5288409,4526580,8816473,12564571,11991956,12874497,12930461
36,Other Current Assets,1094315,697658,967892,765265,264576,294210,408700,106023,7436618,1189416,182158,4470779,6420247,5069135,4861323,8591264,3727917,661882
37,Total Current Assets,8137646,8075352,10789326,13128675,15946594,22208630,21794416,16787606,14806800,9573332,8607013,10437644,13946401,16180345,22040172,23568386,20453901,22851764
38,PP&E,2071914,2762133,5375849,13190693,14151293,19121340,17138123,13967964,14023368,15725384,14938358,12085570,9154077,8241197,9052886,8993397,8901548,9217115
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,2289267,2237404,2303112,2298973,1409090,- -,758740,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,2289267,2237404,2303112,2298973,1409090,1083915,758740,433565,108390,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,147527,- -,- -,1947042,1963891,331306,311467,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,12077,- -,- -,- -,- -,- -,- -,- -,- -,2289544,2252275,2390121,4125471,2711933,2118326,2925706,- -,- -
45,Total Non-Current Assets,2083991,2762133,5375849,13190693,14151293,21410607,19523054,16271076,16322341,21371060,20238439,15565737,14024580,11061520,11171212,11919103,8901548,9217115
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10221637,10837485,16165175,26319368,30097887,43619237,41317470,33058682,31129141,30944392,28845452,26003381,27970981,27241865,33211384,35487489,29355449,32068879
48,Accounts Payable,2259715,1876529,1579402,3922019,2649817,58578,2857062,2495776,- -,3626117,- -,5527011,6860826,7036471,11660004,7680049,8533131,8155842
49,Short-Term Debt,1353235,592541,255487,- -,- -,- -,- -,- -,- -,804829,811794,- -,2263387,4366389,8302489,6079983,3378380,2955304
50,Tax Payable,- -,- -,- -,- -,- -,160021,151105,118351,73327,- -,- -,156336,254615,121127,199644,125854,266708,330738
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295809,- -,- -,- -,- -,- -,143695
52,Other Current Liabilities,1030376,526926,45860,17192,1416067,2268988,151105,123554,4205276,174404,4531953,958475,1277248,125312,2559216,7397269,5072451,12685507
53,Total Current Liabilities,4643326,2995996,1880749,3939211,4065884,2327566,3008167,2619330,4205276,4605350,5343747,6781295,10401461,11528172,22521709,21157301,16983962,23940348
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,811794,- -,2263387,2900484,1687857,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,130290,130188,134448,139531,154207,157830,505752,- -,- -,- -,- -,- -,- -,- -,- -,9845706,- -,- -
58,Total Non-Current Liabilities,130290,130188,134448,139531,154207,157830,505752,- -,- -,- -,811794,- -,2263387,2900484,1687857,9845706,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20638857,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4773616,3126184,2015197,4078742,4220091,2485396,3513919,2619330,4205276,4605350,5343747,6781295,10401461,14428656,24209566,31950452,16983962,23940348
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,31617,43367,73917,85910,87007,149903,160241,155523,157356,173883,173883,173883,199633,199633,199633,199633,199633,199633
64,Retained Earnings,3547955,4377069,6901883,6323340,6325919,6826215,2274215,-4477522,-8818978,-12829706,-15895527,-20417666,-25214532,-29112556,-33827351,-38735711,-40118394,-43357208
65,Other Comprehensive Income/Loss,-100000,-2971,-4839246,410496,2246804,3828469,3824713,4262044,5140265,5515336,5743820,5986340,4903140,4044853,4948257,4391836,4557898,5193512
66,Other Total Stockholders Equity,313383,1360687,12013424,15420880,17218066,27712257,29095572,28390279,30445222,33479529,33479529,33479529,37681279,37681279,37681279,37681279,47732350,47732350
67,Total Stockholders Equity,3792955,5778152,14149978,22240626,25877796,38516844,35354741,28330324,26923865,26339042,23501705,19222086,17569520,12813209,9001818,3537037,12371487,9768287
68,Total Liabilities And Stockholders Equity,8566571,8904336,16165175,26319368,30097887,41002240,38868660,30949654,31129141,30944392,28845452,26003381,27970981,27241865,33211384,35487489,29355449,33708635
69,Minority Interest,1655066,1933149,- -,- -,- -,2616997,2448810,2109028,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1639756
70,Total Liabilities & Equity,10221637,10837485,16165175,26319368,30097887,43619237,41317470,33058682,31129141,30944392,28845452,26003381,27970981,27241865,33211384,35487489,29355449,32068879
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/806592/000144878812000186/0001448788-12-000186-index.html,- -,https://www.sec.gov/Archives/edgar/data/806592/000144878814000065/0001448788-14-000065-index.html,https://www.sec.gov/Archives/edgar/data/806592/000144878815000039/0001448788-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878816000142/0001448788-16-000142-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878817000028/0001448788-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/806592/000144878818000010/0001448788-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/806592/000144878819000019/0001448788-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878820000009/0001448788-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878821000015/0001448788-21-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,465310,829114,2429814,-578543,2579,500296,-4928500,-4910292,-4395714,-4010728,-3065821,-4522139,-4796866,-3898024,-4714795,-4908360,-1382683,-3238814
74,Depreciation and Amortization,510667,291415,304814,644622,1142916,1695200,1916252,1520247,1408890,1846760,2164582,2414909,1375442,1726992,1562764,1093832,1218587,1339581
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,350048,750000,- -,628131,810000,- -,- -,402500,1226669,1226668,715553,- -,- -
77,Change in Working Capital,-298461,1585036,3829221,280887,2691246,8000354,-1094815,-4617973,-3566752,-5633542,-1704716,393083,-111409,1107233,-5133710,2892622,1058854,416142
78,Accounts Receivable,- -,- -,- -,- -,- -,-70902,311719,-473199,-470217,120303,-555780,- -,- -,- -,-1135368,-148347,245898,1195885
79,Inventory,276089,1033328,1065019,-975385,-1519253,-1229143,996490,1431626,-867429,-786053,1721277,-1976823,453800,-4657896,-2865416,-2164379,-1542338,-217854
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3334543,-1274960,2735478,1890082
81,Other Working Capital,3494320,5079356,8908577,9189464,11880710,19881064,18786249,14168276,10601524,4967982,3263266,3656349,3544940,4652173,-481537,2411085,3469939,- -
82,Other Non-Cash Items,276041,-731611,-3266743,2080632,-4210952,-9871109,4828818,8555647,1975816,4985673,3908335,1334383,3179375,-4710708,4970415,-5238333,1263793,-720517
83,Cash Provided by Operating Activities,953557,1973954,3297106,2427598,-374211,674789,1471755,547629,-3949629,-2001837,1302380,-379764,49042,-4547838,-2088658,-5444686,2158551,-2203608
84,CAPEX,-602639,-981634,-3952212,-8186388,-740022,-405405,-917989,-530156,-3527319,-3271922,-851624,-359758,-402180,-699649,-1018906,-2360145,-1774962,-765549
85,Acquisitions Net,-95000,- -,- -,- -,- -,160519,- -,- -,-626125,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-260569,- -,- -,-3245,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,185712,1923759,- -,- -,- -,295792,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,2011922,- -,- -,- -,877514,-466008,- -,- -,43614,- -,- -,- -,1519,-69440,1148439,- -
89,Cash Used for Investing Activites,-697639,-981634,-1940290,-8186388,-740022,-244886,-301044,-996164,-3967732,-1351408,-808010,-359758,-402180,-403857,-1017387,-2429585,-626523,-765549
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-83875,- -,- -,-814054,-662299,-11934,-379853,-429795,-514521,-922255
91,Common Stock Issued,- -,902565,2512000,3803625,713154,3192946,1145685,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,138610,-760694,-337054,3064113,430000,-100000,-57100,112449,162383,798043,106527,594404,1701108,4144721,4495638,8445606,-123239,4214365
95,Cash Used/Provided by Financing Activities,138610,141871,2174946,6867738,1143154,3092946,1088585,112449,78508,798043,106527,-219650,1038809,4132787,4115785,8015811,-637760,3292110
96,Effect of Forex Changes on Cash,- -,-2971,227631,144583,94993,153180,295,482977,234335,113413,77560,5576,-27567,-30047,39892,75917,-50548,104956
97,Net Change In Cash,394528,1131220,3759393,1253531,123914,3676029,2259591,146891,-7604518,-2441789,678457,-953596,658104,-848955,1049632,218282,843721,427909
98,Cash at the End of Period,543078,1674298,5433691,6687222,6811136,10487165,12746756,10563413,2958895,517106,1195563,241967,900071,51116,1100748,294199,1137920,1565829
99,Cash at the Beginning of Period,148550,543078,1674298,5433691,6687222,6811136,10487165,10416522,10563413,2958895,517106,1195563,241967,900071,51116,75917,294199,1137920
100,Free Cash Flow,350918,992320,-655106,-5758790,-1114233,269384,553766,17473,-7476948,-5273759,450756,-739522,-353138,-5247487,-3107564,-7804831,383589,-2969157
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/806592/000144878812000186/0001448788-12-000186-index.html,- -,https://www.sec.gov/Archives/edgar/data/806592/000144878814000065/0001448788-14-000065-index.html,https://www.sec.gov/Archives/edgar/data/806592/000144878815000039/0001448788-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878816000142/0001448788-16-000142-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878817000028/0001448788-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/806592/000144878818000010/0001448788-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/806592/000144878819000019/0001448788-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878820000009/0001448788-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/806592/000144878821000015/0001448788-21-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,
