,https://roic.ai/company/KEYS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),-38000000,-95000000,44000000,83000000,-125000000,31000000,77000000,-576000000,94000000,134000000,116000000
23,Net Income,787000000,841000000,457000000,392000000,513000000,335000000,102000000,165000000,621000000,627000000,894000000
24,Net Income ratio,0.2373,0.2537,0.1582,0.1337,0.1796,0.1148,0.0320,0.0425,0.1443,0.1485,0.1809
25,EPS,4.72,5.04,2.74,2.35,3.04,1.97,0.57,0.88,3.31,3.35,4.86
26,EPS Diluted,4.72,5.04,2.74,2.35,3.00,1.95,0.56,0.86,3.25,3.31,4.81
27,Weighted Average Shares Outstanding,166816116,166816116,166816116,167000000,169000000,170000000,180000000,187000000,188000000,187000000,183000000
28,Weighted Average Shares Outstanding Diluted,166816116,166816116,166816116,167000000,171000000,172000000,182000000,191000000,191000000,187000000,186000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1601046/000160104614000008/0001601046-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104615000044/0001601046-15-000044-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104616000077/0001601046-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104617000033/0001601046-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000030/0001601046-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000110/0001601046-19-000110-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104620000154/0001601046-20-000154-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,810000000,483000000,783000000,818000000,913000000,1598000000,1756000000,2052000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,810000000,483000000,783000000,818000000,913000000,1598000000,1817000000,2052000000
34,Net Receivables,- -,392000000,340000000,380000000,398000000,437000000,547000000,624000000,668000000,606000000,735000000
35,Inventory,- -,472000000,502000000,498000000,487000000,474000000,588000000,619000000,705000000,757000000,777000000
36,Other Current Assets,- -,129000000,130000000,162000000,211000000,160000000,224000000,222000000,244000000,194000000,270000000
37,Total Current Assets,- -,993000000,972000000,1850000000,1579000000,1854000000,2177000000,2378000000,3215000000,3374000000,3834000000
38,PP&E,- -,493000000,469000000,470000000,518000000,512000000,530000000,555000000,576000000,777000000,877000000
39,Goodwill,- -,467000000,419000000,392000000,700000000,736000000,1882000000,1171000000,1209000000,1537000000,1628000000
40,Intangible Assets,- -,28000000,20000000,18000000,246000000,208000000,854000000,645000000,490000000,361000000,272000000
41,Intangible Assets,- -,495000000,439000000,410000000,946000000,944000000,2736000000,1816000000,1699000000,1898000000,1900000000
42,Investments,- -,26000000,44000000,63000000,70000000,55000000,63000000,46000000,46000000,61000000,70000000
43,Tax Assets,- -,108000000,88000000,163000000,295000000,392000000,186000000,750000000,755000000,740000000,711000000
44,Other Non-Current Assets,- -,18000000,16000000,94000000,100000000,46000000,240000000,279000000,332000000,368000000,389000000
45,Total Non-Current Assets,- -,1140000000,1056000000,1200000000,1929000000,1949000000,3755000000,3446000000,3408000000,3844000000,3947000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2133000000,2028000000,3050000000,3508000000,3803000000,5932000000,5824000000,6623000000,7218000000,7781000000
48,Accounts Payable,- -,156000000,131000000,173000000,209000000,189000000,211000000,242000000,253000000,224000000,287000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,10000000,499000000,- -,43000000,41000000
50,Tax Payable,- -,57000000,55000000,72000000,50000000,41000000,28000000,42000000,55000000,64000000,74000000
51,Deferred Revenue,- -,200000000,190000000,175000000,175000000,180000000,291000000,334000000,334000000,391000000,478000000
52,Other Current Liabilities,- -,239000000,239000000,421000000,302000000,275000000,307000000,387000000,416000000,423000000,503000000
53,Total Current Liabilities,- -,595000000,560000000,769000000,686000000,644000000,819000000,1462000000,1003000000,1081000000,1309000000
54,Long-Term Debt,- -,- -,- -,1099000000,1099000000,1100000000,2038000000,1291000000,1788000000,1789000000,1982000000
55,Deferred Revenue,- -,122000000,94000000,69000000,61000000,72000000,101000000,127000000,176000000,175000000,187000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,740000000,- -
57,Other Non-Current Liabilities,- -,111000000,129000000,344000000,360000000,474000000,665000000,511000000,652000000,136000000,519000000
58,Total Non-Current Liabilities,- -,233000000,223000000,1512000000,1520000000,1646000000,2804000000,1929000000,2616000000,2840000000,2688000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,192000000,232000000
61,Total Liabilities,- -,828000000,783000000,2281000000,2206000000,2290000000,3623000000,3391000000,3619000000,3921000000,3997000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,101000000,614000000,949000000,1041000000,1212000000,1909000000,2536000000,3430000000
65,Other Comprehensive Income/Loss,- -,101000000,31000000,-336000000,-479000000,-618000000,-457000000,-488000000,-578000000,-599000000,-442000000
66,Other Total Stockholders Equity,- -,2068000000,2011000000,1002000000,1165000000,1180000000,1724000000,1707000000,1671000000,1358000000,794000000
67,Total Stockholders Equity,- -,1305000000,1245000000,769000000,1302000000,1513000000,2310000000,2433000000,3004000000,3297000000,3784000000
68,Total Liabilities And Stockholders Equity,- -,2133000000,2028000000,3050000000,3508000000,3803000000,5933000000,5824000000,6623000000,7218000000,7781000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2133000000,2028000000,3050000000,3508000000,3803000000,5932000000,5824000000,6623000000,7218000000,7781000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1601046/000160104614000008/0001601046-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104615000044/0001601046-15-000044-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104616000077/0001601046-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104617000033/0001601046-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000030/0001601046-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000110/0001601046-19-000110-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104620000154/0001601046-20-000154-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,787000000,841000000,457000000,392000000,513000000,335000000,102000000,165000000,621000000,627000000,894000000
74,Depreciation and Amortization,56000000,65000000,77000000,84000000,99000000,134000000,225000000,310000000,308000000,326000000,293000000
75,Deferred Income Tax,8000000,-118000000,14000000,23000000,-163000000,17000000,-47000000,-789000000,-2000000,41000000,-53000000
76,Stock Based Compensation,36000000,38000000,41000000,43000000,55000000,49000000,56000000,59000000,82000000,92000000,103000000
77,Change in Working Capital,-158000000,476000000,14000000,669000000,-188000000,317000000,148000000,-442000000,1296000000,81000000,36000000
78,Accounts Receivable,-6000000,-3000000,44000000,-25000000,-20000000,-42000000,-11000000,-89000000,-26000000,75000000,-122000000
79,Inventory,-74000000,-46000000,-53000000,-31000000,-25000000,-22000000,-4000000,-61000000,-92000000,-73000000,-43000000
80,Accounts Payable,-10000000,-23000000,-24000000,32000000,18000000,-8000000,15000000,22000000,13000000,-33000000,53000000
81,Other Working Capital,-78000000,398000000,412000000,1081000000,893000000,1210000000,1358000000,916000000,2212000000,2293000000,114000000
82,Other Non-Cash Items,22000000,-578000000,-37000000,-648000000,60000000,-436000000,-171000000,1252000000,-1307000000,-151000000,49000000
83,Cash Provided by Operating Activities,751000000,724000000,566000000,563000000,376000000,416000000,313000000,555000000,998000000,1016000000,1322000000
84,CAPEX,-95000000,-103000000,-69000000,-70000000,-92000000,-91000000,-72000000,-132000000,-120000000,-117000000,-174000000
85,Acquisitions Net,-3000000,-69000000,-1000000,-11000000,-574000000,-10000000,-1702000000,-11000000,-88000000,-357000000,-178000000
86,Purchases of Investments,- -,- -,-15000000,- -,-7000000,- -,-1000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,5000000,- -,- -,- -,1000000,- -,45000000,- -,7000000,- -,- -
88,Other Investing Activites,5000000,- -,- -,-1000000,1000000,11000000,8000000,27000000,5000000,32000000,-1000000
89,Cash Used for Investing Activites,-88000000,-172000000,-85000000,-82000000,-671000000,-90000000,-1722000000,-116000000,-196000000,-442000000,-353000000
90,Debt Repayment,- -,- -,- -,-37000000,- -,-1000000,-323000000,-300000000,-500000000,-7000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,444000000,- -,- -,58000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-62000000,- -,-120000000,-159000000,-411000000,-673000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-663000000,-552000000,-481000000,372000000,-19000000,38000000,1319000000,85000000,537000000,-53000000,2000000
95,Cash Used/Provided by Financing Activities,-663000000,-552000000,-481000000,335000000,-19000000,-25000000,1440000000,-335000000,-122000000,-413000000,-671000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-6000000,-13000000,-1000000,4000000,-9000000,3000000,6000000,3000000
97,Net Change In Cash,- -,- -,- -,- -,-327000000,300000000,35000000,95000000,683000000,167000000,301000000
98,Cash at the End of Period,- -,- -,- -,810000000,483000000,783000000,818000000,913000000,1600000000,1767000000,2068000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,810000000,483000000,783000000,818000000,917000000,1600000000,1767000000
100,Free Cash Flow,656000000,621000000,497000000,493000000,284000000,325000000,241000000,423000000,878000000,899000000,1148000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1601046/000160104614000008/0001601046-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104615000044/0001601046-15-000044-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104616000077/0001601046-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104617000033/0001601046-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000030/0001601046-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000110/0001601046-19-000110-index.html,https://www.sec.gov/Archives/edgar/data/1601046/000160104620000154/0001601046-20-000154-index.htm,- -
102,false,,,,,,,,,,,
