,https://roic.ai/company/EMAN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-120000,- -,- -,- -,2329452,1283254,5087057,4000,1306000,3087000,1990000,466000,115000,103000,29000,31000,- -,- -,- -,363000,- -,-201000,132000,851000
14,Depreciation and Amortization,1650000,- -,21488686,18453461,1842480,1262001,627445,908000,2018000,2735000,223000,315000,86000,170000,368000,905000,1181000,1530000,1641000,2070000,1989000,2584000,2810000,2752000
15,EBITDA,-6200000,100000,-26678131,-50033274,-10740779,-2178060,-6996236,-15616000,-11942000,-12666000,354000,5133000,6117000,6034000,2034000,-4247000,-4076000,-2575000,-6407000,-5562000,-7553000,-1915000,-8506000,-1603000
16,EBITDA ratio,-1.0081,1.0000,-10.4310,-8.5565,-5.0482,-0.8448,-1.9473,-4.1698,-1.4619,-0.7215,0.0189,0.2155,0.2008,0.2068,0.0666,-0.1517,-0.1585,-0.1024,-0.2994,-0.2525,-0.2879,-0.0717,-0.2891,-0.0615
17,Operating Income,-7610000,100000,-35699022,-67136202,-12606370,-8294624,-7698977,-16810000,-16456000,-4614000,-269000,4751000,6015000,3275000,1623000,-5202000,-5251000,-4062000,-8331000,-8733000,-11667000,-5571000,-6917000,-9962000
18,Operating Income ratio,-1.2374,1.0000,-13.9581,-11.4814,-5.9250,-3.2173,-2.1429,-4.4887,-2.0144,-0.2628,-0.0144,0.1994,0.1975,0.1122,0.0531,-0.1859,-0.2042,-0.1616,-0.3894,-0.3964,-0.4447,-0.2084,-0.2351,-0.3825
19,Total Other Income Expenses (Gains),-120000,- -,-12467795,-33496396,23111,4854563,75296,286000,2496000,-10787000,400000,-399000,-99000,2486000,14000,19000,-6000,-43000,283000,738000,2125000,1273000,-4531000,4756000
20,Income Before Tax,-7730000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4352000,5916000,5761000,1637000,-5183000,-5257000,-4105000,-8048000,-7995000,-9542000,-4298000,-11448000,-5206000
21,Income Before Tax Ratio,-1.2569,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1827,0.1942,0.1974,0.0536,-0.1852,-0.2044,-0.1633,-0.3761,-0.3629,-0.3637,-0.1608,-0.3891,-0.1999
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,-8931000,795000,-615000,8884000,- -,- -,1000,-212000,- -,- -,- -,- -
23,Net Income,-7730000,- -,-48166817,-68486735,-14912711,-4723315,-12710738,-16528000,-15266000,-18488000,-1859000,4262000,14847000,4966000,2252000,-14067000,-5257000,-4105000,-8049000,-7783000,-9542000,-4298000,-11448000,-5206000
24,Net Income ratio,-1.2569,- -,-18.8329,-11.7124,-7.0090,-1.8321,-3.5378,-4.4134,-1.8688,-1.0532,-0.0992,0.1789,0.4875,0.1702,0.0737,-0.5026,-0.2044,-0.1633,-0.3762,-0.3533,-0.3637,-0.1608,-0.3891,-0.1999
25,EPS,-14.05,- -,-21.80,-27.30,-5.10,-1.30,-2.00,-1.90,-1.52,-1.59,-0.13,0.26,0.77,0.17,0.06,-0.60,-0.22,-0.16,-0.27,-0.23,-0.21,-0.09,-0.19,-0.07
26,EPS Diluted,-14.05,- -,-21.80,-27.30,-5.10,-1.30,-2.00,-1.90,-1.52,-1.59,-0.13,0.17,0.49,0.07,0.06,-0.60,-0.22,-0.16,-0.27,-0.23,-0.21,-0.09,-0.19,-0.07
27,Weighted Average Shares Outstanding,550000,2475132,2214490,2510021,2941683,3599843,6427814,8540700,10058000,11633000,14175000,16344000,19239933,22448138,23486463,23639554,24376259,25296040,30172927,33661727,44429114,48133000,60458000,72527479
28,Weighted Average Shares Outstanding Diluted,550000,2475132,2214490,2510021,2941683,3599843,6427814,8540700,10058000,11633000,14175000,25503000,30422133,25574522,25382125,23639554,24376259,25296040,30172927,33661727,44429114,48133000,60458000,73861952
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1046995/000112528201001238/0001125282-01-001238-index.html,https://www.sec.gov/Archives/edgar/data/1046995/000095012702000396/0000950127-02-000396-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1046995/000101376206000833/0001013762-06-000833-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376207000529/0001013762-07-000529-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376208000782/0001013762-08-000782-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376209000570/0001013762-09-000570-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376210000605/0001013762-10-000605-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376211000615/0001013762-11-000615-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376212000494/0001013762-12-000494-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376213000393/0001013762-13-000393-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376214000233/0001013762-14-000233-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376215000212/0001013762-15-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376216001392/0001013762-16-001392-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000156276217000038/0001562762-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000156276218000120/0001562762-18-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699519000002/0001046995-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699520000022/0001046995-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699521000005/0001046995-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699522000007/0001046995-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1880000,720000,7367257,738342,82951,1053895,13457465,6727000,1415000,713000,2404000,5295000,7796000,7571000,4385000,4032000,5290000,9273000,5241000,3526000,3359000,3515000,8315000,5724000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,120000,171000,94000,97000,100000,3100000,5745000,8520000,6250000,750000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1880000,720000,7367257,738342,82951,1053895,13457465,6847000,1586000,807000,2501000,5395000,10896000,13316000,12905000,10282000,6040000,9273000,5241000,3526000,3359000,3515000,8315000,5724000
34,Net Receivables,260000,70000,1453080,778294,365495,843896,535748,822000,908000,2383000,3643000,4563000,5150000,5576000,5154000,4319000,4044000,4953000,4235000,4934000,3410000,4121000,6580000,5882000
35,Inventory,- -,- -,- -,90720,250998,275417,2017886,3839000,2485000,1815000,2374000,2179000,1905000,2760000,3223000,3434000,4586000,3901000,7435000,8640000,8582000,8832000,8379000,7632000
36,Other Current Assets,3550000,350000,665222,388344,113849,287957,879853,1045000,656000,850000,796000,687000,777000,1008000,653000,745000,656000,489000,1040000,1328000,875000,1130000,3054000,1497000
37,Total Current Assets,5690000,1140000,9485559,1995700,813293,2461165,16890952,12553000,5635000,5855000,9314000,12824000,18728000,22660000,21935000,18780000,15326000,18616000,17951000,18428000,16226000,17598000,26328000,20735000
38,PP&E,1770000,1220000,1268304,1166509,634532,1200939,1304465,1299000,666000,292000,381000,1021000,3287000,5980000,8099000,9119000,9417000,9131000,8980000,8553000,8921000,11829000,21182000,30596000
39,Goodwill,3600000,2670000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,100000,10000,51689938,1657238,331442,- -,54123,57000,55000,51000,47000,43000,39000,35000,- -,- -,382000,336000,282000,326000,- -,- -,- -,- -
41,Intangible Assets,3700000,2680000,51689938,1657238,331442,- -,54123,57000,55000,51000,47000,43000,39000,35000,- -,- -,382000,336000,282000,326000,269000,160000,126000,37000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1000000,500000,750000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9056000,8165000,8881000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,105394,94367,55117,86907,186258,233000,649000,450000,362000,92000,92000,92000,124000,27000,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,5470000,3900000,53063636,2918114,1021091,1287846,1544846,1589000,1370000,793000,790000,1156000,13974000,15272000,17604000,9896000,9799000,9467000,9262000,8879000,9190000,11989000,21308000,30633000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11160000,5040000,62549195,4913814,1834384,3749011,18435798,14142000,7005000,6648000,10104000,13980000,32702000,37932000,39539000,28676000,25125000,28083000,27213000,27307000,25416000,29587000,47636000,51368000
48,Accounts Payable,460000,680000,161025,3116558,6381036,234869,822328,562000,1192000,620000,1026000,1122000,1100000,961000,955000,1470000,1027000,1636000,1432000,1714000,2024000,1302000,1206000,1348000
49,Short-Term Debt,- -,2130000,313074,2568197,5740164,38184,14080,16000,1223000,7089000,1691000,- -,- -,- -,- -,- -,- -,- -,1689000,3808000,- -,3666000,3935000,3167000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,30400,- -,- -,96000,126000,179000,164000,238000,26000,138000,132000,221000,405000,136000,- -,765000,38000,277000,425000,54000
52,Other Current Liabilities,1860000,1630000,2768446,1802063,2263156,2081789,1129954,3011000,3399000,2675000,3133000,2849000,4027000,2722000,2825000,2986000,2621000,2905000,3632000,3529000,5385000,3544000,8700000,4368000
53,Total Current Liabilities,2320000,4440000,3242545,7486818,14414756,2354842,1966362,3685000,5940000,10563000,6014000,4209000,5153000,3821000,3912000,4677000,4053000,4677000,6753000,9816000,7447000,8789000,14266000,8937000
54,Long-Term Debt,4150000,540000,122984,2305184,227742,6124451,- -,- -,- -,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3091000,12765000,11701000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4309000,12458000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,36257,22177,56000,2229000,- -,429000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,28000
58,Total Non-Current Liabilities,4150000,540000,122984,2305184,227742,6160708,22177,56000,2229000,60000,429000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3091000,17130000,24187000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,36257,22177,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3866000,12861000,12894000
61,Total Liabilities,6470000,4980000,3365529,9792002,14642498,8515550,1988539,3741000,8169000,10623000,6443000,4209000,5153000,3821000,3912000,4677000,4053000,4677000,6753000,9816000,7447000,11880000,31396000,33124000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,60000,40000,25069,25171,30855,42694,79639,100000,10000,12000,15000,17000,21000,24000,24000,24000,25000,30000,32000,35000,45000,50000,69000,72000
64,Retained Earnings,-23440000,-47240000,-48197817,-116684552,-131597263,-136320578,-149031316,-165559000,-180825000,-199313000,-201172000,-196910000,-182063000,-186656000,-187509000,-201576000,-206833000,-210938000,-218987000,-226770000,-236312000,-240610000,-252058000,-257264000
65,Other Comprehensive Income/Loss,-2490000,-3300000,-556000,-1123000,-462983,-87565,-2767270,-3671000,-4508000,-4896000,-5115000,-5193000,-5275000,-5441000,-5805000,-6701000,-7865000,-9337000,-10923000,-9603000,-11236000,-13178000,- -,- -
66,Other Total Stockholders Equity,30560000,50560000,107912414,112904193,119221277,131598910,168166206,179531000,184159000,200222000,209933000,211857000,214866000,226184000,228917000,232252000,235745000,243651000,250338000,253829000,265472000,271445000,268229000,275436000
67,Total Stockholders Equity,4690000,60000,59183666,-4878188,-12808114,-4766539,16447259,10401000,-1164000,-3975000,3661000,9771000,27549000,34111000,35627000,23999000,21072000,23406000,20460000,17491000,17969000,17707000,16240000,18244000
68,Total Liabilities And Stockholders Equity,11160000,5040000,62549195,4913814,1834384,3749011,18435798,14142000,7005000,6648000,10104000,13980000,32702000,37932000,39539000,28676000,25125000,28083000,27213000,27307000,25416000,29587000,47636000,51368000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11160000,5040000,62549195,4913814,1834384,3749011,18435798,14142000,7005000,6648000,10104000,13980000,32702000,37932000,39539000,28676000,25125000,28083000,27213000,27307000,25416000,29587000,47636000,51368000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1046995/000112528201001238/0001125282-01-001238-index.html,https://www.sec.gov/Archives/edgar/data/1046995/000095012702000396/0000950127-02-000396-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1046995/000101376206000833/0001013762-06-000833-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376207000529/0001013762-07-000529-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376208000782/0001013762-08-000782-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376209000570/0001013762-09-000570-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376210000605/0001013762-10-000605-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376211000615/0001013762-11-000615-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376212000494/0001013762-12-000494-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376213000393/0001013762-13-000393-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376214000233/0001013762-14-000233-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376215000212/0001013762-15-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376216001392/0001013762-16-001392-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000156276217000038/0001562762-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000156276218000120/0001562762-18-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699519000002/0001046995-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699520000022/0001046995-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699521000005/0001046995-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699522000007/0001046995-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-7730000,- -,-48166817,-68486735,-14912711,-4723315,-12710738,-16528000,-15266000,-18488000,-1859000,4262000,14847000,4966000,2252000,-14067000,-5257000,-4105000,-8049000,-7783000,-9542000,-4298000,-11448000,-5206000
74,Depreciation and Amortization,1650000,- -,21488686,18453461,1842480,1262001,627445,908000,2018000,2735000,223000,315000,86000,170000,368000,905000,1181000,1530000,1641000,2070000,1989000,2584000,2810000,2752000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9056000,891000,-716000,8881000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,928000,1110000,1821000,2907000,2482000,2082000,1025000,606000,771000,628000,610000,551000,158000,650000
77,Change in Working Capital,3370000,-6670000,9543014,-11734132,-8110345,13707786,14818267,-6056590,-9173000,-4403000,8008000,5315000,4960000,5264000,-816000,-3920000,-2830000,2666000,-2741000,-2586000,167000,-2473000,-1035000,-416000
78,Accounts Receivable,- -,190000,- -,- -,- -,- -,- -,- -,- -,- -,-1759000,-647000,-377000,-320000,458000,922000,-307000,-87000,674000,-1694000,1342000,-780000,-1348000,1547000
79,Inventory,- -,- -,- -,-90720,341718,-24419,-1742469,-1821000,1354000,670000,-559000,195000,274000,-855000,-463000,-211000,-1153000,686000,-3534000,-1205000,-1212000,-250000,453000,747000
80,Accounts Payable,- -,-220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296000,- -,- -,- -,- -,- -,- -,- -,353000,-1805000
81,Other Working Capital,3370000,-3300000,6243014,-5491118,-13601463,106323,14924590,8868000,-305000,-4708000,3300000,8615000,13575000,18839000,18023000,14103000,11273000,13939000,11198000,8612000,8779000,239000,148000,-371000
82,Other Non-Cash Items,-3610000,6650000,5122211,50950832,15593439,-15450818,-11130931,5963590,12032000,18213000,-7162000,-5742000,-4364000,-10653000,1257000,5321000,1195000,-1958000,-238000,-475000,397000,-1474000,4618000,-5211000
83,Cash Provided by Operating Activities,-6320000,-20000,-12012906,-10816574,-5587137,-5204346,-8395957,-15713000,-10389000,-1943000,138000,5260000,8294000,3545000,4827000,-798000,-4686000,-1261000,-8616000,-8146000,-6379000,-5110000,-4897000,-7431000
84,CAPEX,-690000,- -,-803033,-464829,-84745,-1120256,-720805,-898000,-206000,-16000,-308000,-718000,-2348000,-2861000,-2483000,-1927000,-1619000,-1189000,-1437000,-1355000,-2296000,-1110000,-2500000,-11895000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-51000,- -,-3000,-3000,-4500000,-2145000,-10307000,-12000000,-2000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000,- -,- -,- -,- -,7995000,14000000,8250000,750000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-550000,- -,1239162,- -,- -,- -,- -,-54000,- -,- -,- -,- -,- -,- -,- -,15000,-132000,- -,- -,- -,- -,- -,50000,- -
89,Cash Used for Investing Activites,-1240000,- -,436129,-464829,-84745,-1120256,-720805,-952000,-257000,61000,-311000,-721000,-6848000,-5006000,-4795000,88000,4639000,-439000,-1437000,-1355000,-2296000,-1110000,-2450000,-11895000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3808000,- -,-17000,- -
91,Common Stock Issued,- -,- -,21250000,27609,3616893,1418121,21558516,10021000,10000,3000,1580000,- -,- -,- -,- -,- -,- -,5566000,- -,5919000,12172000,3476000,9783000,183000
92,Common Stock Repurchased,6920000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95000,-368000,-37000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3105000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-2305966,4624879,1399598,5877425,-38184,34000,5324000,1177000,5750000,-1648000,1055000,1331000,255000,394000,1305000,117000,6021000,1867000,144000,2900000,4492000,15247000
95,Cash Used/Provided by Financing Activities,6920000,- -,18944034,4652488,5016491,7295546,21520332,10055000,5334000,1180000,1864000,-1648000,1055000,1236000,-3218000,357000,1305000,5683000,6021000,7786000,8508000,6376000,14258000,15430000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-640000,-20000,18944034,-6628915,-655391,970944,12403570,-6610000,-5312000,-702000,1691000,2891000,2501000,-225000,-3186000,-353000,1258000,3983000,-4032000,-1715000,-167000,156000,6911000,-3896000
98,Cash at the End of Period,-640000,1860000,7367257,738342,82951,1053895,13457465,6847000,1415000,713000,2404000,5295000,7796000,7571000,4385000,4032000,5290000,9273000,5241000,3526000,3359000,3515000,10426000,6530000
99,Cash at the Beginning of Period,- -,1880000,- -,7367257,738342,82951,1053895,13457000,6727000,1415000,713000,2404000,5295000,7796000,7571000,4385000,4032000,5290000,9273000,5241000,3526000,3359000,3515000,10426000
100,Free Cash Flow,-7010000,-20000,-12815939,-11281403,-5671882,-6324602,-9116762,-16611000,-10595000,-1959000,-170000,4542000,5946000,684000,2344000,-2725000,-6305000,-2450000,-10053000,-9501000,-8675000,-6220000,-7397000,-19326000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1046995/000112528201001238/0001125282-01-001238-index.html,https://www.sec.gov/Archives/edgar/data/1046995/000095012702000396/0000950127-02-000396-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1046995/000101376206000833/0001013762-06-000833-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376207000529/0001013762-07-000529-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376208000782/0001013762-08-000782-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376209000570/0001013762-09-000570-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376210000605/0001013762-10-000605-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376211000615/0001013762-11-000615-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376212000494/0001013762-12-000494-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376213000393/0001013762-13-000393-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376214000233/0001013762-14-000233-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376215000212/0001013762-15-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000101376216001392/0001013762-16-001392-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000156276217000038/0001562762-17-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000156276218000120/0001562762-18-000120-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699519000002/0001046995-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699520000022/0001046995-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699521000005/0001046995-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1046995/000104699522000007/0001046995-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
