,https://roic.ai/company/TTSH,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1453,4000,5000,5000,5000,5000,5000,5000,5000,5000,5000
64,Retained Earnings,-33968,-513397,-54201000,-89861000,-80681000,-64985000,-47058000,-36239000,-25857000,-25518000,-19487000,-4713000
65,Other Comprehensive Income/Loss,- -,- -,-63914000,-77217000,-95030000,-11000,-46000,-1000,-56000,-70000,-12000,12000
66,Other Total Stockholders Equity,5033977,5511954,73348000,246936000,269401000,180192000,185998000,180109000,172255000,156482000,158556000,126920000
67,Total Stockholders Equity,5000009,5000010,-44763000,79863000,93695000,115201000,138899000,143874000,146347000,130899000,139062000,122224000
68,Total Liabilities And Stockholders Equity,126036432,125622082,176074000,242769000,252190000,245435000,265273000,270725000,297630000,399814000,342690000,340758000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,126036432,125622082,176074000,242769000,252190000,245435000,265273000,270725000,297630000,399814000,342690000,340758000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1552800/000155280020000005/0001552800-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1552800/000155280021000005/0001552800-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1552800/000155280022000004/0001552800-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-33968,-479429,-46887000,-35660000,10547000,15696000,18463000,10819000,10442000,-4463000,6031000,14774000
74,Depreciation and Amortization,- -,- -,10530000,14316000,19925000,22236000,23042000,26239000,28396000,33546000,31336000,27379000
75,Deferred Income Tax,- -,- -,-2550000,3788000,1190000,5743000,-395000,9737000,4429000,-1621000,1855000,-1612000
76,Stock Based Compensation,- -,- -,5278000,4680000,4617000,5545000,4333000,3156000,2669000,2645000,2241000,2266000
77,Change in Working Capital,-108355,-636726,36211890,15330000,4662000,-9136000,-11232000,7512000,36249000,-27445000,-24479000,-29054000
78,Accounts Receivable,- -,- -,-270000,-189000,-514000,-254000,-448000,33000,-703000,-286000,394000,-226000
79,Inventory,- -,- -,-280000,-20866000,-1101000,-1021000,-4417000,-10964000,-24836000,12475000,23323000,-22879000
80,Accounts Payable,- -,-77023,1121000,2013000,-5174000,945000,4195000,12048000,-8201000,-4503000,-3207000,15873000
81,Other Working Capital,813836,177110,36389000,51719000,56381000,47245000,36013000,43525000,79774000,52329000,27850000,1491000
82,Other Non-Cash Items,- -,824352,44639110,18757000,6260000,20180000,19341000,-11772000,-64015000,35901000,48612000,25938000
83,Cash Provided by Operating Activities,-142323,-291803,47222000,21211000,47201000,60264000,53552000,45691000,18170000,38563000,65596000,39691000
84,CAPEX,- -,- -,-29053000,-52869000,-41229000,-18994000,-27256000,-40556000,-35287000,-27000000,-1968000,-11070000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-124966373,-157297,-11000,-86000,677000,- -,4000,7000,1144000,610000,- -,- -
89,Cash Used for Investing Activites,-124966373,-157297,-29064000,-52955000,-40552000,-18994000,-27252000,-40549000,-34143000,-26390000,-1968000,-11070000
90,Debt Repayment,- -,- -,-72399000,-3714000,-26412000,-124025000,-37822000,-36575000,-103267000,-53204000,-127262000,-5000000
91,Common Stock Issued,- -,- -,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-46000000,- -,- -,- -,- -,- -,-10456000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-10366000,-10404000,-7706000,- -,-32949000
94,Other Financing Activites,125974051,- -,35945000,80232000,23761000,87337000,7294000,42347000,128602000,62744000,63933000,9047000
95,Cash Used/Provided by Financing Activities,125974051,- -,-21454000,30518000,-2651000,-36688000,-30528000,-4594000,14931000,-8622000,-63329000,-28902000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-11000,-35000,6000,-52000,-14000,54000,22000
97,Net Change In Cash,- -,-449100,-3296000,-1226000,3998000,4571000,-4263000,554000,-1094000,3537000,353000,-259000
98,Cash at the End of Period,865355,416255,2987000,1761000,5759000,10330000,6067000,6621000,6382000,9919000,10272000,10013000
99,Cash at the Beginning of Period,- -,865355,6283000,2987000,1761000,5759000,10330000,6067000,7476000,6382000,9919000,10272000
100,Free Cash Flow,-142323,-291803,18169000,-31658000,5972000,41270000,26296000,5135000,-17117000,11563000,63628000,28621000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1552800/000155280020000005/0001552800-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1552800/000155280021000005/0001552800-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1552800/000155280022000004/0001552800-22-000004-index.htm
102,false,,,,,,,,,,,,
