,https://roic.ai/company/VFF,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.6930,0.0322,0.0359,0.0281,0.0521,0.0030,0.0406,0.0470,0.0912,0.1160,-0.0247,0.0066,-0.0199,0.0250,-0.0508,-0.1198,0.0459,-0.0461
22,Income Tax expense (Gain),-3653023,-2173800,1918620,793475,2393000,-6280000,285000,1926000,4311000,5477000,-3262000,-1161000,-1104000,138000,-2475000,-5866000,-2790000,-3526000
23,Net Income,-17916672,4616395,1036999,2406606,4541000,6669000,5598000,5805000,7902000,10488000,-107000,2094000,-1983000,3822000,-5145000,2325000,11608000,-9079000
24,Net Income ratio,-0.4134,0.0858,0.0126,0.0212,0.0341,0.0511,0.0387,0.0353,0.0590,0.0762,-0.0008,0.0148,-0.0128,0.0241,-0.0343,0.0161,0.0682,-0.0339
25,EPS,-2.55,0.65,0.03,0.06,0.12,0.17,0.14,0.15,0.20,0.27,-0.00,0.05,-0.05,0.10,-0.11,0.05,0.20,-0.11
26,EPS Diluted,-2.55,0.49,0.03,0.06,0.12,0.17,0.14,0.15,0.20,0.27,-0.00,0.05,-0.05,0.10,-0.11,0.05,0.19,-0.11
27,Weighted Average Shares Outstanding,7057319,7074116,27185470,36349305,36368633,38707345,38707345,38707000,38707000,38707000,38707000,38807000,38883000,39144000,44357000,49418228,58526000,82161000
28,Weighted Average Shares Outstanding Diluted,7057319,7074116,27663538,36349305,38707345,38707345,39042960,38873000,38707000,38842000,38979000,38868000,39176000,40308000,44357000,51178981,61490000,82161000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1584549/000119312520130982/0001193125-20-130982-index.htm,https://www.sec.gov/Archives/edgar/data/1584549/000156459021013320/0001564590-21-013320-index.htm,https://www.sec.gov/Archives/edgar/data/1584549/000156459022008119/0001564590-22-008119-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1456705,42788,7302773,1620179,4101000,2611000,9734000,2865000,2801000,18668000,6337000,4957000,5373000,7091000,11920000,11989000,21640000,53417000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1456705,42788,7302773,1620179,4101000,2611000,9734000,2865000,2801000,18668000,6337000,4957000,5373000,7091000,11920000,11989000,21640000,53417000
34,Net Receivables,1266733,1954274,9758778,12431779,9924000,10186000,9416000,9091000,8432000,7470000,10107000,9569000,10696000,13487000,22497000,25470000,23385000,37406000
35,Inventory,3308157,3841529,11094515,11210351,11438000,11948000,12810000,11624000,11970000,10630000,14424000,13301000,16108000,17309000,22485000,15918000,46599000,68677000
36,Other Current Assets,61377,402343,3248346,457155,888000,909000,1208000,6569000,5003000,3900000,4927000,6377000,5122000,4969000,5119000,1259000,10184000,15459000
37,Total Current Assets,6092972,6240934,31404412,25719464,26351000,25654000,33168000,30149000,28206000,40668000,35795000,34204000,37299000,42856000,62021000,54636000,101808000,174959000
38,PP&E,76901805,81161993,78085673,71700735,70489000,66599000,62972000,97601000,99372000,96709000,101430000,94285000,96135000,81754000,77479000,66740000,190852000,223313000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24027000,117533000
40,Intangible Assets,4336737,3851606,4081037,2686537,1508000,1404000,1301000,1198000,1094000,991000,- -,- -,- -,- -,- -,- -,17311000,26394000
41,Intangible Assets,4336737,3851606,4081037,2686537,1508000,1404000,1301000,1198000,1094000,991000,- -,- -,- -,- -,- -,- -,41338000,143927000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,437000,437000,437000,437000,437000,16164000,18494000,41334000,1226000,2109000
43,Tax Assets,- -,645297,- -,- -,- -,4549000,2967000,689000,- -,- -,- -,- -,- -,- -,- -,7999000,13312000,16766000
44,Other Non-Current Assets,458551,420810,1049875,885107,821000,877000,1125000,1381000,1025000,1100000,1227000,1084000,1094000,1567000,1821000,12699000,5495000,5837000
45,Total Non-Current Assets,81697093,86079706,83216585,75272379,72818000,73429000,68365000,100869000,101928000,99237000,103094000,95806000,97666000,99485000,97794000,128772000,252223000,391952000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,87790065,92320640,114620997,100991843,99169000,99083000,101533000,131018000,130134000,139905000,138889000,130010000,134965000,142341000,159815000,183408000,354031000,566911000
48,Accounts Payable,5575998,4566312,11542622,10727016,- -,- -,- -,10440000,10011000,7063000,11795000,8857000,12711000,12952000,14601000,12653000,15064000,22597000
49,Short-Term Debt,7462353,42907659,5122328,6722384,3454000,3543000,3524000,4312000,3436000,4193000,4444000,4416000,3324000,2692000,5492000,6359000,28614000,20138000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,22000,7000,917000,426000,662000,- -,- -,- -,527000,16594000,3899000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,182495,- -,364516,9705000,9564000,9774000,4468000,2722000,4142000,4077000,3285000,3586000,3793000,3509000,3017000,28602000,21578000
53,Total Current Liabilities,13038351,47656466,16664950,17813916,13159000,13107000,13298000,19220000,16169000,15398000,20316000,16558000,19621000,19437000,23602000,22029000,72280000,64313000
54,Long-Term Debt,33316507,- -,70345094,57962944,54732000,51472000,48208000,65543000,54897000,50692000,48947000,44428000,41929000,35760000,32445000,28966000,53913000,57130000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1547629,- -,2852605,2727822,4881000,3589000,3474000,3931000,8041000,11970000,7774000,5184000,4987000,4825000,1920000,1873000,18059000,18657000
57,Other Non-Current Liabilities,52160,22472,1067904,864969,3273000,2354000,2354000,51000,576000,745000,852000,909000,1041000,1276000,1152000,4081000,4496000,1973000
58,Total Non-Current Liabilities,34916296,22472,74265603,61555735,62886000,57415000,54036000,69525000,63514000,63407000,57573000,50521000,47957000,41861000,35517000,34920000,76468000,77760000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,52159,22472,1067903,864968,699000,545000,278000,- -,109000,86000,61000,35000,120000,251000,180000,3660000,3997000,7673000
61,Total Liabilities,47954646,47678938,90930552,79369651,76045000,70522000,67334000,88745000,79683000,78805000,77889000,67079000,67578000,61298000,59119000,56949000,148748000,142073000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,25438000,25599000,25871000,26100000,26346000,37841000,63070000,98333000,145668000,365561000
64,Retained Earnings,-25213793,-21764615,-111598,-2233411,6387000,3656000,9254000,17056000,24958000,35446000,35339000,37433000,35450000,39272000,33867000,24250000,35858000,26779000
65,Other Comprehensive Income/Loss,-2283270,-5137652,-17198043,55382,55000,55000,55000,55000,55000,55000,-210000,-602000,5591000,3930000,3759000,-475000,6255000,6696000
66,Other Total Stockholders Equity,67332482,71543969,41000086,45998389,43165000,56251000,59519000,65699000,- -,- -,- -,- -,- -,- -,- -,4351000,17502000,- -
67,Total Stockholders Equity,30693719,35921706,20079835,18012285,23124000,28561000,34199000,42273000,50451000,61100000,61000000,62931000,67387000,81043000,100696000,126459000,205283000,408405000
68,Total Liabilities And Stockholders Equity,78648365,83600644,111010387,97381936,99169000,99083000,101533000,131018000,130134000,139905000,138889000,130010000,134965000,142341000,159815000,183408000,354031000,550478000
69,Minority Interest,9141700,8719996,3610610,3609907,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16433000
70,Total Liabilities & Equity,87790065,92320640,114620997,100991843,99169000,99083000,101533000,131018000,130134000,139905000,138889000,130010000,134965000,142341000,159815000,183408000,354031000,566911000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1584549/000119312520130982/0001193125-20-130982-index.htm,https://www.sec.gov/Archives/edgar/data/1584549/000156459021013320/0001564590-21-013320-index.htm,https://www.sec.gov/Archives/edgar/data/1584549/000156459022008119/0001564590-22-008119-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-17916672,4616395,1036999,2406606,4541000,6669000,5598000,5805000,7902000,10488000,-107000,2094000,-1983000,3822000,-5145000,2325000,11608000,-9079000
74,Depreciation and Amortization,3057915,3558006,4068160,6575370,6456000,5770000,5793000,6010000,7552000,7314000,7885000,8285000,8164000,7586000,7027000,7366000,6825000,12709000
75,Deferred Income Tax,-3736978,-2242167,1679114,139966,2153000,-5841000,1469000,1640000,4800000,3929000,-4196000,-2590000,-1261000,109000,-2906000,-5855000,-6462000,-2866000
76,Stock Based Compensation,- -,- -,- -,- -,1050000,- -,40000,237000,276000,161000,272000,176000,195000,1519000,1454000,4714000,6142000,7533000
77,Change in Working Capital,206031,-34470153,56154994,-6833914,5286452,-645000,7323000,-8941000,1108000,13233000,-9791000,2167000,32000,5741000,15000000,-5812000,-3079000,-47149000
78,Accounts Receivable,- -,- -,- -,- -,2305000,-237000,1463000,-448000,1202000,472000,-1827000,24000,-1037000,-1059000,-46000,2301000,-3196000,-9914000
79,Inventory,- -,- -,- -,- -,-228000,-510000,-862000,-990000,-346000,1340000,-3748000,1123000,-2805000,-1197000,-5180000,9042000,2997000,-16761000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-430000,-2948000,4655000,-2938000,3484000,394000,1440000,-1953000,-1665000,6327000
81,Other Working Capital,-6945379,-41415532,14739462,7905548,13192000,12547000,19870000,10929000,12037000,25270000,15479000,17646000,17678000,23419000,38419000,32607000,29528000,-46631000
82,Other Non-Cash Items,18825554,30510206,-51291915,1877716,-1545452,-753000,-6836000,14017000,6743000,-7841000,11032000,-2777000,3519000,-15494000,-17690000,-17125000,-9356000,-715000
83,Cash Provided by Operating Activities,435850,1972287,11647352,4165744,17941000,5200000,13387000,18768000,28381000,27284000,5095000,7355000,8666000,3283000,-2260000,-14387000,5678000,-39567000
84,CAPEX,-18278182,-4595959,-4268178,-4155674,-3994000,-1890000,-2809000,-40560000,-13438000,-4615000,-13206000,-2075000,-2193000,-1696000,-3093000,-2287000,-3511000,-21656000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4415000,- -,- -,- -,- -,-96000,-47542000,-41794000
86,Purchases of Investments,- -,- -,-260967,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,6708731,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1605,- -,- -,9231699,- -,266000,-15000,-218000,1002000,-571000,-10000,- -,- -,- -,-10397000,-14455000,-269000,-20000
89,Cash Used for Investing Activites,-18276577,-4595959,2179586,5076025,-3994000,-1624000,-2824000,-40778000,-12436000,-5186000,-13216000,-2075000,-2193000,-1696000,-13490000,-16838000,-51230000,-63470000
90,Debt Repayment,- -,- -,- -,- -,-6892000,-3381000,-3531000,-51746000,-18492000,-60764000,-8193000,-11420000,-7759000,-14379000,-7777000,-7513000,-6355000,-24969000
91,Common Stock Issued,3694563,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9769000,23492000,34226000,57212000,135000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000
93,Dividends Paid,-4347701,-182495,-25670015,-3713624,-4137000,-1550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,19903418,1345903,18165508,-11210351,-402000,-56000,- -,66839000,2586000,54517000,4125000,4788000,1700000,4751000,4866000,4674000,7751000,30852000
95,Cash Used/Provided by Financing Activities,19250280,1163408,-7504507,-14923975,-11431000,-4987000,-3531000,15093000,-15906000,-6247000,-4068000,-6632000,-6059000,141000,20581000,31387000,58608000,135883000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-79000,91000,48000,-103000,16000,-142000,-28000,2000,-10000,-2000,-93000,634000,142000
97,Net Change In Cash,1409553,-1460265,6322431,-5682207,2481000,-1490000,7123000,-6869000,-64000,15867000,-12331000,-1380000,416000,1718000,4829000,69000,13690000,32988000
98,Cash at the End of Period,1456705,42788,7302773,1620179,4101000,2611000,9734000,2865000,2801000,18668000,6337000,4957000,5373000,7091000,11920000,11989000,25679000,58667000
99,Cash at the Beginning of Period,47152,1503053,980342,7302386,1620000,4101000,2611000,9734000,2865000,2801000,18668000,6337000,4957000,5373000,7091000,11920000,11989000,25679000
100,Free Cash Flow,-17842332,-2623672,7379174,10070,13947000,3310000,10578000,-21792000,14943000,22669000,-8111000,5280000,6473000,1587000,-5353000,-16674000,2167000,-61223000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1584549/000119312520130982/0001193125-20-130982-index.htm,https://www.sec.gov/Archives/edgar/data/1584549/000156459021013320/0001564590-21-013320-index.htm,https://www.sec.gov/Archives/edgar/data/1584549/000156459022008119/0001564590-22-008119-index.htm
102,false,,,,,,,,,,,,,,,,,,
