,https://roic.ai/company/TWO-PB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,78200833,77933239,416644642,1414984000,6830298000,13363367000,13318867000,17016267000,10999211000,16710945000,21217889000,25877990000,30951156000,16426995000,9370352000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,702537000,977501000,977501000,977501000,702550000
63,Common Stock,2494,2494,1340,405000,1406000,2988000,3649000,3664000,3539000,3477000,1745000,2481000,2729000,2737000,3439000
64,Retained Earnings,714573,3009106,-9219781,-7550000,-45703000,-197214000,-388761000,-602438000,-491558000,-461566000,-1139674000,-1645926000,- -,-3696707000,-3773561000
65,Other Comprehensive Income/Loss,- -,- -,-949728,22619000,-58716000,696458000,444735000,855789000,359061000,199227000,334813000,110817000,689400000,641601000,186346000
66,Other Total Stockholders Equity,181385997,181150291,131888936,366974000,1373099000,2948345000,3795372000,3811027000,3705519000,3659973000,3672003000,4809616000,3300836000,5163794000,5625179000
67,Total Stockholders Equity,182103064,184161891,121720767,382448000,1270086000,3450577000,3854995000,4068042000,3576561000,3401111000,3571424000,4254489000,4970466000,3088926000,2743953000
68,Total Liabilities And Stockholders Equity,260303897,262095130,538365409,1797432000,8100384000,16813944000,17173862000,21084309000,14575772000,20112056000,24789313000,30132479000,35921622000,19515921000,12114305000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,260303897,262095130,538365409,1797432000,8100384000,16813944000,17173862000,21084309000,14575772000,20112056000,24789313000,30132479000,35921622000,19515921000,12114305000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1465740/000146574020000037/0001465740-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1465740/000146574021000035/0001465740-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1465740/000146574022000014/0001465740-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,714573,2294533,-8744531,35755000,127432000,291906000,579039000,167139000,492210000,353278000,348571000,-44290000,134754000,-1630135000,187227000
74,Depreciation and Amortization,- -,- -,528480,- -,- -,1732000,1674000,1616000,1362000,1283000,969000,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,21644,214000,279000,488000,511000,15082000,9002000,15197000,11330000,12995000,- -,9730000,11485000
77,Change in Working Capital,674767,1508846,319216428,11011309,645080000,-978077000,- -,- -,- -,- -,- -,- -,163634000,825521000,33218000
78,Accounts Receivable,- -,- -,- -,- -,- -,-19176000,-7690000,-15226000,15559000,-12781000,-24689000,12366000,- -,45460000,20908000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,12604000,1217000,3495000,-5049000,10782000,67118000,44820000,-10379000,-127960000,-3284000
81,Other Working Capital,1260417,2769263,321985691,332997000,978077000,- -,- -,- -,- -,- -,- -,- -,163634000,989155000,9634000
82,Other Non-Cash Items,- -,-2040348,-327262228,-13866309,-621148000,847085000,-1035895000,-947984000,-2439322000,-130079000,245911000,734165000,-298388000,1426487000,191580000
83,Cash Provided by Operating Activities,1389340,1763031,-16240207,33114000,151643000,163134000,-454671000,-764147000,-1936748000,239679000,606781000,702870000,- -,631603000,423510000
84,CAPEX,- -,- -,- -,- -,- -,- -,-499024000,-65704000,-123666000,-317709000,-484261000,-976393000,- -,-620394000,-742153000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13552000,- -,- -,- -
86,Purchases of Investments,- -,- -,-503064127,-1677728000,-8626537000,-12184205000,-5523334000,-8346556000,-1878724000,-21344323000,-18365334000,-12705169000,-19000,-8202657000,-2494603000
87,Sales/Maturities of Investments,- -,- -,7457018,605682000,2644095000,5377544000,6709205000,5743192000,10142430000,15758859000,10347803000,17991299000,- -,23548877000,9513290000
88,Other Investing Activites,-259820845,554148,250305380,210662000,-350481000,-100774000,-673115000,-94879000,-275869000,-230564000,-1466728000,-482580000,-287669000,-442502000,-704750000
89,Cash Used for Investing Activites,-259820845,554148,-245301729,-861384000,-6332923000,-6907435000,512756000,-2698243000,7987837000,-5816028000,-9484259000,4789998000,-287688000,14903718000,6313937000
90,Debt Repayment,- -,- -,- -,-4135557000,-24302435000,- -,-42490000,-2479283000,-611942000,-832405000,-3286954000,-457400000,5742883000,-963170000,-302687000
91,Common Stock Issued,257025000,- -,- -,235275000,1006847000,1362747000,763557000,588000,539000,502000,449000,215000,- -,372000,450602000
92,Common Stock Repurchased,- -,- -,-127024837,- -,- -,- -,-23894000,- -,-115174000,-61307000,- -,- -,-19000,-1064000,-274951000
93,Dividends Paid,- -,- -,- -,-27120000,-119796000,-335309000,-591452000,-285553000,-381586000,-331865000,-436058000,-329020000,- -,-275289000,-257149000
94,Other Financing Activites,1867980,-511,411893510,4893467000,29792780000,6177955000,40573000,6206943000,-5210887000,6470476000,12839841000,-4663894000,-202695000,-13266565000,-6911023000
95,Cash Used/Provided by Financing Activities,258892980,-511,284868673,966065000,6377396000,7205393000,146294000,3442695000,-6319050000,5245401000,9117278000,-5450099000,5540169000,-14505716000,-7295208000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2316668,23326737,137795000,196116000,461092000,204379000,-19695000,-267961000,-330948000,239800000,42769000,519062000,1029605000,-557761000
98,Cash at the End of Period,461475,2778143,26104880,163900000,360016000,821108000,1025487000,1005792000,737831000,406883000,1054995000,1097764000,- -,2646431000,2088670000
99,Cash at the Beginning of Period,- -,461475,2778143,26105000,163900000,360016000,821108000,1025487000,1005792000,737831000,815195000,1054995000,- -,1616826000,2646431000
100,Free Cash Flow,1389340,1763031,-16240207,33114000,151643000,163134000,-953695000,-829851000,-2060414000,-78030000,122520000,-273523000,- -,11209000,-318643000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1465740/000146574020000037/0001465740-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1465740/000146574021000035/0001465740-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1465740/000146574022000014/0001465740-22-000014-index.htm
102,false,,,,,,,,,,,,,,,
