,https://roic.ai/company/NOAH,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.02,-0.06,0.68,1.99,2.64,2.56,5.58,5.71,9.15,11.04,13.07,12.95,13.42,-12.01,19.45
27,Weighted Average Shares Outstanding,34042328,34042328,34042328,33331836,55789906,55502670,54960300,54960300,56171042,56300278,56551274,56551274,61160362,62040878,67171636
28,Weighted Average Shares Outstanding Diluted,45470758,45470758,45470758,38060224,57042544,56147462,56016772,56016772,60291952,60073525,60467645,60467645,61848191,62040878,67563546
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499543/000119312511142734/d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312512182166/d324795d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312513177995/d464345d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312514112429/d679366d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312515145206/d867845d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312516557500/d145483d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312517131403/d296886d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312518140948/d522095d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312519117781/d663752d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000110465920050998/noah-20191231x20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,41512783,52759083,82726363,883927238,860160927,746277994,1188493756,1749778973,2132923674,2982509565,1906753000,2704091000,4387345000,5005211000,3404603000
32,Short-Term Investments,1160967,- -,7990578,15074135,130188401,306070961,170822445,137597017,560073899,299174435,160345000,450477000,671259000,114928000,92803000
33,Cash and Short-Term Investments,42673750,52759083,90716941,899001372,990349328,1052348955,1359316201,1887375989,2692997573,3281684000,2067098000,3154568000,5058604000,5120139000,3497406000
34,Net Receivables,1796407,2451017,2275974,14033039,50076567,90807394,198539989,303881886,492692852,1361067313,1713314000,1710194000,1601338000,1471642000,1855184000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,555500,1489818,2675753,23321744,32498660,40838527,34211255,81343352,76141655,89778883,255680000,239319000,71282000,111381000,164220000
37,Total Current Assets,45025657,56699918,95668668,936356156,1072924555,1183994876,1592067445,2272601228,3261832080,4732530196,4036092000,5104081000,6731224000,6703162000,5516810000
38,PP&E,1426616,4120210,3381808,9327102,27886143,27388769,57040876,92131804,196475249,243489512,303349000,346653000,648506000,522823000,2804587000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,9999694,35188948,27195176,57187682,172235330,283408017,577937788,886096838,1956888000,2400175000,2153352000,1801069000,2070655000
43,Tax Assets,- -,- -,- -,2117112,3381255,6902293,9058659,14034423,43863568,55726799,72654000,113384000,167430000,224240000,335905000
44,Other Non-Current Assets,- -,850363,1942140,3187398,5835597,6403579,7393693,11977013,16885730,38646355,125871000,49971000,102092000,148292000,161832000
45,Total Non-Current Assets,1426616,4970573,15323641,49820560,64298171,97882323,245728557,401551256,835162335,1223959504,2458762000,2910183000,3071380000,2696424000,5372979000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,46452273,61670491,110992310,986176716,1137222726,1281877199,1837796003,2674152484,4096994415,5956489700,6494854000,8014264000,9802604000,9399586000,10889789000
48,Accounts Payable,- -,- -,- -,- -,11704216,7665361,15637837,- -,189287117,687956531,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,49987830,- -,- -,491830000,- -,11674000,86472000,- -
50,Tax Payable,682126,954231,2352734,41636922,15607421,24435619,25665516,80900259,103348995,71978728,75350000,90398000,155195000,209334000,190260000
51,Deferred Revenue,2995200,- -,- -,- -,6167722,33208052,94121394,97686162,88012977,113479523,281655000,301955000,134200000,104096000,63631000
52,Other Current Liabilities,4765440,18543183,35423127,97709277,87688754,123440475,270902685,544911787,689530287,774275714,1049842000,1289118000,1359179000,1690527000,2219407000
53,Total Current Liabilities,7760639,18543183,35423127,97709277,105560692,164313888,380661916,692585779,966830381,1575711768,1823327000,1591073000,1505053000,1881095000,2283038000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,518224000,555440000,- -,145004000,362757000,194384000,130956000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,9062465,10001814,11124988,- -,4456335,50121000,67092000,56401000,45881000,234134000
57,Other Non-Current Liabilities,34655285,35564646,38189576,15423488,19653076,13026832,21794411,31042005,77943485,429610180,113660000,35718000,3433000,855000,100020000
58,Total Non-Current Liabilities,34655285,35564646,38189576,15423488,19653076,22089297,31796225,42166993,596167485,989506515,163781000,247814000,422591000,241120000,465110000
59,Other Liabilities,- -,71129291,76379152,- -,39306151,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,374431000,280856000,130956000
61,Total Liabilities,42415924,54107829,73612704,113132765,125213767,186403186,412458141,734752772,1562997866,2565218283,1987108000,1838887000,1927644000,2122215000,2748148000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,23011,33014,42252,92293,87871,88259,87013,90323,98133,98805,96000,101000,103000,104000,- -
64,Retained Earnings,1135567,-3035361,20453360,95626051,241265362,333044468,588562146,1051579601,1597865303,2241693736,2883169000,3946107000,4734992000,3989767000,- -
65,Other Comprehensive Income/Loss,138431,2609824,2674735,7492884,23337776,31521003,56245384,31748289,-21757099,-5433263,213424000,36195000,97049000,-79114000,- -
66,Other Total Stockholders Equity,2739339,7955184,14209259,769832723,747317950,716498612,715175813,768962560,872679392,1095776963,1332571000,1855297000,2181323000,3274754000,- -
67,Total Stockholders Equity,4036349,7562662,37379606,873043951,1012008959,1081152343,1360070356,1852380773,2448885729,3332136241,4429260000,5837700000,7013467000,7185511000,8141641000
68,Total Liabilities And Stockholders Equity,46452273,61670491,110992310,986176716,1137222726,1267555528,1772528496,2587133546,4011883595,5897354524,6416368000,7676587000,8941111000,9307726000,10889789000
69,Minority Interest,- -,- -,-0,- -,- -,14321671,65267506,87018938,85110820,59135176,78486000,337677000,861493000,91860000,- -
70,Total Liabilities & Equity,46452273,61670491,110992310,986176716,1137222726,1281877199,1837796003,2674152484,4096994415,5956489700,6494854000,8014264000,9802604000,9399586000,10889789000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499543/000119312511142734/d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312512182166/d324795d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312513177995/d464345d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312514112429/d679366d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312515145206/d867845d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312516557500/d145483d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312517131403/d296886d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312518140948/d522095d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312519117781/d663752d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000110465920050998/noah-20191231x20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,2527872,-2743772,24911327,76476556,150651136,142478389,311709481,449144061,535824084,643828433,762923000,811297000,829151000,-745225000,1306081000
74,Depreciation and Amortization,397477,1542895,2090027,2588891,6296703,11325939,14968320,22553188,34417668,61320332,81964000,92282000,105432000,98452000,146567000
75,Deferred Income Tax,-148337,-165618,53927,-9857055,-10416407,-2973311,10674307,-21995072,-7770022,-12565739,-16928000,-40730000,-62364000,-67330000,-119606000
76,Stock Based Compensation,2978866,5407772,6258618,14725524,13554922,24958177,31791698,32868493,67672488,79171317,93635000,112763000,94897000,1350600000,70945000
77,Change in Working Capital,8718065,1444268,11284571,61103609,-26434094,14117089,197728541,128583288,193844980,-146877794,56107000,7258000,-64529000,-584768000,202816000
78,Accounts Receivable,1619901,-171848,-196059,-6879791,-31937127,-23460873,11360526,-16727699,-54277414,-81785128,21464000,-99969000,47755000,-219330000,-362996000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-850363,-1091277,5445,5359967,632233,61879341,3599486,-29284206,24826627,108002000,-58330000,-126299000,-51543000,-101787000
82,Other Non-Cash Items,571308,10703085,4019242,-2893122,134160,-2941191,2606940,-21018283,-148856850,61371082,-349318000,46516000,385646000,744624000,74297000
83,Cash Provided by Operating Activities,15045251,16188630,48617713,142144402,133786419,186965092,569479286,590135675,675132348,686247631,628383000,1029386000,1288233000,796353000,1521838000
84,CAPEX,-1589169,-4330450,-1349204,-7688845,-23270093,-12276673,-41472228,-59604623,-136290010,-101369405,-152712000,-128223000,-65333000,-51618000,-2271216000
85,Acquisitions Net,95222,- -,- -,- -,- -,-18590357,-44353321,-119303639,-82571298,-192387183,-297861000,-559356000,124510000,128906000,-436000
86,Purchases of Investments,- -,- -,-17379467,-43492112,-138039774,-494563049,-450267457,-393624334,-4012716499,-1344175882,-1189092000,-241137000,-1699608000,-231454000,-145558000
87,Sales/Maturities of Investments,- -,- -,- -,17354011,30467191,309680980,526754364,475969057,3520380000,1363467753,965903000,383985000,1555342000,275603000,138199000
88,Other Investing Activites,- -,- -,- -,-6960351,-749587,-487467,-94994923,4768843,-48264399,-609330182,-160095000,149054000,-96923000,231147000,-331928000
89,Cash Used for Investing Activites,-1493947,-4330450,-18728671,-40787297,-130842676,-215749099,-103883846,-91794697,-759462206,-883794899,-833857000,-395677000,-182012000,352584000,-2572094000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-2922032,- -,- -,- -,- -,-53184984,-19121221,- -,-44586036,-12602156,-31288000,- -,- -,-281610000,-372376000
93,Dividends Paid,-4559400,- -,- -,- -,- -,-49041327,-46503767,-1632120,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,28489812,- -,- -,697370282,4278168,16139273,46818675,61982597,557357686,1007237237,-760501000,109825000,543311000,-89812000,-151859000
95,Cash Used/Provided by Financing Activities,21008380,- -,- -,697370282,4278168,-86087037,-18806313,60350477,462771650,994635081,-791789000,109825000,543311000,-371422000,-513121000
96,Effect of Forex Changes on Cash,1140973,2122080,47236,4840546,15338989,6899066,17135353,-25421026,4276967,52498078,-79494000,56304000,37811000,-148745000,-46714000
97,Net Change In Cash,35700656,13980261,29936277,803567933,22560900,-107971978,463924480,533270430,382718759,849585891,-1076757000,799838000,1687343000,628770000,-513121000
98,Cash at the End of Period,41512783,52759083,82726363,883927238,860160927,746277994,1188493756,1749778973,2132923674,2982509565,1906753000,2706591000,4393934000,5022704000,3412613000
99,Cash at the Beginning of Period,5812126,38778822,52790086,80359305,837600027,854249972,724569276,1216508543,1750204915,2132923674,2983510000,1906753000,2706591000,4393934000,5022704000
100,Free Cash Flow,13456082,11858180,47268509,134455557,110516326,174688419,528007058,530531052,538842338,584878226,475671000,901163000,1222900000,744735000,-749378000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1499543/000119312511142734/d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312512182166/d324795d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312513177995/d464345d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312514112429/d679366d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312515145206/d867845d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312516557500/d145483d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312517131403/d296886d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312518140948/d522095d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000119312519117781/d663752d20f.htm,https://www.sec.gov/Archives/edgar/data/1499543/000110465920050998/noah-20191231x20f.htm,- -,- -
102,Forex Rate,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
