,https://roic.ai/company/PRTS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0244,0.0086,1.0000,0.1826,0.1101,0.0450,-0.0261,-0.1938,- -,0.0241,-0.0489,-0.1177,-0.0580,- -,-0.0209,0.0013,0.0153,-0.0173,-0.0294,- -,0.0007
19,Total Other Income Expenses (Gains),-42000,64000,- -,36000,85000,-1358000,1148000,1000000,- -,191000,-654000,-1679000,-824000,- -,-1036000,-1192000,-1601000,-211000,-1861000,- -,-1501000
20,Income Before Tax,189000,218000,- -,7461000,6656000,4046000,-3059000,-28728000,- -,4440000,-16649000,-37469000,-15591000,- -,-6948000,-802000,3034000,-5217000,-10111000,- -,-1206000
21,Income Before Tax Ratio,0.0200,0.0122,- -,0.1835,0.1115,0.0337,-0.0190,-0.1872,- -,0.0252,-0.0509,-0.1232,-0.0612,- -,-0.0245,-0.0026,0.0100,-0.0180,-0.0360,- -,-0.0027
22,Income Tax expense (Gain),- -,3000,- -,328000,-163000,550000,538000,-11822000,- -,3123000,-1512000,-937000,43000,- -,138000,-199000,-21540000,-329000,21437000,- -,307000
23,Net Income,186000,215000,3771000,7133000,6819000,3496000,-3597000,-16906000,- -,1317000,-15137000,-35978000,-15634000,- -,-6879000,731000,24015000,-4888000,-31548000,- -,-1513000
24,Net Income ratio,0.0196,0.0120,0.1191,0.1754,0.1142,0.0291,-0.0223,-0.1102,- -,0.0075,-0.0463,-0.1183,-0.0614,- -,-0.0243,0.0024,0.0792,-0.0169,-0.1124,- -,-0.0034
25,EPS,0.02,0.02,0.33,0.54,0.52,0.24,-0.13,-0.57,- -,0.04,-0.50,-1.17,-0.48,- -,-0.21,0.01,0.69,-0.14,-0.89,- -,-0.04
26,EPS Diluted,0.02,0.02,0.33,0.54,0.52,0.17,-0.13,-0.57,- -,0.04,-0.50,-1.17,-0.48,- -,-0.21,0.01,0.62,-0.14,-0.89,- -,-0.04
27,Weighted Average Shares Outstanding,10999560,10999560,11276876,13200000,13200000,14437657,28274022,29846757,- -,29851873,30545638,30818000,32697000,- -,33489000,34765000,35192000,34941000,35720000,- -,42333000
28,Weighted Average Shares Outstanding Diluted,10999560,10999560,11276876,13200000,13200000,19990431,28274022,29846757,- -,30811636,30545638,30818000,32697000,- -,33489000,36207000,39634000,34941000,35720000,- -,42333000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378950/000119312508069402/0001193125-08-069402-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312509064323/0001193125-09-064323-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1378950/000119312510055854/0001193125-10-055854-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312512132332/0001193125-12-132332-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312513124321/0001193125-13-124321-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312514094601/0001193125-14-094601-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1378950/000137895015000019/0001378950-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000137895017000008/0001378950-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000162828018003196/0001628280-18-003196-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000155837019001882/0001558370-19-001882-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000155837020002264/0001558370-20-002264-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1378950/000155837021003023/0001558370-21-003023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,281000,252000,- -,2130000,1353000,2381000,19399000,32473000,- -,26300000,10335000,1000000,800000,- -,7653000,6643000,2850000,2031000,2273000,- -,35802000
32,Short-Term Investments,- -,- -,- -,710000,- -,- -,22650000,- -,- -,11100000,1125000,100000,47000,- -,62000,30000,9000,1000,- -,- -,- -
33,Cash and Short-Term Investments,281000,252000,- -,2840000,1353000,2381000,42049000,32473000,- -,37400000,11460000,1100000,847000,- -,7715000,6673000,2859000,2032000,2273000,- -,35802000
34,Net Receivables,- -,- -,- -,1149000,1637000,2789000,2907000,1353000,- -,3400000,7922000,7400000,5000000,- -,3804000,3266000,2470000,3727000,2669000,- -,6318000
35,Inventory,- -,- -,- -,4586000,8663000,8796000,11191000,10910000,- -,18600000,52245000,42700000,37000000,- -,48362000,50904000,54231000,49626000,52500000,- -,89316000
36,Other Current Assets,- -,- -,- -,75000,361000,2083000,2639000,4185000,- -,4600000,3994000,4300000,3253000,- -,2669000,2815000,2972000,3400000,4931000,- -,7939000
37,Total Current Assets,- -,- -,- -,8650000,12014000,16049000,58786000,48921000,- -,64000000,75621000,55500000,46100000,- -,62550000,63658000,62532000,58785000,62373000,- -,139375000
38,PP&E,- -,- -,- -,3449000,2259000,2716000,6945000,8203000,- -,12400000,34627000,28600000,19700000,- -,16966000,16478000,15085000,15184000,23205000,- -,44706000
39,Goodwill,- -,- -,- -,- -,- -,14179000,14201000,9772000,- -,9800000,18854000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,42000,25000,33362000,26444000,3028000,- -,3100000,9984000,3200000,1600000,- -,1601000,969000,651000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,42000,25000,47541000,40645000,12800000,- -,12900000,28838000,3200000,1600000,- -,1601000,969000,651000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,6351000,- -,4264000,2104000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,1703000,3562000,14061000,- -,- -,- -,300000,300000,- -,335000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,970000,186000,1901000,118000,94000,- -,11036000,1026000,1300000,1500000,- -,1455000,1029000,22430000,23996000,2368000,- -,2892000
45,Total Non-Current Assets,- -,- -,- -,4461000,2470000,53861000,51270000,41509000,- -,40600000,66595000,33400000,23100000,- -,20357000,18476000,38166000,39180000,25573000,- -,47598000
46,Other Assets,2963000,4290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2963000,4290000,- -,13111000,14484000,69910000,110056000,90430000,- -,104600000,142216000,88900000,69200000,- -,82907000,82134000,100698000,97965000,87946000,- -,186973000
48,Accounts Payable,- -,- -,- -,2134000,6882000,9091000,8103000,5702000,- -,11400000,41303000,28000000,19700000,- -,25362000,33697000,35999000,34039000,44433000,- -,45302000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1073000,- -,- -,- -,6250000,16200000,6800000,- -,11022000,- -,579000,594000,729000,- -,4110000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,26000,- -,33000,- -,3000,23000,33000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,1513000,- -,39000,335000,- -,1618000,- -,21476000,521000,652000,- -,630000
52,Other Current Liabilities,- -,- -,- -,4854000,1996000,18171000,9189000,7206000,- -,8987000,19402000,15261000,9565000,- -,9903000,13092000,-9156000,13165000,14132000,- -,21937000
53,Total Current Liabilities,- -,- -,- -,6988000,8878000,27262000,18365000,12908000,- -,21900000,66955000,59500000,36400000,- -,47905000,46789000,48898000,48319000,59946000,- -,71979000
54,Long-Term Debt,- -,- -,- -,- -,- -,21922000,- -,- -,- -,- -,11625000,100000,9500000,- -,9270000,- -,9173000,8559000,9687000,- -,27474000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1596000,314000,335000,- -,1618000,156000,- -,8559000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,163000,357000,114000,48000,- -,- -,- -,1116000,1286000,2065000,- -,4837000,11867000,2266000,-6294000,5933000,- -,4031000
58,Total Non-Current Liabilities,- -,- -,- -,163000,357000,22036000,48000,- -,- -,- -,14337000,1700000,11900000,- -,15725000,12023000,11439000,10824000,15620000,- -,31505000
59,Other Liabilities,1936000,3148000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,83000,357000,114000,48000,47000,- -,- -,172000,140000,9771000,- -,9539000,10312000,9752000,9153000,14054000,- -,31584000
61,Total Liabilities,1936000,3148000,- -,7151000,9235000,49298000,18413000,12908000,- -,21900000,81292000,61200000,48300000,- -,63630000,58812000,60337000,59143000,75566000,- -,103484000
62,Preferred Stock,- -,- -,- -,- -,- -,11000,- -,- -,- -,- -,- -,- -,4000,- -,4000,4000,3000,3000,3000,- -,- -
63,Common Stock,- -,- -,- -,13000,13000,15000,30000,30000,- -,30000,31000,31000,33000,- -,33000,35000,37000,38000,38000,- -,51000
64,Retained Earnings,- -,- -,- -,5645000,4700000,-48325000,-51922000,-68828000,- -,-67500000,-96574000,-132600000,-148400000,- -,-155489000,-156520000,-132996000,-137791000,-167876000,- -,-169461000
65,Other Comprehensive Income/Loss,- -,- -,- -,-699000,-2675000,-4705000,-6197000,-9709000,- -,200000,-34046000,800000,1000000,- -,720000,1000000,1000000,1000000,428000,- -,-215000
66,Other Total Stockholders Equity,1027000,1142000,- -,1001000,3201000,73616000,149732000,156029000,- -,149957000,191513000,159413000,168229000,- -,174009000,178334000,172317000,175572000,179787000,- -,253114000
67,Total Stockholders Equity,1027000,1142000,- -,5960000,5239000,20612000,91643000,77522000,- -,82687000,60924000,27644000,20866000,- -,19277000,22853000,40361000,38822000,12380000,- -,83489000
68,Total Liabilities And Stockholders Equity,2963000,4290000,- -,13111000,14474000,69910000,110056000,90430000,- -,104587000,142216000,88844000,69166000,- -,82907000,81665000,100698000,97965000,87946000,- -,186973000
69,Minority Interest,- -,- -,- -,- -,10000,- -,- -,- -,- -,13000,- -,56000,34000,- -,- -,469000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2963000,4290000,- -,13111000,14484000,69910000,110056000,90430000,- -,104600000,142216000,88900000,69200000,- -,82907000,82134000,100698000,97965000,87946000,- -,186973000
71,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378950/000119312508069402/0001193125-08-069402-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312509064323/0001193125-09-064323-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1378950/000119312510055854/0001193125-10-055854-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312512132332/0001193125-12-132332-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312513124321/0001193125-13-124321-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312514094601/0001193125-14-094601-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1378950/000137895015000019/0001378950-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000137895017000008/0001378950-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000162828018003196/0001628280-18-003196-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000155837019001882/0001558370-19-001882-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000155837020002264/0001558370-20-002264-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1378950/000155837021003023/0001558370-21-003023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,7133000,6819000,3496000,-3597000,-16906000,- -,1317000,-15137000,-35978000,-15634000,- -,-6879000,731000,24015000,-4888000,-31548000,- -,-1513000
74,Depreciation and Amortization,- -,- -,- -,456000,1993000,6878000,9819000,8632000,- -,5571000,16368000,16393000,12556000,- -,9345000,7992000,6716000,5987000,6352000,- -,7759000
75,Deferred Income Tax,- -,- -,- -,79000,-79000,-2615000,-1756000,-11703000,- -,3634000,-1537000,-875000,59000,- -,74000,-838000,-21476000,-446000,21287000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2901000,- -,3270000,2607000,1726000,1263000,- -,2371000,3140000,2842000,3609000,3675000,- -,7802000
77,Change in Working Capital,- -,- -,- -,-1157000,1474000,-14349000,51634000,-4408000,- -,6087000,-10534000,-12666000,13700000,- -,4945000,3264000,-3235000,-3168000,-8039000,- -,64969000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,1553000,- -,-2030000,-2583000,491000,2403000,- -,1105000,-30000,796000,-1257000,1058000,- -,-3650000
79,Inventory,- -,- -,- -,-829000,-4077000,608000,-2394000,280000,- -,-7700000,-4145000,9520000,5740000,- -,-11412000,312000,-3327000,4605000,-2874000,- -,-36815000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,1662000,3136000,-11213000,40421000,36013000,- -,42100000,8666000,-4000000,9700000,- -,14645000,16869000,13634000,10466000,2427000,- -,67396000
82,Other Non-Cash Items,- -,- -,- -,-8000,-571000,13945000,-46515000,24480000,- -,-8292000,18611000,31000000,-11077000,- -,-8613000,7282000,2772000,5087000,15150000,- -,-98085000
83,Cash Provided by Operating Activities,- -,- -,- -,6503000,9636000,7355000,9585000,2996000,- -,11587000,10378000,-400000,867000,- -,1243000,21571000,11634000,6181000,6877000,- -,-19068000
84,CAPEX,- -,- -,- -,-1368000,-440000,-1890000,-5002000,-4972000,- -,-9139000,-14377000,-10189000,-8325000,- -,-5756000,-6478000,-4896000,-5689000,-6160000,- -,-9758000
85,Acquisitions Net,- -,- -,- -,- -,- -,-24381000,-1319000,- -,- -,- -,- -,- -,-106000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-558000,- -,- -,-97097000,-5500000,- -,-11090000,-572000,-8000,-7000,- -,-746000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,63000,653000,- -,74447000,21650000,- -,2150000,2600000,3171000,52000,- -,745000,1000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-82000,510000,- -,- -,-641000,- -,-739000,751000,-186000,47000,- -,-173000,-125000,39000,- -,- -,- -,-101000
89,Cash Used for Investing Activites,- -,- -,- -,-1945000,723000,-26271000,-28971000,11178000,- -,-18079000,-11524000,-7178000,-8339000,- -,-5730000,-6477000,-4857000,-5689000,-6160000,- -,-9758000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-1075000,- -,-47000,-6269000,-28521000,-29206000,- -,-15490000,-26072000,-4396000,-3914000,-15426000,- -,-7753000
91,Common Stock Issued,- -,- -,- -,- -,- -,42396000,71631000,- -,- -,162000,- -,- -,2235000,- -,- -,- -,- -,- -,- -,- -,60461000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1091000,- -,- -,-1387000,-5823000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-5629000,-7764000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61000,-209000,-161000,-80000,- -,-33000
94,Other Financing Activites,- -,- -,- -,1084000,-3372000,-22457000,-34056000,- -,- -,- -,169000,26785000,35281000,- -,26801000,13566000,-137000,2792000,15041000,- -,9686000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-4545000,-11136000,19939000,37575000,-1075000,- -,115000,-6100000,-1736000,7219000,- -,11311000,-13954000,-10565000,-1283000,-465000,- -,62361000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,5000,27000,-25000,- -,155000,-14000,9000,41000,- -,11000,-34000,-5000,-27000,-10000,- -,-6000
97,Net Change In Cash,- -,- -,- -,13000,-777000,1028000,18216000,13074000,- -,-6222000,-7260000,-9305000,-212000,- -,6835000,1106000,-3793000,-819000,242000,- -,33529000
98,Cash at the End of Period,- -,- -,- -,2130000,1353000,2381000,19399000,32473000,- -,26251000,10335000,1030000,818000,- -,7653000,6643000,2850000,2031000,2273000,- -,35802000
99,Cash at the Beginning of Period,- -,- -,- -,2117000,2130000,1353000,1183000,19399000,- -,32473000,17595000,10335000,1030000,- -,818000,5537000,6643000,2850000,2031000,- -,2273000
100,Free Cash Flow,- -,- -,- -,5135000,9196000,5465000,4583000,-1976000,- -,2448000,-3999000,-10589000,-7458000,- -,-4513000,15093000,6738000,492000,717000,- -,-28826000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1378950/000119312508069402/0001193125-08-069402-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312509064323/0001193125-09-064323-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1378950/000119312510055854/0001193125-10-055854-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312512132332/0001193125-12-132332-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312513124321/0001193125-13-124321-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000119312514094601/0001193125-14-094601-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1378950/000137895015000019/0001378950-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000137895017000008/0001378950-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000162828018003196/0001628280-18-003196-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000155837019001882/0001558370-19-001882-index.htm,https://www.sec.gov/Archives/edgar/data/1378950/000155837020002264/0001558370-20-002264-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1378950/000155837021003023/0001558370-21-003023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
