,https://roic.ai/company/CANG,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,106000000,62380000,265869717,597265740,4342356612,2598935704
33,Cash and Short-Term Investments,150989215,865650815,3178770906,2599580428,5769256188,4033742626
34,Net Receivables,139028708,155258792,1228567448,1927006366,2605287256,2529945974
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,12035268,87340882,347243290,1014168251,524506102,1044241751
37,Total Current Assets,302053191,1108250489,4754581644,5540755045,8899049546,7607930351
38,PP&E,3888392,9751738,18286218,14736767,10311971,19545933
39,Goodwill,- -,- -,145063857,145063857,145063857,148657971
40,Intangible Assets,1227474,1701770,1693407,44758242,44887871,45931544
41,Intangible Assets,1227474,1701770,146757264,189822099,189951728,194589515
42,Investments,256603382,356662553,293547475,547888818,- -,- -
43,Tax Assets,54888520,67774187,100194993,100667946,170951082,474570361
44,Other Non-Current Assets,96195581,452726840,1987772610,2342703699,2875668272,2650467872
45,Total Non-Current Assets,412803349,888617088,2546558560,3195819329,3246883053,3339173681
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,714856540,1996867577,7301140204,8736574374,12145932599,10947104032
48,Accounts Payable,4954846,9358099,16822349,8233432,5090553,- -
49,Short-Term Debt,- -,- -,1127194051,2303168549,1584600670,1517790493
50,Tax Payable,62873379,93021345,60711611,75519413,113984180,481854102
51,Deferred Revenue,1100669,102892498,40017637,67098949,136893906,- -
52,Other Current Liabilities,280818689,414053450,381346595,530619140,730711497,1899912396
53,Total Current Liabilities,286874204,526304047,1565380632,2909120070,2457296626,3417702889
54,Long-Term Debt,189572500,175000000,472793340,301667717,977791191,486371672
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,12329929,330765029,51471040
57,Other Non-Current Liabilities,3969168728,3977401984,7599404,21796367,4870616,991610
58,Total Non-Current Liabilities,4158741228,4152401984,480392744,335794013,1313426836,538834322
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4445615432,4678706031,2045773376,3244914083,3770723462,3956537211
62,Preferred Stock,1450,1450,- -,- -,- -,- -
63,Common Stock,83145,83145,204260,204260,204260,204260
64,Retained Earnings,-3750749590,-2711414472,698036438,852508968,3955354972,2991373063
65,Other Comprehensive Income/Loss,- -,-398698,109452996,119430738,-115386427,-187517110
66,Other Total Stockholders Equity,4611881,4100000,4444078463,4505705573,4535036332,4186506608
67,Total Stockholders Equity,-3746053114,-2707628575,5251772157,5477849539,8375209137,6990566821
68,Total Liabilities And Stockholders Equity,699562318,1971077456,7297545533,8722763622,12145932599,10947104032
69,Minority Interest,15294222,25790121,3594671,13810752,- -,- -
70,Total Liabilities & Equity,714856540,1996867577,7301140204,8736574374,12145932599,10947104032
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,128905984,341009811,302692065,390913892,3369517847,- -
74,Depreciation and Amortization,1501400,2971273,7190216,10466942,9544137,- -
75,Deferred Income Tax,2863061,-12752767,-32694920,-9034211,248151964,- -
76,Stock Based Compensation,4100000,- -,33410913,82265991,78754828,- -
77,Change in Working Capital,-69650613,268157671,-105551200,-81420713,-1133478703,- -
78,Accounts Receivable,526478,-85125822,-918623,-56086171,6968776,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,90513575,202028344,-135632905,-60935824,- -,- -
82,Other Non-Cash Items,15306761,-10082572,-20260737,29703334,-3194102275,- -
83,Cash Provided by Operating Activities,83026593,589303416,184786337,422895235,-621612202,- -
84,CAPEX,-2576037,-9586242,-14389405,-43025999,-5360566,- -
85,Acquisitions Net,- -,- -,-108217301,100000,- -,- -
86,Purchases of Investments,-481300000,-1899750500,-2921444000,-8019657054,-1116757156,- -
87,Sales/Maturities of Investments,205071101,1796136300,2618890000,7564884973,1032855061,- -
88,Other Investing Activites,6766107,-49705396,-1213486664,-700707542,-404300386,- -
89,Cash Used for Investing Activites,-272038829,-162905838,-1638647370,-1198405622,-493563047,- -
90,Debt Repayment,- -,-414912500,-73057135,-1686482435,-3416211500,- -
91,Common Stock Issued,- -,- -,272145213,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-20638881,-49219318,- -
93,Dividends Paid,-1023000,- -,-27063546,-257114132,-267214749,- -
94,Other Financing Activites,188169514,1100601704,3919105491,2694783338,3351823138,- -
95,Cash Used/Provided by Financing Activities,187146514,685689204,4091130023,730547890,-380822429,- -
96,Effect of Forex Changes on Cash,- -,-25403473,110476450,11516258,-36093321,- -
97,Net Change In Cash,-1865722,1086683309,2747745440,-33446239,-1532090999,- -
98,Cash at the End of Period,46000213,1132683522,3880428962,3846982723,2314891724,- -
99,Cash at the Beginning of Period,47865935,46000213,1132683522,3880428962,3846982723,- -
100,Free Cash Flow,80450556,579717174,170396932,379869236,-626972768,- -
101,SEC Link,- -,- -,- -,- -,- -,undefined
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
