,https://roic.ai/company/ADES,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1515156/000151515616000064/0001515156-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515616000095/0001515156-16-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515617000017/0001515156-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515618000024/0001515156-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515619000024/0001515156-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515620000018/0001515156-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515621000010/0001515156-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515622000007/0001515156-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,777000,2108000,14026000,16129000,13482000,28201000,1456000,9696000,40879000,9737000,37890000,25181000,9265000,13208000,30693000,18577000,12080000,25932000,78753000
32,Short-Term Investments,- -,- -,713000,2515000,2427000,1916000,- -,400000,505000,508000,1641000,105000,- -,- -,- -,- -,- -,- -,7692000,- -
33,Cash and Short-Term Investments,- -,777000,2821000,16541000,18556000,15398000,28201000,1856000,10201000,41387000,11378000,37995000,25181000,9265000,13208000,30693000,18577000,12080000,33624000,78753000
34,Net Receivables,- -,1065000,1198000,3014000,3522000,4449000,6017000,5812000,10646000,5914000,11025000,16273000,24186000,12416000,10607000,4360000,13838000,11676000,16578000,12622000
35,Inventory,- -,82000,48000,- -,- -,- -,787000,72000,9000,- -,- -,130000,630000,189000,16000,74000,21791000,15460000,9882000,7850000
36,Other Current Assets,- -,117000,200000,283000,361000,282000,1164000,3097000,594000,3924000,2888000,957000,4432000,2845000,15077000,1761000,5570000,7832000,1905000,9142000
37,Total Current Assets,- -,2041000,4267000,19838000,22439000,20129000,36169000,10837000,21450000,51225000,25291000,55355000,54429000,24715000,38908000,36888000,59776000,47048000,61989000,108367000
38,PP&E,- -,460000,449000,650000,797000,1250000,35004000,848000,4806000,37120000,44611000,5799000,4808000,2040000,735000,410000,45228000,58609000,37413000,30171000
39,Goodwill,- -,- -,- -,- -,2024000,2024000,435000,435000,435000,435000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,2136000,2170000,2180000,241000,247000,256000,229000,260000,354000,469000,423000,2035000,1941000,696000,805000,4830000,4169000,1964000,1237000
41,Intangible Assets,- -,2136000,2170000,2180000,2265000,2271000,691000,664000,695000,789000,469000,423000,2035000,1941000,696000,805000,4830000,4169000,1964000,1237000
42,Investments,- -,- -,- -,- -,- -,- -,- -,21776000,14021000,590000,1850000,3034000,22360000,20008000,4975000,4903000,7186000,39707000,8244000,2391000
43,Tax Assets,- -,63000,- -,- -,- -,- -,- -,6842000,15696000,16375000,- -,- -,- -,- -,61396000,38661000,32539000,14095000,10604000,- -
44,Other Non-Current Assets,- -,- -,6194000,6048000,6253000,11256000,3278000,- -,- -,- -,3528000,8913000,10067000,12071000,586000,951000,10105000,10171000,26457000,43270000
45,Total Non-Current Assets,- -,2659000,8813000,8878000,9315000,14777000,38973000,30130000,35218000,54874000,50458000,18169000,39270000,36060000,68388000,45730000,99888000,126751000,84682000,77069000
46,Other Assets,3974000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3974000,4700000,13080000,28716000,31754000,34906000,75142000,40967000,56668000,106099000,75749000,73524000,93699000,60775000,107296000,82618000,159664000,173799000,146671000,185436000
48,Accounts Payable,- -,162000,433000,1706000,2352000,4285000,14639000,5312000,3646000,8849000,6615000,5186000,7514000,6174000,1920000,1000000,6235000,8046000,7849000,10009000
49,Short-Term Debt,- -,122000,- -,- -,- -,- -,- -,- -,- -,10873000,3559000,- -,1479000,14513000,- -,- -,24067000,26314000,20324000,1011000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000,207000,479000,678000,1305000,- -
51,Deferred Revenue,- -,185000,202000,460000,761000,944000,1875000,1452000,5639000,5105000,6919000,20269000,22518000,10390000,5023000,1830000,- -,- -,- -,- -
52,Other Current Liabilities,- -,214000,403000,654000,779000,807000,1091000,1884000,2096000,22637000,32304000,17104000,15646000,17818000,16768000,4048000,10417000,4953000,14370000,11601000
53,Total Current Liabilities,- -,683000,1038000,2820000,3892000,6036000,17605000,8648000,11381000,47464000,49397000,42559000,47157000,48895000,23711000,6878000,40719000,39313000,42543000,22621000
54,Long-Term Debt,- -,796000,- -,- -,- -,- -,- -,- -,- -,3624000,2305000,- -,14431000,13512000,- -,- -,50058000,20434000,5445000,3152000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,875000,10659000,8524000,4980000,2000000,2000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,248000,32000,40000,184000,318000,550000,7968000,31843000,5832000,63309000,26473000,24284000,18366000,5420000,285000,940000,5760000,13473000,12362000
58,Total Non-Current Liabilities,- -,1044000,32000,40000,184000,318000,550000,7968000,31843000,9456000,66489000,37132000,47239000,36858000,7420000,2285000,50998000,26194000,18918000,15514000
59,Other Liabilities,1024000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5192000,2992000,- -
61,Total Liabilities,1024000,1727000,1070000,2860000,4076000,6354000,18155000,16616000,43224000,56920000,115886000,79691000,94396000,85753000,31131000,9163000,91717000,65507000,61461000,38135000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4467000,13134000,26318000,- -,- -,- -,- -,- -,- -,63724000,22000,22000,22000,22000,22000,23000,23000,23000,23000
64,Retained Earnings,- -,- -,-1158000,-495000,-118000,129000,-3977000,-12748000,-28218000,-48069000,-79765000,-112275000,-110888000,-141029000,-43351000,-15478000,12914000,57336000,32454000,92864000
65,Other Comprehensive Income/Loss,- -,-1494000,34000,33000,167000,198000,- -,-2252000,-3235000,-4651000,-8931000,-3901000,-5924000,-4557000,-2920000,-1486000,-1499000,-7444000,- -,- -
66,Other Total Stockholders Equity,2950000,- -,- -,- -,28829000,29795000,62741000,39351000,44897000,101899000,8931000,109987000,116093000,120586000,122414000,90397000,56509000,58377000,52733000,54414000
67,Total Stockholders Equity,2950000,2973000,12010000,25856000,27641000,28404000,31835000,24252000,11409000,45115000,-16041000,-6167000,-697000,-24978000,76165000,73455000,67947000,108292000,85210000,147301000
68,Total Liabilities And Stockholders Equity,3974000,4700000,13080000,28716000,31717000,34758000,49990000,40868000,54633000,102035000,99845000,73524000,93699000,60775000,107296000,82618000,159664000,173799000,146671000,185436000
69,Minority Interest,- -,- -,- -,- -,37000,148000,25152000,99000,2035000,4064000,-24096000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3974000,4700000,13080000,28716000,31754000,34906000,75142000,40967000,56668000,106099000,75749000,73524000,93699000,60775000,107296000,82618000,159664000,173799000,146671000,185436000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1515156/000151515616000064/0001515156-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515616000095/0001515156-16-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515617000017/0001515156-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515618000024/0001515156-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515619000024/0001515156-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515620000018/0001515156-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515621000010/0001515156-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515622000007/0001515156-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,409000,336000,663000,377000,247000,-4106000,-8771000,-15470000,-19851000,-13071000,-15987000,1387000,-30141000,97678000,27873000,35454000,35537000,-20302000,60401000
74,Depreciation and Amortization,- -,130000,153000,157000,284000,379000,488000,577000,917000,1568000,5277000,1648000,1865000,2019000,979000,789000,723000,- -,28175000,7933000
75,Deferred Income Tax,- -,-93000,62000,336000,108000,-271000,-1454000,-5555000,-8563000,-13368000,- -,- -,- -,- -,-61396000,-474000,4462000,8655000,3491000,10604000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1010000,1201000,- -,- -,- -,2312000,4712000,7204000,2868000,2209000,2490000,2011000,2496000,1927000
77,Change in Working Capital,- -,-308000,1871000,13789000,1529000,-4454000,4471000,-16375000,7880000,-6308000,-27867000,36902000,-5524000,-31452000,39377000,14813000,-10953000,-11322000,11711000,66300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-1580000,282000,-3247000,- -,-5106000,-6711000,-3651000,8361000,-301000,6743000,-1847000,2124000,-2541000,-36000
79,Inventory,- -,-1000,-5000,- -,- -,- -,-787000,-2056000,- -,- -,- -,- -,- -,- -,- -,- -,237000,5505000,4748000,1394000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,118000,2567000,-1666000,6412000,1639000,2225000,2328000,-1340000,-4254000,-920000,-197000,2218000,-196000,1977000
81,Other Working Capital,- -,1358000,3229000,17018000,18547000,14093000,18564000,2189000,10069000,3761000,-24106000,12796000,7272000,-24180000,15197000,30010000,19057000,7735000,19446000,85746000
82,Other Non-Cash Items,- -,45000,-1591000,-13736000,-477000,6225000,-4776000,27320000,26951000,29986000,30703000,-35067000,-44989000,24191000,-97763000,-56958000,-42065000,27381000,28898000,-121166000
83,Cash Provided by Operating Activities,- -,183000,831000,1209000,1821000,2126000,-4367000,-1603000,11715000,-7973000,-4958000,-10192000,-42549000,-28179000,-18257000,-11748000,-9889000,62262000,54469000,25999000
84,CAPEX,- -,-372000,-212000,-374000,-1431000,-8120000,-17114000,-296000,-2919000,-33788000,-10846000,-2135000,-1563000,-507000,-289000,-485000,-467000,-7851000,-6685000,-6201000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-25171000,-283000,30000000,- -,- -,-6631000,-4252000,1550000,-61000,-63251000,-661000,- -,22944000
86,Purchases of Investments,- -,- -,-8068000,-10753000,-7054000,-3276000,-682000,-400000,-105000,-3000,-1133000,-105000,-2881000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1587000,8999000,7668000,6300000,5151000,- -,- -,- -,- -,105000,210000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,24000,60000,- -,- -,- -,-17114000,-296000,-2731000,-32208000,-12811000,13307000,42270000,6993000,38638000,48932000,47175000,-12577000,-7887000,27635000
89,Cash Used for Investing Activites,- -,-348000,-6633000,-2128000,-817000,-5096000,-12645000,-25867000,-3119000,-2211000,-13944000,11172000,31405000,2234000,39899000,48386000,-16543000,-13238000,-7887000,44378000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12133000,- -,-238000,-3234000,-14724000,-1044000,- -,-31354000,-25360000,-1190000
91,Common Stock Issued,- -,1000000,8055000,12841000,104000,123000,7001000,4000,1347000,35075000,- -,31050000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-26000,- -,- -,- -,-1500000,-276000,-196000,-16963000,-26112000,-6244000,-696000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15690000,-20165000,-18274000,-4979000,-93000
94,Other Financing Activites,- -,-383000,-922000,-4000,995000,200000,24730000,721000,-1677000,6292000,-107000,-1881000,173000,13539000,-751000,808000,65788000,156000,3305000,-16246000
95,Cash Used/Provided by Financing Activities,- -,617000,7133000,12837000,1099000,323000,31731000,725000,-356000,41367000,-12240000,29169000,-1565000,10029000,-15671000,-32889000,19511000,-55716000,-27730000,-17529000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,452000,1331000,11918000,2103000,-2647000,14719000,-26745000,8240000,31183000,-31142000,30149000,-12709000,-15916000,5971000,3749000,-6921000,-6692000,18852000,52848000
98,Cash at the End of Period,- -,777000,2108000,14026000,16129000,13482000,28201000,1456000,9696000,40879000,9737000,37890000,25181000,9265000,26944000,30693000,23772000,17080000,35932000,88780000
99,Cash at the Beginning of Period,- -,325000,777000,2108000,14026000,16129000,13482000,28201000,1456000,9696000,40879000,7741000,37890000,25181000,20973000,26944000,30693000,23772000,17080000,35932000
100,Free Cash Flow,- -,-189000,619000,835000,390000,-5994000,-21481000,-1899000,8796000,-41761000,-15804000,-12327000,-44112000,-28686000,-18546000,-12233000,-10356000,54411000,47784000,19798000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1515156/000151515616000064/0001515156-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515616000095/0001515156-16-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515617000017/0001515156-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515618000024/0001515156-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515619000024/0001515156-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515620000018/0001515156-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515621000010/0001515156-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1515156/000151515622000007/0001515156-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
