,https://roic.ai/company/DFCO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0261,-0.2965,-1.4509,-5.5744,-2.8644,-0.5420,-1.6360,0.0075,-0.2166,0.0373,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,5.0703,-2.0934,0.0268
25,EPS,280.00,-3600.00,-6480.00,-800.00,-320.00,-224.00,-14.00,-2.00,-2.00,0.63,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.02,0.01,-0.04,0.00
26,EPS Diluted,240.00,-3600.00,-6480.00,-800.00,-320.00,-224.00,-14.00,-2.00,-2.00,0.35,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.02,0.00,-0.04,0.00
27,Weighted Average Shares Outstanding,2857,2833,3873,26049,32872,61005,481580,1655020,3292180,4110203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47281128,47429073,56801796,70318073
28,Weighted Average Shares Outstanding Diluted,3333,2833,3873,26049,32872,61005,481580,1655020,3292180,19347977,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47281128,102576132,56801796,128946367
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/725394/000168316820000305/0001683168-20-000305-index.htm,https://www.sec.gov/Archives/edgar/data/725394/000168316820003456/0001683168-20-003456-index.htm,https://www.sec.gov/Archives/edgar/data/725394/000168316821004821/0001683168-21-004821-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,1223000,228000,171000,3260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5486,963,75165,110285
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,1223000,228000,171000,3260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5486,963,75165,110285
34,Net Receivables,- -,- -,- -,- -,- -,- -,507000,582000,1414000,1211000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27959,404537,403092
35,Inventory,- -,- -,- -,- -,- -,- -,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18768,650422,842108
36,Other Current Assets,- -,- -,- -,- -,- -,- -,20000,444000,2170000,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121413,285026
37,Total Current Assets,- -,- -,- -,- -,- -,- -,1765000,1254000,3755000,7871000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5486,47690,1251537,1640511
38,PP&E,- -,- -,- -,- -,- -,- -,150000,160000,258000,355000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500,1358982,1661644
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143152,736456
40,Intangible Assets,- -,- -,- -,- -,- -,- -,4380000,1438000,66000,586000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,664494
41,Intangible Assets,- -,- -,- -,- -,- -,- -,4380000,1438000,66000,586000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143152,1400950
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,1300000,- -,2636000,5886000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,5830000,1598000,2960000,6827000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500,1532134,3062594
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,7595000,2852000,6715000,14698000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5486,53190,2783671,4703105
48,Accounts Payable,- -,- -,- -,- -,- -,- -,3647000,1350000,1310000,1736000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38542,490814,854037,1324576
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,7186000,5836000,10354000,5156000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2217741,5247610,13125395
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12392022,10980278,10519440,1953024
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176291,219999
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,19378000,16004000,18871000,25895000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14007022,10980278,10751305,2594404
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,30211000,23190000,30535000,32787000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14045564,13688833,17029243,17264374
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,1336000,524000,833000,3531000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,892863,846119
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,28000,63000,42000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1364000,587000,875000,3531000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,892863,846119
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,28000,63000,42000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1118474,1171742
61,Total Liabilities,- -,- -,- -,- -,- -,- -,31575000,23777000,31410000,36318000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14045564,13688833,17922106,18110493
62,Preferred Stock,- -,- -,- -,- -,- -,- -,420000,420000,420000,420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50,50
63,Common Stock,- -,- -,- -,- -,- -,- -,906000,2762000,3676000,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236406,241406,342324,971019
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-107779000,-107677000,-111895000,-109271000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105329078,-104963228,-107429607,-107338174
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,475000,475000,475000,230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7897,32287
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,81077000,83095000,82629000,86976000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91052594,91086179,91904874,92965821
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-24901000,-20925000,-24695000,-21620000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14040078,-13635643,-15190256,-13368997
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,6674000,2852000,6715000,14698000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5486,53190,2731850,4741496
69,Minority Interest,- -,- -,- -,- -,- -,- -,921000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51821,-38391
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,7595000,2852000,6715000,14698000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5486,53190,2783671,4703105
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/725394/000168316820000305/0001683168-20-000305-index.htm,https://www.sec.gov/Archives/edgar/data/725394/000168316820003456/0001683168-20-003456-index.htm,https://www.sec.gov/Archives/edgar/data/725394/000168316821004821/0001683168-21-004821-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,800000,-10200000,-25100000,-14198000,-9888000,-13688000,-6855000,102000,-4218000,2624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1037221,365850,-2466378,91433
74,Depreciation and Amortization,900000,700000,4800000,3329000,806000,972000,1074000,1175000,510000,1344000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46602,141388
75,Deferred Income Tax,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9054041
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,801673
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-28446000,6510000,-4844000,1864000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10875922,398935,-2136563,153843
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27959,-143021,29274
79,Inventory,-200000,-3300000,5200000,349000,153000,-326000,136000,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18768,-521592,-191686
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10229,618362,1909213
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-28446000,-21936000,-26780000,-24916000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14040078,-13641143,-15777706,-15623863
82,Other Non-Cash Items,-5700000,2400000,12900000,4182000,3742000,10176000,35339000,-8276000,4201000,-3684000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9870684,-1587177,2163893,2281916
83,Cash Provided by Operating Activities,-4000000,-7100000,-7100000,-6687000,-5340000,-2540000,1112000,-489000,-4351000,2148000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31983,-822392,-2392446,-5583788
84,CAPEX,-1000000,-400000,-200000,-23000,-171000,-18000,- -,-93000,-168000,-220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5500,-194073,-357961
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-45000,104000,-20000,122000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206987,-27869
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1300000,-3400000,-3200000,- -,- -,215000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2200000,-3800000,-3400000,-23000,-171000,197000,-45000,11000,-188000,-98000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5500,12914,-385830
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500
91,Common Stock Issued,700000,6600000,7400000,7976000,5211000,1669000,58000,177000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-200000,-3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1300000,7300000,3300000,-1050000,44000,682000,55000,349000,4482000,1039000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37469,823369,2463056,5967054
95,Cash Used/Provided by Financing Activities,2000000,13700000,7500000,6926000,5255000,2351000,113000,526000,4482000,1039000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37469,823369,2463056,5964554
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9322,40184
97,Net Change In Cash,2000000,13700000,-2900000,216000,-256000,8000,1180000,48000,-57000,3089000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4523,74202,35120
98,Cash at the End of Period,- -,- -,100000,291000,35000,43000,1223000,228000,171000,3260000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5486,963,75165,110285
99,Cash at the Beginning of Period,4400000,300000,3000000,75000,291000,35000,43000,180000,228000,171000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5486,963,75165
100,Free Cash Flow,-5000000,-7500000,-7300000,-6710000,-5511000,-2558000,1112000,-582000,-4519000,1928000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31983,-827892,-2586519,-5941749
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/725394/000168316820000305/0001683168-20-000305-index.htm,https://www.sec.gov/Archives/edgar/data/725394/000168316820003456/0001683168-20-003456-index.htm,https://www.sec.gov/Archives/edgar/data/725394/000168316821004821/0001683168-21-004821-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
