,https://roic.ai/company/YTEN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-6983.99,-6551.99,-3287.99,-6143.99,-7103.99,-3047.99,-3791.99,-3887.99,-3479.99,-2975.99,264.00,-2112.00,-1152.00,-380.00,-108.00,-131.60,-36.80,-35.50,-4.30,-2.33
26,EPS Diluted,-6983.99,-6551.99,-3287.99,-6143.99,-7103.99,-3047.99,-3791.99,-3887.99,-3479.99,-2975.99,264.00,-2112.00,-1153.40,-380.00,-108.00,-131.60,-36.80,-35.50,-4.30,-2.33
27,Weighted Average Shares Outstanding,1247,1015,1534,1239,2263,9165,9516,9764,11155,13023,14257,14363,25606,62518,69529,82215,248312,364967,2373265,4731833
28,Weighted Average Shares Outstanding Diluted,1247,1015,1534,1516,2263,9165,9516,9764,11155,13023,14283,14363,25606,62518,69529,82215,248312,364967,2373265,4731833
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121702/000110465907023716/0001104659-07-023716-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746908002672/0001047469-08-002672-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746909002539/0001047469-09-002539-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746910002067/0001047469-10-002067-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746911001951/0001047469-11-001951-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746912002477/0001047469-12-002477-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746913003558/0001047469-13-003558-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746914003155/0001047469-14-003155-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170215000010/0001121702-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170216000055/0001121702-16-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170217000024/0001121702-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170218000009/0001121702-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170219000007/0001121702-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170220000019/0001121702-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170221000010/0001121702-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170222000008/0001121702-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3151673,1834632,25182000,22686000,26194000,10814000,12526000,21277000,14572000,7698000,20046000,12269000,7309000,14487000,3023000,5417000,3423000,5329000
32,Short-Term Investments,- -,- -,1302906,1339015,96898000,86640000,64902000,81388000,49048000,55578000,29201000,11511000,- -,- -,- -,- -,2746000,5700000,6279000,10661000
33,Cash and Short-Term Investments,- -,- -,4454579,3173647,122080000,109326000,91096000,92202000,61574000,76855000,43773000,19209000,20046000,12269000,7309000,14487000,5769000,11117000,9702000,15990000
34,Net Receivables,- -,- -,426009,460873,148000,1547000,215000,387000,836000,761000,1286000,1235000,577000,534000,188000,119000,160000,92000,113000,198000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3204000,4074000,586000,379000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,545341,620076,1172000,673000,530000,764000,846000,823000,692000,713000,756000,1668000,363000,311000,448000,475000,527000,436000
37,Total Current Assets,- -,- -,5425929,4254596,123400000,111546000,91841000,93353000,63256000,78439000,48955000,25231000,21965000,14850000,7860000,14917000,6377000,11684000,10342000,16624000
38,PP&E,- -,- -,1383799,3005472,3673000,6890000,4388000,3513000,2776000,2276000,1358000,793000,456000,905000,1739000,1539000,1385000,4384000,3633000,3244000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1503000,2508000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,700000,64526,523000,568000,717000,688000,739000,694000,689000,714000,714000,1333000,1149000,426000,432000,650000,547000,547000
45,Total Non-Current Assets,- -,- -,2083799,3069998,4196000,7458000,5105000,4201000,3515000,4473000,4555000,1507000,1170000,2238000,2888000,1965000,1817000,5034000,4180000,3791000
46,Other Assets,2561000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2561000,- -,7509728,7324594,127596000,119004000,96946000,97554000,66771000,82912000,53510000,26738000,23135000,17088000,10748000,16882000,8194000,16718000,14522000,20415000
48,Accounts Payable,- -,- -,1494883,1299356,1604000,299000,858000,626000,239000,512000,1233000,579000,333000,120000,56000,76000,117000,279000,60000,83000
49,Short-Term Debt,- -,- -,418660,62571,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,799000,653000,645000,514000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,165470,165470,60000,- -,- -,25000,1906000,3079000,1067000,669000,147000,277000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,727616,1445698,1557000,4360000,3752000,3911000,4250000,3574000,3684000,4947000,3709000,3513000,2702000,2299000,630000,1275000,1109000,1136000
53,Total Current Liabilities,- -,- -,2806629,2973095,3221000,4659000,4610000,4562000,6395000,7165000,5984000,6195000,4189000,3910000,2758000,2375000,1546000,2207000,1814000,1733000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2649000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,37851000,36593000,35944000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,43674214,50909375,14787000,25143000,33245000,97000,107000,340000,186000,145000,150000,150000,1621000,1005000,935000,18596000,3176000,7000
58,Total Non-Current Liabilities,- -,- -,43674214,50909375,14787000,25143000,33245000,37948000,36700000,36284000,186000,145000,150000,150000,1621000,1005000,935000,18596000,3176000,2656000
59,Other Liabilities,3588000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,60694,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1132000,1005000,1734000,4272000,3808000,3163000
61,Total Liabilities,3588000,- -,46480843,53882470,18008000,29802000,37855000,42510000,43095000,43449000,6170000,6340000,4339000,4060000,4379000,3380000,2481000,20803000,4990000,4389000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,818000,- -,- -,- -,- -
63,Common Stock,- -,- -,22130,22181,206000,226000,230000,265000,269000,341000,343000,346000,1352000,273000,283000,91000,100000,9000,33000,49000
64,Retained Earnings,-30855000,- -,-42549138,-50174565,-66237000,-94112000,-130117000,-168074000,-206877000,-245662000,-242032000,-272538000,-302072000,-325753000,-333357000,-342753000,-351923000,-364894000,-375100000,-386131000
65,Other Comprehensive Income/Loss,- -,- -,-2093999,-2406962,-184000,236000,446000,22000,-15000,-12000,-21000,-71000,-64000,-72000,-84000,-85000,-110000,-126000,-159000,-175000
66,Other Total Stockholders Equity,2064000,- -,5649892,6001470,175803000,182852000,188532000,222831000,230299000,284796000,289050000,292661000,319580000,338580000,339527000,355431000,357646000,360926000,384758000,402283000
67,Total Stockholders Equity,-28791000,- -,-38971115,-46557876,109588000,89202000,59091000,55044000,23676000,39463000,47340000,20398000,18796000,13028000,6369000,13502000,5713000,-4085000,9532000,16026000
68,Total Liabilities And Stockholders Equity,-25203000,- -,7509728,7324594,127596000,119004000,96946000,97554000,66771000,82912000,53510000,26738000,23135000,17088000,10748000,16882000,8194000,16718000,14522000,20415000
69,Minority Interest,27764000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2561000,- -,7509728,7324594,127596000,119004000,96946000,97554000,66771000,82912000,53510000,26738000,23135000,17088000,10748000,16882000,8194000,16718000,14522000,20415000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1121702/000110465907023716/0001104659-07-023716-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746908002672/0001047469-08-002672-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746909002539/0001047469-09-002539-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746910002067/0001047469-10-002067-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746911001951/0001047469-11-001951-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746912002477/0001047469-12-002477-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746913003558/0001047469-13-003558-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746914003155/0001047469-14-003155-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170215000010/0001121702-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170216000055/0001121702-16-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170217000024/0001121702-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170218000009/0001121702-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170219000007/0001121702-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170220000019/0001121702-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170221000010/0001121702-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170222000008/0001121702-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-5054511,-7625427,-16062000,-27875000,-36005000,-37957000,-38803000,-38785000,3630000,-30506000,-29534000,-23681000,-7604000,-9396000,-9170000,-12956000,-10206000,-11031000
74,Depreciation and Amortization,- -,- -,265253,314565,964000,1451000,3731000,2734000,1647000,1507000,1298000,928000,507000,265000,515000,206000,196000,203000,182000,220000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-254000,56000,35000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,4653000,4696000,4633000,3807000,3193000,2276000,2128000,848000,1395000,1181000,656000,739000,1675000
77,Change in Working Capital,- -,- -,3759669,-1337799,118897499,-13292000,-19656000,1560000,-31930000,14413000,-28303000,-23935000,-1260000,-6836000,-5838000,7440000,-7711000,4646000,-949000,6363000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,140000,19000,-146000,-693000,-158000,952000,-193000,172000,12000,-40000,22000,-14000,-78000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3204000,-1688000,462000,-2000,180000,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-232000,-387000,273000,721000,-654000,-246000,-226000,-51000,17000,41000,162000,-219000,23000
81,Other Working Capital,- -,- -,2619300,1281501,120179000,106887000,87231000,88791000,56861000,71274000,42971000,19036000,17776000,10940000,5102000,12542000,4831000,9477000,8528000,14891000
82,Other Non-Cash Items,- -,- -,48922,4254477,-107402499,28816000,33538000,3251000,32395000,-13499000,-12168000,23672000,3475000,6261000,-2621000,-7847000,6750000,-949000,1519000,-6515000
83,Cash Provided by Operating Activities,- -,- -,-980667,-4394184,-3603000,-10900000,-18392000,-25759000,-31995000,-31731000,-31736000,-26648000,-24536000,-21863000,-14700000,-8202000,-8754000,-8654000,-8659000,-9253000
84,CAPEX,- -,- -,-1324397,-1870019,-1544000,-4662000,-794000,-2017000,-906000,-895000,-392000,-373000,-172000,-654000,-752000,-6000,-42000,-61000,-76000,-189000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1302906,-1323630,-118486000,-190862000,-132826000,-119956000,-83814000,-107477000,-58933000,-16635000,-1508000,- -,- -,- -,-11496000,-5704000,-9279000,-10639000
87,Sales/Maturities of Investments,- -,- -,- -,1287521,22956000,201328000,154804000,103048000,116126000,99464000,84303000,36821000,13017000,- -,- -,- -,8750000,2750000,8700000,6250000
88,Other Investing Activites,- -,- -,-497486,1119,-2000,- -,-95000,70000,-29000,- -,40000,-25000,335000,40000,10504000,115000,- -,- -,10000,- -
89,Cash Used for Investing Activites,- -,- -,-3124789,-1905009,-97076000,5804000,21089000,-18855000,31377000,-8908000,25018000,19788000,11672000,-614000,9752000,109000,-2788000,-3015000,-645000,-4578000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000,-103000
91,Common Stock Issued,- -,- -,6484038,4785941,124089000,2600000,811000,29118000,- -,49333000,- -,- -,24914000,14703000,- -,15284000,- -,14083000,5305000,11993000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-721421,196211,-63000,- -,- -,116000,2339000,74000,19000,14000,300000,- -,- -,-12000,118000,-4000,1991000,3856000
95,Cash Used/Provided by Financing Activities,- -,- -,5762617,4982152,124026000,2600000,811000,29234000,2339000,49407000,19000,14000,25214000,14703000,- -,15272000,118000,14079000,7279000,15746000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-9000,-17000,-6000,-28000,-2000,-3000,-12000,-1000,-25000,-16000,-37000,-9000
97,Net Change In Cash,- -,- -,1657161,-1317041,23347000,-2496000,3508000,-15380000,1712000,8751000,-6705000,-6874000,12348000,-7777000,-4960000,7178000,-11449000,2394000,-2062000,1906000
98,Cash at the End of Period,- -,- -,3151673,1834632,25182000,22686000,26194000,10814000,12526000,21277000,14572000,7698000,20046000,12269000,7309000,14487000,3355000,5749000,3687000,5593000
99,Cash at the Beginning of Period,- -,- -,1494512,3151673,1835000,25182000,22686000,26194000,10814000,12526000,21277000,14572000,7698000,20046000,12269000,7309000,14804000,3355000,5749000,3687000
100,Free Cash Flow,- -,- -,-2305064,-6264203,-5147000,-15562000,-19186000,-27776000,-32901000,-32626000,-32128000,-27021000,-24708000,-22517000,-15452000,-8208000,-8796000,-8715000,-8735000,-9442000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1121702/000110465907023716/0001104659-07-023716-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746908002672/0001047469-08-002672-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746909002539/0001047469-09-002539-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746910002067/0001047469-10-002067-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746911001951/0001047469-11-001951-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746912002477/0001047469-12-002477-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746913003558/0001047469-13-003558-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000104746914003155/0001047469-14-003155-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170215000010/0001121702-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170216000055/0001121702-16-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170217000024/0001121702-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170218000009/0001121702-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170219000007/0001121702-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170220000019/0001121702-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170221000010/0001121702-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1121702/000112170222000008/0001121702-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
