,https://roic.ai/company/TAC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-218300214,-242699690,-107599826,-133999700,-106400828,-101499843,-200298854,-267401008,-207000814,-237499999,-211898898,-271976688,-182000000,-277000000,-213000000,-485000000,-309000000,-203000000,73000000,-164000000,-192000000,-256000000,-142000000,-204000000,-141000000
20,Income Before Tax,- -,362600429,464000000,207701100,274901020,272499204,96100094,335599639,210699544,234199326,-80900512,329200516,258620689,196000000,220000000,449000000,-443000000,-12000000,239000000,221000000,314000000,-54000000,-96000000,193000000,-303000000,-380000000
21,Income Before Tax Ratio,- -,0.2151,0.2802,0.2018,0.0981,0.0553,0.0557,0.1338,0.0742,0.0825,-0.0289,0.1186,0.0832,0.0708,0.0780,0.1686,-0.1958,-0.0052,0.0911,0.0975,0.1310,-0.0234,-0.0427,0.0822,-0.1442,-0.1397
22,Income Tax expense (Gain),- -,180000000,202000000,105500579,128500300,89899713,18100409,78400103,50099592,47399698,-125800326,20400238,23069451,15000000,1000000,106000000,103000000,-8000000,7000000,105000000,38000000,64000000,-6000000,17000000,-50000000,45000000
23,Net Income,181000000,182600429,211399381,191600116,292600480,227699777,210799496,257199536,170200384,198799860,44899814,308800278,235551238,181000000,219000000,305000000,-583000000,-33000000,182000000,22000000,169000000,-160000000,-198000000,82000000,-287000000,-537000000
24,Net Income ratio,0.1149,0.1083,0.1277,0.1861,0.1044,0.0462,0.1223,0.1025,0.0600,0.0700,0.0161,0.1113,0.0758,0.0653,0.0777,0.1145,-0.2577,-0.0144,0.0694,0.0097,0.0705,-0.0694,-0.0880,0.0349,-0.1366,-0.1974
25,EPS,1.14,1.14,1.30,0.89,1.66,1.27,1.12,1.26,0.88,1.01,0.22,1.53,1.18,0.90,1.00,1.31,-2.61,-0.27,0.52,-0.09,0.41,-0.66,-0.86,0.18,-1.22,-1.95
26,EPS Diluted,1.14,1.14,1.28,0.89,1.63,1.25,1.12,1.26,0.88,1.01,0.22,1.53,1.18,0.90,1.00,1.31,-2.61,-0.27,0.52,-0.09,0.41,-0.66,-0.86,0.18,-1.22,-1.95
27,Weighted Average Shares Outstanding,158771930,159700000,161250000,169500000,168800000,168900000,169600000,185300000,192700000,196800000,200800000,202500000,199000000,201000000,219000000,222000000,235000000,264000000,273000000,280000000,288000000,288000000,287000000,283000000,275000000,275000000
28,Weighted Average Shares Outstanding Diluted,158771930,159700000,161250000,169500000,168800000,168900000,169600000,185300000,192700000,196800000,200800000,202500000,199000000,201000000,219000000,222000000,235000000,264000000,273000000,280000000,288000000,288000000,287000000,283000000,275000000,275000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1144800/000113717104000383/0001137171-04-000383-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000113717105000434/0001137171-05-000434-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1144800/000104746909002775/0001047469-09-002775-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465910009139/0001104659-10-009139-index.html,- -,https://www.sec.gov/Archives/edgar/data/1144800/000110465912015196/0001104659-12-015196-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465913014735/0001104659-13-014735-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1144800/000110465916097917/0001104659-16-097917-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465917013979/0001104659-17-013979-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465918014379/0001104659-18-014379-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000162828019002029/0001628280-19-002029-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000162828020002853/0001628280-20-002853-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,61899929,155199690,75299479,53800240,62000000,143300283,155000644,137099832,79299919,65599953,50899791,49781447,82000000,58000000,49000000,27000000,42000000,43000000,54000000,305000000,314000000,89000000,411000000,703000000,947000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,265000000,391000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,61899929,155199690,75299479,53800240,62000000,143300283,155000644,137099832,79299919,65599953,50899791,49781447,226000000,323000000,440000000,27000000,42000000,43000000,54000000,305000000,314000000,89000000,411000000,703000000,947000000
34,Net Receivables,- -,331699786,302699690,394700521,1473699760,1268000000,468399433,410199665,429100072,593400395,618300326,546399841,541525012,460000000,447000000,546000000,602000000,484000000,450000000,567000000,703000000,933000000,756000000,462000000,583000000,651000000
35,Inventory,- -,50900643,48500000,56199363,91300240,86000000,112700661,46999871,39900408,27699733,52999767,30100308,50995629,90000000,53000000,85000000,82000000,77000000,71000000,219000000,213000000,219000000,242000000,251000000,238000000,167000000
36,Other Current Assets,- -,-1,198701239,88300058,184199160,17000000,287999686,269200052,390399568,225899523,160100187,191100408,270762506,62000000,37000000,53000000,227000000,144000000,290000000,324000000,333000000,243000000,225000000,217000000,378000000,432000000
37,Total Current Assets,- -,444500357,705100619,614499421,1802999400,1433000000,1012400063,881400232,996499880,926299570,897000233,818500348,913064594,838000000,860000000,1124000000,938000000,747000000,854000000,1164000000,1554000000,1709000000,1312000000,1341000000,1902000000,2197000000
38,PP&E,- -,4356200143,4239099071,4749600694,5277099580,2379000000,6035100724,6316900683,6244400048,5545499477,5041900047,5117299633,6021126761,7578000000,7577000000,7288000000,7044000000,7193000000,7238000000,7173000000,6824000000,6578000000,6164000000,6353000000,5963000000,5415000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,434000000,517000000,447000000,447000000,460000000,462000000,465000000,464000000,463000000,464000000,464000000,463000000,463000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333000000,304000000,283000000,284000000,323000000,331000000,369000000,355000000,364000000,373000000,318000000,313000000,256000000
41,Intangible Assets,- -,- -,244199690,217799479,- -,- -,56499843,695399974,534499640,487399698,429600419,334099712,354541039,767000000,821000000,730000000,731000000,783000000,793000000,834000000,819000000,827000000,837000000,782000000,776000000,719000000
42,Investments,- -,- -,- -,- -,- -,37000000,- -,- -,- -,- -,- -,- -,- -,224000000,208000000,193000000,172000000,192000000,- -,- -,- -,- -,- -,- -,100000000,105000000
43,Tax Assets,- -,- -,- -,- -,- -,409000000,- -,- -,- -,- -,- -,- -,- -,204000000,240000000,176000000,50000000,118000000,45000000,71000000,53000000,24000000,28000000,18000000,51000000,64000000
44,Other Non-Current Assets,- -,81499643,201600620,350201100,547000600,3621000000,315599622,526498776,357600192,781501337,1091599487,908800278,525740651,151000000,187000000,249000000,516000000,750000000,903000000,1705000000,1746000000,1166000000,1087000000,1014000000,955000000,726000000
45,Total Non-Current Assets,- -,4437699786,4684899381,5317601273,5824100180,6446000000,6407200189,7538799433,7136499880,6814400512,6563099953,6360199623,6901408451,8924000000,9033000000,8636000000,8513000000,9036000000,8979000000,9783000000,9442000000,8595000000,8116000000,8167000000,7845000000,7029000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4882200143,5390000000,5932100694,7627099580,7879000000,7419600252,8420199665,8132999760,7740700082,7460100186,7178699971,7814473045,9762000000,9893000000,9760000000,9451000000,9783000000,9833000000,10947000000,10996000000,10304000000,9428000000,9508000000,9747000000,9226000000
48,Accounts Payable,- -,484400286,455500000,481500289,1437900420,- -,472200189,547199536,432300216,590300035,441900047,472099513,682370083,521000000,503000000,463000000,495000000,447000000,481000000,334000000,413000000,595000000,497000000,413000000,599000000,689000000
49,Short-Term Debt,- -,273499643,266600619,426600116,552300540,641499522,645399748,303600412,622099832,409499942,786599487,804600258,687226809,31000000,256000000,316000000,607000000,217000000,751000000,87000000,639000000,747000000,148000000,513000000,105000000,844000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,8000000,22000000,6000000,3000000,2000000,3000000,6000000,64000000,10000000,14000000,18000000,8000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,19000000
52,Other Current Liabilities,- -,44700500,47899381,47999132,86199760,1170500478,233800755,90699472,220599952,141200139,174600419,226399842,273190869,291000000,414000000,412000000,283000000,188000000,219000000,432000000,165000000,266000000,228000000,190000000,230000000,379000000
53,Total Current Liabilities,- -,802600429,770000000,956099537,2076400720,1812000000,1351400692,941499420,1275000000,1141000116,1403099953,1503099613,1642787761,843000000,1173000000,1191000000,1385000000,852000000,1451000000,853000000,1217000000,1608000000,873000000,1117000000,935000000,1931000000
54,Long-Term Debt,- -,1966100071,1728500000,1965600405,2121799640,2407000000,2351199245,2978299626,2470200384,2208599837,1971099720,1705500050,2121175328,4411000000,3979000000,3721000000,3610000000,4130000000,3305000000,4408000000,3722000000,2960000000,3119000000,2699000000,3256000000,2423000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,52000000,- -,- -,- -,- -,87000000,14000000,14000000,13000000
56,Deferred Tax Liabilities,- -,88700500,73199690,72500000,349400120,- -,371899591,686699729,703899688,740300035,698599720,636699772,596163186,637000000,630000000,491000000,430000000,459000000,434000000,647000000,712000000,549000000,501000000,472000000,396000000,354000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1217000000,- -,- -,- -,- -,- -,- -,- -,464000000,499000000,730000000,635000000,867000000,765000000,649000000,682000000,802000000,714000000,1144000000,1710000000,1912000000
58,Total Non-Current Liabilities,- -,2054800571,1801699690,2038100405,2471199760,3624000000,2723098836,3664999355,3174100072,2948899872,2669699440,2342199822,2717338514,5512000000,5108000000,4942000000,4726000000,5508000000,4504000000,5704000000,5116000000,4311000000,4421000000,4329000000,5376000000,4702000000
59,Other Liabilities,- -,4377199428,4063298761,4801100983,5811099280,- -,6488698459,8205199021,6942999760,6446899640,5763800093,5222899991,5910636231,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,13000000,15000000,16000000,69000000,18000000,19000000,134000000,100000000
61,Total Liabilities,- -,3124999286,3031599071,3719100115,5416300240,5436000000,5117000315,5481699086,5043899688,4638999884,4497200606,4383799782,4836085478,6355000000,6281000000,6133000000,6111000000,6360000000,5955000000,6557000000,6333000000,5919000000,5294000000,5446000000,6311000000,6633000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000000,562000000,781000000,781000000,942000000,942000000,942000000,942000000,942000000,942000000,942000000,942000000
63,Common Stock,- -,- -,- -,- -,- -,1171000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2726000000,2913000000,2999000000,3075000000,3094000000,3094000000,3059000000,2978000000,2896000000,2901000000
64,Retained Earnings,- -,655199428,706399381,723300058,826900120,838000000,832200189,933900554,910299976,912200256,710000000,762499752,688440991,634000000,533000000,527000000,-358000000,-735000000,-770000000,-1018000000,-933000000,-1209000000,-1496000000,-1455000000,-1826000000,-2453000000
65,Other Comprehensive Income/Loss,- -,-2749099357,-2991699690,-2991699942,-2485000000,-40000000,-18800755,-29000386,-49499640,-66999651,-64500233,-244799881,60709082,126000000,140000000,-102000000,-148000000,-62000000,104000000,353000000,399000000,489000000,481000000,454000000,302000000,146000000
66,Other Total Stockholders Equity,- -,3688200143,4140400928,4104000289,3615499400,473000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,9000000,9000000,9000000,9000000,10000000,11000000,42000000,38000000,46000000
67,Total Stockholders Equity,- -,1594300214,1855100619,1835600405,1957399520,2442000000,2039600252,2460600283,2472699784,2543100361,2427899581,2298500348,2509713453,2929000000,3177000000,3269000000,3010000000,2906000000,3284000000,3361000000,3511000000,3326000000,2997000000,2961000000,2352000000,1582000000
68,Total Liabilities And Stockholders Equity,- -,4719299500,4886699690,5554700520,7373699760,7878000000,7156600567,7942299369,7516599472,7182100245,6925100187,6682300130,7345798931,9284000000,9458000000,9402000000,9121000000,9266000000,9239000000,9918000000,9844000000,9245000000,8291000000,8407000000,8663000000,8215000000
69,Minority Interest,- -,162900643,503300310,377400174,253399820,1000000,262999685,477900296,616400288,558599837,534999999,496399841,468674114,478000000,435000000,358000000,330000000,517000000,594000000,1029000000,1152000000,1059000000,1137000000,1101000000,1084000000,1011000000
70,Total Liabilities & Equity,- -,4882200143,5390000000,5932100694,7627099580,7879000000,7419600252,8420199665,8132999760,7740700082,7460100186,7178699971,7814473045,9762000000,9893000000,9760000000,9451000000,9783000000,9833000000,10947000000,10996000000,10304000000,9428000000,9508000000,9747000000,9226000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1144800/000113717104000383/0001137171-04-000383-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000113717105000434/0001137171-05-000434-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1144800/000104746909002775/0001047469-09-002775-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465910009139/0001104659-10-009139-index.html,- -,https://www.sec.gov/Archives/edgar/data/1144800/000110465912015196/0001104659-12-015196-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465913014735/0001104659-13-014735-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1144800/000110465916097917/0001104659-16-097917-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465917013979/0001104659-17-013979-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465918014379/0001104659-18-014379-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000162828019002029/0001628280-19-002029-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000162828020002853/0001628280-20-002853-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,182600429,211399381,191600116,292600480,227699777,210799496,257199536,170200384,198799860,44899814,308800278,235551238,181000000,219000000,305000000,-583000000,-33000000,182000000,22000000,169000000,-160000000,-198000000,82000000,-287000000,-537000000
74,Depreciation and Amortization,- -,- -,284800310,325500579,321700660,325899395,314800126,378099961,411799856,400900105,437800559,415099811,450461389,493000000,490000000,532000000,564000000,585000000,595000000,605000000,664000000,708000000,710000000,709000000,798000000,719000000
75,Deferred Income Tax,- -,- -,-10399381,-9000289,34100180,39899713,-60399748,27400490,17800576,5599488,-163699907,-33799782,1214182,21000000,28000000,80000000,90000000,-47000000,-26000000,86000000,15000000,-15000000,-34000000,-18000000,-85000000,-11000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,151300929,-6699690,-54800347,-418200360,91099968,-49400378,195500451,25000000,-32300267,-189199674,65699672,210053424,-149000000,28000000,-115000000,-52000000,74000000,73000000,-242000000,73000000,-114000000,-44000000,121000000,89000000,174000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000000,-9000000,-130000000,-23000000,125000000,59000000,-77000000,-23000000,-228000000,58000000,261000000,-79000000,-28000000
79,Inventory,- -,200143,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42000000,31000000,-27000000,1000000,15000000,7000000,-9000000,11000000,-7000000,-21000000,-13000000,6000000,42000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,-51000000,8000000,-152000000,81000000,186000000,-97000000,-130000000,160000000,153000000
81,Other Working Capital,- -,900643,-6699690,-54800347,-418200360,91099968,-49400378,195500451,25000000,-32300267,-189199674,65699672,210053424,- -,- -,35000000,-41000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,172699071,-3900930,-31300638,-31501200,31001274,21901165,-101700374,-11400288,46400744,359799627,91400339,140845071,34000000,46000000,-108000000,501000000,186000000,-28000000,-39000000,-177000000,207000000,386000000,-45000000,187000000,656000000
83,Cash Provided by Operating Activities,- -,506600429,475199690,421999421,198699760,715600127,437700661,756500064,613400528,619399930,489600419,847200318,1038125304,580000000,811000000,694000000,520000000,765000000,796000000,432000000,744000000,626000000,820000000,849000000,702000000,1001000000
84,CAPEX,- -,-336900643,-320800310,-683000579,-795000000,-1246499522,-945799496,-555700116,-365800336,-325499477,-223699907,-599100209,-1006556581,-904000000,-790000000,-483000000,-742000000,-593000000,-521000000,-502000000,-379000000,-389000000,-297000000,-431000000,-500000000,-489000000
85,Acquisitions Net,- -,-2200143,-249199690,-257699653,486900120,-9799427,777900535,-136300399,116499880,- -,-1199907,- -,- -,-766000000,15000000,33000000,3000000,-126000000,224000000,-101000000,- -,422000000,-28000000,-200000000,-134000000,8000000
86,Purchases of Investments,- -,- -,-203100619,-153399885,-9500600,- -,- -,- -,- -,-9299919,- -,- -,- -,-23000000,-29000000,- -,-13000000,-17000000,-2000000,-12000000,-6000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,2400286,- -,16300637,86799640,- -,- -,21599897,- -,- -,- -,- -,- -,29000000,- -,- -,- -,14000000,224000000,- -,- -,6000000,2000000,- -,2000000,- -
88,Other Investing Activites,- -,-3699786,631701238,88998843,25800840,179398280,131699716,135300785,183900888,92699152,-36400279,188999901,424963575,66000000,84000000,-195000000,-335000000,-13000000,-251000000,16000000,37000000,-3000000,-91000000,105000000,-69000000,- -
89,Cash Used for Investing Activites,- -,-340400286,-141399381,-988800637,-205000000,-1076900669,-36199245,-535099833,-65399568,-242100244,-261300093,-410100308,-581593006,-1598000000,-720000000,-615000000,-1048000000,-703000000,-292000000,-573000000,-327000000,87000000,-394000000,-512000000,-687000000,-472000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-796000000,-431000000,-234000000,-314000000,-337000000,-997000000,-771000000,-104000000,-831000000,-1197000000,-117000000,-620000000,-214000000
91,Common Stock Issued,- -,6500357,214300310,305600405,4599580,183500478,1800441,265000644,3400528,19599953,12899581,19500447,14570180,398000000,1000000,269000000,293000000,- -,- -,- -,- -,- -,- -,- -,- -,8000000
92,Common Stock Repurchased,- -,-2900643,- -,-18100405,-23900720,-44399873,-49899276,- -,-2300216,-300000000,- -,-249899692,-129917436,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000000,-68000000,-57000000,-4000000
93,Dividends Paid,- -,- -,-156899381,-174700521,-180499400,-173000637,-150399748,-193800077,-135399568,-99199907,-133900280,-204799881,-212481787,-284000000,-216000000,-206000000,-136000000,-154000000,-181000000,-170000000,-111000000,-86000000,-86000000,-85000000,-86000000,-87000000
94,Other Financing Activites,- -,-142300214,-297900929,379700521,197101080,402599491,-122401637,-272200181,-424500840,-16699616,-122199441,-8600656,-139630889,1735000000,533000000,104000000,661000000,444000000,675000000,1090000000,52000000,214000000,655000000,256000000,1035000000,15000000
95,Cash Used/Provided by Financing Activities,- -,-138700500,-240500000,492500000,-2699460,368699459,-320900220,-200999614,-558800096,-396299570,-243200140,-443799782,-467459932,1053000000,-113000000,-67000000,504000000,-47000000,-503000000,149000000,-163000000,-703000000,-651000000,-14000000,272000000,-282000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-5600405,-12500000,800700,700346,-8700245,-7099832,-2900337,1199907,-7999801,8499271,-3000000,-2000000,2000000,2000000,- -,- -,3000000,-3000000,-1000000,- -,-1000000,5000000,-3000000
97,Net Change In Cash,- -,27499643,93300309,-79900174,-21499700,8199618,81299968,11700373,-17900168,-21900221,-13699907,-14700567,-1214182,32000000,-24000000,14000000,-22000000,15000000,1000000,11000000,251000000,9000000,-225000000,322000000,292000000,244000000
98,Cash at the End of Period,- -,61899929,155199690,75299479,53800240,61999363,143300283,155000644,137099832,79299919,65599953,50899791,49781447,82000000,58000000,49000000,27000000,42000000,43000000,54000000,305000000,314000000,89000000,411000000,703000000,947000000
99,Cash at the Beginning of Period,- -,34400286,61899381,155199653,75299940,53799745,62000315,143300271,155000000,101200140,79299860,65600358,50995629,50000000,82000000,35000000,49000000,27000000,42000000,43000000,54000000,305000000,314000000,89000000,411000000,703000000
100,Free Cash Flow,- -,169699786,154399380,-261001158,-596300240,-530899395,-508098835,200799948,247600192,293900453,265900512,248100109,31568723,-324000000,21000000,211000000,-222000000,172000000,275000000,-70000000,365000000,237000000,523000000,418000000,202000000,512000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1144800/000113717104000383/0001137171-04-000383-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000113717105000434/0001137171-05-000434-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1144800/000104746909002775/0001047469-09-002775-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465910009139/0001104659-10-009139-index.html,- -,https://www.sec.gov/Archives/edgar/data/1144800/000110465912015196/0001104659-12-015196-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465913014735/0001104659-13-014735-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1144800/000110465916097917/0001104659-16-097917-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465917013979/0001104659-17-013979-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000110465918014379/0001104659-18-014379-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000162828019002029/0001628280-19-002029-index.html,https://www.sec.gov/Archives/edgar/data/1144800/000162828020002853/0001628280-20-002853-index.html,- -,- -
102,Forex Rate,0.7294,0.6995,0.6534,0.6915,0.6672,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
