,https://roic.ai/company/YEWB,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
81,Other Working Capital,-1253852,2192348,-1915460,3075983,12226732,26295113,28035364,5327144,1190053,-535726
82,Other Non-Cash Items,9975,-8044642,4089386,-6009285,-24517959,-24394997,-12029704,44388468,12993736,17544711
83,Cash Provided by Operating Activities,4370422,418563,4442824,4115366,-1372369,643031,-2620269,32466961,11953657,17340086
84,CAPEX,-5707411,-706044,-3692695,-2452673,-2049511,-61509,-799070,-32800354,-14681946,-54921
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-5495895,-392136,-3393082,-2439139,-2331268,296419,- -,-1950,12126,-17301176
89,Cash Used for Investing Activites,-5687716,-706044,-3692695,-2447673,-2362765,234910,-799070,-32800354,-14669188,-17356097
90,Debt Repayment,- -,- -,- -,- -,- -,-3022055,-6844634,-9026930,-9059529,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,88119,-63293,-210,-2330828,3965899,1760240,10769345,9053268,11964280,-14478
95,Cash Used/Provided by Financing Activities,88119,-63293,-210,-2330828,3965899,-1261815,3924711,26338,2904751,-14478
96,Effect of Forex Changes on Cash,111058,5224,22871,-8536,-37097,-18743,75467,-31105,31404,-148013
97,Net Change In Cash,-1118117,-345550,772790,-671671,193668,-402617,580839,-338160,220624,-178502
98,Cash at the End of Period,732371,386821,1159611,487940,681608,278991,859830,521670,742294,563792
99,Cash at the Beginning of Period,1850488,732371,386821,1159611,487940,681608,278991,859830,521670,742294
100,Free Cash Flow,-1336989,-287481,750129,1662693,-3421880,581522,-3419339,-333393,-2728289,17285165
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1548240/000121390014001859/0001213900-14-001859-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000121390015002328/0001213900-15-002328-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000121390016012043/0001213900-16-012043-index.html,https://www.sec.gov/Archives/edgar/data/1548240/000121390017003143/0001213900-17-003143-index.html,https://www.sec.gov/Archives/edgar/data/1548240/000121390018003854/0001213900-18-003854-index.html,https://www.sec.gov/Archives/edgar/data/1548240/000121390019007971/0001213900-19-007971-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000121390020012320/0001213900-20-012320-index.htm,https://www.sec.gov/Archives/edgar/data/1548240/000149315221007242/0001493152-21-007242-index.htm
102,false,,,,,,,,,,
