,https://roic.ai/company/STKS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4669,0.0939,0.1145,-0.2305,-0.0529,0.0382,0.1726,-0.1340,0.1131
25,EPS,-0.01,-0.01,-0.01,-0.01,-0.04,-0.03,-1.48,0.19,0.28,-0.67,-0.16,0.12,0.73,-0.44,1.01
26,EPS Diluted,-0.01,-0.01,-0.01,-0.01,-0.04,-0.03,-1.48,0.18,0.28,-0.67,-0.16,0.12,0.70,-0.44,0.93
27,Weighted Average Shares Outstanding,2865600,1320100,2054607,2077315,8229243,12593725,14548663,25127196,25147447,25078113,25402330,27653827,28454385,28909963,31155224
28,Weighted Average Shares Outstanding Diluted,2865600,1320100,2054607,2077315,8229243,12593725,14548663,25127196,25147447,25078113,25402330,28122445,29636219,28909963,33794344
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1399520/000114420408011681/0001144204-08-011681-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420409016222/0001144204-09-016222-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420410020072/0001144204-10-020072-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420411016380/0001144204-11-016380-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420412018079/0001144204-12-018079-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420413018768/0001144204-13-018768-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420414019719/0001144204-14-019719-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000162828015002054/0001628280-15-002054-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000162828016013936/0001628280-16-013936-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000162828017003354/0001628280-17-003354-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420418020953/0001144204-18-020953-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420419016710/0001144204-19-016710-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000155837020003189/0001558370-20-003189-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000155837021003244/0001558370-21-003244-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000155837022003762/0001558370-22-003762-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1844000,582000,6559,612,- -,- -,11681086,7905004,1841872,1597782,1548000,1592000,12344000,24385000,23614000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1844000,582000,6559,612,- -,- -,11681086,7905004,1841872,1597782,1548000,1592000,12344000,24385000,23614000
34,Net Receivables,- -,- -,- -,- -,- -,- -,3169034,5565530,6877374,6054199,5772000,7269000,10692000,5777000,11732000
35,Inventory,- -,- -,- -,- -,- -,- -,978392,1139305,1152119,1308851,1402000,1404000,3058000,2490000,3915000
36,Other Current Assets,- -,- -,- -,4500,22000,22000,832951,1937392,2082551,1133183,1041000,1276000,1047000,1724000,3666000
37,Total Current Assets,1844000,582000,6559,5112,22000,22000,16661463,16547231,11953916,10094015,9763000,11541000,27141000,34376000,42927000
38,PP&E,- -,- -,- -,- -,- -,- -,13445413,18815625,27952327,36815239,37811000,39347000,151580000,67344000,155033000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16313000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17183000,16313000,15505000
42,Investments,- -,- -,- -,- -,- -,28780000,2539272,2802443,2910362,3065557,2957000,2684000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,232694,35418,10093672,51031,69000,38000,7751000,- -,12313000
44,Other Non-Current Assets,- -,- -,- -,- -,28750000,- -,2318089,3161424,3136033,2865773,2415000,2369000,2930000,- -,4057000
45,Total Non-Current Assets,- -,- -,- -,- -,28750000,28780000,18535468,24814910,44092394,42797600,43252000,44438000,179444000,83657000,186908000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1844000,582000,6559,5112,28772000,28802000,35196931,41362141,56046310,52891615,53015000,55979000,206585000,118033000,229835000
48,Accounts Payable,- -,854000,1735,- -,54000,3000,2706027,3433198,2501622,3761823,5329000,5408000,8274000,7404000,11094000
49,Short-Term Debt,- -,- -,- -,- -,- -,734000,4588708,1580598,3653870,3833604,3241000,3201000,749000,10645000,5896000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,27527,127950,204033,722531,1114000,1118000,3515000,207000,2119000
52,Other Current Liabilities,13451000,24536000,53677,84406,751000,491000,3165186,2024312,4735584,5549638,7243000,8093000,15595000,22491000,23155000
53,Total Current Liabilities,13451000,25390000,55412,84406,805000,1228000,10487448,7166058,11095109,13867596,16927000,17820000,28133000,40747000,42264000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,5980000,9956647,13167867,10115000,7118000,45226000,588000,126748000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1099570,1109635,1222000,1008000,1036000,- -,298000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,16482847,15743386,14290010,17367980,18198000,17971000,98278000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,16482847,21723386,25346227,31645482,29535000,26097000,144540000,588000,127046000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153431000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102675000,103386000,109012000
61,Total Liabilities,13451000,25390000,55412,84406,805000,1228000,26970295,28889444,36441336,45513078,46462000,43917000,172673000,193590000,169310000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,200000,200000,206,206,1000,1000,2495,2494,2497,2505,3000,3000,3000,3000,3000
64,Retained Earnings,- -,- -,-79781,-110222,-403000,-796000,-22635560,-18005401,-11074708,-27763194,-31979000,-28722000,-7891000,- -,10632000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-12263184,-13833271,-15476430,-2000000,-2000000,-2000000,-3000000,-2646000,-2645000
66,Other Total Stockholders Equity,- -,- -,30722,30722,28369000,28369000,42815242,44569186,46834313,37840292,41451000,43233000,45202000,25822000,53207000
67,Total Stockholders Equity,-11607000,-24808000,-48853,-79294,27967000,27574000,7918993,12733008,20285672,8079603,7475000,12514000,34314000,23179000,61197000
68,Total Liabilities And Stockholders Equity,1844000,582000,6559,5112,28772000,28802000,34889288,41622452,56727008,53592681,53937000,56431000,206987000,216769000,230507000
69,Minority Interest,- -,- -,- -,- -,- -,- -,307643,-260311,-680698,-701066,-922000,-452000,-402000,-98736000,-672000
70,Total Liabilities & Equity,1844000,582000,6559,5112,28772000,28802000,35196931,41362141,56046310,52891615,53015000,55979000,206585000,118033000,229835000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1399520/000114420408011681/0001144204-08-011681-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420409016222/0001144204-09-016222-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420410020072/0001144204-10-020072-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420411016380/0001144204-11-016380-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420412018079/0001144204-12-018079-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420413018768/0001144204-13-018768-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420414019719/0001144204-14-019719-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000162828015002054/0001628280-15-002054-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000162828016013936/0001628280-16-013936-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000162828017003354/0001628280-17-003354-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420418020953/0001144204-18-020953-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420419016710/0001144204-19-016710-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000155837020003189/0001558370-20-003189-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000155837021003244/0001558370-21-003244-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000155837022003762/0001558370-22-003762-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-28656000,-13201000,-24973,-30441,-293000,-393000,-21469214,4630159,6930693,-16688486,-4216000,3274000,20831000,-19023000,31348000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1669823,1438728,2191450,2647333,3051000,2824000,5404000,10114000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,116688,197276,-10058254,10042641,-25000,31000,-11757000,-5475000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,55546,538954,811658,837995,1052000,1313000,1306000,1773000,- -
77,Change in Working Capital,- -,-13201000,24759147,-30441,-703706,-423000,7380015,3207158,-8522366,-4632388,-3390419,885000,5287000,-5379000,7034000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,470179,-1484642,-343426,-826374,-684000,-1209000,-2385000,4378000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,387789,-160913,-12814,-156732,-94000,-2000,-541000,568000,- -
80,Accounts Payable,- -,854000,881,-1735,- -,242000,-1699823,727171,-931577,907648,1627000,79000,926000,-939000,- -
81,Other Working Capital,-11607000,-24808000,-48853,-79294,-783000,-1206000,6174015,9381173,858807,-3773581,-7164000,-6279000,-992000,-6371000,663000
82,Other Non-Cash Items,500000,15140000,-24755625,28553,995706,846000,6257250,-8099741,10689252,9895125,9515419,-1883000,-12711000,18421000,-38382000
83,Cash Provided by Operating Activities,-28156000,-11262000,-21451,-32329,-1000,30000,-5989892,1912534,2042433,2102220,5987000,6444000,8360000,431000,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,-1446319,-7276180,-13582852,-10609838,-4610000,-4102000,-4357000,-5787000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,343363,- -,- -,- -,- -,600000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-28750000,- -,-6345896,-109337,930936,519095,276000,40000,-40000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-28750000,-30000,-7448852,-7385517,-12651916,-10090743,-4334000,-3462000,-30397000,-5787000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-11262441,-6966056,-1559282,-2721872,-4100000,-3244000,-28517000,-752000,- -
91,Common Stock Issued,- -,- -,928,- -,28750000,- -,13251514,- -,- -,3862990,2183000,1223000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1383407,-977867,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10000000,26500,26382,- -,- -,23408940,9937946,6297243,6900574,979000,-163000,61638000,18176000,- -
95,Cash Used/Provided by Financing Activities,- -,10000000,27428,26382,28750000,- -,24014606,1994023,4737961,8041692,-938000,-2184000,33121000,17424000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,61494,-297122,-191610,-297259,-85000,-754000,-332000,-27000,- -
97,Net Change In Cash,-28156000,-1262000,5977,-5947,- -,- -,10637356,-3776082,-6063132,-244090,630000,44000,10752000,12041000,- -
98,Cash at the End of Period,1844000,582000,6559,612,- -,- -,11681086,7905004,1841872,1597782,1548000,1592000,12344000,24385000,- -
99,Cash at the Beginning of Period,30000000,1844000,582,6559,1000,- -,1043730,11681086,7905004,1841872,918000,1548000,1592000,12344000,24385000
100,Free Cash Flow,-28156000,-11262000,-21451,-32329,-1000,30000,-7436211,-5363646,-11540419,-8507618,1377000,2342000,4003000,-5356000,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1399520/000114420408011681/0001144204-08-011681-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420409016222/0001144204-09-016222-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420410020072/0001144204-10-020072-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420411016380/0001144204-11-016380-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420412018079/0001144204-12-018079-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420413018768/0001144204-13-018768-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420414019719/0001144204-14-019719-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000162828015002054/0001628280-15-002054-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000162828016013936/0001628280-16-013936-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000162828017003354/0001628280-17-003354-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420418020953/0001144204-18-020953-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000114420419016710/0001144204-19-016710-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000155837020003189/0001558370-20-003189-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000155837021003244/0001558370-21-003244-index.htm,https://www.sec.gov/Archives/edgar/data/1399520/000155837022003762/0001558370-22-003762-index.htm
102,false,,,,,,,,,,,,,,,
