,https://roic.ai/company/HALO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-39652,-64463,- -,- -,-13275373,- -,- -,-48717199,-58360523,-53241650,- -,-53552002,-83478551,-68375000,-32231000,-101861000,61610000,-79793000,-72251000,129302000,248518000
21,Income Before Tax Ratio,-1.6063,-0.7345,- -,- -,-104.3588,- -,- -,-5.5587,-4.2688,-3.9079,- -,-1.2653,-1.5233,-0.9076,-0.2386,-0.6944,0.1946,-0.5254,-0.3686,0.4832,0.5606
22,Income Tax expense (Gain),- -,800,- -,- -,- -,- -,- -,-63000,- -,- -,- -,- -,- -,- -,- -,1162000,-1361000,537000,-11000,217000,-154192000
23,Net Income,-39652,-65263,-79091,-9091376,-13275373,-14751986,-23896183,-48654199,-58360523,-53241650,-19769851,-53552002,-83478551,-68375000,-32231000,-103023000,62971000,-80330000,-72240000,129085000,402710000
24,Net Income ratio,-1.6063,-0.7436,-3.0769,-Infinity,-104.3588,-15.0263,-6.2893,-5.5515,-4.2688,-3.9079,-0.3525,-1.2653,-1.5233,-0.9076,-0.2386,-0.7023,0.1989,-0.5290,-0.3686,0.4824,0.9084
25,EPS,-0.03,-0.04,-0.01,-0.26,-0.26,-0.24,-0.32,-0.61,-0.67,-0.56,-0.19,-0.48,-0.74,-0.56,-0.25,-0.81,0.46,-0.56,-0.50,0.95,2.84
26,EPS Diluted,-0.03,-0.04,-0.01,-0.26,-0.26,-0.24,-0.32,-0.61,-0.67,-0.56,-0.19,-0.48,-0.74,-0.56,-0.25,-0.81,0.45,-0.56,-0.50,0.91,2.75
27,Weighted Average Shares Outstanding,1199450,1691300,8196362,35411127,50317021,62610265,74317930,79843707,86700094,94357695,102566089,111077105,112805439,122690000,126704000,127964000,136419000,143599000,144329000,136206000,142021000
28,Weighted Average Shares Outstanding Diluted,1199450,1691300,8196362,35411127,50317021,62610265,74317930,79843707,86700094,94357695,102566089,111077105,112805439,122690000,126704000,127964000,139068000,143599000,144329000,141463000,146690000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1159036/000093639205000055/0000936392-05-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000093639206000262/0000936392-06-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000093639207000182/0000936392-07-000182-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000093639208000196/0000936392-08-000196-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000095013409005273/0000950134-09-005273-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000095012310023869/0000950123-10-023869-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000095012311024465/0000950123-11-024465-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000119312512107555/0001193125-12-107555-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000148381313000033/0001483813-13-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903614000033/0001159036-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903615000041/0001159036-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903616000100/0001159036-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903617000014/0001159036-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903618000011/0001159036-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903619000006/0001159036-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903620000013/0001159036-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903621000014/0001159036-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903622000014/0001159036-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26127,97249,47517,16007714,19132194,44189403,97679085,63715906,67464506,83255848,52825527,99901264,27356947,61389000,43292000,66764000,168740000,57936000,120179000,147703000,118719000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44145697,74234000,65047000,138217000,300474000,296590000,301083000,220310000,622203000
33,Cash and Short-Term Investments,26127,97249,47517,16007714,19132194,44189403,97679085,63715906,67464506,83255848,52825527,99901264,71502644,135623000,108339000,204981000,469214000,354526000,421262000,368013000,740922000
34,Net Receivables,- -,- -,- -,- -,413829,533387,779825,7264410,4243909,2328268,2262465,15703087,9097084,9149000,32410000,15680000,22133000,30005000,59442000,97730000,90975000
35,Inventory,- -,- -,- -,51821,278958,442492,703468,441323,1159551,193422,567263,2670696,6169982,6406000,9489000,14623000,5146000,22625000,29359000,60747000,53908000
36,Other Current Assets,- -,- -,- -,86087,281191,428268,2014680,2591149,1573777,3720896,8332242,12752888,8425684,10143000,21534000,21248000,13879000,20693000,33373000,28274000,40482000
37,Total Current Assets,26127,97249,47517,16145622,20106172,45593550,101177058,74012788,74441743,89498434,63987497,131027935,95195394,161321000,171772000,256532000,510372000,427849000,543436000,554764000,926287000
38,PP&E,- -,- -,- -,235505,381248,497770,2283316,2549925,2708016,1846899,1771048,3700462,3421506,2951000,3943000,4264000,3520000,7465000,10855000,10593000,8794000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155434000
44,Other Non-Current Assets,- -,- -,- -,22544,22835,- -,- -,- -,- -,- -,- -,- -,3175692,1705000,6074000,719000,6053000,4934000,11583000,14567000,13914000
45,Total Non-Current Assets,- -,- -,- -,258049,404083,497770,2283316,2549925,2708016,1846899,1771048,3700462,6597198,4656000,10017000,4983000,9573000,12399000,22438000,25160000,178142000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26127,97249,47517,16403671,20510255,46091320,103460374,76562713,77149759,91345333,65758545,134728397,101792592,165977000,181789000,261515000,519945000,440248000,565874000,579924000,1104429000
48,Accounts Payable,- -,- -,32701,1487243,1379932,2017395,3055637,6668791,2820491,3820368,7556859,2271689,3134757,3003000,4499000,3578000,7948000,4079000,6434000,1928000,1541000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21862000,17393000,77211000,91506000,19542000,397228000,89419000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,254138,1221992,3306225,3553730,5492604,2917129,4129407,8891017,7397829,7367000,9304000,4793000,6568000,4247000,4012000,1746000,1746000
52,Other Current Liabilities,3289,10434,4752,92170,669298,1011153,2502259,3995897,6083854,8605569,5615574,7783447,14920446,13961000,26792000,28821000,39601000,49529000,55649000,20483000,24441000
53,Total Current Liabilities,3289,10434,37453,1579413,2303368,4250540,8864121,14218418,14396949,15343066,17301840,18946153,25453032,24331000,62457000,54585000,131328000,149361000,85637000,421385000,117147000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29661680,49771737,49860000,27971000,199228000,125140000,34874000,383045000,- -,787255000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,54989588,55176422,37556589,34954966,45745449,47267000,43919000,39825000,54297000,5008000,1247000,4026000,2530000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,18759545,36828329,46964299,859833,474389,- -,2311879,813050,3167000,4443000,358000,814000,2118000,4180000,3466000,544000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,18759545,36828329,46964299,55849421,55650811,37556589,66928525,96330236,100294000,76333000,239411000,180251000,42000000,388472000,7492000,790329000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1450000,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3289,10434,37453,1579413,2303368,23010085,45692450,61182717,70246370,70993877,54858429,85874678,121783268,124625000,138790000,293996000,311579000,191361000,474109000,428877000,907476000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1283,1917,8196,49202,60247,68737,77904,81554,91682,100581,103990,112709,114534,126000,128000,130000,143000,145000,137000,135000,138000
64,Retained Earnings,-39652,-104915,-184006,-13071881,-26347254,-41099240,-64995423,-113649622,-172010145,-225251795,-245021646,-298573648,-382052199,-450427000,-482658000,-585342000,-522371000,-531438000,-603678000,-474593000,-58912000
65,Other Comprehensive Income/Loss,- -,- -,- -,-332240,-532013,-704547,-1033189,-2042882,-3445355,-4676017,-5745903,-6680627,-7649228,-9219000,-10318000,-11919000,-13890000,-16239000,-10742000,22000,-620000
66,Other Total Stockholders Equity,61207,189813,185874,28179177,45025907,64816285,123718632,130990946,182267207,250178687,261563675,353995285,369596217,500872000,535847000,564650000,744484000,796419000,706048000,625483000,256347000
67,Total Stockholders Equity,22838,86815,10064,14824258,18206887,23081235,57767924,15379996,6903389,20351456,10900116,48853719,-19990676,41352000,42999000,-32481000,208366000,248887000,91765000,151047000,196953000
68,Total Liabilities And Stockholders Equity,26127,97249,47517,16403671,20510255,46091320,103460374,76562713,77149759,91345333,65758545,134728397,101792592,165977000,181789000,261515000,519945000,440248000,565874000,579924000,1104429000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,26127,97249,47517,16403671,20510255,46091320,103460374,76562713,77149759,91345333,65758545,134728397,101792592,165977000,181789000,261515000,519945000,440248000,565874000,579924000,1104429000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1159036/000093639205000055/0000936392-05-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000093639206000262/0000936392-06-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000093639207000182/0000936392-07-000182-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000093639208000196/0000936392-08-000196-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000095013409005273/0000950134-09-005273-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000095012310023869/0000950123-10-023869-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000095012311024465/0000950123-11-024465-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000119312512107555/0001193125-12-107555-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000148381313000033/0001483813-13-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903614000033/0001159036-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903615000041/0001159036-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903616000100/0001159036-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903617000014/0001159036-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903618000011/0001159036-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903619000006/0001159036-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903620000013/0001159036-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903621000014/0001159036-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903622000014/0001159036-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-39652,-65263,-79091,-9091376,-13275373,-14751986,-23896183,-48654199,-58360523,-53241650,-19769851,-53552002,-83478551,-68375000,-32231000,-103023000,62971000,-80330000,-72240000,129085000,402710000
74,Depreciation and Amortization,- -,- -,- -,123350,206348,243999,576491,1047878,1443738,1507925,1095823,1079424,1226927,1762000,1677000,2410000,2161000,2388000,4068000,3284000,2997000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155434000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,4526030,4866325,5569899,8348587,9538056,15274000,20838000,25585000,30670000,35696000,34776000,17204000,20820000
77,Change in Working Capital,3289,63977,-76751,14556145,3236595,23540206,50969927,-32518567,250424,14110574,-27469711,65396125,-42339420,67247638,-27675000,92632000,177097000,-100556000,179311000,-324420000,3738000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,3020501,1915641,65803,-13440622,6606003,-52000,-23261000,16730000,-6453000,11613000,-29437000,-38288000,6755000
79,Inventory,- -,- -,- -,-51821,-227136,-163534,-260976,262145,-718228,966129,-373841,-2103433,-3499286,-236000,-3083000,-5134000,9477000,-17480000,-6734000,-31388000,7371000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,22838,86815,10064,14566209,17802804,41343010,92312937,59794370,60044794,74155368,46685657,112081782,69742362,136990000,109315000,201947000,379044000,278488000,457799000,133379000,- -
82,Other Non-Cash Items,1990,-54492,106110,-13305775,-3163799,-1952656,-27797895,44751024,11992066,-12628680,6223415,-85601430,65713509,-63426638,308000,-67987000,-138846000,93302000,-231338000,230301000,24609000
83,Cash Provided by Operating Activities,-34373,-55778,-49732,-7717656,-12996229,7079563,-147660,-35373864,-40148265,-45385506,-34350425,-64329296,-49339479,-47518000,-37083000,-50383000,134053000,-49500000,-85423000,55454000,299440000
84,CAPEX,- -,- -,- -,-227951,-350891,-364799,-2365326,-1159744,-1461021,-646544,-828508,-1412585,-2297518,-1368000,-2360000,-3137000,-1350000,-4663000,-4040000,-2504000,-1457000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48946616,-88884000,-71482000,-155412000,-398187000,-311112000,-389759000,-226185000,-652515000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3375000,57301000,79730000,81783000,235805000,318268000,388250000,305967000,247683000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1076000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-227951,-350891,-364799,-2365326,-1159744,-1461021,-646544,-828508,-1412585,-47869134,-32951000,5888000,-76766000,-163732000,2493000,-5549000,78354000,-406289000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54250000,-15995000,-77516000,-108082000,-19560000,-369064000
91,Common Stock Issued,60500,126900,- -,15579595,16471600,18342445,56002668,2570429,38174371,59965059,- -,81476845,- -,107713000,- -,- -,134874000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199998000,-150117000,-350058000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,7870146,- -,- -,- -,- -,7183515,1858333,4748612,31340773,25064296,6788000,13098000,204871000,12776000,13719000,461295000,63393000,796987000
95,Cash Used/Provided by Financing Activities,60500,126900,- -,23449741,16471600,18342445,56002668,2570429,45357886,61823392,4748612,112817618,25064296,114501000,13098000,150621000,131655000,-63797000,153215000,-106284000,77865000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,71122,-49732,15504134,3124480,25057209,53489682,-33963179,3748600,15791342,-30430321,47075737,-72144317,34032000,-18097000,23472000,101976000,-110804000,62243000,27524000,-28984000
98,Cash at the End of Period,26127,97249,47517,16007714,19132194,44189403,97679085,63715906,67464506,83255848,52825527,99901264,27356947,61389000,43292000,66764000,169240000,58436000,120679000,148203000,119219000
99,Cash at the Beginning of Period,- -,26127,97249,503580,16007714,19132194,44189403,97679085,63715906,67464506,83255848,52825527,99501264,27357000,61389000,43292000,67264000,169240000,58436000,120679000,148203000
100,Free Cash Flow,-34373,-55778,-49732,-7945607,-13347120,6714764,-2512986,-36533608,-41609286,-46032050,-35178933,-65741881,-51636997,-48886000,-39443000,-53520000,132703000,-54163000,-89463000,52950000,297983000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1159036/000093639205000055/0000936392-05-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000093639206000262/0000936392-06-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000093639207000182/0000936392-07-000182-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000093639208000196/0000936392-08-000196-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000095013409005273/0000950134-09-005273-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000095012310023869/0000950123-10-023869-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000095012311024465/0000950123-11-024465-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000119312512107555/0001193125-12-107555-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000148381313000033/0001483813-13-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903614000033/0001159036-14-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903615000041/0001159036-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903616000100/0001159036-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903617000014/0001159036-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903618000011/0001159036-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903619000006/0001159036-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903620000013/0001159036-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903621000014/0001159036-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1159036/000115903622000014/0001159036-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
