,https://roic.ai/company/ABST,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-0.4217,-0.3140,-0.3956,-0.2958,-0.1847,-0.3111,-0.0840,0.0047,0.0262,0.0306,0.0684,0.0880,0.1855,-0.0220,0.0305,0.1123,0.1456,0.0361
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-1434266,-144514,-614636,-75804,1375516,-12315718,2626793,1534300,3369249,804217,2650800,3626400,6744000,2944000,-251000,3531000,4607000,625000
23,Net Income,-3951546,-4497035,-3386800,-3698287,-2968793,-974624,-2051780,-3536585,-5519599,-8244760,-1945558,-7735396,-1184734,-1415886,1738452,3571852,4615295,9728682,-4951177,3110853,7579150,10634709,3732000
24,Net Income ratio,-5.1576,-3.2344,-1.3807,-1.1413,-0.6141,-0.1706,-0.2934,-0.3370,-0.2918,-0.2217,-0.0424,-0.1273,-0.0159,-0.0190,0.0209,0.0393,0.0493,0.1096,-0.0543,0.0332,0.0766,0.1016,0.0309
25,EPS,-0.25,-0.19,-0.08,-0.09,-0.09,-0.03,-0.06,-0.08,-0.12,-0.18,-0.04,-0.17,-0.03,-0.03,0.04,0.08,0.10,0.24,-0.13,0.08,0.19,0.25,0.08
26,EPS Diluted,-0.25,-0.19,-0.08,-0.09,-0.09,-0.03,-0.06,-0.08,-0.12,-0.18,-0.04,-0.17,-0.03,-0.03,0.04,0.08,0.10,0.23,-0.13,0.08,0.18,0.24,0.07
27,Weighted Average Shares Outstanding,15618292,23698624,40622920,39789924,35480568,32115688,35061416,42820592,44995664,47160094,47057386,46346964,44983784,43428911,42345547,43046927,44274894,40486922,39082732,40028465,40869474,42137720,47131785
28,Weighted Average Shares Outstanding Diluted,15618292,40558066,40622920,39960920,36682940,32115688,35061416,42820592,44995664,47160094,47057386,46346964,44983784,43428911,42345547,43046927,44274894,42298617,39082732,40028465,42106389,44746451,49916511
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,3637883,2265543,9614716,3573578,7308131,45647769,48303548,26637749,29741475,46111648,31114998,40928539,44105550,23092852,32511093,33956988,18690539,29727498,140166000
32,Short-Term Investments,- -,- -,- -,- -,2869922,1987106,109228,11403208,25473901,10304743,7531643,6090703,6935724,7942934,13165606,17537492,17795777,11637085,366789,372316,17108226,17350152,360000
33,Cash and Short-Term Investments,- -,- -,- -,- -,6507805,4252649,9723945,14976786,32782032,55952511,55835191,32728452,36677198,54054582,44280604,58466031,61901327,34729937,32877882,34329304,35798765,47077650,140526000
34,Net Receivables,- -,- -,- -,- -,1175739,1983800,3372954,5542245,10949986,18074996,13412102,13175447,16106378,18105369,18196955,21979235,20900965,21138351,19544359,17648099,29494510,29102004,32737000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,245324,991968,1866603,3934833,7061196,9317491,13119453,14317708,16424099,2010165,1712988,1917665,5575533,2379234,2419881,2455977,3088082,10042522,6059000
37,Total Current Assets,- -,- -,- -,- -,7928868,7228417,14963502,24453864,50793214,83344998,82366746,60221607,69207675,74170116,64190547,82362931,88377825,58247522,54842122,54433380,68381357,86222176,179322000
38,PP&E,- -,- -,- -,- -,732066,663684,645209,642027,1131063,1936533,2277682,2612912,2183439,1561495,1294249,1987544,2846511,5853222,6304152,5962829,6156814,14745254,14596000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,458713,360098,251080,110061,- -,- -,18256872,20833958,17435582,13202372,14282262,13794518,12216129,- -,-44444834,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,458713,360098,251080,110061,19426811,15550558,18256872,21933958,18535582,14302372,15382262,14894518,13316129,1100000,- -,1100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3511100,22320157,18827084,15875256,18639550,15115005,23857518,12821302,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,1234616,1322083,1270041,1293701,1486510,9544832,9779891,10724831,19848221,20340047,19801047,20506391,22353391,22286804,23318605,22359165,- -,31339000
44,Other Non-Current Assets,- -,- -,- -,- -,381585,607998,1281948,2829976,5575492,14212045,3243651,3551894,3965106,- -,- -,- -,- -,- -,- -,- -,5313496,29221590,6271000
45,Total Non-Current Assets,- -,- -,- -,- -,1113651,2506298,3249240,5200757,8360354,17886167,18687326,57691664,51251016,55541844,62207804,55439178,61512792,56410177,43485474,42597563,34929475,43966844,53306000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,9042519,9734715,18212742,29654620,59153568,101231165,101054072,117913271,120458691,129711960,126398351,137802109,149890617,114657699,98327596,97030943,103310832,130189020,232628000
48,Accounts Payable,- -,- -,- -,- -,557010,546387,1319972,1817798,2040248,6131795,5836139,9403117,10452915,7016921,4308725,4398069,6000276,6533633,3968295,5108414,6540760,4173555,14051000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1724730,2908000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1356648,1494166,- -,- -,382414,395186,2344227,6300656,333431,697868,307798,635990,256000
51,Deferred Revenue,- -,- -,- -,- -,4038222,4639204,6585818,11377196,23939124,40946629,40120488,49721654,57154341,63173264,68093937,71144393,68745515,72464399,72361648,75325574,77357054,83045649,97004000
52,Other Current Liabilities,- -,- -,- -,- -,0,59661,445934,1227943,4308819,5353226,5911986,5955685,4602327,2247949,5054957,6417441,21710108,13860216,9681161,9245209,11912887,14135885,16384000
53,Total Current Liabilities,- -,- -,- -,- -,4595232,5245252,8351725,14422938,30288192,52431650,51868613,65080456,72209583,72438134,77457619,81959903,96455899,92858248,86011104,89679197,95810701,103079819,130347000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8960000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47763009,55750266,62038434,62542619,65818337,66571210,65509763,66040653,63861112,58115799,- -,66879000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,3150732,4248576,7331912,14246718,30229150,51647748,47583768,7566336,6154072,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,3150732,4248576,7331912,14246718,30229150,51647748,47583768,55329345,61904339,62038434,62542619,65818337,66571210,65509763,66040653,63861112,58115799,- -,75839000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,14663823,28493436,- -,- -,- -,- -,123808677,- -,- -,- -,- -,- -,- -,- -,- -,70170730,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10135831,11868000
61,Total Liabilities,- -,- -,- -,- -,7745964,9493828,15683636,28669655,60517341,104079398,99452381,120409802,134113921,134476568,140000238,147778240,163027109,158368011,152051757,153540309,153926500,173250549,206186000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41690749,52403258,59607392,58607382,64875130,68362445,76778014,81890311,151521000
64,Retained Earnings,- -,- -,- -,- -,-26378808,-27390342,-31854279,-38547541,-45430814,-55760088,-57670416,-72017352,-92302079,-79141256,-91835556,-97520919,-108066367,-139049869,-154354741,-161484035,-163778642,-163211835,-171492000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,4906149,4531716,5023527,-578191,-3319126,-4282683,-4840938,-6694636,-9119186,35751185,36542921,35141530,35322483,36732175,36254893,36972197,36744933,38523835,46677000
66,Other Total Stockholders Equity,- -,- -,- -,- -,29076368,29328561,36526388,42175498,47386166,57194539,64113044,76215458,87766035,83955228,- -,- -,- -,- -,-499443,-359973,-359973,-263840,-264000
67,Total Stockholders Equity,- -,- -,- -,- -,1296555,240886,2529105,984965,-1363774,-2848232,1601691,-2496531,-13655231,-4764608,-13601886,-9976131,-13136492,-43710312,-53724161,-56509366,-50615668,-43061529,26442000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,9042519,9734715,18212742,29654620,59153568,101231165,101054072,117913271,120458691,129711960,126398352,137802109,149890617,114657699,98327596,97030943,103310832,130189020,232628000
69,Minority Interest,- -,- -,- -,- -,- -,-0,0,0,-0,-0,-0,0,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,9042519,9734715,18212742,29654620,59153568,101231165,101054072,117913271,120458691,129711960,126398351,137802109,149890617,114657699,98327596,97030943,103310832,130189020,232628000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3951546,-4497035,-3386800,-3698287,-2968793,-974624,-2051780,-3536585,-5519599,-8244760,-1945558,-7735396,-1184734,-1415886,1738452,3571852,4615295,9728682,-4951177,3110853,7579150,10634709,3732000
74,Depreciation and Amortization,182691,209275,147983,264112,264031,265006,293834,407954,665543,924909,1176981,3893750,7483310,12258539,13071645,13166167,12238418,10808352,12193397,12397089,3416488,5315158,5706000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1434266,-144514,-614636,-75804,- -,-16256456,1436203,-151778,997249,-491826,539000,-705344,-1847000,66587,-1031801,959440,80420,-3679000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13603289,1978918,2874385,2478178,2295051,1897005,2974943,4262364,3971161,2335070,4973885,6771585,10359000
77,Change in Working Capital,250710,1173503,1234595,670068,1725320,-126886,2896469,7087224,19915559,30609619,16877172,6615043,3801748,2990795,884230,-4281013,3227182,-3418896,-10718845,-4261556,-15738533,-5865038,18595000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2434171,1596187,-846040,- -,80249,-3753544,1110280,-237386,1677479,2158001,-4891382,-6795982,4877000
79,Inventory,- -,- -,8162,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2111353,1140079,1800161,1619648,-800721,589445,3915007,1593320,10869000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,8687819,25346659,-3434174,13611137,4260352,6309142,7618605,-1434549,-1402871,-1452194,-8661581,-8214432,-6818391,-4758725,8175463,5420000
82,Other Non-Cash Items,128598,1134603,-21580,250899,26164,42922,97118,426770,894147,6208251,1551766,-93097,100065,1586619,25968,577585,669980,-14659944,468452,- -,9069237,8019822,12123000
83,Cash Provided by Operating Activities,-3389547,-1979654,-2025803,-2513208,-953277,-2227848,1091127,3770727,15879846,29498018,15007194,6095421,12922995,18895494,17523520,15470596,23020474,4873558,1029575,12549655,10259667,24956656,46836000
84,CAPEX,-540079,-67973,-225600,-391915,-316706,-189035,-216783,-225908,-1004572,-1552939,-1646854,-8237439,-1284914,-1279109,-9648322,-2217458,-3296824,-3595497,-4447421,-2909081,-3078296,-3855793,-2834000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9760364,-900687,- -,- -,- -,- -,11046737,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-6714413,- -,- -,- -,- -,-11283113,-35253142,-23019624,-10197188,-25572878,-1674735,-16402275,-30800319,-13968851,-31120779,-201124,- -,- -,-16699899,-42876928,- -
87,Sales/Maturities of Investments,- -,- -,- -,3108531,1145613,912566,2053256,- -,21714848,31118406,13411922,9417219,6637949,16101051,23489727,12543925,21450000,16700000,23623146,- -,- -,42912598,17027000
88,Other Investing Activites,- -,- -,- -,-0,0,-0,- -,0,0,0,-731728,-6852563,-167619,-1183402,-9533333,-489577,-387436,-225000,-2783890,- -,- -,- -,68000
89,Cash Used for Investing Activites,-540079,-67973,-6940013,2716617,828908,723531,1836473,-11509022,-14542866,6545844,836152,-34153462,2777613,-2413666,-17792247,-3642384,-12967603,23950116,16551835,-2909081,-19778195,-3820123,14261000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1732421,-2788000
91,Common Stock Issued,5628231,13528757,1742,- -,1309,94265,4221621,740690,1189485,1960455,1603639,2453330,1119652,3165584,3924820,7529898,5978035,3658654,3127733,2151073,4197206,2090134,69000000
92,Common Stock Repurchased,- -,- -,- -,-187382,-1168827,- -,- -,- -,- -,- -,-9162645,-957430,-14689262,-3983136,-13504414,- -,-2392435,-43501944,-1826136,-245424,- -,-48828,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4118643,-9257215,-10141389,-9261204,-9476850,-10067904,-9873757,-10034983,-12012000
94,Other Financing Activites,408158,-629950,-65411,- -,- -,- -,- -,- -,1041242,- -,- -,0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4956000
95,Cash Used/Provided by Financing Activities,6036389,12898808,-63669,-187382,-1167518,94265,4221621,740690,2230727,1960455,-7559006,1495900,-13569610,-817552,-13698237,-1727317,-6555789,-49104494,-8175253,-8162255,-5676551,-9726098,49244000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1381027,-118870,-330185,-287354,-320071,-731878,12084,-32424,-71370,-373476,98000
97,Net Change In Cash,2106764,10851181,-9029485,16026,-1291887,-1410052,7149220,-6997605,3567707,38004317,8284340,-26562141,749971,15545406,-14297149,9813541,3177011,-21012698,9418241,1445895,-15266449,11036959,110439000
98,Cash at the End of Period,2855774,13693497,4371323,4378702,3637883,2265543,9614716,3573578,7308131,45647769,48303548,26637749,29741475,45412147,31114998,40928539,44105550,23092852,32511093,33956988,18690539,29727498,140166000
99,Cash at the Beginning of Period,749011,2842316,13400808,4362676,4929770,3675595,2465496,10571183,3740424,7643452,40019208,53199890,28991504,29866741,45412147,31114998,40928539,44105550,23092852,32511093,33956988,18690539,29727000
100,Free Cash Flow,-3929625,-2047627,-2251403,-2905123,-1269982,-2416883,874344,3544819,14875274,27945080,13360340,-2142018,11638081,17616385,7875198,13253138,19723650,1278061,-3417846,9640574,7181371,21100863,44002000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
