,https://roic.ai/company/ATEC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,277212,-798000,- -,177810,-15043552,-22114000,-19686000,-27806000,-9557000,-11789000,-24516000,-9837000,-73433000,1844000,-172439000,-15377000,-9003000,-22440000,-47276000,-58863000,-128057000
18,Operating Income ratio,0.0199,-0.0704,- -,0.0100,-0.3554,-0.2988,-0.2460,-0.2745,-0.0723,-0.0687,-0.1240,-0.0501,-0.3587,0.0089,-0.9307,-0.1279,-0.0885,-0.2447,-0.4168,-0.4063,-0.5265
19,Total Other Income Expenses (Gains),-181429,-240000,- -,427771,-2048058,-3432000,74000,-1014000,-3489000,-4698000,-2172000,-6781000,-5615000,-13639000,-5556000,-15558000,4429000,-7729000,-9865000,-19986000,-16105000
20,Income Before Tax,95783,-1038000,- -,605581,-17091610,-25546000,-19612000,-28820000,-13046000,-16487000,-26688000,-16618000,-79048000,-11795000,-177995000,-30935000,-4574000,-30169000,-57141000,-78849000,-144162000
21,Income Before Tax Ratio,0.0069,-0.0916,- -,0.0340,-0.4038,-0.3452,-0.2451,-0.2845,-0.0987,-0.0961,-0.1350,-0.0847,-0.3861,-0.0570,-0.9607,-0.2573,-0.0450,-0.3290,-0.5038,-0.5443,-0.5927
22,Income Tax expense (Gain),3900,4000,- -,96127,-3037433,270000,590000,468000,243000,-2054000,-4507000,-1159000,3179000,1087000,681000,-4634000,-34000,-1361000,-239000,145000,164000
23,Net Income,91883,-1042000,-833505,509454,-14054177,-25816000,-20202000,-29288000,-13289000,-14355000,-22181000,-15459000,-82227000,-12882000,-178676000,-29925000,-2294000,-28975000,-57002000,-78994000,-144326000
24,Net Income ratio,0.0066,-0.0919,-0.0765,0.0286,-0.3320,-0.3488,-0.2524,-0.2891,-0.1006,-0.0836,-0.1122,-0.0788,-0.4016,-0.0622,-0.9644,-0.2489,-0.0225,-0.3160,-0.5025,-0.5453,-0.5934
25,EPS,0.12,-1.32,-1.08,0.72,-43.68,-12.84,-6.48,-7.56,-3.24,-2.16,-3.00,-2.04,-10.20,-1.56,-21.48,-3.57,-0.18,-1.20,-1.09,-1.18,-1.50
26,EPS Diluted,0.12,-1.32,-1.08,0.72,-43.68,-12.84,-6.48,-7.56,-3.24,-2.16,-3.00,-2.04,-10.20,-1.92,-21.48,-3.57,-1.08,-1.20,-1.09,-1.18,-1.50
27,Weighted Average Shares Outstanding,785902,785996,774842,764905,496213,2269824,3106904,3857484,4107650,6549140,7399803,7518136,8019551,8112217,8297800,8495000,12788000,35315000,52234000,67020000,96197000
28,Weighted Average Shares Outstanding Diluted,792505,785996,774842,801693,496213,2269824,3106904,3857484,4107650,6549140,7399803,7518136,8019551,8144550,8297800,8495000,13282000,35315000,52234000,67020000,96197000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1350653/000119312507072229/0001193125-07-072229-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312508058843/0001193125-08-058843-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312509044992/0001193125-09-044992-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312510046062/0001193125-10-046062-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312511055368/0001193125-11-055368-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312512094811/0001193125-12-094811-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312513089967/0001193125-13-089967-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000135065314000005/0001350653-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000135065315000006/0001350653-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000135065316000058/0001350653-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459017005689/0001564590-17-005689-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459018005156/0001564590-18-005156-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459019010183/0001564590-19-010183-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459020011257/0001564590-20-011257-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459021011278/0001564590-21-011278-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459022008121/0001564590-22-008121-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,977306,1123000,- -,1556770,2180366,16943000,25843000,18315000,10085000,23168000,20666000,22241000,21345000,19735000,11229000,19593000,22466000,29054000,47113000,107765000,187248000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,977306,1123000,- -,1556770,2180366,16943000,25843000,18315000,10085000,23168000,20666000,22241000,21345000,19735000,11229000,19593000,22466000,29054000,47113000,107765000,187248000
34,Net Receivables,- -,- -,- -,2841930,9360818,10583000,13035000,18759000,24766000,39777000,41711000,41012000,41395000,40440000,38319000,18512000,14822000,15445000,16150000,24603000,41893000
35,Inventory,- -,- -,- -,2614942,8457777,13454000,20092000,24170000,29515000,51635000,45916000,49855000,41939000,41747000,44908000,30093000,27292000,28765000,34854000,46001000,91703000
36,Other Current Assets,- -,- -,- -,259854,4106575,4518000,4905000,4265000,3256000,8244000,8136000,8944000,9066000,11190000,7402000,4626000,1898000,2272000,10201000,5791000,10313000
37,Total Current Assets,- -,- -,- -,7273496,24105536,45498000,63875000,65509000,67622000,122824000,116429000,122052000,113745000,113112000,101858000,72824000,66478000,75536000,108318000,184160000,331157000
38,PP&E,- -,- -,- -,3705654,7205588,12583000,12229000,23093000,30356000,38440000,31476000,30403000,28030000,26040000,21945000,15076000,12670000,13235000,21582000,37847000,112684000
39,Goodwill,- -,- -,- -,- -,60946455,60389000,60003000,60124000,60113000,170194000,168609000,180838000,183004000,171333000,- -,- -,- -,13897000,13897000,13897000,39689000
40,Intangible Assets,- -,- -,- -,221250,13643694,10185000,9634000,4280000,2296000,43148000,47144000,46856000,39064000,30259000,21616000,5711000,5248000,26408000,25605000,24720000,85274000
41,Intangible Assets,- -,- -,- -,221250,74590149,70574000,69637000,64404000,62409000,213342000,215753000,227694000,222068000,201592000,21616000,5711000,5248000,40305000,39502000,38617000,124963000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,106014,3237513,622000,1499000,2542000,1501000,2410000,3034000,1978000,1787000,4179000,1285000,577000,264000,401000,546000,599000,3249000
45,Total Non-Current Assets,- -,- -,- -,4032918,85033250,83779000,83365000,90039000,94266000,254192000,250263000,260075000,251885000,231811000,44846000,21364000,18182000,53941000,61630000,77063000,240896000
46,Other Assets,9210759,7080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9210759,7080000,- -,11306414,109138786,129277000,147240000,155548000,161888000,377016000,366692000,382127000,365630000,344923000,146704000,94188000,84660000,129477000,169948000,261223000,572053000
48,Accounts Payable,- -,- -,- -,1582149,4102435,5798000,5948000,10504000,12781000,15957000,17390000,19173000,10790000,10130000,14169000,8701000,3878000,4399000,7772000,17599000,25737000
49,Short-Term Debt,- -,- -,- -,3104882,6922951,5223000,4757000,2109000,6724000,1708000,4396000,1700000,4924000,8076000,80105000,3113000,3306000,3276000,1803000,5085000,4554000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1457000,1605000,1120000,1344000,1074000,404000,246000,-3000,82000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1858000,2135000,3396000,4514000,1361000,1009000,1300000,648000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,1860907,8831387,10369000,13368000,16739000,16439000,22530000,30837000,34554000,62996000,44095000,30478000,28321000,22558000,22937000,26815000,35628000,70804000
53,Total Current Liabilities,- -,- -,- -,6547938,19856773,21390000,24073000,31210000,38079000,43591000,57137000,56788000,79719000,63601000,125400000,40135000,29742000,30612000,36390000,58312000,101095000
54,Long-Term Debt,- -,1310000,- -,2437717,2508087,3111000,1954000,26488000,23631000,32474000,23802000,39967000,49978000,74597000,480000,43092000,37767000,42299000,53448000,38034000,350872000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,3056853,1467000,1273000,887000,738000,8761000,3825000,2468000,1870000,1948000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,492571,101059642,25589000,25090000,25494000,24611000,25756000,36600000,37088000,62387000,55823000,57400000,52465000,43809000,38992000,36479000,34997000,-84034000
58,Total Non-Current Liabilities,- -,1310000,- -,2930288,106624582,30167000,28317000,52869000,48980000,66991000,64227000,79523000,114235000,132368000,57880000,95557000,81576000,81291000,89927000,73031000,266838000
59,Other Liabilities,6160346,6351000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2239000,926000,- -
61,Total Liabilities,6160346,5041000,- -,9478226,126481355,51557000,52390000,84079000,87059000,110582000,121364000,136311000,193954000,195969000,183280000,135692000,111318000,111903000,126317000,131343000,367933000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,92353,577,3000,5000,5000,5000,9000,9000,10000,10000,10000,10000,1000,2000,4000,6000,8000,10000
64,Retained Earnings,- -,- -,- -,-5014307,-12865636,-36681000,-58883000,-88171000,-101460000,-115815000,-137996000,-153455000,-235682000,-248564000,-427240000,-457165000,-459459000,-501922000,-558924000,-637999000,-5994000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1295563,-18408254,111000,334000,1495000,1263000,-1310000,-2812000,112000,3877000,-11316000,-21188000,970000,1093000,1064000,1088000,1204000,-5994000
66,Other Total Stockholders Equity,3050413,2039000,- -,8045705,12016656,111563000,153394000,158140000,175021000,383550000,386127000,399149000,403471000,408824000,411842000,414690000,431706000,518428000,601461000,766667000,91400000
67,Total Stockholders Equity,3050413,2039000,- -,1828188,-19256657,74996000,94850000,71469000,74829000,266434000,245328000,245816000,171676000,148954000,-36576000,-41504000,-26658000,17574000,43631000,129880000,204120000
68,Total Liabilities And Stockholders Equity,9210759,7080000,- -,11306414,107224698,126553000,147240000,155548000,161888000,377016000,366692000,382127000,365630000,344923000,146704000,94188000,84660000,129477000,169948000,261223000,572053000
69,Minority Interest,- -,- -,- -,- -,1914088,2724000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9210759,7080000,- -,11306414,109138786,129277000,147240000,155548000,161888000,377016000,366692000,382127000,365630000,344923000,146704000,94188000,84660000,129477000,169948000,261223000,572053000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1350653/000119312507072229/0001193125-07-072229-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312508058843/0001193125-08-058843-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312509044992/0001193125-09-044992-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312510046062/0001193125-10-046062-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312511055368/0001193125-11-055368-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312512094811/0001193125-12-094811-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312513089967/0001193125-13-089967-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000135065314000005/0001350653-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000135065315000006/0001350653-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000135065316000058/0001350653-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459017005689/0001564590-17-005689-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459018005156/0001564590-18-005156-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459019010183/0001564590-19-010183-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459020011257/0001564590-20-011257-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459021011278/0001564590-21-011278-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459022008121/0001564590-22-008121-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,509454,-14054177,-25816000,-20202000,-29288000,-13289000,-14355000,-22181000,-15459000,-82227000,-12882000,-178676000,-29925000,-2294000,-28975000,-57002000,-78994000,-144326000
74,Depreciation and Amortization,- -,- -,- -,633847,3540385,9015000,10621000,8731000,11956000,17246000,19876000,23792000,26277000,18385000,19031000,12364000,7481000,6789000,8508000,11632000,30174000
75,Deferred Income Tax,- -,- -,- -,- -,-3074778,285000,32000,401000,141000,-1945000,-4345000,-3420000,816000,251000,-333000,10000,-36000,-1405000,-438000,9000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2935000,3571000,3177000,2425000,3690000,4078000,4554000,2643000,1626000,3902000,5304000,10956000,17659000,36450000
77,Change in Working Capital,- -,- -,- -,-141377,3523205,19859237,15694000,-5503000,-4756000,49690000,-19941000,5972000,-31238000,15485000,-73053000,56231000,4047000,8188000,27004000,53920000,104214000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-5273000,-6048000,-2179000,-5004000,382000,-1940000,-1028000,1197000,8000000,4153000,-396000,-1298000,-7484000,-10141000
79,Inventory,- -,- -,- -,-741951,346399,-4554000,-7378000,-6586000,-7274000,-14661000,1084000,-7853000,-4407000,-4348000,-5456000,-5742000,258000,-6024000,-14712000,-18192000,11147000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,1911000,-1825000,-5203000,2545000,-1799000,-3853000,-1042000,3209000,-4865000,-2592000,16000,6003000,7130000,757000
81,Other Working Capital,- -,- -,- -,725558,4248763,24108000,39802000,34299000,29543000,79233000,59292000,65264000,34026000,49511000,-23542000,32689000,36736000,44924000,71928000,125848000,230062000
82,Other Non-Cash Items,- -,- -,- -,279850,1826119,-11936237,-19382000,3245000,-3171000,-68646000,37574000,-2982000,90101000,-46064000,240512000,-50265000,-21829000,-15509000,-22149000,-50638000,-99944000
83,Cash Provided by Operating Activities,- -,- -,- -,1281774,-8239246,-8593000,-13237000,-19479000,-5548000,-14833000,13408000,11593000,7807000,-20271000,10124000,-9959000,-8729000,-25608000,-33121000,-46412000,-73432000
84,CAPEX,- -,- -,- -,-598467,-4257891,-9702000,-7984000,-13392000,-13176000,-16328000,-8896000,-17396000,-15102000,-11300000,-12247000,-9147000,-7596000,-6914000,-13032000,-23886000,-68544000
85,Acquisitions Net,- -,- -,- -,- -,-76736805,49000,258000,- -,- -,1918000,-620000,-2000000,-4000000,- -,- -,69790000,- -,-15103000,- -,- -,-62133000
86,Purchases of Investments,- -,- -,- -,- -,- -,-1100000,-1213000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,383000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,3866000,-1293000,-2300000,-690000,-1750000,-750000,300000,- -,1066000,1101000,-52000,- -,-728000,-27085000
89,Cash Used for Investing Activites,- -,- -,- -,-598467,-80994696,-10753000,-8939000,-9136000,-12733000,-14410000,-9516000,-19396000,-19102000,-11000000,-12247000,61959000,-6495000,-21669000,-13032000,-23859000,-157762000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-19580000,-5444000,-26501000,-19369000,-112832000,-171943000,-162709000,-153490000,-190034000,-102809000,-122553000,-116052000,-56673000,-10028000
91,Common Stock Issued,- -,- -,- -,10000,91608718,70460000,33351000,- -,9907000,49659000,- -,- -,- -,- -,- -,114000,- -,51902000,55825000,111039000,131828000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-35153000,- -,-48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,99959,-616082,-1534000,-2032000,41037000,5806000,19907000,12454000,121308000,182630000,193443000,146958000,146528000,120630000,124536000,124410000,76463000,215166000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,109959,90992636,33773000,31319000,21409000,10269000,43065000,-6915000,8476000,10687000,30734000,-6532000,-43392000,17821000,53885000,64183000,130829000,311966000
96,Effect of Forex Changes on Cash,- -,- -,- -,9647,-79203,336000,-243000,-322000,-218000,-739000,521000,902000,-288000,-1073000,149000,-85000,244000,-20000,29000,94000,-1289000
97,Net Change In Cash,- -,- -,- -,802913,1679491,14763000,8900000,-7528000,-8230000,13083000,-2502000,1575000,-896000,-1610000,-8506000,8523000,2841000,6588000,18059000,60652000,79483000
98,Cash at the End of Period,- -,- -,- -,1556770,3236261,16943000,25843000,18315000,10085000,23168000,20666000,22241000,21345000,19735000,11229000,19752000,22593000,29054000,47113000,107765000,187248000
99,Cash at the Beginning of Period,- -,- -,- -,753857,1556770,2180000,16943000,25843000,18315000,10085000,23168000,20666000,22241000,21345000,19735000,11229000,19752000,22466000,29054000,47113000,107765000
100,Free Cash Flow,- -,- -,- -,683307,-12497137,-18295000,-21221000,-32871000,-18724000,-31161000,4512000,-5803000,-7295000,-31571000,-2123000,-19106000,-16325000,-32522000,-46153000,-70298000,-141976000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1350653/000119312507072229/0001193125-07-072229-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312508058843/0001193125-08-058843-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312509044992/0001193125-09-044992-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312510046062/0001193125-10-046062-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312511055368/0001193125-11-055368-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312512094811/0001193125-12-094811-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000119312513089967/0001193125-13-089967-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000135065314000005/0001350653-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000135065315000006/0001350653-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000135065316000058/0001350653-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459017005689/0001564590-17-005689-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459018005156/0001564590-18-005156-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459019010183/0001564590-19-010183-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459020011257/0001564590-20-011257-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459021011278/0001564590-21-011278-index.htm,https://www.sec.gov/Archives/edgar/data/1350653/000156459022008121/0001564590-22-008121-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
