,https://roic.ai/company/PETZ,2015,2016,2017,2018,2019,2020
89,Cash Used for Investing Activites,-309661,944188,-1388709,-6594458,113552,3355189
90,Debt Repayment,-2713203,-1806411,-2494793,-1568546,-3154124,-746437
91,Common Stock Issued,10,3759423,5542047,- -,6760000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4214519,-881248,2211519,9296666,5914840,157079
95,Cash Used/Provided by Financing Activities,1501326,1071764,5258773,7728120,9520716,-589358
96,Effect of Forex Changes on Cash,-29581,-33411,5878,96808,-203577,106910
97,Net Change In Cash,461346,493423,1201006,-943272,3804073,244486
98,Cash at the End of Period,651680,1145103,2346109,2700505,6504578,6749064
99,Cash at the Beginning of Period,190334,651680,1145103,3643777,2700505,6504578
100,Free Cash Flow,-932677,-1498120,-3006432,-8655385,-5748178,-2675341
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1684425/000121390018005203/f20f2017_tdhholdingsinc.htm,https://www.sec.gov/Archives/edgar/data/1684425/000121390019008805/f20f2018_tdhholdingsinc.htm,- -,- -
102,false,,,,,,
