,https://roic.ai/company/SHIP,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,403,1588,1469,1696,4884,6095,9647,9966,11137,44889,85637,149358,156694,958297,33436278,- -
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448397/000095012310027631/g22630e20vf.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957411002553/d1177172_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957412002396/d1266368_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957413002885/d1370939_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957414002664/d1470389_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957415003691/d6498702_20-f.htm,- -,https://www.sec.gov/Archives/edgar/data/1448397/000091957417003666/d7465252_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957418002297/d7820483_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957419002573/d8206244_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000114036120004944/form20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,355938,2210726,27543000,63607000,53787000,17734000,4298000,3075000,2873000,3304000,12858000,8889000,6684000,13654000,21011000,41496000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1500000
33,Cash and Short-Term Investments,355938,2210726,27543000,63607000,53787000,17734000,4298000,3075000,2873000,3304000,12858000,8889000,6684000,13654000,22611000,42996000
34,Net Receivables,- -,- -,- -,760000,999000,2169000,2287000,1256000,30000,1287000,2783000,3626000,2649000,1763000,801000,- -
35,Inventory,- -,- -,872000,1126000,1459000,2512000,471000,913000,- -,2980000,4049000,4797000,5289000,3862000,4650000,1448000
36,Other Current Assets,20000,233002998,1399000,1980000,12214000,21017000,45030000,61106000,304000,707000,2639000,2186000,2261000,2648000,2485000,2732000
37,Total Current Assets,375938,235213724,29814000,67473000,68459000,43432000,52086000,66350000,3207000,8278000,22329000,19498000,16883000,21927000,30547000,47176000
38,PP&E,- -,- -,345631000,444840000,597401000,381144000,68513000,- -,61000,199880000,232128000,254730000,244332000,254593000,257955000,427117000
39,Goodwill,- -,- -,- -,17275000,17275000,4365000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,17275000,17275000,4365000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,256253,- -,2757000,8864000,13266000,7535000,361000,3134000,- -,1194000,3077000,1477000,6347000,6031000,6743000,12918000
45,Total Non-Current Assets,256253,- -,348388000,470979000,627942000,393044000,68874000,- -,61000,201074000,235205000,256207000,250679000,260624000,264698000,440035000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,632191,235213724,378202000,538452000,696401000,436476000,120960000,66350000,3268000,209352000,257534000,275705000,267562000,282551000,295245000,487211000
48,Accounts Payable,- -,587872,674000,990000,2340000,2595000,2514000,2148000,187000,5979000,6146000,- -,14426000,16105000,3707000,5762000
49,Short-Term Debt,350000,- -,27750000,33206000,53380000,49909000,208649000,134911000,- -,821000,10501000,19216000,16195000,185654000,- -,69363000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,3029000,1140000,2493000,732000,86000,205000,- -,154000,1850000,1741000,890000,4296000,4510000,7735000
52,Other Current Liabilities,261563,5407142,1546000,6802000,14578000,5461000,11328000,19781000,405000,2296000,2733000,13503000,4752000,31226000,22545000,5173000
53,Total Current Liabilities,611563,5995014,32999000,42138000,72791000,58697000,222577000,157045000,592000,9250000,21230000,34460000,36263000,237281000,30762000,88033000
54,Long-Term Debt,- -,- -,213638000,267945000,346168000,300586000,- -,- -,- -,176818000,199594000,182590000,190150000,12020000,164861000,154034000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3074000,2773000,538000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,80849990,- -,1550000,2777000,270000,- -,- -,- -,- -,5878000,17342000,19846000,318000,1155000,130000
58,Total Non-Current Liabilities,- -,80849990,213638000,269495000,348945000,300856000,- -,- -,- -,176818000,205472000,199932000,209996000,15412000,168789000,154702000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,615000,426000,845000,650000
61,Total Liabilities,611563,86845004,246637000,311633000,421736000,359553000,222577000,157045000,592000,186068000,226702000,234392000,246259000,252693000,199551000,242735000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,726,2860,2000,3000,11000,1000,1000,1000,2000,2000,3000,3000,- -,3000,7000,17000
64,Retained Earnings,-4372,1440878,-34798000,-4746000,-4614000,-202370000,-396138000,-385231000,-304883000,-313839000,-338462000,-341697000,-364543000,-376241000,-394597000,-353249000
65,Other Comprehensive Income/Loss,- -,- -,-9929000,-36741000,-66069000,-282326000,- -,- -,- -,-1844000,-10353000,-20852000,-27600000,-38499000,-51133000,- -
66,Other Total Stockholders Equity,24274,146924982,176290000,249973000,345337000,561618000,294520000,294535000,307557000,338965000,379644000,403859000,413446000,444595000,541417000,597708000
67,Total Stockholders Equity,20628,148368720,131565000,208489000,274665000,76923000,-101617000,-90695000,2676000,23284000,30832000,41313000,21303000,29858000,95694000,244476000
68,Total Liabilities And Stockholders Equity,632191,235213724,378202000,520122000,696401000,436476000,120960000,66350000,3268000,209352000,257534000,275705000,267562000,282551000,295245000,487211000
69,Minority Interest,- -,- -,- -,18330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,632191,235213724,378202000,538452000,696401000,436476000,120960000,66350000,3268000,209352000,257534000,275705000,267562000,282551000,295245000,487211000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448397/000095012310027631/g22630e20vf.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957411002553/d1177172_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957412002396/d1266368_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957413002885/d1370939_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957414002664/d1470389_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957415003691/d6498702_20-f.htm,- -,https://www.sec.gov/Archives/edgar/data/1448397/000091957417003666/d7465252_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957418002297/d7820483_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957419002573/d8206244_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000114036120004944/form20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-4372,1445250,-31985000,30052000,132000,-197756000,-193768000,10907000,80348000,-8956000,-24623000,-3235000,-21058000,-11698000,-18356000,41348000
74,Depreciation and Amortization,- -,- -,9929000,26687000,29009000,28590000,15606000,982000,3000,1865000,8531000,10518000,10876000,11016000,12721000,17151000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,14000,15000,15000,- -,178000,624000,730000,1295000,1310000,869000,5097000
77,Change in Working Capital,-15676,139175,-1793000,-3046000,2038000,-4000000,12671000,10701000,-9459000,1902000,-1855000,2633000,1190000,3038000,-10169000,1659000
78,Accounts Receivable,- -,- -,- -,-263000,-493000,-765000,-1193000,1025000,1188000,-1287000,-1496000,-843000,-511000,845000,962000,801000
79,Inventory,- -,- -,-872000,1222000,-70000,-1053000,1152000,-1005000,61000,-2980000,-1069000,-748000,-492000,1427000,-788000,3202000
80,Accounts Payable,- -,- -,- -,- -,- -,255000,- -,- -,- -,- -,- -,- -,5499000,1679000,-12398000,348000
81,Other Working Capital,- -,- -,-577000,-4241000,- -,-1758000,-468000,456000,-205000,-1078000,757000,-279000,-1588000,4494000,-1310000,-4823000
82,Other Non-Cash Items,- -,- -,49549000,-10485000,358000,199591000,167894000,-21575000,-85750000,274000,1984000,-7864000,13420000,9442000,5200000,15505000
83,Cash Provided by Operating Activities,-20048,1584425,25700000,43208000,31537000,26439000,2418000,1030000,-14858000,-4737000,-15339000,2782000,5723000,13108000,-9735000,80760000
84,CAPEX,- -,- -,-9000,-21000,-28000,- -,- -,- -,-64000,-201684000,-40779000,-32992000,-31479000,-12349000,-20264000,-197320000
85,Acquisitions Net,- -,- -,-375833000,36374000,17913000,- -,-3531000,-3005000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,232923000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-232923020,- -,- -,-10000000,- -,58933000,3998000,105959000,- -,- -,- -,22652000,- -,-1600000,12700000
89,Cash Used for Investing Activites,- -,-232923020,-142919000,36353000,7885000,- -,55402000,993000,105895000,-201684000,-40779000,-32992000,-8827000,-12349000,-21864000,-184620000
90,Debt Repayment,- -,- -,-7500000,-54878000,-67941000,-53145000,-98816000,-5246000,-94443000,-800000,-650000,-36435000,-68468000,-17598000,-53514000,-146008000
91,Common Stock Issued,25000,245415000,- -,- -,28526000,- -,10000000,- -,3204000,13820000,22606000,2637000,- -,13225000,73750000,98302000
92,Common Stock Repurchased,- -,- -,-63705000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1708000
93,Dividends Paid,- -,- -,-4254000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,350986,-12221617,218010000,11381000,-9827000,-9347000,17560000,2000000,- -,193832000,43716000,59139000,67977000,10724000,18860000,176849000
95,Cash Used/Provided by Financing Activities,375986,233193383,142551000,-43497000,-49242000,-62492000,-71256000,-3246000,-91239000,206852000,65672000,25341000,-491000,6351000,39096000,127435000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,375986,1854788,25332000,36064000,-9820000,-36053000,-13436000,-1223000,-202000,431000,9554000,-4869000,-3595000,7110000,7497000,23575000
98,Cash at the End of Period,355938,2210726,27543000,63607000,53787000,17734000,4298000,3075000,2873000,3304000,12858000,11039000,7444000,14554000,22051000,45626000
99,Cash at the Beginning of Period,- -,355938,2211000,27543000,63607000,53787000,17734000,4298000,3075000,2873000,3304000,15908000,11039000,7444000,14554000,22051000
100,Free Cash Flow,-20048,1584425,25691000,43187000,31509000,26439000,2418000,1030000,-14922000,-206421000,-56118000,-30210000,-25756000,759000,-29999000,-116560000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1448397/000095012310027631/g22630e20vf.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957411002553/d1177172_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957412002396/d1266368_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957413002885/d1370939_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957414002664/d1470389_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957415003691/d6498702_20-f.htm,- -,https://www.sec.gov/Archives/edgar/data/1448397/000091957417003666/d7465252_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957418002297/d7820483_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000091957419002573/d8206244_20-f.htm,https://www.sec.gov/Archives/edgar/data/1448397/000114036120004944/form20f.htm,- -,- -
102,false,,,,,,,,,,,,,,,,
