,https://roic.ai/company/CGA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,-13054324,-20887224,-72748237,-9744731,-86730335,-76911917,-42135677,-97213806,-74623855,-61534824,25322495,-101718278,198007083,170434386
83,Cash Provided by Operating Activities,-4793,9117611,7184086,12232035,33647469,6400398,32090827,16612352,67534917,34358655,16302049,28137537,-71410848,-66196484,-12879517
84,CAPEX,- -,-10623021,-5097721,-25903800,-26246163,-11883947,-32449255,-1602460,-446291,-19192,-253156,-55473,-47395,-97483,-476180
85,Acquisitions Net,- -,- -,- -,- -,-6720539,- -,- -,- -,- -,708737,-148911,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1340547,- -,- -,- -,-72061705,-2648253,- -,- -,-8273,- -,- -,- -
89,Cash Used for Investing Activites,- -,-10623021,-5097721,-16524694,-32966702,-11883947,-32449255,-73664165,-3094544,689545,-402067,-63746,-47395,-97483,-476180
90,Debt Repayment,- -,-481914,-1036770,-3178477,-2253000,- -,-1103970,-27282645,-22431330,-20712600,-3154956,-6179300,-4557280,-4638235,-3776250
91,Common Stock Issued,10000,18602723,- -,53778748,- -,300001,- -,- -,3573593,- -,- -,- -,8270000,10252000,14000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-2161904,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-862626,109813,-2148722,- -,9978375,2943885,35795885,22145290,3610000,6548021,3343836,4049230,4137500,4078350
95,Cash Used/Provided by Financing Activities,10000,17258183,-926957,48451549,- -,10278376,1839915,8513240,1125649,-17102600,3393065,-2835464,7761950,9751265,14302100
96,Effect of Forex Changes on Cash,- -,777927,23623,381100,2590209,1577390,1571372,397405,526221,-8031678,861015,2535774,-14849542,-3782324,5712763
97,Net Change In Cash,- -,16530700,1183031,44539990,3270976,6372217,3052859,-48141168,66092243,9913922,20154062,27774102,-78545835,-60325026,6659166
98,Cash at the End of Period,5207,16612416,17795447,62335437,65606413,71978630,75031489,26890321,92982564,102896486,123050548,150805639,72259804,11934778,18593944
99,Cash at the Beginning of Period,- -,81716,16612416,17795447,62335437,65606413,71978630,75031489,26890321,92982564,102896486,123031537,150805639,72259804,11934778
100,Free Cash Flow,-4793,-1505410,2086365,-13671765,7401306,-5483549,-358428,15009892,67088626,34339463,16048893,28082064,-71458243,-66293967,-13355697
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/857949/000114420408054753/0001144204-08-054753-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420409048889/0001144204-09-048889-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420410048272/0001144204-10-048272-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420411052457/0001144204-11-052457-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420412051214/0001144204-12-051214-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420413050514/0001144204-13-050514-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420414055877/0001144204-14-055877-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420415055375/0001144204-15-055375-index.html,https://www.sec.gov/Archives/edgar/data/857949/000121390016017365/f10k2016_chinagreen.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390017010744/f10k2017_chinagreenagri.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390018014161/f10k2018_chinagreenagri.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390019020284/f10k2019_chinagreenagri.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390020041394/0001213900-20-041394-index.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390021052639/0001213900-21-052639-index.htm
102,false,,,,,,,,,,,,,,,
