,https://roic.ai/company/MN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,53368000,68342000,178833000,218180000,252604000,257473000,230796000,220599000,205180000,202559000,226211000,116662000,171423000
48,Accounts Payable,639000,1153000,1139000,1231000,1476000,2906000,1141000,2053000,4161000,1845000,1614000,1787000,1791000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16646000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13759000,13499000
51,Deferred Revenue,9228000,9974000,9902000,10342000,12007000,12812000,10938000,10210000,10213000,9305000,10759000,11476000,12963000
52,Other Current Liabilities,17707000,30665000,30099000,38872000,49813000,50779000,42480000,35115000,29798000,25126000,26201000,19793000,36388000
53,Total Current Liabilities,27574000,41792000,41140000,50445000,63296000,66497000,54559000,47378000,44172000,36276000,38574000,49702000,51142000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16646000,14226000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19645000,17859000
57,Other Non-Current Liabilities,109076000,170319000,45885000,43989000,43519000,42265000,41457000,38743000,22648000,20040000,38016000,221000,-4205000
58,Total Non-Current Liabilities,109076000,170319000,45885000,43989000,43519000,42265000,41457000,38743000,22648000,20040000,38016000,36512000,27880000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21435000,19500000,- -
61,Total Liabilities,136650000,212111000,87025000,94434000,106815000,108762000,96016000,86121000,66820000,56316000,76590000,80328000,79022000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100000,101000,136000,136000,136000,137000,148000,150000,150000,153000,160000,170000,195000
64,Retained Earnings,-85888000,-147035000,-27167000,-33392000,-40544000,-41087000,-37149000,-37383000,-38424000,-38865000,-38478000,-235000,- -
65,Other Comprehensive Income/Loss,-4125000,-5094000,-4470000,-4518000,-5897000,-7439000,-8671000,-11630000,-11376000,-11327000,-11423000,-235000,-337000
66,Other Total Stockholders Equity,6567000,8222000,192605000,202635000,214884000,216723000,214428000,211775000,209931000,209854000,209889000,83257000,92543000
67,Total Stockholders Equity,-83346000,-143806000,161104000,164861000,168579000,168334000,168756000,162912000,160281000,159815000,160148000,82957000,92401000
68,Total Liabilities And Stockholders Equity,53304000,68305000,248129000,259295000,275394000,277096000,264772000,249033000,227101000,216131000,236738000,163285000,171423000
69,Minority Interest,64000,37000,-69296000,-41115000,-22790000,-19623000,-33976000,-28434000,-21921000,-13572000,-10527000,-46623000,- -
70,Total Liabilities & Equity,53368000,68342000,178833000,218180000,252604000,257473000,230796000,220599000,205180000,202559000,226211000,116662000,171423000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524223/000152422313000006/0001524223-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422314000004/mnq4201310-k.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422315000007/mn201410-k_12312014.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422316000027/0001524223-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422317000005/0001524223-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422318000011/0001524223-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422319000014/0001524223-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422320000015/0001524223-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422321000016/0001524223-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422322000014/0001524223-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,54425000,53098000,-27167000,2469000,2656000,9317000,13214000,9274000,3587000,3197000,1433000,10004000,25105000
74,Depreciation and Amortization,1099000,1422000,1139000,1686000,1889000,2317000,2472000,2481000,1763000,1719000,3763000,1536000,- -
75,Deferred Income Tax,- -,- -,20000,2776000,2037000,5312000,-666000,4761000,18612000,2431000,203000,-153000,- -
76,Stock Based Compensation,731000,682000,216253000,72274000,82920000,41534000,5454000,2877000,2305000,2268000,3680000,3816000,- -
77,Change in Working Capital,-3617000,679000,56656000,34609000,23016000,1685000,-17416000,-4000000,6712000,6467000,3602000,-75714000,18897000
78,Accounts Receivable,-9911000,-9425000,-460000,-5470000,-3872000,1401000,15003000,5548000,6538000,3890000,1253000,-1733000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-333000,252000,-694000,92000,245000,1430000,-1765000,-819000,-441000,233000,-231000,173000,- -
81,Other Working Capital,22760000,23439000,80095000,114704000,137720000,139405000,121989000,117989000,124701000,131168000,134770000,59056000,77953000
82,Other Non-Cash Items,10141000,64091000,-93039000,39040000,56100000,113872000,125660000,74305000,23442000,6756000,2284000,78124000,-44002000
83,Cash Provided by Operating Activities,62779000,119972000,153862000,152854000,168618000,174037000,128718000,89698000,56421000,22838000,14965000,17613000,- -
84,CAPEX,-1003000,-1137000,-1720000,-2282000,-2331000,-3694000,-854000,-311000,-1352000,-1950000,-2461000,-230000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-2068000,- -,-9321000,320000,- -,2902000,- -,- -
86,Purchases of Investments,-631000,-2025000,-2295000,-12868000,-16109000,-17705000,-11730000,-27434000,-87380000,-90160000,-119001000,-25281000,- -
87,Sales/Maturities of Investments,576000,625000,1987000,4772000,8938000,11900000,14657000,12372000,56810000,67976000,121543000,92847000,- -
88,Other Investing Activites,83000,48000,- -,- -,-5000000,- -,- -,4022000,1043000,2626000,194000,21000,- -
89,Cash Used for Investing Activites,-975000,-2489000,-2028000,-10378000,-14502000,-11567000,2073000,-20672000,-30559000,-21508000,3177000,67357000,- -
90,Debt Repayment,-707000,-266000,-81000,-183000,-215000,-245000,-233000,-200000,-167000,-121000,-141000,-103000,- -
91,Common Stock Issued,21000,2000,54000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-255000,- -,-201000,- -,- -,- -,-64000,-953000,-272000,-1918000,-3401000,-92916000,- -
93,Dividends Paid,- -,- -,- -,-6520000,-8710000,-9841000,-10215000,-9529000,-6005000,-4878000,-1244000,-645000,- -
94,Other Financing Activites,-59370000,-114478000,-97941000,-108657000,-128265000,-152642000,-127680000,-75116000,-41975000,-13089000,-5854000,-759000,- -
95,Cash Used/Provided by Financing Activities,-60311000,-114742000,-98169000,-115360000,-137190000,-162728000,-138192000,-85798000,-48419000,-20006000,-10640000,-94423000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1493000,2741000,53665000,27116000,16926000,-258000,-7401000,-16772000,-22557000,-18676000,7502000,-9453000,- -
98,Cash at the End of Period,24802000,27543000,81208000,108324000,125250000,124992000,117591000,100819000,78262000,59586000,67088000,57635000,- -
99,Cash at the Beginning of Period,23309000,24802000,27543000,81208000,108324000,125250000,124992000,117591000,100819000,78262000,59586000,67088000,57635000
100,Free Cash Flow,61776000,118835000,152142000,150572000,166287000,170343000,127864000,89387000,55069000,20888000,12504000,17383000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524223/000152422313000006/0001524223-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422314000004/mnq4201310-k.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422315000007/mn201410-k_12312014.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422316000027/0001524223-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422317000005/0001524223-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422318000011/0001524223-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422319000014/0001524223-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422320000015/0001524223-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422321000016/0001524223-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422322000014/0001524223-22-000014-index.htm
102,false,,,,,,,,,,,,,
