,https://roic.ai/company/ALOT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,4000000,4800000,5800000,7500000,9000000,11400000,11800000,12800000,13100000,15100000,16400000,15900000,16800000,17900000,19294411,20711130,19833918,19182773,19359226,20476187,21503000,23507856,26396659,26441906,24664376,26010742,27185013,20802000,25450000,29746000,32224000,33208000,38590000,45279000,46325000,38927000
11,COGS and Expenses,9600000,11200000,14000000,17800000,21000000,25000000,24900000,26600000,27900000,36100000,42400000,42200000,43000000,41800000,44777350,49831950,50118491,50070123,52150672,53404732,56146000,62029545,67657351,67157107,62068074,68360612,74595047,58298000,67059000,81116000,88724000,92167000,107989000,127937000,131013000,113600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402000,876000,826000,- -
14,Depreciation and Amortization,300000,400000,500000,600000,700000,800000,1000000,900000,1000000,1000000,900000,900000,1000000,1100000,1223436,1774764,1641971,1387486,1248453,1228632,1209000,1390261,1587246,1405710,1467058,1575935,1575665,1331000,1279000,2063000,2065000,2431000,3994000,6152000,6284000,5983000
15,EBITDA,1500000,1500000,2900000,4000000,3200000,4600000,17600000,6200000,5800000,3700000,2600000,3800000,2400000,1700000,2472293,2177253,1350164,325760,5032654,3995743,4611000,11015378,6641112,5983142,5149268,4359549,5808158,12945000,4666000,8995000,8974000,9036000,9553000,14336000,8480000,8162000
16,EBITDA ratio,0.1402,0.1230,0.1779,0.1869,0.1350,0.1586,0.5906,0.1981,0.1796,0.0969,0.0592,0.0860,0.0549,0.0409,0.0543,0.0421,0.0273,0.0067,0.0902,0.0714,0.0778,0.1681,0.0918,0.0834,0.0804,0.0614,0.0733,0.2114,0.0680,0.1018,0.0948,0.0918,0.0842,0.1049,0.0635,0.0703
17,Operating Income,1100000,1000000,2300000,3600000,2700000,4000000,4900000,4700000,4400000,2100000,1500000,2000000,700000,-200000,791396,81049,-727554,-1587516,3644978,2569922,3155000,8741423,4199128,4626231,3353790,2759947,3916715,2926000,1533000,7231000,5934000,6281000,5412000,8720000,2433000,2433000
18,Operating Income ratio,0.1028,0.0820,0.1411,0.1682,0.1139,0.1379,0.1644,0.1502,0.1362,0.0550,0.0342,0.0452,0.0160,-0.0048,0.0174,0.0016,-0.0147,-0.0324,0.0653,0.0459,0.0532,0.1334,0.0580,0.0644,0.0524,0.0389,0.0495,0.0478,0.0223,0.0818,0.0627,0.0638,0.0477,0.0638,0.0182,0.0210
19,Total Other Income Expenses (Gains),100000,100000,100000,-200000,-200000,-200000,11700000,600000,400000,600000,200000,900000,700000,800000,457461,321440,435747,525790,139223,197189,247000,883694,854738,-48799,328420,23667,315778,-41000,-121000,-299000,975000,324000,-255000,-1412000,-1063000,-254000
20,Income Before Tax,1200000,1100000,2400000,3400000,2500000,3800000,16600000,5300000,4800000,2700000,1700000,2900000,1400000,600000,1248857,402489,-291807,-1061726,3784201,2767111,3402000,9625117,5053866,4577432,3682210,2783614,4232493,2885000,1412000,6932000,6909000,6605000,5157000,7308000,1370000,2179000
21,Income Before Tax Ratio,0.1121,0.0902,0.1472,0.1589,0.1055,0.1310,0.5570,0.1693,0.1486,0.0707,0.0387,0.0656,0.0320,0.0144,0.0274,0.0078,-0.0059,-0.0217,0.0678,0.0494,0.0574,0.1469,0.0698,0.0638,0.0575,0.0392,0.0534,0.0471,0.0206,0.0785,0.0730,0.0671,0.0455,0.0535,0.0103,0.0188
22,Income Tax expense (Gain),300000,400000,1000000,1300000,900000,1500000,6000000,1700000,1800000,800000,400000,600000,400000,100000,312214,100000,-58706,820042,567380,57581,851000,3566152,744028,1613445,916363,721845,1100802,847000,175000,2270000,2384000,2377000,1871000,1578000,-389000,895000
23,Net Income,900000,700000,1400000,2100000,1600000,2300000,10600000,3600000,3000000,1900000,1300000,2300000,1000000,500000,936643,302489,-233101,-1881768,3216821,2709530,2551000,6058965,4309838,2963987,2765847,2061769,3131691,10767000,3212000,4662000,4525000,4228000,3286000,5730000,1759000,1284000
24,Net Income ratio,0.0841,0.0574,0.0859,0.0981,0.0675,0.0793,0.3557,0.1150,0.0929,0.0497,0.0296,0.0520,0.0229,0.0120,0.0206,0.0059,-0.0047,-0.0384,0.0577,0.0484,0.0430,0.0925,0.0596,0.0413,0.0432,0.0290,0.0395,0.1759,0.0468,0.0528,0.0478,0.0429,0.0290,0.0419,0.0132,0.0111
25,EPS,0.14,0.10,0.21,0.31,0.24,0.35,1.51,0.50,0.43,0.28,0.19,0.33,0.15,0.08,0.15,0.05,-0.04,-0.32,0.53,0.41,0.38,0.90,0.63,0.42,0.39,0.28,0.43,1.44,0.43,0.61,0.62,0.57,0.48,0.83,0.25,0.18
26,EPS Diluted,0.14,0.10,0.21,0.31,0.24,0.35,1.51,0.50,0.42,0.28,0.19,0.33,0.15,0.08,0.15,0.05,-0.04,-0.32,0.48,0.38,0.35,0.82,0.57,0.40,0.38,0.28,0.42,1.42,0.42,0.60,0.61,0.56,0.47,0.81,0.24,0.18
27,Weighted Average Shares Outstanding,6513809,6875688,6638595,6715788,6667333,6589201,7007912,7174631,6992225,7011130,7006533,6899946,6672582,6396102,6096898,6031921,5856706,5869195,6046291,6612751,6613576,6721140,6884972,6987531,7135000,7271403,7324568,7396000,7470000,7612000,7288000,7421000,6911000,6881000,7024000,7104000
28,Weighted Average Shares Outstanding Diluted,6513809,6875688,6638595,6715788,6667333,6589201,7007912,7174631,7112780,7011130,7006533,6899946,6738132,6434172,6153635,6060494,5856706,5869195,6677618,7226566,7232821,7389001,7532249,7437832,7375000,7469760,7428974,7483000,7697000,7834000,7471000,7573000,7015000,7084000,7238000,7166000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8146/000119312504059648/d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312505080395/d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312506080376/d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312507081629/0001193125-07-081629-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312508082816/0001193125-08-082816-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312509077930/0001193125-09-077930-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312510080519/0001193125-10-080519-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312511101229/0001193125-11-101229-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312512150141/d272581d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312513146041/0001193125-13-146041-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312514133678/0001193125-14-133678-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312515122389/0001193125-15-122389-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312516534900/0001193125-16-534900-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312517114309/0001193125-17-114309-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312518113108/0001193125-18-113108-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312519102788/0001193125-19-102788-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312520103834/0001193125-20-103834-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312521114283/0001193125-21-114283-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2600000,2700000,1900000,2300000,2300000,2500000,1800000,2000000,1300000,1100000,2000000,6600000,5700000,4900000,4035867,806069,2569721,3217035,4998643,6225122,4599000,4595570,5747937,10978553,14155096,7720135,11703621,30999000,8341000,7958000,10043000,18098000,10177000,7534000,4249000,11439000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7211921,5362523,3340874,4118991,7678684,7757904,10125000,12334065,11807670,10234713,9605216,12910232,11335924,8509000,18766000,15174000,10376000,6723000,1511000,- -,- -,- -
33,Cash and Short-Term Investments,2600000,2700000,1900000,2300000,2300000,2500000,1800000,2000000,1300000,1100000,2000000,6600000,5700000,4900000,11247788,6168592,5910595,7336026,12677327,13983026,14724000,16929635,17555607,21213266,23760312,20630367,23039545,39508000,27107000,23132000,20419000,24821000,11688000,7534000,4249000,11439000
34,Net Receivables,2200000,3100000,4300000,4700000,4700000,5000000,6200000,5700000,5700000,7800000,8300000,8300000,7800000,7700000,9270814,10663624,9173568,8347375,9814784,9351704,10624000,12112676,12761281,9246140,9172857,11111974,11800481,9926000,11856000,14535000,15666000,15702000,22400000,23486000,19784000,17415000
35,Inventory,2100000,2300000,3200000,3300000,3300000,4000000,4300000,5900000,7200000,12900000,12500000,10400000,10300000,10200000,11537478,10782425,10243182,8900463,9110167,9364279,9810000,11394763,14050619,12826427,12039306,14404914,14128599,11179000,15178000,15582000,14890000,19506000,27609000,30161000,33925000,30060000
36,Other Current Assets,500000,300000,100000,200000,400000,600000,2700000,13700000,15400000,9100000,8200000,8500000,9100000,10000000,1926111,2038227,2229660,370342,414833,4027297,4504000,3730966,4016506,4736829,4895083,3553094,3509625,9509000,10893000,8669000,3539000,1394000,2083000,1427000,2193000,1807000
37,Total Current Assets,7400000,8400000,9500000,10500000,10700000,12100000,15000000,27300000,29600000,30900000,31000000,33800000,32900000,32800000,33982191,29652868,27557005,24954206,32017111,36726306,39662000,44168040,48384013,48022662,49867558,49700349,52478250,70122000,65034000,61918000,54514000,61423000,63780000,62608000,60151000,60721000
38,PP&E,5600000,5600000,6200000,7400000,7400000,7200000,7400000,8500000,8200000,8600000,8700000,8100000,7900000,7200000,7511477,8287313,7979690,7350679,7124739,7305946,7100000,7964251,10732835,10829477,11990582,12541955,11170730,7788000,7592000,8379000,9807000,9280000,9752000,10380000,12929000,13400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2336721,2336721,2336721,2336721,2336721,2336721,795000,991000,991000,4521000,4521000,13004000,12329000,12034000,12806000
40,Intangible Assets,1400000,1300000,1300000,1300000,1300000,1200000,1200000,1100000,1100000,1000000,1000000,1000000,900000,900000,3153371,2465494,2310798,2310798,2336721,2336721,2337000,- -,- -,- -,403056,331389,- -,- -,3400000,2698000,5980000,5264000,33633000,29674000,25383000,21502000
41,Intangible Assets,1400000,1300000,1300000,1300000,1300000,1200000,1200000,1100000,1100000,1000000,1000000,1000000,900000,900000,3153371,2465494,2310798,2310798,2336721,2336721,2337000,2336721,2336721,2336721,2739777,2668110,2336721,795000,4391000,3689000,10501000,9785000,46637000,42003000,37417000,34308000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356000,313000,- -,3049000,2811000,1829000,2928000,5079000,5941000
44,Other Non-Current Assets,400000,400000,500000,800000,800000,900000,800000,600000,1100000,1700000,1600000,400000,1100000,900000,737492,653255,556736,594195,586386,669698,548000,3531968,245843,966390,78127,88799,1076435,852000,634000,344000,92000,366000,315000,1064000,1088000,1103000
45,Total Non-Current Assets,7400000,7300000,8000000,9500000,9500000,9300000,9400000,10200000,10400000,11300000,11300000,9500000,9900000,9000000,11402340,11406062,10847224,10255672,10047846,10312365,9985000,13832940,13315399,14132588,14808486,15298864,14583886,9791000,12930000,12412000,23449000,22242000,58533000,56375000,56513000,54752000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14800000,15700000,17500000,20000000,20200000,21400000,24400000,37500000,40000000,42200000,42300000,43300000,42800000,41800000,45384531,41058930,38404229,35209878,42064957,47038671,49647000,58000980,61699412,62155250,64676044,64999213,67062136,79913000,77964000,74330000,77963000,83665000,122313000,118983000,116664000,115473000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,1600000,1400000,2200000,2900000,2100000,1600000,2300000,3400000,6379792,3711248,3325133,2423260,2156896,2192581,2673000,3559518,3420015,2352084,2885067,2748293,2540116,1938000,2374000,3155000,3192000,4957000,11808000,5956000,4409000,5734000
49,Short-Term Debt,400000,400000,400000,500000,500000,500000,500000,400000,400000,100000,100000,100000,200000,200000,60452,46832,24755,8290,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5498000,6708000,12124000,5698000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,441275,318930,36979,72725,4169000,788000,148000,182000,1449000,684000,554000,- -,655000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,613017,752000,805352,768863,864400,695240,787988,623223,271000,454000,621000,529000,472000,367000,373000,466000,285000
52,Other Current Liabilities,1500000,1900000,2600000,2400000,2600000,2400000,2100000,2000000,2100000,2400000,2300000,3300000,3300000,3700000,5204449,3986878,2752316,3697611,5360932,4652250,5015000,5509352,4784376,4687169,4577836,3966942,5109128,11316000,7064000,5793000,5827000,6556000,8239000,11628000,9768000,9251000
53,Total Current Liabilities,1900000,2300000,3000000,2900000,3100000,2900000,4200000,3800000,4700000,5400000,4500000,5000000,5800000,7300000,11644693,7744958,6102204,6129161,7517828,7457848,8440000,9874222,8973254,7903653,8158143,7503223,8272467,13525000,9892000,9569000,9548000,11985000,25912000,24665000,26767000,20968000
54,Long-Term Debt,3200000,2800000,2400000,2500000,2500000,2000000,1500000,600000,300000,200000,200000,300000,200000,- -,71588,24755,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,- -,- -,- -,17648000,12870000,7715000,12596000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,400000,600000,700000,900000,900000,1100000,1200000,1200000,1100000,700000,800000,800000,700000,700000,447666,996157,876867,- -,- -,1172420,906000,2168416,1766517,1939234,2056393,2060418,1894104,111000,77000,83000,78000,11000,698000,40000,435000,384000
57,Other Non-Current Liabilities,- -,-100000,- -,100000,100000,100000,-100000,- -,- -,600000,800000,400000,300000,100000,- -,- -,- -,- -,- -,- -,-1000,- -,1604718,840878,642612,1146978,1232699,2440000,1131000,1167000,964000,1132000,14408000,11633000,10372000,6842000
58,Total Non-Current Liabilities,3600000,3300000,3100000,3500000,3500000,3200000,2600000,1800000,1400000,1500000,1800000,1500000,1200000,800000,519254,1020912,876867,- -,- -,1172420,905000,2168416,3371235,2780112,2699005,3207396,3126803,2551000,1458000,1250000,1042000,1143000,32754000,24543000,18522000,19822000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1695000,1437000
61,Total Liabilities,5500000,5600000,6100000,6400000,6600000,6100000,6800000,5600000,6100000,6900000,6300000,6500000,7000000,8100000,12163947,8765870,6979071,6129161,7517828,8630268,9345000,12042638,12344489,10683765,10857148,10710619,11399270,16076000,11350000,10819000,10590000,13128000,58666000,49208000,45289000,40790000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257402,258039,258251,258418,285803,314949,317000,395270,402668,409593,416146,433017,447829,452000,465000,477000,483000,492000,500000,511000,517000,521000
64,Retained Earnings,5200000,5800000,7300000,9400000,9400000,11000000,13400000,26700000,29000000,30400000,31100000,32800000,5600000,32800000,33065454,32667859,31753694,29190013,31703077,28328239,30031000,22282495,24064440,25349964,26403248,26842890,27919367,36092000,37201000,39735000,42212000,44358000,45700000,49511000,49298000,50085000
65,Other Comprehensive Income/Loss,-1200000,-1600000,-2000000,-2600000,-2600000,-3200000,-4000000,-5300000,-6200000,-7300000,-8400000,-9000000,-10200000,-11400000,-12577878,-14259992,-15478613,-154673,317198,268696,147000,286469,649253,1327,317468,266513,121271,173000,176000,-699000,-975000,-1056000,-172000,-818000,-1093000,-384000
66,Other Total Stockholders Equity,5300000,5900000,6100000,6800000,6800000,7500000,8200000,10500000,11100000,12200000,13300000,13000000,40400000,12300000,12475606,13627154,14891826,-213041,2241051,9496519,9807000,22994108,24238562,25710601,26682034,26746174,27174399,27120000,28772000,23998000,25653000,26743000,17619000,20571000,22653000,24461000
67,Total Stockholders Equity,9300000,10100000,11400000,13600000,13600000,15300000,17600000,31900000,33900000,35300000,36000000,36800000,35800000,33700000,33220584,32293060,31425158,29080717,34547129,38408403,40302000,45958342,49354923,51471485,53818896,54288594,55662866,63837000,66614000,63511000,67373000,70537000,63647000,69775000,71375000,74683000
68,Total Liabilities And Stockholders Equity,14800000,15700000,17500000,20000000,20200000,21400000,24400000,37500000,40000000,42200000,42300000,43300000,42800000,41800000,45384531,41058930,38404229,35209878,42064957,47038671,49647000,58000980,61699412,62155250,64676044,64999213,67062136,79913000,77964000,74330000,77963000,83665000,122313000,118983000,116664000,115473000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14800000,15700000,17500000,20000000,20200000,21400000,24400000,37500000,40000000,42200000,42300000,43300000,42800000,41800000,45384531,41058930,38404229,35209878,42064957,47038671,49647000,58000980,61699412,62155250,64676044,64999213,67062136,79913000,77964000,74330000,77963000,83665000,122313000,118983000,116664000,115473000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8146/000119312504059648/d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312505080395/d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312506080376/d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312507081629/0001193125-07-081629-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312508082816/0001193125-08-082816-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312509077930/0001193125-09-077930-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312510080519/0001193125-10-080519-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312511101229/0001193125-11-101229-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312512150141/d272581d10k.htm,https://www.sec.gov/Archives/edgar/data/8146/000119312513146041/0001193125-13-146041-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312514133678/0001193125-14-133678-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312515122389/0001193125-15-122389-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312516534900/0001193125-16-534900-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312517114309/0001193125-17-114309-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312518113108/0001193125-18-113108-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312519102788/0001193125-19-102788-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312520103834/0001193125-20-103834-index.html,https://www.sec.gov/Archives/edgar/data/8146/000119312521114283/0001193125-21-114283-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,10600000,3600000,3000000,1900000,1300000,2300000,1000000,500000,936643,302489,-233101,-1881768,3216821,2709530,2551000,6058965,4309838,2963987,2765847,2061769,3131691,10767000,3212000,4662000,4525000,4228000,3286000,5730000,1759000,1284000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1000000,900000,1000000,1000000,900000,900000,1000000,1100000,1223436,1774764,1641971,1387486,1248453,1228632,1209000,1390261,1587246,1405710,1467058,1575935,1575665,1331000,1279000,2063000,2065000,2431000,3994000,6152000,6284000,5983000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,100000,- -,-300000,-400000,-212951,-182410,-160694,949553,- -,-1020409,-149000,1740368,-108948,333712,435890,-134386,-207726,-548000,-636000,-636000,-422000,174000,744000,-1638000,-1638000,-1021000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472425,414399,333240,207884,480000,562000,511000,1209000,1019000,1583000,1886000,1775000,1819000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,1100000,12700000,1400000,600000,1000000,2300000,-1700000,-1600000,-3162502,-429588,-453109,-2629756,5674238,4769175,1953542,3071818,5116941,708250,1590406,487711,2008657,12391217,-1455000,-2793000,-7383000,4472000,-11570000,75000,-4559000,6369000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3515143,871315,-1939117,-688507,-1256000,-2588000,-2741000,-1285000,-416000,-4722000,-1493000,3594000,2702000
79,Inventory,- -,- -,- -,- -,- -,- -,-700000,-900000,-1300000,-2200000,400000,2200000,- -,100000,-307470,-419461,253394,1213526,-213907,-254112,-445000,-1812857,-1981821,1224192,1112777,-2365609,-4508,-240000,-1283000,-404000,600000,-4659000,-5509000,-2872000,-3938000,4247000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-763000,1469000,810000,151000,1426000,5207000,-3967000,-2732000,-57000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,10800000,23500000,24900000,25500000,26500000,28800000,27100000,25500000,22337498,21907910,21454801,18825045,24499283,29268458,31222000,34293818,39410759,40119009,41709415,42197126,44205783,56597000,55142000,52349000,44966000,49438000,37868000,37943000,33384000,39753000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-300000,-15400000,-1800000,-4100000,-1000000,-700000,2700000,3600000,5909988,-4057139,485566,4855416,-5694439,-4319113,-3157542,-13078239,-4993521,1070832,-823953,-3214705,-1243854,-20558217,-6529000,-2316000,7733000,-5371000,5687000,-8825000,-397000,1110000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,12400000,1800000,3500000,-600000,2300000,4800000,2700000,3200000,4694614,-2591884,1280633,2680931,4445073,3367815,2407000,-816827,5911556,6954916,5849647,1109564,5472317,3863000,-3567000,1491000,7727000,6953000,3724000,3380000,3224000,15544000
84,CAPEX,- -,- -,- -,- -,- -,- -,-1300000,-1700000,-700000,-1300000,-900000,-1000000,-800000,-600000,-4632211,-1203592,-911030,-619423,-722018,-1143943,-1036000,-2170276,-4734191,-1664927,-1622326,-2089858,-1154693,-849000,-1128000,-2247000,-3061000,-1238000,-2204000,-2645000,-2906000,-2587000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,- -,- -,-1450000,- -,- -,- -,-6732000,- -,-7360000,- -,-23880000,-400000,- -,- -
