,https://roic.ai/company/PRPO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.2851,-0.1852,-0.0946,-0.4581,-0.4082,-0.8309,-0.3371,-0.0615,-0.0394,0.0250,-0.0465,-0.1135,-0.2388,-0.1593,-0.4826,-0.3879,-19.6400,-4.7232,-10.2304,-5.1355,-3.8059,-1.5215,-0.9464
17,Operating Income,-6883601,-9477000,-9739000,-21697000,-22588000,-29060000,-2511000,-3131000,-3322000,-368000,-1896000,-3612000,-2972000,-9504000,-15759000,-17322000,-9195000,-7819000,-15511000,-13912000,-10994000,-9146000,-21062807000
18,Operating Income ratio,-0.2988,-0.3661,-0.2532,-0.5778,-0.6670,-0.8600,-0.0972,-0.1337,-0.1433,-0.0153,-0.0861,-0.1802,-0.0930,-0.3019,-0.5721,-0.6396,-5.5626,-5.0218,-9.0023,-4.8575,-3.5158,-1.5013,-2706.2581
19,Total Other Income Expenses (Gains),-1198012,996000,2362000,437000,-305000,-5406000,-2447000,198000,1391000,86000,18000,628000,-6765000,1323000,-282000,3904000,-943000,-450000,-5183000,-2061000,-2319000,-1452000,21054290000
20,Income Before Tax,-8081613,-8481000,-7377000,-21260000,-22893000,-34466000,-4958000,-2933000,-1931000,-282000,-1878000,-2984000,-9737000,-8181000,-16041000,-13418000,-10138000,-8269000,-20694000,-15973000,-13313000,-10598000,-8517000
21,Income Before Tax Ratio,-0.3508,-0.3277,-0.1918,-0.5661,-0.6760,-1.0200,-0.1920,-0.1253,-0.0833,-0.0118,-0.0853,-0.1488,-0.3046,-0.2599,-0.5824,-0.4954,-6.1331,-5.3109,-12.0104,-5.5772,-4.2574,-1.7397,-1.0943
22,Income Tax expense (Gain),1745273,180000,24000,105000,65000,-94000,26000,30000,243000,213000,42000,150000,45000,146000,-54000,524000,- -,- -,- -,-279000,-70000,- -,13000
23,Net Income,-9826886,-8661000,-7401000,-21365000,-22958000,-34372000,-14993000,-3431000,-2107000,-495000,-1920000,-3134000,-9782000,-8327000,-15987000,-13942000,-32954000,-7616000,-20694000,-15694000,-13243000,-10625000,-8530000
24,Net Income ratio,-0.4266,-0.3346,-0.1924,-0.5689,-0.6779,-1.0173,-0.5805,-0.1465,-0.0909,-0.0206,-0.0872,-0.1563,-0.3060,-0.2645,-0.5804,-0.5148,-19.9359,-4.8915,-12.0104,-5.4797,-4.2350,-1.7441,-1.0960
25,EPS,-4104.04,-2808.03,-1782.02,-4914.04,-5076.05,-6426.06,-2268.02,-378.00,-216.00,-54.00,-216.00,-324.00,-1188.01,-702.01,-1026.01,-904.50,-1251.01,-157.50,-107.40,-13.80,-2.33,-0.85,-0.52
26,EPS Diluted,-4104.04,-2808.03,-1782.02,-4914.04,-5076.05,-6426.06,-2268.02,-378.00,-216.00,-54.00,-216.00,-324.00,-1188.01,-702.01,-1026.01,-904.50,-1251.01,-157.50,-107.40,-13.80,-2.33,-0.85,-0.52
27,Weighted Average Shares Outstanding,2407,3079,4177,4367,4534,5371,6608,9108,9109,9109,9109,9119,9140,12854,16147,16652,27381,50421,309283,1441120,5695159,16477074,16477074
28,Weighted Average Shares Outstanding Diluted,2407,3079,4177,4367,4534,5371,6608,9108,9109,9109,9109,9119,9140,12854,16147,16652,27381,50421,309283,1441120,5695159,16477074,16477074
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1043961/000091205701007707/0000912057-01-007707-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000091205702011437/0000912057-02-011437-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104746903011342/0001047469-03-011342-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312504053766/0001193125-04-053766-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312505077778/0001193125-05-077778-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312506070835/0001193125-06-070835-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312507072399/0001193125-07-072399-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312508069016/0001193125-08-069016-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312509067223/0001193125-09-067223-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312510040276/0001193125-10-040276-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312511065579/0001193125-11-065579-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396112000002/0001043961-12-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000144530513000617/0001445305-13-000617-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000144530514001178/0001445305-14-001178-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396115000004/0001043961-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396116000022/0001043961-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396117000005/0001043961-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000114420418020539/0001144204-18-020539-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837019003039/0001558370-19-003039-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837020003247/0001558370-20-003247-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837021003619/0001558370-21-003619-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837022004774/0001558370-22-004774-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,38193000,19613000,9735000,1241000,1002000,6736000,5868000,5723000,4771000,5642000,3454000,4946000,4497000,1626000,1609000,444000,110000,421000,381000,848000,2656000,11668000
32,Short-Term Investments,- -,23728000,23913000,3612000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,61921000,43526000,13347000,1241000,1002000,6736000,5868000,5723000,4771000,5642000,3454000,4946000,4497000,1626000,1609000,444000,110000,421000,381000,848000,2656000,11668000
34,Net Receivables,- -,4733000,11248000,11058000,10877000,10197000,7542000,6525000,5095000,5385000,4522000,7601000,7573000,8081000,5314000,7627000,264000,225000,730000,690000,574000,874000,697000
35,Inventory,- -,2567000,5829000,12448000,10584000,5366000,2990000,2672000,4586000,4775000,3552000,3344000,3859000,5092000,3957000,3005000,50000,24000,161000,197000,184000,350000,564000
36,Other Current Assets,- -,948000,2273000,2274000,1676000,1343000,850000,540000,759000,654000,738000,635000,820000,1047000,938000,1191000,2524000,136000,430000,525000,272000,324000,549000
37,Total Current Assets,- -,70169000,62876000,39127000,24378000,17908000,18118000,15605000,16163000,15585000,14454000,15034000,17198000,18717000,11835000,13432000,3282000,495000,1742000,1793000,1878000,4204000,13478000
38,PP&E,- -,4591000,8185000,15652000,18704000,13525000,2577000,1498000,1579000,1198000,967000,1602000,1856000,2190000,2003000,1482000,259000,144000,353000,496000,950000,787000,1207000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,638000,638000,- -,- -,6275000,6440000,6918000,6918000,6918000,- -,- -,4685000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,15275000,10503000,638000,638000,- -,- -,- -,- -,8962000,7966000,10764000,9195000,7964000,1170000,562000,20458000,19291000,16658000,15667000,14717000
41,Intangible Assets,- -,- -,- -,15275000,10503000,638000,638000,638000,638000,- -,- -,15237000,14406000,17682000,16113000,14882000,1170000,562000,25143000,19291000,16658000,15667000,14717000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3103000,18225000,3981000,3721000,5387000,4007000,3626000,710000,773000,583000,154000,102000,202000,327000,210000,105000,58000,22000,25000,25000,55000,1037000
45,Total Non-Current Assets,- -,7694000,26410000,34908000,32928000,19550000,7222000,5762000,2927000,1971000,1550000,16993000,16364000,20074000,18443000,16574000,1534000,764000,25518000,19812000,17633000,16509000,16961000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,77863000,89286000,74035000,57306000,37458000,25340000,21367000,19090000,17556000,16004000,32027000,33562000,38791000,30278000,30006000,4816000,1259000,27260000,21605000,19511000,20713000,30439000
48,Accounts Payable,- -,1961000,2664000,4917000,3580000,3431000,1796000,1558000,1245000,905000,1013000,1360000,2609000,2052000,2860000,4871000,3781000,6541000,5103000,5169000,1936000,1693000,1863000
49,Short-Term Debt,- -,- -,- -,63000,3835000,7339000,- -,- -,- -,- -,- -,989000,6785000,6171000,242000,462000,7596000,7814000,587000,4640000,463000,648000,414000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1171000,1088000,1035000,217000,170000,66000,49000,35000,6000,18000
52,Other Current Liabilities,- -,1936000,4518000,6042000,4833000,7954000,5638000,3771000,3602000,3330000,3090000,5904000,6934000,7134000,4435000,4747000,5387000,5299000,4280000,3907000,1900000,2309000,1918000
53,Total Current Liabilities,- -,3897000,7182000,11022000,12248000,18724000,7434000,5329000,4847000,4235000,4103000,8253000,16328000,16528000,8625000,11115000,16981000,19824000,10036000,13765000,4334000,4656000,4213000
54,Long-Term Debt,- -,- -,- -,1499000,- -,2199000,- -,- -,- -,- -,- -,8640000,4937000,- -,6318000,7375000,- -,- -,2829000,253000,198000,362000,857000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349000,70000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,1693000,- -,- -,- -,141000,116000,239000,6634000,1249000,1989000,3889000,4963000,655000,785000,1021000,1394000,1774000,1533000,765000
58,Total Non-Current Liabilities,- -,- -,- -,1499000,1693000,2199000,- -,- -,141000,116000,239000,15274000,6186000,1989000,10207000,12338000,655000,785000,4199000,1717000,1972000,1895000,1622000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000,320000,- -,- -,- -,- -,- -,163000,212000,697000,481000,- -
61,Total Liabilities,- -,3897000,7182000,12521000,12248000,20923000,7434000,5329000,4988000,4351000,4342000,23527000,22514000,18517000,18832000,23453000,17636000,20609000,14235000,15482000,6306000,6551000,5835000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,26000,26000,40000,40000,2000,- -,- -,- -,- -,- -
63,Common Stock,- -,215000,239000,240000,286000,299000,497000,497000,497000,497000,497000,498000,501000,721000,73000,81000,139000,264000,102000,345000,79000,176000,833000
64,Retained Earnings,- -,-21005000,-28406000,-49771000,-72729000,-107101000,-122094000,-125525000,-127768000,-128263000,-130183000,-133317000,-142802000,-151789000,-168502000,-183588000,-213412000,-225493000,-31542000,-47696000,-60939000,-71564000,-80094000
65,Other Comprehensive Income/Loss,- -,-2836000,-5278000,-9069000,-12951000,-13946000,1000000,2000000,2000000,1000000,2000000,2000000,-11969000,-12340000,-13126000,-13764000,-6899000,-7013000,-555000,-653000,-791000,- -,- -
66,Other Total Stockholders Equity,- -,97592000,115549000,120114000,130452000,137283000,138503000,139066000,139373000,139971000,139348000,139319000,165292000,183656000,192975000,203784000,207312000,212890000,45020000,54127000,74856000,85523000,103825000
67,Total Stockholders Equity,- -,73966000,82104000,61514000,45058000,16535000,17906000,16038000,14102000,13205000,11662000,8500000,11048000,20274000,11446000,6553000,-12820000,-19350000,13025000,6123000,13205000,14135000,24564000
68,Total Liabilities And Stockholders Equity,- -,77863000,89286000,74035000,57306000,37458000,25340000,21367000,19090000,17556000,16004000,32027000,33562000,38791000,30278000,30006000,4816000,1259000,27260000,21605000,19511000,20686000,30399000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000,40000
70,Total Liabilities & Equity,- -,77863000,89286000,74035000,57306000,37458000,25340000,21367000,19090000,17556000,16004000,32027000,33562000,38791000,30278000,30006000,4816000,1259000,27260000,21605000,19511000,20713000,30439000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1043961/000091205701007707/0000912057-01-007707-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000091205702011437/0000912057-02-011437-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104746903011342/0001047469-03-011342-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312504053766/0001193125-04-053766-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312505077778/0001193125-05-077778-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312506070835/0001193125-06-070835-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312507072399/0001193125-07-072399-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312508069016/0001193125-08-069016-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312509067223/0001193125-09-067223-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312510040276/0001193125-10-040276-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312511065579/0001193125-11-065579-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396112000002/0001043961-12-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000144530513000617/0001445305-13-000617-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000144530514001178/0001445305-14-001178-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396115000004/0001043961-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396116000022/0001043961-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396117000005/0001043961-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000114420418020539/0001144204-18-020539-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837019003039/0001558370-19-003039-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837020003247/0001558370-20-003247-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837021003619/0001558370-21-003619-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837022004774/0001558370-22-004774-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-9826886,-8661000,-7401000,-21365000,-22958000,-34372000,-14993000,-3431000,-2107000,-495000,-1920000,-3134000,-9782000,-8327000,-15987000,-13942000,-32954000,-7616000,-20694000,-15694000,-13243000,-10625000,-8517000
74,Depreciation and Amortization,1514206,1908000,3680000,3993000,8753000,4009000,4283000,1949000,950000,882000,855000,708000,2101000,2278000,2748000,2248000,489000,262000,743000,1265000,1412000,1356000,1131000
75,Deferred Income Tax,1773000,180000,- -,- -,- -,- -,- -,- -,- -,- -,22000,- -,- -,-25000,62000,631000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,402000,202000,-14000,1010000,731000,462000,939000,611000,52000,49000,529000,668000,703000,1879000
77,Change in Working Capital,-3046414,66272000,-10578000,-27589000,-15975000,-12946000,11500000,-408000,1040000,34000,-999000,-3570000,-5911000,1319000,1021000,-893000,-16016000,-5630000,11035000,-3678000,9516000,2004000,9717000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1114000,1113000,72000,-2212000,-2913000,-2757000,-8488000,133000,-33000,-495000,-541000,-850000,-1639000,327000
79,Inventory,-1775273,-223000,-1910000,-5767000,2887000,2611000,514000,397000,-1436000,-665000,1290000,97000,-620000,-1373000,908000,715000,-113000,26000,-46000,-36000,13000,-166000,-214000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212000,60000,364000,1028000,-576000,801000,2029000,-365000,3085000,500000,309000,-1884000,-243000,112000
81,Other Working Capital,- -,66272000,55694000,28105000,12130000,-816000,10684000,10276000,11316000,11350000,10351000,6781000,870000,2189000,3210000,2317000,-13699000,-19329000,-8294000,-11972000,-2456000,-452000,9265000
82,Other Non-Cash Items,842560,-64447000,3182000,27017000,16935000,34208000,-4417000,678000,-2822000,-1236000,3107000,4292000,12802000,-6180000,3221000,-2685000,35492000,9382000,2177000,10824000,-7494000,-872000,-10787000
83,Cash Provided by Operating Activities,-8743534,-4748000,-11117000,-17944000,-13245000,-9101000,-3627000,-1212000,-2939000,-413000,1267000,-1718000,220000,-10204000,-8473000,-13702000,-12378000,-3550000,-6690000,-6754000,-9141000,-7434000,-6577000
84,CAPEX,-1828047,-3109000,-5706000,-11468000,-6413000,-1758000,-644000,-314000,-852000,-325000,-351000,-192000,-231000,-882000,-605000,-130000,-204000,-19000,-143000,-97000,-55000,-151000,-682000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,-4000000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-23728000,-163000,-19088000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8994000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,39355000,3612000,- -,2151000,- -,- -,- -,- -,- -,- -,8994000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1627119,4677000,-3525000,-2871000,82000,4138000,139000,119000,3935000,-74000,-26000,-34000,-277000,4000,-161000,3755000,1991000,1025000,101000,- -,- -,55000,- -
89,Cash Used for Investing Activites,-3455166,-22160000,-9394000,5928000,-2719000,2380000,1646000,-195000,3083000,-399000,-377000,-6226000,-508000,-4878000,-1766000,3625000,1787000,1006000,-42000,-97000,-55000,-96000,-682000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72000,-1298000,-2879000,-6519000,-6386000,-909000,-553000,-2362000,-480000,-569000,-378000,-260000
91,Common Stock Issued,- -,72670000,2401000,624000,4338000,71000,13836000,5000,- -,- -,- -,42000,24000,17483000,7570000,2360000,8977000,475000,- -,2008000,6628000,8929000,16207000
92,Common Stock Repurchased,- -,-2750000,- -,-438000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12172193,-5037000,-458000,1559000,2957000,5927000,-5919000,- -,- -,- -,- -,5791000,3000000,- -,6319000,14096000,923000,2288000,9464000,5283000,3605000,787000,324000
95,Cash Used/Provided by Financing Activities,12172193,64883000,1943000,1745000,7295000,5998000,7917000,5000,- -,- -,- -,5761000,1726000,14604000,7370000,10070000,8991000,2210000,7102000,6811000,9663000,9338000,16271000
96,Effect of Forex Changes on Cash,-7612,65000,-12000,393000,175000,484000,-202000,534000,-289000,-140000,-19000,-5000,54000,29000,-2000,-10000,435000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-34119,38040000,-18580000,-9878000,-8494000,-239000,5734000,-868000,-145000,-952000,871000,-2188000,1492000,-449000,-2871000,-17000,-1165000,-334000,370000,-40000,467000,1808000,9012000
98,Cash at the End of Period,153336,38193000,19613000,9735000,1241000,1002000,6736000,5868000,5723000,4771000,5642000,3454000,4946000,4497000,1626000,1609000,444000,110000,421000,381000,848000,2656000,11668000
99,Cash at the Beginning of Period,187455,153000,38193000,19613000,9735000,1241000,1002000,6736000,5868000,5723000,4771000,5642000,3454000,4946000,4497000,1626000,1609000,444000,51000,421000,381000,848000,2656000
100,Free Cash Flow,-10571581,-7857000,-16823000,-29412000,-19658000,-10859000,-4271000,-1526000,-3791000,-738000,916000,-1910000,-11000,-11086000,-9078000,-13832000,-12582000,-3569000,-6833000,-6851000,-9196000,-7585000,-7259000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1043961/000091205701007707/0000912057-01-007707-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000091205702011437/0000912057-02-011437-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104746903011342/0001047469-03-011342-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312504053766/0001193125-04-053766-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312505077778/0001193125-05-077778-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312506070835/0001193125-06-070835-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312507072399/0001193125-07-072399-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312508069016/0001193125-08-069016-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312509067223/0001193125-09-067223-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312510040276/0001193125-10-040276-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000119312511065579/0001193125-11-065579-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396112000002/0001043961-12-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000144530513000617/0001445305-13-000617-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000144530514001178/0001445305-14-001178-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396115000004/0001043961-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396116000022/0001043961-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000104396117000005/0001043961-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000114420418020539/0001144204-18-020539-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837019003039/0001558370-19-003039-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837020003247/0001558370-20-003247-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837021003619/0001558370-21-003619-index.htm,https://www.sec.gov/Archives/edgar/data/1043961/000155837022004774/0001558370-22-004774-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
